date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-11-09,Agartala,1.0,Satisfactory,67,PM2.5
2020-11-10,Agartala,1.0,Satisfactory,73,PM2.5
2020-11-11,Agartala,1.0,Satisfactory,90,PM2.5
2020-11-12,Agartala,1.0,Satisfactory,75,PM2.5
2020-11-13,Agartala,1.0,Satisfactory,66,PM2.5
2020-11-14,Agartala,1.0,Satisfactory,68,PM10
2020-11-15,Agartala,1.0,Poor,259,PM2.5
2020-11-16,Agartala,1.0,Moderate,192,PM2.5
2020-11-17,Agartala,1.0,Moderate,183,PM2.5
2020-11-18,Agartala,1.0,Moderate,131,PM2.5
2020-11-19,Agartala,1.0,Moderate,162,PM2.5
2020-11-20,Agartala,1.0,Moderate,172,PM2.5
2020-11-21,Agartala,1.0,Poor,206,PM2.5
2020-11-22,Agartala,1.0,Moderate,166,PM2.5
2020-11-23,Agartala,1.0,Poor,233,PM2.5
2020-11-24,Agartala,1.0,Poor,213,PM2.5
2020-11-25,Agartala,1.0,Moderate,149,PM2.5
2020-11-26,Agartala,1.0,Moderate,113,PM2.5
2020-11-27,Agartala,1.0,Moderate,153,PM2.5
2020-11-28,Agartala,1.0,Moderate,187,PM2.5
2020-11-29,Agartala,1.0,Moderate,196,PM2.5
2020-11-30,Agartala,1.0,Moderate,177,PM2.5
2020-12-01,Agartala,1.0,Poor,221,PM2.5
2020-12-02,Agartala,1.0,Moderate,193,PM2.5
2020-12-03,Agartala,1.0,Moderate,187,PM2.5
2020-12-04,Agartala,1.0,Poor,204,PM2.5
2020-12-05,Agartala,1.0,Satisfactory,79,PM2.5
2020-12-06,Agartala,1.0,Moderate,101,PM2.5
2020-12-07,Agartala,1.0,Satisfactory,100,PM10
2020-12-08,Agartala,1.0,Satisfactory,91,PM2.5
2020-12-09,Agartala,1.0,Satisfactory,88,PM2.5
2020-12-10,Agartala,1.0,Moderate,150,PM2.5
2020-12-11,Agartala,1.0,Moderate,119,PM2.5
2020-12-12,Agartala,1.0,Moderate,138,PM2.5
2020-12-13,Agartala,1.0,Moderate,147,PM2.5
2020-12-14,Agartala,1.0,Moderate,140,PM2.5
2020-12-15,Agartala,1.0,Moderate,167,PM2.5
2020-12-16,Agartala,1.0,Moderate,182,PM2.5
2020-12-17,Agartala,1.0,Moderate,168,PM2.5
2020-12-18,Agartala,1.0,Moderate,179,PM2.5
2020-12-19,Agartala,1.0,Moderate,175,PM2.5
2020-12-20,Agartala,1.0,Poor,210,PM2.5
2020-12-21,Agartala,1.0,Moderate,169,PM2.5
2020-12-22,Agartala,1.0,Moderate,158,PM2.5
2020-12-23,Agartala,1.0,Moderate,190,PM2.5
2020-12-24,Agartala,1.0,Moderate,178,PM2.5
2020-12-25,Agartala,1.0,Satisfactory,94,PM2.5
2020-12-26,Agartala,1.0,Moderate,133,PM2.5
2020-12-27,Agartala,1.0,Moderate,158,PM2.5
2020-12-28,Agartala,1.0,Poor,213,PM2.5
2020-12-29,Agartala,1.0,Moderate,163,PM2.5
2021-01-02,Agartala,1.0,Moderate,115,PM2.5
2021-01-03,Agartala,1.0,Moderate,172,PM2.5
2021-01-04,Agartala,1.0,Moderate,170,PM2.5
2021-01-05,Agartala,1.0,Moderate,117,PM2.5
2021-01-06,Agartala,1.0,Moderate,120,PM2.5
2021-01-07,Agartala,1.0,Moderate,180,PM2.5
2021-01-08,Agartala,1.0,Poor,285,PM2.5
2021-01-09,Agartala,1.0,Very Poor,311,PM2.5
2021-01-10,Agartala,1.0,Very Poor,326,PM2.5
2021-01-11,Agartala,1.0,Very Poor,337,PM2.5
2021-01-12,Agartala,1.0,Poor,205,PM2.5
2021-01-13,Agartala,1.0,Moderate,156,PM2.5
2021-01-14,Agartala,1.0,Moderate,192,PM2.5
2021-01-15,Agartala,1.0,Moderate,129,PM2.5
2021-01-16,Agartala,1.0,Poor,235,PM2.5
2021-01-19,Agartala,1.0,Poor,272,PM2.5
2021-01-20,Agartala,1.0,Poor,253,PM2.5
2021-01-21,Agartala,1.0,Poor,216,PM2.5
2021-01-22,Agartala,1.0,Moderate,194,PM2.5
2021-01-23,Agartala,1.0,Poor,242,PM2.5
2021-01-24,Agartala,1.0,Poor,246,PM2.5
2021-01-25,Agartala,1.0,Moderate,120,PM2.5
2021-01-26,Agartala,1.0,Moderate,195,PM2.5
2021-01-27,Agartala,1.0,Moderate,189,PM2.5
2021-01-28,Agartala,1.0,Moderate,159,PM2.5
2021-01-29,Agartala,1.0,Moderate,188,PM2.5
2021-01-30,Agartala,1.0,Poor,226,PM2.5
2021-01-31,Agartala,1.0,Poor,241,PM2.5
2021-02-01,Agartala,1.0,Poor,226,PM2.5
2021-02-02,Agartala,1.0,Moderate,138,PM10
2021-02-03,Agartala,1.0,Poor,210,PM2.5
2021-02-04,Agartala,1.0,Moderate,180,PM2.5
2021-02-05,Agartala,1.0,Moderate,132,PM2.5
2021-02-06,Agartala,1.0,Moderate,112,PM2.5
2021-02-07,Agartala,1.0,Moderate,124,PM2.5
2021-02-08,Agartala,1.0,Moderate,133,PM2.5
2021-02-09,Agartala,1.0,Moderate,147,PM2.5
2021-02-10,Agartala,1.0,Moderate,175,PM2.5
2021-02-11,Agartala,1.0,Poor,260,PM2.5
2021-02-12,Agartala,1.0,Moderate,195,PM2.5
2021-02-13,Agartala,1.0,Poor,210,PM2.5
2021-02-14,Agartala,1.0,Poor,222,PM2.5
2021-02-15,Agartala,1.0,Moderate,178,PM2.5
2021-02-16,Agartala,1.0,Poor,213,PM2.5
2021-02-17,Agartala,1.0,Moderate,154,PM2.5
2021-02-18,Agartala,1.0,Moderate,155,PM2.5
2021-02-19,Agartala,1.0,Moderate,137,PM2.5
2021-02-20,Agartala,1.0,Moderate,150,PM2.5
2021-02-21,Agartala,1.0,Poor,223,PM2.5
2021-02-22,Agartala,1.0,Moderate,165,PM2.5
2021-02-23,Agartala,1.0,Moderate,153,PM2.5
2021-02-24,Agartala,1.0,Moderate,142,PM2.5
2021-02-25,Agartala,1.0,Moderate,149,PM2.5
2021-02-26,Agartala,1.0,Moderate,115,PM2.5
2021-02-27,Agartala,1.0,Satisfactory,87,PM2.5
