date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2015-05-01,Ahmedabad,,Moderate,168,PM2.5
2015-05-02,Ahmedabad,,Poor,225,PM2.5
2015-05-03,Ahmedabad,,Very poor,304,O3
2015-05-04,Ahmedabad,,Moderate,146,PM2.5
2015-05-05,Ahmedabad,,Moderate,193,O3
2015-05-06,Ahmedabad,,Satisfactory,90,PM2.5
2015-05-07,Ahmedabad,,Moderate,101,PM2.5
2015-05-08,Ahmedabad,,Satisfactory,66,PM2.5
2015-05-09,Ahmedabad,,Satisfactory,92,PM2.5
2015-05-10,Ahmedabad,,Moderate,101,PM2.5
2015-05-11,Ahmedabad,,Satisfactory,91,PM2.5
2015-05-12,Ahmedabad,,Moderate,123,PM2.5
2015-05-13,Ahmedabad,,Moderate,164,PM2.5
2015-05-14,Ahmedabad,,Moderate,146,PM2.5
2015-05-15,Ahmedabad,1.0,Poor,237,PM2.5
2015-05-16,Ahmedabad,1.0,Poor,231,PM2.5
2015-05-17,Ahmedabad,1.0,Poor,225,PM2.5
2015-05-18,Ahmedabad,1.0,Moderate,161,PM2.5
2015-05-19,Ahmedabad,1.0,Moderate,143,PM2.5
2015-05-23,Ahmedabad,1.0,Satisfactory,98,CO
2015-05-24,Ahmedabad,1.0,Satisfactory,72,PM2.5
2015-05-25,Ahmedabad,1.0,Moderate,110,PM2.5
2015-05-26,Ahmedabad,1.0,Satisfactory,93,PM2.5
2015-05-27,Ahmedabad,1.0,Satisfactory,69,PM2.5
2015-05-29,Ahmedabad,1.0,Satisfactory,79,PM2.5
2015-05-30,Ahmedabad,1.0,Moderate,138,PM2.5
2015-05-31,Ahmedabad,1.0,Moderate,101,PM2.5
2015-06-01,Ahmedabad,1.0,Moderate,113,PM2.5
2015-06-02,Ahmedabad,1.0,Satisfactory,80,PM2.5
2015-06-03,Ahmedabad,1.0,Moderate,172,PM2.5
2015-06-04,Ahmedabad,1.0,Satisfactory,66,O3
2015-06-05,Ahmedabad,1.0,Moderate,157,PM2.5
2015-06-06,Ahmedabad,1.0,Moderate,184,PM2.5
2015-06-07,Ahmedabad,1.0,Moderate,149,PM2.5
2015-06-08,Ahmedabad,1.0,Moderate,112,PM2.5
2015-06-09,Ahmedabad,1.0,Satisfactory,59,PM2.5
2015-06-10,Ahmedabad,1.0,Satisfactory,76,PM2.5
2015-06-11,Ahmedabad,1.0,Satisfactory,67,PM2.5
2015-06-13,Ahmedabad,1.0,Satisfactory,79,PM2.5
2015-06-15,Ahmedabad,1.0,Satisfactory,80,PM2.5
2015-06-16,Ahmedabad,1.0,Satisfactory,65,PM2.5
2015-06-17,Ahmedabad,1.0,Satisfactory,51,PM2.5
2015-06-18,Ahmedabad,1.0,Satisfactory,58,PM2.5
2015-06-19,Ahmedabad,1.0,Satisfactory,53,PM2.5
2015-06-20,Ahmedabad,1.0,Satisfactory,55,PM2.5
2015-06-21,Ahmedabad,1.0,Good,36,PM2.5
2015-06-22,Ahmedabad,1.0,Good,42,PM2.5
2015-06-23,Ahmedabad,1.0,Satisfactory,53,CO
2015-06-24,Ahmedabad,1.0,Good,45,CO
2015-06-25,Ahmedabad,1.0,Satisfactory,70,PM2.5
2015-06-26,Ahmedabad,1.0,Moderate,141,PM2.5
2015-06-27,Ahmedabad,1.0,Moderate,115,PM2.5
2015-06-28,Ahmedabad,1.0,Satisfactory,88,PM2.5
2015-07-01,Ahmedabad,1.0,Good,15,NO2
2015-07-02,Ahmedabad,1.0,Satisfactory,63,PM2.5
2015-07-03,Ahmedabad,1.0,Satisfactory,86,PM2.5
2015-07-04,Ahmedabad,1.0,Satisfactory,79,PM2.5
2015-07-05,Ahmedabad,1.0,Satisfactory,71,PM2.5
2015-07-06,Ahmedabad,1.0,Satisfactory,89,PM2.5
2015-07-07,Ahmedabad,1.0,Satisfactory,87,PM2.5
2015-07-08,Ahmedabad,1.0,Satisfactory,66,PM2.5
2015-07-09,Ahmedabad,1.0,Satisfactory,75,PM2.5
2015-07-10,Ahmedabad,1.0,Satisfactory,75,PM2.5
2015-07-11,Ahmedabad,1.0,Moderate,169,PM2.5
2015-07-12,Ahmedabad,1.0,Poor,241,PM2.5
2015-07-13,Ahmedabad,1.0,Moderate,195,PM2.5
2015-07-15,Ahmedabad,1.0,Moderate,149,PM2.5
2015-07-16,Ahmedabad,1.0,Moderate,112,PM2.5
2015-07-17,Ahmedabad,1.0,Satisfactory,89,PM2.5
2015-07-18,Ahmedabad,1.0,Satisfactory,93,PM2.5
2015-07-19,Ahmedabad,1.0,Satisfactory,60,PM2.5
2015-07-22,Ahmedabad,1.0,Satisfactory,91,PM2.5
