date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-03-19,Aizawl,1.0,Satisfactory,69,PM2.5
2020-03-20,Aizawl,1.0,Satisfactory,67,PM2.5
2020-03-22,Aizawl,1.0,Satisfactory,71,PM2.5
2020-03-23,Aizawl,1.0,Good,50,PM2.5
2020-03-24,Aizawl,1.0,Satisfactory,69,PM2.5
2020-03-25,Aizawl,1.0,Moderate,108,PM2.5
2020-03-26,Aizawl,1.0,Satisfactory,92,PM2.5
2020-03-27,Aizawl,1.0,Satisfactory,75,PM2.5
2020-03-28,Aizawl,1.0,Satisfactory,81,PM2.5
2020-03-29,Aizawl,1.0,Satisfactory,89,PM2.5
2020-03-30,Aizawl,1.0,Satisfactory,56,PM2.5
2020-03-31,Aizawl,1.0,Satisfactory,53,PM2.5
2020-04-01,Aizawl,1.0,Satisfactory,68,PM2.5
2020-04-02,Aizawl,1.0,Satisfactory,70,PM2.5
2020-04-03,Aizawl,1.0,Satisfactory,55,PM2.5
2020-04-04,Aizawl,1.0,Good,41,PM2.5
2020-04-05,Aizawl,1.0,Good,43,PM2.5
2020-04-06,Aizawl,1.0,Good,50,PM2.5
2020-04-08,Aizawl,1.0,Good,44,PM2.5
2020-04-11,Aizawl,1.0,Satisfactory,53,PM2.5
2020-04-12,Aizawl,1.0,Good,39,PM2.5
2020-04-13,Aizawl,1.0,Good,43,PM2.5
2020-04-14,Aizawl,1.0,Satisfactory,63,PM2.5
2020-04-15,Aizawl,1.0,Satisfactory,77,PM2.5
2020-04-16,Aizawl,1.0,Good,40,PM2.5
2020-04-17,Aizawl,1.0,Good,28,PM2.5
2020-04-18,Aizawl,1.0,Good,38,PM2.5
2020-04-19,Aizawl,1.0,Good,18,PM2.5
2020-04-20,Aizawl,1.0,Good,18,O3
2020-04-21,Aizawl,1.0,Good,24,PM10
2020-04-23,Aizawl,1.0,Good,18,PM2.5
2020-04-24,Aizawl,1.0,Good,13,PM10
2020-04-25,Aizawl,1.0,Good,11,CO
2020-04-26,Aizawl,1.0,Good,9,SO2
2020-04-27,Aizawl,1.0,Good,13,CO
2020-04-28,Aizawl,1.0,Good,14,CO
2020-05-01,Aizawl,1.0,Good,15,CO
2020-05-02,Aizawl,1.0,Good,18,PM2.5
2020-05-03,Aizawl,1.0,Good,10,CO
2020-05-04,Aizawl,1.0,Good,13,CO
2020-05-05,Aizawl,1.0,Good,15,PM2.5
2020-05-06,Aizawl,1.0,Good,14,PM2.5
2020-05-07,Aizawl,1.0,Good,13,CO
2020-05-08,Aizawl,1.0,Good,19,PM2.5
2020-05-09,Aizawl,1.0,Good,22,PM2.5
