date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-13,Akola,1.0,Satisfactory,73,PM10
2023-06-14,Akola,1.0,Satisfactory,78,PM10
2023-06-15,Akola,1.0,Satisfactory,92,PM10
2023-06-16,Akola,1.0,Moderate,101,PM10
2023-06-17,Akola,1.0,Moderate,104,PM10
2023-06-18,Akola,1.0,Moderate,114,PM10
2023-06-19,Akola,1.0,Moderate,127,PM10
2023-06-20,Akola,1.0,Moderate,109,PM10
2023-06-21,Akola,1.0,Moderate,101,PM10
2023-06-22,Akola,1.0,Satisfactory,92,PM10
2023-06-23,Akola,1.0,Satisfactory,84,PM10
2023-06-27,Akola,1.0,Satisfactory,95,PM10
2023-07-01,Akola,1.0,Good,39,PM10
2023-07-02,Akola,1.0,Good,40,PM10
2023-07-03,Akola,1.0,Good,43,PM10
2023-07-04,Akola,1.0,Satisfactory,85,PM10
2023-07-05,Akola,1.0,Good,39,PM10
2023-07-06,Akola,1.0,Good,31,PM10
2023-07-07,Akola,1.0,Good,37,PM10
2023-07-08,Akola,1.0,Good,48,PM10
2023-07-09,Akola,1.0,Satisfactory,61,PM10
2023-07-10,Akola,1.0,Satisfactory,53,PM10
2023-07-11,Akola,1.0,Satisfactory,71,PM10
2023-07-12,Akola,1.0,Good,48,PM10
2023-07-13,Akola,1.0,Good,47,PM10
2023-07-14,Akola,1.0,Satisfactory,68,PM10
2023-07-15,Akola,1.0,Satisfactory,53,PM10
2023-07-16,Akola,1.0,Good,48,PM10
2023-07-17,Akola,1.0,Good,46,PM10
2023-07-18,Akola,1.0,Good,50,PM10
2023-07-19,Akola,1.0,Good,40,PM10
2023-07-20,Akola,1.0,Good,31,PM10
2023-07-21,Akola,1.0,Good,47,PM10
2023-07-22,Akola,1.0,Good,36,PM10
2023-07-23,Akola,1.0,Good,32,CO
2023-07-24,Akola,1.0,Good,34,PM10
2023-07-25,Akola,1.0,Good,37,PM10
2023-07-26,Akola,1.0,Good,48,PM10
2023-07-27,Akola,1.0,Good,47,PM10
2023-07-28,Akola,1.0,Good,40,PM10
2023-07-29,Akola,1.0,Good,45,PM10
2023-07-30,Akola,1.0,Good,49,PM10
2023-07-31,Akola,1.0,Satisfactory,53,PM10
2023-08-01,Akola,1.0,Good,49,PM10
2023-08-02,Akola,1.0,Good,46,PM10
2023-08-03,Akola,1.0,Good,50,PM10
2023-08-04,Akola,1.0,Satisfactory,55,PM10
2023-08-05,Akola,1.0,Satisfactory,57,PM10
2023-08-06,Akola,1.0,Good,47,PM10
2023-08-07,Akola,1.0,Satisfactory,60,PM10
2023-08-08,Akola,1.0,Satisfactory,76,PM10
2023-08-09,Akola,1.0,Moderate,103,PM10
2023-08-10,Akola,1.0,Satisfactory,83,PM10
2023-08-11,Akola,1.0,Satisfactory,68,PM10
2023-08-12,Akola,1.0,Satisfactory,71,PM10
2023-08-13,Akola,1.0,Satisfactory,62,PM10
2023-08-14,Akola,1.0,Satisfactory,67,PM10
2023-08-15,Akola,1.0,Satisfactory,78,PM10
2023-08-16,Akola,1.0,Satisfactory,71,PM10
2023-08-17,Akola,1.0,Satisfactory,85,PM10
2023-08-18,Akola,1.0,Satisfactory,81,PM10
2023-08-19,Akola,1.0,Satisfactory,66,PM10
2023-08-20,Akola,1.0,Satisfactory,51,PM10
2023-08-21,Akola,1.0,Satisfactory,63,PM10
2023-08-22,Akola,1.0,Satisfactory,82,PM10
2023-08-23,Akola,1.0,Good,47,PM10
2023-08-24,Akola,1.0,Good,49,PM10
2023-08-25,Akola,1.0,Satisfactory,51,PM10
2023-08-26,Akola,1.0,Satisfactory,55,PM10
2023-08-27,Akola,1.0,Good,46,PM10
2023-08-29,Akola,1.0,Moderate,115,PM10
2023-08-30,Akola,1.0,Moderate,114,PM10
2023-08-31,Akola,1.0,Moderate,124,PM10
2023-09-01,Akola,1.0,Moderate,110,PM10
2023-09-02,Akola,1.0,Moderate,120,PM10
2023-09-03,Akola,1.0,Moderate,110,PM10
2023-09-04,Akola,1.0,Satisfactory,94,PM10
2023-09-05,Akola,1.0,Satisfactory,88,PM10
2023-09-06,Akola,1.0,Satisfactory,83,PM10
2023-09-07,Akola,1.0,Good,46,PM10
2023-09-08,Akola,1.0,Good,36,PM10
2023-09-09,Akola,1.0,Good,30,PM10
2023-09-10,Akola,1.0,Good,44,PM10
2023-09-11,Akola,1.0,Satisfactory,58,PM10
2023-09-12,Akola,1.0,Satisfactory,62,PM10
2023-09-13,Akola,1.0,Satisfactory,66,PM10
2023-09-14,Akola,1.0,Satisfactory,58,PM10
2023-09-15,Akola,1.0,Good,34,PM10
2023-09-16,Akola,1.0,Good,35,CO
2023-09-17,Akola,1.0,Good,48,PM10
2023-09-18,Akola,1.0,Good,37,PM2.5
2023-09-19,Akola,1.0,Satisfactory,62,PM10
2023-09-20,Akola,1.0,Satisfactory,61,PM10
2023-09-21,Akola,1.0,Satisfactory,62,PM10
2023-09-22,Akola,1.0,Good,36,CO
2023-09-23,Akola,1.0,Satisfactory,52,PM10
2023-09-24,Akola,1.0,Good,48,PM10
2023-09-25,Akola,1.0,Satisfactory,52,PM10
2023-09-26,Akola,1.0,Satisfactory,60,PM10
2023-09-27,Akola,1.0,Good,48,PM2.5
2023-09-28,Akola,1.0,Satisfactory,79,PM10
2023-09-29,Akola,1.0,Satisfactory,63,PM10
2023-09-30,Akola,1.0,Good,48,PM2.5
2023-10-01,Akola,1.0,Satisfactory,70,PM10
2023-10-02,Akola,1.0,Moderate,123,PM10
2023-10-03,Akola,1.0,Moderate,122,PM10
2023-10-04,Akola,1.0,Moderate,151,PM2.5
2023-10-05,Akola,1.0,Moderate,114,PM10
2023-10-06,Akola,1.0,Moderate,106,PM10
2023-10-07,Akola,1.0,Moderate,123,PM10
2023-10-08,Akola,1.0,Moderate,132,PM2.5
2023-10-09,Akola,1.0,Moderate,121,PM2.5
2023-10-10,Akola,1.0,Moderate,130,PM2.5
2023-10-11,Akola,1.0,Moderate,146,PM2.5
2023-10-12,Akola,1.0,Moderate,142,PM2.5
2023-10-13,Akola,1.0,Moderate,152,PM2.5
2023-10-14,Akola,1.0,Moderate,188,PM2.5
2023-10-15,Akola,1.0,Moderate,183,PM2.5
2023-10-16,Akola,1.0,Poor,229,PM2.5
2023-10-17,Akola,1.0,Poor,261,PM2.5
2023-10-18,Akola,1.0,Poor,215,PM2.5
2023-10-19,Akola,1.0,Moderate,197,PM2.5
2023-10-21,Akola,1.0,Moderate,155,PM2.5
2023-10-22,Akola,1.0,Moderate,142,PM2.5
2023-10-23,Akola,1.0,Moderate,134,PM10
2023-10-24,Akola,1.0,Moderate,104,PM10
