date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-01-23,Ambala,1.0,Satisfactory,70,PM10
2019-01-24,Ambala,1.0,Moderate,121,PM10
2019-01-26,Ambala,1.0,Moderate,109,PM10
2019-01-27,Ambala,1.0,Satisfactory,91,PM10
2019-01-28,Ambala,1.0,Moderate,103,PM10
2019-01-29,Ambala,1.0,Moderate,121,PM10
2019-01-30,Ambala,1.0,Moderate,132,PM10
2019-01-31,Ambala,1.0,Moderate,181,PM10
2019-02-01,Ambala,1.0,Moderate,124,PM10
2019-02-02,Ambala,1.0,Moderate,112,PM10
2019-02-03,Ambala,1.0,Satisfactory,85,PM10
2019-02-04,Ambala,1.0,Moderate,156,PM2.5
2019-02-05,Ambala,1.0,Moderate,186,PM10
2019-02-06,Ambala,1.0,Moderate,178,PM10
2019-02-07,Ambala,1.0,Satisfactory,96,PM10
2019-02-08,Ambala,1.0,Good,43,OZONE
2019-02-09,Ambala,1.0,Satisfactory,75,PM10
2019-02-10,Ambala,1.0,Moderate,126,PM10
2019-02-11,Ambala,1.0,Moderate,124,PM10
2019-02-12,Ambala,1.0,Moderate,152,PM10
2019-02-13,Ambala,1.0,Moderate,166,OZONE
2019-02-14,Ambala,1.0,Moderate,176,PM10
2019-02-15,Ambala,1.0,Satisfactory,54,PM10
2019-02-16,Ambala,1.0,Satisfactory,87,PM10
2019-02-17,Ambala,1.0,Satisfactory,90,PM10
2019-02-18,Ambala,1.0,Moderate,113,PM10
2019-02-19,Ambala,1.0,Satisfactory,71,SO2
2019-02-20,Ambala,1.0,Satisfactory,100,PM10
2019-02-21,Ambala,1.0,Satisfactory,69,PM10
2019-02-22,Ambala,1.0,Satisfactory,97,PM10
2019-02-23,Ambala,1.0,Satisfactory,71,PM10
2019-02-24,Ambala,1.0,Moderate,103,PM10
2019-02-25,Ambala,1.0,Moderate,121,PM10
2019-02-26,Ambala,1.0,Moderate,113,PM10
2019-02-28,Ambala,1.0,Satisfactory,68,PM10
2019-03-01,Ambala,1.0,Satisfactory,88,PM10
2019-03-02,Ambala,1.0,Moderate,101,PM10
2019-03-03,Ambala,1.0,Satisfactory,69,PM10
2019-03-04,Ambala,1.0,Satisfactory,74,PM10
2019-03-05,Ambala,1.0,Satisfactory,79,PM10
2019-03-06,Ambala,1.0,Moderate,106,PM10
2019-03-07,Ambala,1.0,Satisfactory,94,PM10
2019-03-08,Ambala,1.0,Satisfactory,98,PM10
2019-03-09,Ambala,1.0,Satisfactory,98,PM10
2019-03-10,Ambala,1.0,Moderate,153,OZONE
2019-03-11,Ambala,1.0,Moderate,111,PM10
2019-03-12,Ambala,1.0,Satisfactory,75,OZONE
2019-03-13,Ambala,1.0,Moderate,133,PM10
2019-03-15,Ambala,1.0,Satisfactory,73,PM10
2019-03-16,Ambala,1.0,Satisfactory,94,PM10
2019-03-17,Ambala,1.0,Satisfactory,99,PM10
2019-03-18,Ambala,1.0,Moderate,111,PM10
2019-03-19,Ambala,1.0,Moderate,106,PM10
2019-03-20,Ambala,1.0,Moderate,119,PM10
2019-03-21,Ambala,1.0,Moderate,113,PM10
2019-03-22,Ambala,1.0,Satisfactory,80,PM10
2019-03-23,Ambala,1.0,Satisfactory,100,PM10
2019-03-24,Ambala,1.0,Satisfactory,96,PM10
2019-03-25,Ambala,1.0,Moderate,110,PM10
2019-03-26,Ambala,1.0,Satisfactory,93,PM10
2019-03-27,Ambala,1.0,Moderate,112,PM10
2019-03-28,Ambala,1.0,Moderate,184,OZONE
2019-03-29,Ambala,1.0,Moderate,135,OZONE
2019-03-30,Ambala,1.0,Moderate,156,PM10
2019-03-31,Ambala,1.0,Moderate,132,PM10
2019-04-01,Ambala,1.0,Moderate,151,OZONE
2019-04-02,Ambala,1.0,Moderate,177,OZONE
2019-04-03,Ambala,1.0,Moderate,174,OZONE
2019-04-04,Ambala,1.0,Moderate,188,OZONE
2019-04-05,Ambala,1.0,Moderate,194,OZONE
2019-04-06,Ambala,1.0,Moderate,178,OZONE
2019-04-07,Ambala,1.0,Moderate,151,PM10
2019-04-08,Ambala,1.0,Poor,220,PM10
2019-04-09,Ambala,1.0,Poor,241,OZONE
2019-04-10,Ambala,1.0,Moderate,119,PM10
2019-04-12,Ambala,1.0,Moderate,135,PM10
2019-04-13,Ambala,1.0,Moderate,121,PM10
2019-04-14,Ambala,1.0,Moderate,121,PM10
2019-04-15,Ambala,1.0,Moderate,110,PM10
2019-04-16,Ambala,1.0,Moderate,144,PM10
2019-04-17,Ambala,1.0,Satisfactory,89,PM10
2019-04-18,Ambala,1.0,Satisfactory,83,OZONE
2019-04-19,Ambala,1.0,Satisfactory,95,OZONE
2019-04-20,Ambala,1.0,Moderate,176,OZONE
2019-04-21,Ambala,1.0,Moderate,177,OZONE
2019-04-22,Ambala,1.0,Moderate,197,OZONE
2019-04-23,Ambala,1.0,Poor,248,OZONE
2019-04-24,Ambala,1.0,Poor,222,OZONE
2019-04-25,Ambala,1.0,Moderate,175,OZONE
2019-04-26,Ambala,1.0,Moderate,152,PM2.5
2019-04-27,Ambala,1.0,Moderate,151,PM10
2019-04-28,Ambala,1.0,Moderate,168,PM10
2019-04-29,Ambala,1.0,Moderate,169,OZONE
2019-04-30,Ambala,1.0,Poor,236,OZONE
2019-05-01,Ambala,1.0,Poor,224,OZONE
2019-05-02,Ambala,1.0,Moderate,130,OZONE
2019-05-03,Ambala,1.0,Moderate,173,OZONE
2019-05-04,Ambala,1.0,Moderate,183,OZONE
2019-05-05,Ambala,1.0,Moderate,158,OZONE
2019-05-06,Ambala,1.0,Moderate,156,OZONE
2019-05-07,Ambala,1.0,Moderate,176,OZONE
2019-05-08,Ambala,1.0,Moderate,180,OZONE
2019-05-09,Ambala,1.0,Moderate,184,OZONE
2019-05-10,Ambala,1.0,Poor,258,PM10
2019-05-11,Ambala,1.0,Moderate,192,OZONE
2019-05-12,Ambala,1.0,Moderate,172,OZONE
2019-05-13,Ambala,1.0,Poor,239,OZONE
2019-05-14,Ambala,1.0,Moderate,171,OZONE
2019-05-15,Ambala,1.0,Moderate,151,PM2.5
2019-05-16,Ambala,1.0,Poor,217,PM2.5
2019-05-17,Ambala,1.0,Poor,286,PM2.5
2019-05-18,Ambala,1.0,Moderate,170,OZONE
2019-05-19,Ambala,1.0,Moderate,168,OZONE
2019-05-20,Ambala,1.0,Moderate,191,PM2.5
2019-05-21,Ambala,1.0,Poor,204,PM2.5
2019-05-22,Ambala,1.0,Poor,204,PM2.5
2019-05-23,Ambala,1.0,Moderate,193,PM10
2019-05-24,Ambala,1.0,Moderate,108,PM10
2019-05-25,Ambala,1.0,Moderate,163,OZONE
2019-05-26,Ambala,1.0,Moderate,194,OZONE
2019-05-27,Ambala,1.0,Moderate,192,OZONE
2019-05-28,Ambala,1.0,Moderate,190,OZONE
2019-05-29,Ambala,1.0,Moderate,177,OZONE
2019-05-30,Ambala,1.0,Moderate,173,OZONE
2019-05-31,Ambala,1.0,Moderate,158,OZONE
2019-06-01,Ambala,1.0,Moderate,166,PM10
2019-06-02,Ambala,1.0,Moderate,161,PM10
2019-06-03,Ambala,1.0,Moderate,148,PM10
2019-06-04,Ambala,1.0,Moderate,155,OZONE
2019-06-05,Ambala,1.0,Moderate,194,OZONE
2019-06-06,Ambala,1.0,Moderate,156,PM10
2019-06-07,Ambala,1.0,Moderate,186,OZONE
2019-06-08,Ambala,1.0,Moderate,195,OZONE
2019-06-09,Ambala,1.0,Moderate,172,OZONE
2019-06-10,Ambala,1.0,Moderate,169,OZONE
2019-06-11,Ambala,1.0,Moderate,162,PM10
2019-06-12,Ambala,1.0,Moderate,133,PM10
2019-06-13,Ambala,1.0,Moderate,143,PM10
2019-06-14,Ambala,1.0,Poor,255,OZONE
2019-06-15,Ambala,1.0,Poor,210,OZONE
2019-06-16,Ambala,1.0,Moderate,153,PM10
2019-06-17,Ambala,1.0,Moderate,134,PM10
2019-06-18,Ambala,1.0,Satisfactory,70,OZONE
2019-06-19,Ambala,1.0,Moderate,186,OZONE
2019-06-20,Ambala,1.0,Poor,209,OZONE
2019-06-21,Ambala,1.0,Poor,270,OZONE
2019-06-22,Ambala,1.0,Poor,255,OZONE
2019-06-23,Ambala,1.0,Poor,212,OZONE
2019-06-24,Ambala,1.0,Moderate,153,PM2.5
2019-06-25,Ambala,1.0,Moderate,131,PM2.5
2019-06-26,Ambala,1.0,Moderate,158,OZONE
2019-06-27,Ambala,1.0,Poor,232,PM2.5
2019-06-28,Ambala,1.0,Moderate,178,PM2.5
2019-06-29,Ambala,1.0,Moderate,172,PM10
2019-06-30,Ambala,1.0,Moderate,168,PM2.5
2019-07-01,Ambala,1.0,Moderate,132,PM10
2019-07-02,Ambala,1.0,Moderate,130,PM10
2019-07-03,Ambala,1.0,Moderate,118,PM10
2019-07-04,Ambala,1.0,Satisfactory,92,PM10
2019-07-05,Ambala,1.0,Satisfactory,75,OZONE
2019-07-06,Ambala,1.0,Satisfactory,78,OZONE
2019-07-07,Ambala,1.0,Satisfactory,68,OZONE
2019-07-08,Ambala,1.0,Satisfactory,76,OZONE
2019-07-09,Ambala,1.0,Satisfactory,71,PM10
2019-07-10,Ambala,1.0,Satisfactory,73,PM10
2019-07-11,Ambala,1.0,Moderate,139,PM10
2019-07-12,Ambala,1.0,Satisfactory,85,PM10
2019-07-13,Ambala,1.0,Moderate,171,PM10
2019-07-14,Ambala,1.0,Moderate,129,PM10
2019-07-17,Ambala,1.0,Satisfactory,66,PM10
2019-07-18,Ambala,1.0,Satisfactory,96,PM10
2019-07-19,Ambala,1.0,Moderate,108,PM10
2019-07-20,Ambala,1.0,Moderate,109,PM10
2019-07-21,Ambala,1.0,Moderate,104,PM2.5
2019-07-22,Ambala,1.0,Satisfactory,74,PM10
2019-07-23,Ambala,1.0,Satisfactory,99,PM10
2019-07-24,Ambala,1.0,Moderate,133,PM2.5
2019-07-25,Ambala,1.0,Satisfactory,83,PM10
2019-07-26,Ambala,1.0,Satisfactory,54,PM10
2019-07-27,Ambala,1.0,Good,44,PM10
2019-07-28,Ambala,1.0,Good,41,PM10
2019-07-29,Ambala,1.0,Good,41,OZONE
2019-07-30,Ambala,1.0,Satisfactory,62,PM10
2019-07-31,Ambala,1.0,Good,48,PM10
2019-08-01,Ambala,1.0,Satisfactory,90,PM10
2019-08-02,Ambala,1.0,Satisfactory,66,PM10
2019-08-03,Ambala,1.0,Satisfactory,77,PM10
2019-08-04,Ambala,1.0,Satisfactory,74,PM10
2019-08-05,Ambala,1.0,Satisfactory,71,PM10
2019-08-06,Ambala,1.0,Satisfactory,72,PM10
2019-08-07,Ambala,1.0,Satisfactory,61,PM10
2019-08-08,Ambala,1.0,Satisfactory,75,PM10
2019-08-09,Ambala,1.0,Satisfactory,59,PM10
2019-08-10,Ambala,1.0,Satisfactory,52,PM10
2019-08-11,Ambala,1.0,Satisfactory,61,PM10
2019-08-12,Ambala,1.0,Satisfactory,82,PM2.5
2019-08-13,Ambala,1.0,Satisfactory,72,PM10
2019-08-14,Ambala,1.0,Good,37,OZONE
2019-08-15,Ambala,1.0,Satisfactory,94,PM10
2019-08-16,Ambala,1.0,Good,50,PM10
2019-08-17,Ambala,1.0,Good,43,PM10
2019-08-18,Ambala,1.0,Good,37,SO2
