date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-01,Amravati,2.0,Moderate,112,PM10
2023-06-02,Amravati,2.0,Moderate,108,PM10
2023-06-03,Amravati,2.0,Moderate,108,PM10
2023-06-04,Amravati,2.0,Moderate,106,PM10
2023-06-05,Amravati,2.0,Satisfactory,76,PM10
2023-06-06,Amravati,2.0,Moderate,110,PM10
2023-06-07,Amravati,2.0,Moderate,102,PM10
2023-06-08,Amravati,2.0,Moderate,111,PM10
2023-06-09,Amravati,2.0,Satisfactory,84,PM10
2023-06-10,Amravati,2.0,Satisfactory,86,PM10
2023-06-11,Amravati,2.0,Satisfactory,70,PM10
2023-06-12,Amravati,2.0,Satisfactory,70,PM10
2023-06-13,Amravati,2.0,Satisfactory,72,PM10
2023-06-14,Amravati,2.0,Satisfactory,90,PM10
2023-06-15,Amravati,2.0,Satisfactory,87,PM10
2023-06-16,Amravati,2.0,Satisfactory,98,PM10
2023-06-17,Amravati,2.0,Moderate,101,PM10
2023-06-18,Amravati,2.0,Moderate,124,PM10
2023-06-19,Amravati,2.0,Moderate,132,PM10
2023-06-20,Amravati,2.0,Satisfactory,100,PM10
2023-06-21,Amravati,2.0,Satisfactory,96,PM10
2023-06-22,Amravati,2.0,Satisfactory,86,PM10
2023-06-23,Amravati,2.0,Satisfactory,85,PM10
2023-06-24,Amravati,2.0,Satisfactory,56,PM10
2023-06-25,Amravati,2.0,Good,50,PM10
2023-06-26,Amravati,2.0,Satisfactory,58,PM10
2023-06-27,Amravati,2.0,Good,41,"CO, PM10"
2023-06-28,Amravati,2.0,Good,38,"CO, PM10"
2023-06-29,Amravati,2.0,Good,44,"CO, PM10"
2023-06-30,Amravati,2.0,Good,39,"CO, O3"
2023-07-01,Amravati,2.0,Good,38,"CO, O3"
2023-07-02,Amravati,2.0,Good,38,"CO, PM10"
2023-07-03,Amravati,2.0,Good,40,"CO, PM10"
2023-07-04,Amravati,2.0,Satisfactory,51,PM10
2023-07-05,Amravati,2.0,Good,36,"O3, PM10"
2023-07-06,Amravati,2.0,Good,39,O3
2023-07-07,Amravati,2.0,Good,30,PM10
2023-07-08,Amravati,2.0,Good,28,"PM10, PM2.5"
2023-07-09,Amravati,2.0,Good,38,PM10
2023-07-10,Amravati,2.0,Good,45,PM10
2023-07-11,Amravati,2.0,Good,50,PM10
2023-07-12,Amravati,2.0,Good,35,PM10
2023-07-13,Amravati,2.0,Good,38,PM10
2023-07-14,Amravati,2.0,Good,50,PM10
2023-07-15,Amravati,2.0,Good,50,PM10
2023-07-16,Amravati,2.0,Good,35,PM10
2023-07-17,Amravati,2.0,Good,34,PM10
2023-07-18,Amravati,2.0,Good,36,PM10
2023-07-19,Amravati,2.0,Good,28,PM10
2023-07-20,Amravati,2.0,Good,28,"O3, PM10"
2023-07-21,Amravati,2.0,Good,30,PM10
