date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2017-03-07,Amritsar,1.0,Satisfactory,72,PM2.5
2017-03-08,Amritsar,1.0,Satisfactory,71,PM2.5
2017-03-09,Amritsar,1.0,Satisfactory,53,PM2.5
2017-03-10,Amritsar,1.0,Satisfactory,62,PM2.5
2017-03-11,Amritsar,1.0,Satisfactory,52,PM2.5
2017-03-12,Amritsar,1.0,Satisfactory,56,PM10
2017-03-13,Amritsar,1.0,Satisfactory,76,PM10
2017-03-14,Amritsar,1.0,Satisfactory,81,PM2.5
2017-03-15,Amritsar,1.0,Satisfactory,92,PM2.5
2017-03-16,Amritsar,1.0,Satisfactory,78,PM10
2017-03-17,Amritsar,1.0,Moderate,163,PM2.5
2017-03-19,Amritsar,1.0,Moderate,151,PM2.5
2017-03-20,Amritsar,1.0,Moderate,134,PM2.5
2017-03-21,Amritsar,1.0,Moderate,105,PM2.5
2017-03-22,Amritsar,1.0,Satisfactory,99,PM2.5
2017-03-23,Amritsar,1.0,Satisfactory,79,PM10
2017-03-24,Amritsar,1.0,Satisfactory,71,PM10
2017-03-25,Amritsar,1.0,Moderate,114,PM2.5
2017-03-26,Amritsar,1.0,Satisfactory,84,PM2.5
2017-03-27,Amritsar,1.0,Satisfactory,74,PM10
2017-03-28,Amritsar,1.0,Moderate,116,PM2.5
2017-03-29,Amritsar,1.0,Satisfactory,70,PM2.5
2017-03-30,Amritsar,1.0,Satisfactory,73,PM10
2017-03-31,Amritsar,1.0,Moderate,114,PM2.5
2017-04-01,Amritsar,1.0,Good,49,CO
2017-04-02,Amritsar,1.0,Good,40,NO2
2017-04-03,Amritsar,1.0,Satisfactory,83,PM10
2017-04-04,Amritsar,1.0,Satisfactory,72,PM2.5
2017-04-05,Amritsar,1.0,Satisfactory,58,PM10
2017-04-09,Amritsar,1.0,Satisfactory,53,NO2
2017-04-10,Amritsar,1.0,Satisfactory,54,PM10
2017-04-11,Amritsar,1.0,Satisfactory,72,PM2.5
2017-04-14,Amritsar,1.0,Satisfactory,51,PM2.5
2017-04-15,Amritsar,1.0,Good,46,CO
2017-04-16,Amritsar,1.0,Good,46,CO
2017-04-17,Amritsar,1.0,Satisfactory,87,PM10
2017-04-18,Amritsar,1.0,Poor,206,PM2.5
2017-04-19,Amritsar,1.0,Satisfactory,97,PM10
2017-04-25,Amritsar,1.0,Good,42,PM2.5
2017-04-26,Amritsar,1.0,Good,47,PM2.5
2017-04-27,Amritsar,1.0,Good,42,PM2.5
