date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-08-27,Anantapur,1.0,Good,42,PM2.5
2022-08-28,Anantapur,1.0,Good,44,PM2.5
2022-08-29,Anantapur,1.0,Satisfactory,56,PM10
2022-08-31,Anantapur,1.0,Satisfactory,84,PM2.5
2022-09-01,Anantapur,1.0,Good,48,PM2.5
2022-09-05,Anantapur,1.0,Satisfactory,52,PM2.5
2022-09-06,Anantapur,1.0,Good,49,PM2.5
2022-09-07,Anantapur,1.0,Good,44,PM10
2022-09-08,Anantapur,1.0,Good,46,CO
2022-09-09,Anantapur,1.0,Satisfactory,51,PM10
2022-09-10,Anantapur,1.0,Good,47,PM10
2022-09-11,Anantapur,1.0,Good,47,PM10
2022-09-12,Anantapur,1.0,Satisfactory,55,PM10
2022-09-13,Anantapur,1.0,Satisfactory,59,PM10
2022-09-14,Anantapur,1.0,Satisfactory,53,PM10
2022-09-16,Anantapur,1.0,Satisfactory,58,PM10
2022-09-17,Anantapur,1.0,Good,49,PM10
2022-09-18,Anantapur,1.0,Satisfactory,59,PM10
2022-09-19,Anantapur,1.0,Satisfactory,54,PM10
2022-09-20,Anantapur,1.0,Satisfactory,76,PM10
2022-09-21,Anantapur,1.0,Satisfactory,68,PM10
2022-09-22,Anantapur,1.0,Moderate,110,PM10
2022-09-23,Anantapur,1.0,Satisfactory,79,PM10
2022-09-24,Anantapur,1.0,Satisfactory,66,PM10
2022-09-25,Anantapur,1.0,Satisfactory,86,PM10
2022-09-26,Anantapur,1.0,Satisfactory,97,PM10
2022-09-27,Anantapur,1.0,Satisfactory,62,PM10
2022-09-28,Anantapur,1.0,Satisfactory,72,PM10
2022-09-29,Anantapur,1.0,Satisfactory,61,PM2.5
2022-09-30,Anantapur,1.0,Satisfactory,61,PM2.5
2022-10-01,Anantapur,1.0,Satisfactory,53,PM2.5
2022-10-02,Anantapur,1.0,Satisfactory,60,PM2.5
2022-10-03,Anantapur,1.0,Satisfactory,90,PM2.5
2022-10-04,Anantapur,1.0,Satisfactory,82,PM10
2022-10-05,Anantapur,1.0,Satisfactory,93,PM10
2022-10-06,Anantapur,1.0,Satisfactory,87,PM2.5
2022-10-07,Anantapur,1.0,Satisfactory,67,PM2.5
2022-10-08,Anantapur,1.0,Satisfactory,56,PM10
2022-10-09,Anantapur,1.0,Satisfactory,73,PM10
2022-10-10,Anantapur,1.0,Satisfactory,54,PM2.5
2022-10-11,Anantapur,1.0,Good,44,CO
2022-10-12,Anantapur,1.0,Satisfactory,58,O3
2022-10-13,Anantapur,1.0,Good,44,O3
2022-10-14,Anantapur,1.0,Good,39,O3
2022-10-15,Anantapur,1.0,Satisfactory,52,PM10
2022-10-16,Anantapur,1.0,Good,43,PM2.5
2022-10-17,Anantapur,1.0,Good,38,PM2.5
2022-10-18,Anantapur,1.0,Satisfactory,52,PM10
2022-10-19,Anantapur,1.0,Good,50,PM10
2022-10-20,Anantapur,1.0,Satisfactory,69,PM10
2022-10-21,Anantapur,1.0,Satisfactory,57,O3
2022-10-22,Anantapur,1.0,Satisfactory,76,PM2.5
2022-10-23,Anantapur,1.0,Moderate,103,PM2.5
2022-10-24,Anantapur,1.0,Moderate,118,PM2.5
2022-10-25,Anantapur,1.0,Moderate,191,PM2.5
2022-10-26,Anantapur,1.0,Moderate,163,PM2.5
2022-10-27,Anantapur,1.0,Moderate,156,PM2.5
2022-10-28,Anantapur,1.0,Moderate,105,PM2.5
2022-10-29,Anantapur,1.0,Satisfactory,90,PM2.5
2022-10-30,Anantapur,1.0,Moderate,109,PM2.5
