date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-02-05,Ankleshwar,1.0,Poor,207,PM2.5
2019-02-06,Ankleshwar,1.0,Moderate,185,PM2.5
2019-02-07,Ankleshwar,1.0,Satisfactory,94,PM10
2019-02-08,Ankleshwar,1.0,Moderate,175,PM10
2019-02-09,Ankleshwar,1.0,Poor,230,PM10
2019-02-10,Ankleshwar,1.0,Moderate,133,PM10
2019-02-11,Ankleshwar,1.0,Moderate,133,PM2.5
2019-02-12,Ankleshwar,1.0,Moderate,184,PM2.5
2019-02-13,Ankleshwar,1.0,Poor,203,PM2.5
2019-02-14,Ankleshwar,1.0,Moderate,102,PM10
2019-02-15,Ankleshwar,1.0,Moderate,190,PM2.5
2019-02-16,Ankleshwar,1.0,Moderate,135,PM2.5
2019-02-17,Ankleshwar,1.0,Moderate,126,PM2.5
2019-02-18,Ankleshwar,1.0,Poor,214,PM2.5
2019-02-20,Ankleshwar,1.0,Moderate,200,PM2.5
2019-02-21,Ankleshwar,1.0,Moderate,183,PM2.5
2019-02-22,Ankleshwar,1.0,Moderate,160,PM2.5
2019-02-23,Ankleshwar,1.0,Moderate,116,PM10
2019-02-24,Ankleshwar,1.0,Moderate,117,PM10
2019-02-25,Ankleshwar,1.0,Moderate,151,PM2.5
2019-02-26,Ankleshwar,1.0,Moderate,121,PM2.5
2019-02-27,Ankleshwar,1.0,Moderate,110,PM10
2019-02-28,Ankleshwar,1.0,Moderate,123,PM10
2019-03-01,Ankleshwar,1.0,Moderate,121,PM10
2019-03-02,Ankleshwar,1.0,Moderate,127,PM10
2019-03-03,Ankleshwar,1.0,Moderate,106,PM10
2019-03-04,Ankleshwar,1.0,Satisfactory,86,PM10
2019-03-05,Ankleshwar,1.0,Moderate,115,PM10
2019-03-06,Ankleshwar,1.0,Moderate,129,PM10
2019-03-07,Ankleshwar,1.0,Moderate,137,PM2.5
2019-03-08,Ankleshwar,1.0,Moderate,139,PM2.5
2019-03-09,Ankleshwar,1.0,Moderate,115,PM10
2019-03-10,Ankleshwar,1.0,Moderate,141,PM10
2019-03-11,Ankleshwar,1.0,Moderate,103,PM10
2019-03-12,Ankleshwar,1.0,Moderate,122,PM2.5
2019-03-13,Ankleshwar,1.0,Moderate,124,PM10
2019-03-14,Ankleshwar,1.0,Moderate,101,PM10
2019-03-15,Ankleshwar,1.0,Moderate,171,PM10
2019-03-16,Ankleshwar,1.0,Moderate,134,PM10
2019-03-17,Ankleshwar,1.0,Moderate,126,PM10
2019-03-18,Ankleshwar,1.0,Moderate,170,PM2.5
2019-03-19,Ankleshwar,1.0,Moderate,143,PM2.5
2019-03-20,Ankleshwar,1.0,Moderate,114,PM10
2019-03-21,Ankleshwar,1.0,Satisfactory,95,PM2.5
2019-03-22,Ankleshwar,1.0,Satisfactory,89,PM10
2019-03-23,Ankleshwar,1.0,Moderate,134,PM2.5
2019-03-24,Ankleshwar,1.0,Moderate,184,PM2.5
2019-03-25,Ankleshwar,1.0,Poor,206,PM2.5
