date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-12-17,Araria,1.0,Poor,255,PM2.5
2021-12-18,Araria,1.0,Poor,239,PM2.5
2021-12-19,Araria,1.0,Poor,208,PM2.5
2021-12-20,Araria,1.0,Poor,291,PM2.5
2021-12-21,Araria,1.0,Very Poor,332,PM2.5
2021-12-22,Araria,1.0,Poor,253,PM2.5
2021-12-24,Araria,1.0,Poor,260,PM2.5
2021-12-25,Araria,1.0,Poor,251,PM2.5
2021-12-26,Araria,1.0,Poor,274,PM2.5
2021-12-27,Araria,1.0,Poor,263,PM2.5
2021-12-28,Araria,1.0,Poor,230,PM2.5
2021-12-29,Araria,1.0,Satisfactory,98,PM2.5
2021-12-30,Araria,1.0,Satisfactory,87,NO2
2021-12-31,Araria,1.0,Moderate,145,PM2.5
2022-01-01,Araria,1.0,Moderate,142,PM2.5
2022-01-02,Araria,1.0,Moderate,137,PM2.5
2022-01-03,Araria,1.0,Moderate,170,PM2.5
2022-01-04,Araria,1.0,Moderate,172,PM2.5
2022-01-05,Araria,1.0,Poor,265,PM2.5
2022-01-06,Araria,1.0,Poor,235,PM2.5
2022-01-07,Araria,1.0,Poor,297,PM2.5
2022-01-08,Araria,1.0,Moderate,183,PM2.5
2022-01-09,Araria,1.0,Poor,213,PM2.5
2022-01-10,Araria,1.0,Moderate,165,PM2.5
2022-01-11,Araria,1.0,Poor,239,PM2.5
2022-01-12,Araria,1.0,Poor,285,PM2.5
2022-01-13,Araria,1.0,Moderate,158,PM2.5
2022-01-14,Araria,1.0,Moderate,194,PM2.5
2022-01-15,Araria,1.0,Poor,268,PM2.5
2022-01-16,Araria,1.0,Moderate,176,PM2.5
2022-01-17,Araria,1.0,Poor,211,PM2.5
2022-01-18,Araria,1.0,Moderate,172,PM2.5
2022-01-19,Araria,1.0,Moderate,190,PM2.5
2022-01-20,Araria,1.0,Moderate,199,PM2.5
2022-01-21,Araria,1.0,Poor,289,PM2.5
2022-01-22,Araria,1.0,Poor,270,PM2.5
2022-01-25,Araria,1.0,Poor,235,PM2.5
2022-01-26,Araria,1.0,Poor,222,PM2.5
2022-01-27,Araria,1.0,Moderate,122,PM2.5
2022-01-28,Araria,1.0,Poor,226,PM2.5
2022-01-29,Araria,1.0,Poor,266,PM2.5
2022-01-30,Araria,1.0,Poor,280,PM2.5
2022-02-02,Araria,1.0,Poor,279,PM2.5
2022-02-03,Araria,1.0,Moderate,191,PM2.5
2022-02-04,Araria,1.0,Moderate,110,O3
2022-02-06,Araria,1.0,Moderate,124,PM2.5
2022-02-07,Araria,1.0,Poor,222,PM2.5
2022-02-08,Araria,1.0,Poor,264,PM2.5
2022-02-09,Araria,1.0,Poor,230,PM2.5
2022-02-10,Araria,1.0,Poor,217,PM2.5
2022-02-11,Araria,1.0,Poor,219,PM2.5
2022-02-12,Araria,1.0,Poor,207,PM2.5
2022-02-13,Araria,1.0,Poor,260,PM2.5
2022-02-14,Araria,1.0,Poor,256,PM2.5
2022-02-16,Araria,1.0,Poor,241,PM2.5
2022-02-17,Araria,1.0,Poor,274,PM2.5
2022-02-18,Araria,1.0,Poor,235,PM2.5
2022-02-19,Araria,1.0,Poor,243,PM2.5
2022-02-20,Araria,1.0,Moderate,189,PM2.5
2022-02-21,Araria,1.0,Moderate,186,PM2.5
2022-02-22,Araria,1.0,Moderate,154,O3
2022-02-23,Araria,1.0,Moderate,198,PM2.5
2022-02-25,Araria,1.0,Moderate,110,PM2.5
2022-02-26,Araria,1.0,Moderate,101,PM2.5
2022-02-27,Araria,1.0,Poor,216,PM2.5
2022-02-28,Araria,1.0,Moderate,187,PM2.5
2022-03-01,Araria,1.0,Moderate,151,PM2.5
2022-03-02,Araria,1.0,Moderate,190,PM2.5
2022-03-03,Araria,1.0,Moderate,181,PM2.5
2022-03-04,Araria,1.0,Poor,203,PM2.5
2022-03-05,Araria,1.0,Moderate,187,PM2.5
2022-03-06,Araria,1.0,Poor,227,PM2.5
2022-03-07,Araria,1.0,Very Poor,337,O3
2022-03-08,Araria,1.0,Moderate,187,PM2.5
2022-03-09,Araria,1.0,Moderate,200,O3
2022-03-10,Araria,1.0,Poor,220,PM2.5
2022-03-11,Araria,1.0,Poor,217,PM2.5
2022-03-12,Araria,1.0,Moderate,166,PM2.5
2022-03-13,Araria,1.0,Poor,221,PM2.5
2022-03-14,Araria,1.0,Poor,215,PM2.5
2022-03-15,Araria,1.0,Moderate,175,PM2.5
2022-03-16,Araria,1.0,Poor,226,PM2.5
2022-03-17,Araria,1.0,Very Poor,348,O3
2022-03-18,Araria,1.0,Poor,257,PM2.5
2022-03-19,Araria,1.0,Poor,207,PM2.5
2022-03-20,Araria,1.0,Poor,219,PM2.5
2022-03-21,Araria,1.0,Moderate,176,PM2.5
2022-03-22,Araria,1.0,Satisfactory,89,PM2.5
2022-03-23,Araria,1.0,Moderate,106,PM2.5
2022-03-25,Araria,1.0,Poor,203,PM2.5
2022-03-26,Araria,1.0,Moderate,179,PM2.5
2022-03-28,Araria,1.0,Moderate,160,PM2.5
2022-03-29,Araria,1.0,Satisfactory,93,O3
2022-03-30,Araria,1.0,Moderate,125,PM2.5
2022-03-31,Araria,1.0,Moderate,101,PM2.5
2022-04-02,Araria,1.0,Satisfactory,71,PM10
2022-04-05,Araria,1.0,Moderate,112,PM2.5
2022-04-06,Araria,1.0,Moderate,150,PM2.5
2022-04-07,Araria,1.0,Satisfactory,78,PM2.5
2022-04-08,Araria,1.0,Satisfactory,73,O3
2022-04-09,Araria,1.0,Moderate,102,PM2.5
2022-04-10,Araria,1.0,Satisfactory,92,O3
2022-04-12,Araria,1.0,Satisfactory,79,O3
2022-04-14,Araria,1.0,Moderate,120,PM2.5
2022-04-15,Araria,1.0,Poor,235,PM2.5
2022-04-16,Araria,1.0,Poor,228,PM2.5
2022-04-17,Araria,1.0,Moderate,165,PM2.5
2022-04-18,Araria,1.0,Moderate,122,PM2.5
2022-04-19,Araria,1.0,Satisfactory,72,O3
2022-04-22,Araria,1.0,Moderate,151,O3
2022-04-23,Araria,1.0,Satisfactory,96,O3
2022-04-27,Araria,1.0,Moderate,108,PM2.5
2022-04-28,Araria,1.0,Satisfactory,92,O3
2022-04-29,Araria,1.0,Satisfactory,91,O3
2022-05-08,Araria,1.0,Moderate,163,PM2.5
2022-05-09,Araria,1.0,Poor,209,PM2.5
2022-05-10,Araria,1.0,Satisfactory,86,PM10
2022-05-11,Araria,1.0,Satisfactory,72,O3
2022-05-12,Araria,1.0,Moderate,171,PM2.5
2022-05-13,Araria,1.0,Moderate,161,PM2.5
2022-05-16,Araria,1.0,Moderate,145,PM2.5
2022-05-17,Araria,1.0,Moderate,104,PM2.5
2022-05-18,Araria,1.0,Moderate,149,PM2.5
2022-05-19,Araria,1.0,Moderate,191,PM2.5
2022-05-20,Araria,1.0,Satisfactory,93,O3
2022-05-21,Araria,1.0,Satisfactory,81,O3
2022-05-22,Araria,1.0,Satisfactory,70,O3
2022-05-26,Araria,1.0,Satisfactory,97,PM10
2022-05-27,Araria,1.0,Poor,202,PM2.5
2022-05-28,Araria,1.0,Moderate,143,PM2.5
2022-05-29,Araria,1.0,Moderate,115,O3
2022-05-30,Araria,1.0,Moderate,166,PM2.5
2022-05-31,Araria,1.0,Poor,223,PM2.5
2022-06-02,Araria,1.0,Moderate,156,PM2.5
2022-06-03,Araria,1.0,Moderate,160,PM2.5
2022-06-08,Araria,1.0,Moderate,172,PM2.5
2022-06-11,Araria,1.0,Satisfactory,92,PM2.5
2022-06-16,Araria,1.0,Satisfactory,71,PM2.5
2022-06-17,Araria,1.0,Satisfactory,78,PM2.5
2022-06-18,Araria,1.0,Satisfactory,67,O3
2022-06-19,Araria,1.0,Satisfactory,90,PM2.5
2022-06-20,Araria,1.0,Satisfactory,77,PM2.5
2022-06-22,Araria,1.0,Moderate,105,PM2.5
2022-06-23,Araria,1.0,Moderate,128,PM2.5
2022-06-24,Araria,1.0,Satisfactory,87,PM2.5
2022-06-25,Araria,1.0,Good,49,PM2.5
2022-06-26,Araria,1.0,Satisfactory,56,PM2.5
2022-06-27,Araria,1.0,Satisfactory,60,PM10
2022-06-28,Araria,1.0,Moderate,102,PM2.5
2022-06-29,Araria,1.0,Good,48,CO
2022-06-30,Araria,1.0,Satisfactory,57,O3
2022-07-02,Araria,1.0,Satisfactory,59,O3
2022-07-03,Araria,1.0,Satisfactory,63,O3
2022-07-04,Araria,1.0,Satisfactory,57,O3
2022-07-05,Araria,1.0,Satisfactory,78,PM10
2022-07-06,Araria,1.0,Satisfactory,72,PM10
2022-07-07,Araria,1.0,Good,48,O3
2022-07-08,Araria,1.0,Satisfactory,72,PM10
2022-07-09,Araria,1.0,Satisfactory,56,PM10
2022-07-11,Araria,1.0,Satisfactory,68,PM10
2022-07-12,Araria,1.0,Satisfactory,68,O3
2022-07-13,Araria,1.0,Satisfactory,54,PM10
2022-07-14,Araria,1.0,Satisfactory,68,O3
2022-07-15,Araria,1.0,Satisfactory,56,O3
2022-07-17,Araria,1.0,Satisfactory,64,PM10
2022-07-18,Araria,1.0,Satisfactory,51,PM10
2022-07-19,Araria,1.0,Satisfactory,59,PM10
2022-07-20,Araria,1.0,Satisfactory,53,PM10
2022-07-21,Araria,1.0,Satisfactory,52,CO
2022-07-23,Araria,1.0,Satisfactory,54,CO
2022-07-26,Araria,1.0,Good,46,CO
2022-07-28,Araria,1.0,Moderate,116,PM10
2022-07-29,Araria,1.0,Satisfactory,57,PM10
2022-07-30,Araria,1.0,Satisfactory,71,PM10
2022-08-05,Araria,1.0,Satisfactory,90,PM10
2022-08-06,Araria,1.0,Satisfactory,54,NO2
2022-08-07,Araria,1.0,Satisfactory,73,PM10
2022-08-08,Araria,1.0,Satisfactory,53,CO
2022-08-11,Araria,1.0,Satisfactory,69,NO2
2022-08-12,Araria,1.0,Satisfactory,69,NO2
2022-08-13,Araria,1.0,Moderate,124,PM2.5
2022-08-14,Araria,1.0,Satisfactory,51,NO2
2022-08-17,Araria,1.0,Moderate,101,PM10
2022-08-18,Araria,1.0,Moderate,119,PM2.5
2022-08-19,Araria,1.0,Satisfactory,63,NO2
2022-08-20,Araria,1.0,Satisfactory,58,NO2
2022-08-21,Araria,1.0,Satisfactory,62,NO2
2022-08-22,Araria,1.0,Satisfactory,96,PM10
2022-08-23,Araria,1.0,Moderate,160,PM10
2022-08-25,Araria,1.0,Moderate,105,NO2
2022-08-26,Araria,1.0,Satisfactory,85,NO2
2022-08-28,Araria,1.0,Satisfactory,77,CO
2022-08-30,Araria,1.0,Satisfactory,93,PM2.5
2022-09-02,Araria,1.0,Satisfactory,68,NO2
2022-09-07,Araria,1.0,Satisfactory,90,PM2.5
2022-09-08,Araria,1.0,Satisfactory,72,PM10
2022-09-09,Araria,1.0,Satisfactory,72,CO
2022-09-10,Araria,1.0,Satisfactory,55,O3
2022-09-11,Araria,1.0,Satisfactory,60,CO
2022-09-17,Araria,1.0,Satisfactory,68,CO
