date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-12-21,Ariyalur,1.0,Moderate,157,CO
2022-12-22,Ariyalur,1.0,Moderate,146,CO
2022-12-23,Ariyalur,1.0,Moderate,148,PM2.5
2022-12-24,Ariyalur,1.0,Moderate,143,PM2.5
2022-12-25,Ariyalur,1.0,Satisfactory,78,PM2.5
2022-12-26,Ariyalur,1.0,Good,29,NO2
2022-12-27,Ariyalur,1.0,Good,37,NO2
2022-12-28,Ariyalur,1.0,Good,38,NO2
2022-12-29,Ariyalur,1.0,Good,36,PM10
2022-12-30,Ariyalur,1.0,Good,41,PM10
2022-12-31,Ariyalur,1.0,Good,43,PM2.5
2023-01-01,Ariyalur,1.0,Good,46,PM10
2023-01-02,Ariyalur,1.0,Satisfactory,57,PM2.5
2023-01-03,Ariyalur,1.0,Moderate,120,CO
2023-01-04,Ariyalur,1.0,Satisfactory,73,PM10
2023-01-05,Ariyalur,1.0,Satisfactory,86,PM2.5
2023-01-06,Ariyalur,1.0,Satisfactory,87,PM2.5
2023-01-07,Ariyalur,1.0,Satisfactory,74,PM2.5
2023-01-08,Ariyalur,1.0,Moderate,176,PM2.5
2023-01-09,Ariyalur,1.0,Moderate,163,PM2.5
2023-01-10,Ariyalur,1.0,Satisfactory,71,PM2.5
2023-01-12,Ariyalur,1.0,Moderate,103,PM2.5
2023-01-13,Ariyalur,1.0,Satisfactory,79,PM2.5
2023-01-14,Ariyalur,1.0,Satisfactory,56,PM2.5
2023-01-15,Ariyalur,1.0,Satisfactory,64,PM2.5
2023-01-16,Ariyalur,1.0,Good,48,PM2.5
2023-01-17,Ariyalur,1.0,Moderate,110,PM2.5
2023-01-18,Ariyalur,1.0,Good,44,PM2.5
2023-01-20,Ariyalur,1.0,Satisfactory,68,PM2.5
2023-01-22,Ariyalur,1.0,Satisfactory,94,PM2.5
2023-01-23,Ariyalur,1.0,Satisfactory,87,PM2.5
2023-01-24,Ariyalur,1.0,Good,49,PM2.5
2023-01-25,Ariyalur,1.0,Satisfactory,54,NO2
2023-01-26,Ariyalur,1.0,Moderate,102,PM2.5
2023-01-27,Ariyalur,1.0,Moderate,115,PM2.5
2023-01-28,Ariyalur,1.0,Satisfactory,58,PM2.5
2023-01-29,Ariyalur,1.0,Moderate,118,PM2.5
2023-01-30,Ariyalur,1.0,Satisfactory,93,PM2.5
2023-01-31,Ariyalur,1.0,Satisfactory,72,PM2.5
2023-02-01,Ariyalur,1.0,Moderate,164,CO
2023-02-02,Ariyalur,1.0,Satisfactory,67,PM2.5
2023-02-03,Ariyalur,1.0,Satisfactory,93,PM2.5
2023-02-04,Ariyalur,1.0,Satisfactory,73,PM2.5
2023-02-05,Ariyalur,1.0,Satisfactory,87,PM2.5
2023-02-06,Ariyalur,1.0,Satisfactory,72,CO
2023-02-07,Ariyalur,1.0,Satisfactory,75,PM2.5
2023-02-08,Ariyalur,1.0,Moderate,145,CO
2023-02-09,Ariyalur,1.0,Satisfactory,54,PM2.5
2023-02-10,Ariyalur,1.0,Satisfactory,57,PM2.5
2023-02-11,Ariyalur,1.0,Satisfactory,63,PM2.5
2023-02-12,Ariyalur,1.0,Moderate,117,PM2.5
2023-02-13,Ariyalur,1.0,Moderate,147,PM2.5
2023-02-14,Ariyalur,1.0,Satisfactory,91,PM2.5
2023-02-15,Ariyalur,1.0,Moderate,108,PM2.5
2023-02-16,Ariyalur,1.0,Moderate,102,CO
2023-02-17,Ariyalur,1.0,Satisfactory,88,PM2.5
2023-02-18,Ariyalur,1.0,Satisfactory,53,NO2
2023-02-19,Ariyalur,1.0,Good,46,NO2
2023-02-20,Ariyalur,1.0,Good,50,NO2
2023-02-21,Ariyalur,1.0,Satisfactory,60,NO2
2023-02-22,Ariyalur,1.0,Satisfactory,71,NO2
2023-02-23,Ariyalur,1.0,Satisfactory,73,NO2
2023-02-24,Ariyalur,1.0,Moderate,126,CO
2023-02-25,Ariyalur,1.0,Satisfactory,60,NO2
2023-02-26,Ariyalur,1.0,Satisfactory,67,NO2
2023-02-27,Ariyalur,1.0,Moderate,146,CO
2023-02-28,Ariyalur,1.0,Satisfactory,71,NO2
2023-03-01,Ariyalur,1.0,Moderate,120,CO
2023-03-02,Ariyalur,1.0,Satisfactory,71,NO2
2023-03-03,Ariyalur,1.0,Satisfactory,90,CO
2023-03-04,Ariyalur,1.0,Satisfactory,77,NO2
2023-03-05,Ariyalur,1.0,Satisfactory,78,NO2
2023-03-06,Ariyalur,1.0,Satisfactory,69,NO2
2023-03-07,Ariyalur,1.0,Satisfactory,69,NO2
2023-03-08,Ariyalur,1.0,Satisfactory,71,NO2
2023-03-09,Ariyalur,1.0,Satisfactory,77,PM2.5
2023-03-10,Ariyalur,1.0,Moderate,183,CO
2023-03-11,Ariyalur,1.0,Satisfactory,72,NO2
2023-03-12,Ariyalur,1.0,Satisfactory,69,NO2
2023-03-13,Ariyalur,1.0,Satisfactory,68,NO2
2023-03-14,Ariyalur,1.0,Satisfactory,72,NO2
2023-03-15,Ariyalur,1.0,Satisfactory,75,PM2.5
2023-03-16,Ariyalur,1.0,Satisfactory,55,NO2
2023-03-17,Ariyalur,1.0,Satisfactory,56,NO2
2023-03-18,Ariyalur,1.0,Satisfactory,56,NO2
2023-03-19,Ariyalur,1.0,Satisfactory,60,NO2
2023-03-20,Ariyalur,1.0,Satisfactory,62,NO2
2023-03-21,Ariyalur,1.0,Satisfactory,64,NO2
2023-03-22,Ariyalur,1.0,Satisfactory,61,NO2
2023-03-23,Ariyalur,1.0,Satisfactory,62,NO2
2023-03-28,Ariyalur,1.0,Satisfactory,64,NO2
2023-03-29,Ariyalur,1.0,Satisfactory,56,NO2
2023-03-30,Ariyalur,1.0,Satisfactory,58,NO2
2023-03-31,Ariyalur,1.0,Satisfactory,61,NO2
2023-04-01,Ariyalur,1.0,Satisfactory,62,NO2
2023-04-02,Ariyalur,1.0,Satisfactory,64,NO2
2023-04-03,Ariyalur,1.0,Satisfactory,65,NO2
2023-04-05,Ariyalur,1.0,Satisfactory,62,NO2
2023-04-06,Ariyalur,1.0,Satisfactory,58,NO2
2023-04-07,Ariyalur,1.0,Satisfactory,57,NO2
2023-04-08,Ariyalur,1.0,Satisfactory,56,NO2
2023-04-09,Ariyalur,1.0,Satisfactory,58,NO2
2023-04-10,Ariyalur,1.0,Moderate,109,PM2.5
