date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-12-17,Arrah,1.0,Very Poor,334,PM2.5
2021-12-18,Arrah,1.0,Very Poor,324,PM2.5
2021-12-19,Arrah,1.0,Very Poor,310,PM2.5
2021-12-20,Arrah,1.0,Very Poor,370,PM2.5
2021-12-21,Arrah,1.0,Severe,420,PM2.5
2021-12-22,Arrah,1.0,Severe,414,PM2.5
2021-12-23,Arrah,1.0,Very Poor,389,PM2.5
2021-12-24,Arrah,1.0,Very Poor,376,PM2.5
2021-12-25,Arrah,1.0,Very Poor,335,PM2.5
2021-12-26,Arrah,1.0,Very Poor,353,PM2.5
2021-12-27,Arrah,1.0,Very Poor,307,PM2.5
2021-12-28,Arrah,1.0,Poor,238,PM2.5
2021-12-29,Arrah,1.0,Moderate,104,NO2
2021-12-30,Arrah,1.0,Moderate,106,NO2
2021-12-31,Arrah,1.0,Satisfactory,84,NO2
2022-01-01,Arrah,1.0,Moderate,148,PM2.5
2022-01-04,Arrah,1.0,Poor,279,PM2.5
2022-01-05,Arrah,1.0,Very Poor,305,PM2.5
2022-01-06,Arrah,1.0,Very Poor,302,PM2.5
2022-01-07,Arrah,1.0,Poor,262,PM2.5
2022-01-08,Arrah,1.0,Moderate,155,NO2
2022-01-09,Arrah,1.0,Moderate,151,NO2
2022-01-10,Arrah,1.0,Moderate,132,NO2
2022-01-11,Arrah,1.0,Moderate,154,PM2.5
2022-01-12,Arrah,1.0,Moderate,145,NO2
2022-01-13,Arrah,1.0,Moderate,130,NO2
2022-01-14,Arrah,1.0,Moderate,179,O3
2022-01-15,Arrah,1.0,Moderate,191,PM2.5
2022-01-16,Arrah,1.0,Moderate,186,O3
2022-01-18,Arrah,1.0,Poor,263,PM2.5
2022-01-19,Arrah,1.0,Poor,282,PM2.5
2022-01-20,Arrah,1.0,Poor,294,PM2.5
2022-01-21,Arrah,1.0,Very Poor,326,PM2.5
2022-01-22,Arrah,1.0,Very Poor,319,PM2.5
2022-01-23,Arrah,1.0,Poor,271,PM2.5
2022-01-24,Arrah,1.0,Moderate,128,NO2
2022-01-25,Arrah,1.0,Poor,205,PM2.5
2022-01-26,Arrah,1.0,Moderate,186,O3
2022-01-27,Arrah,1.0,Moderate,143,PM2.5
2022-01-28,Arrah,1.0,Poor,275,PM2.5
