date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2016-09-07,Aurangabad,1.0,Satisfactory,63,PM10
2016-09-08,Aurangabad,1.0,Satisfactory,66,PM10
2016-09-09,Aurangabad,1.0,Satisfactory,55,O3
2016-09-10,Aurangabad,1.0,Satisfactory,74,PM10
2016-09-13,Aurangabad,1.0,Satisfactory,88,PM10
2016-09-14,Aurangabad,1.0,Satisfactory,90,PM10
2016-09-15,Aurangabad,1.0,Moderate,150,PM10
2016-09-16,Aurangabad,1.0,Satisfactory,53,O3
2016-09-17,Aurangabad,1.0,Good,44,O3
2016-09-18,Aurangabad,1.0,Good,48,PM10
2016-09-19,Aurangabad,1.0,Satisfactory,57,O3
2016-09-20,Aurangabad,1.0,Satisfactory,55,PM10
2016-09-21,Aurangabad,1.0,Satisfactory,71,PM10
2016-09-22,Aurangabad,1.0,Satisfactory,72,PM10
2016-09-23,Aurangabad,1.0,Moderate,102,PM10
2016-09-24,Aurangabad,1.0,Satisfactory,59,PM10
2016-09-25,Aurangabad,1.0,Satisfactory,81,O3
2016-09-26,Aurangabad,1.0,Satisfactory,80,PM10
2016-09-27,Aurangabad,1.0,Moderate,110,PM10
2016-09-28,Aurangabad,1.0,Satisfactory,97,PM10
2016-09-29,Aurangabad,1.0,Satisfactory,84,PM10
2016-09-30,Aurangabad,1.0,Satisfactory,85,PM10
2016-10-01,Aurangabad,1.0,Satisfactory,88,PM10
2016-10-02,Aurangabad,1.0,Satisfactory,51,PM10
2016-10-03,Aurangabad,1.0,Satisfactory,53,PM10
2016-10-04,Aurangabad,1.0,Satisfactory,69,PM10
2016-10-05,Aurangabad,1.0,Good,43,PM10
2016-10-06,Aurangabad,1.0,Satisfactory,66,PM10
2016-10-10,Aurangabad,1.0,Moderate,121,PM10
2016-10-11,Aurangabad,1.0,Moderate,106,PM10
2016-10-13,Aurangabad,1.0,Moderate,117,PM10
2016-10-14,Aurangabad,1.0,Moderate,147,PM10
2016-10-16,Aurangabad,1.0,Moderate,160,PM10
2016-10-17,Aurangabad,1.0,Moderate,123,PM10
2016-10-18,Aurangabad,1.0,Moderate,157,PM10
2016-10-19,Aurangabad,1.0,Moderate,148,PM10
2016-10-20,Aurangabad,1.0,Moderate,154,PM10
2016-10-21,Aurangabad,1.0,Moderate,177,PM10
2016-10-22,Aurangabad,1.0,Moderate,137,PM10
2016-10-23,Aurangabad,1.0,Moderate,133,PM10
2016-10-24,Aurangabad,1.0,Moderate,139,PM10
2016-10-25,Aurangabad,1.0,Moderate,156,PM10
2016-10-26,Aurangabad,1.0,Moderate,105,PM10
2016-10-30,Aurangabad,1.0,Moderate,173,PM10
2016-10-31,Aurangabad,1.0,Moderate,143,PM10
2016-11-01,Aurangabad,1.0,Moderate,120,PM10
2016-11-03,Aurangabad,1.0,Poor,269,PM2.5
2016-11-04,Aurangabad,1.0,Satisfactory,94,O3
2016-11-07,Aurangabad,1.0,Poor,226,PM2.5
2016-11-08,Aurangabad,1.0,Moderate,126,O3
2016-11-15,Aurangabad,1.0,Moderate,171,O3
2016-11-17,Aurangabad,1.0,Very Poor,306,PM2.5
2016-11-18,Aurangabad,1.0,Moderate,177,PM2.5
2016-11-19,Aurangabad,1.0,Poor,219,PM2.5
2016-11-20,Aurangabad,1.0,Poor,216,PM2.5
2016-11-21,Aurangabad,1.0,Poor,219,PM2.5
2016-11-22,Aurangabad,1.0,Poor,250,PM2.5
2016-11-23,Aurangabad,1.0,Poor,253,PM10
2016-11-24,Aurangabad,1.0,Poor,269,PM2.5
2016-11-25,Aurangabad,1.0,Poor,298,PM10
2016-11-26,Aurangabad,1.0,Poor,272,PM2.5
2016-11-27,Aurangabad,1.0,Very Poor,328,PM2.5
2016-11-28,Aurangabad,1.0,Very Poor,339,PM2.5
2016-11-29,Aurangabad,1.0,Poor,237,PM2.5
2016-11-30,Aurangabad,1.0,Poor,218,PM2.5
2016-12-01,Aurangabad,1.0,Poor,253,PM10
2016-12-06,Aurangabad,1.0,Moderate,169,PM2.5
2016-12-07,Aurangabad,1.0,Moderate,185,PM10
2016-12-08,Aurangabad,1.0,Poor,206,PM10
2016-12-09,Aurangabad,1.0,Poor,211,PM10
2016-12-10,Aurangabad,1.0,Poor,223,PM10
2016-12-11,Aurangabad,1.0,Moderate,168,PM10
2016-12-12,Aurangabad,1.0,Moderate,137,PM10
2016-12-13,Aurangabad,1.0,Moderate,137,PM10
2016-12-14,Aurangabad,1.0,Moderate,187,PM10
2016-12-15,Aurangabad,1.0,Moderate,120,O3
2016-12-16,Aurangabad,1.0,Moderate,159,PM10
2016-12-17,Aurangabad,1.0,Moderate,198,PM10
2016-12-18,Aurangabad,1.0,Moderate,105,PM2.5
2016-12-19,Aurangabad,1.0,Moderate,147,O3
2016-12-20,Aurangabad,1.0,Moderate,129,O3
2016-12-21,Aurangabad,1.0,Moderate,178,O3
2016-12-22,Aurangabad,1.0,Poor,243,PM10
2016-12-23,Aurangabad,1.0,Poor,232,PM10
2016-12-24,Aurangabad,1.0,Poor,245,PM10
2016-12-25,Aurangabad,1.0,Poor,221,PM10
2016-12-26,Aurangabad,1.0,Moderate,195,O3
2016-12-27,Aurangabad,1.0,Moderate,155,O3
2016-12-28,Aurangabad,1.0,Poor,238,PM10
2016-12-29,Aurangabad,1.0,Poor,271,PM10
2016-12-30,Aurangabad,1.0,Poor,246,PM10
2017-01-03,Aurangabad,1.0,Moderate,194,PM2.5
2017-01-04,Aurangabad,1.0,Moderate,182,PM10
2017-01-05,Aurangabad,1.0,Poor,225,PM10
2017-01-06,Aurangabad,1.0,Poor,234,PM10
2017-01-07,Aurangabad,1.0,Poor,239,PM10
2017-01-08,Aurangabad,1.0,Poor,237,PM2.5
2017-01-09,Aurangabad,1.0,Poor,202,PM2.5
2017-01-10,Aurangabad,1.0,Moderate,185,PM10
2017-01-11,Aurangabad,1.0,Moderate,146,PM2.5
2017-01-12,Aurangabad,1.0,Moderate,157,O3
2017-01-13,Aurangabad,1.0,Moderate,129,PM10
2017-01-14,Aurangabad,1.0,Moderate,120,O3
2017-01-15,Aurangabad,1.0,Moderate,128,O3
2017-01-16,Aurangabad,1.0,Moderate,155,PM10
2017-01-17,Aurangabad,1.0,Poor,213,PM10
2017-01-20,Aurangabad,1.0,Moderate,123,PM2.5
2017-01-21,Aurangabad,1.0,Moderate,113,O3
2017-01-22,Aurangabad,1.0,Moderate,148,PM2.5
2017-01-23,Aurangabad,1.0,Moderate,151,O3
2017-01-24,Aurangabad,1.0,Moderate,159,O3
2017-01-25,Aurangabad,1.0,Moderate,141,PM10
2017-01-26,Aurangabad,1.0,Moderate,162,O3
2017-01-27,Aurangabad,1.0,Moderate,115,O3
