date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-03-12,Baddi,1.0,Moderate,170,PM10
2022-03-13,Baddi,1.0,Moderate,188,PM2.5
2022-03-14,Baddi,1.0,Moderate,140,PM10
2022-03-15,Baddi,1.0,Moderate,179,PM2.5
2022-03-16,Baddi,1.0,Moderate,177,PM2.5
2022-03-17,Baddi,1.0,Moderate,172,PM2.5
2022-03-18,Baddi,1.0,Poor,272,PM2.5
2022-03-20,Baddi,1.0,Moderate,110,PM10
2022-03-21,Baddi,1.0,Moderate,123,PM10
2022-03-22,Baddi,1.0,Moderate,148,PM10
2022-03-23,Baddi,1.0,Moderate,169,PM10
2022-03-24,Baddi,1.0,Moderate,148,PM10
2022-03-25,Baddi,1.0,Moderate,139,PM10
2022-03-26,Baddi,1.0,Moderate,162,PM10
2022-03-27,Baddi,1.0,Moderate,188,PM2.5
2022-03-28,Baddi,1.0,Moderate,142,PM10
2022-03-29,Baddi,1.0,Moderate,172,PM10
2022-03-30,Baddi,1.0,Moderate,142,PM10
2022-03-31,Baddi,1.0,Moderate,154,PM10
2022-04-01,Baddi,1.0,Moderate,182,PM10
2022-04-02,Baddi,1.0,Moderate,130,PM10
2022-04-03,Baddi,1.0,Moderate,111,PM10
2022-04-04,Baddi,1.0,Moderate,154,PM10
2022-04-05,Baddi,1.0,Moderate,147,PM10
2022-04-06,Baddi,1.0,Moderate,165,PM10
2022-04-07,Baddi,1.0,Moderate,172,PM10
2022-04-08,Baddi,1.0,Moderate,189,PM10
2022-04-09,Baddi,1.0,Moderate,160,PM10
2022-04-10,Baddi,1.0,Moderate,127,PM10
2022-04-11,Baddi,1.0,Moderate,166,PM10
2022-04-12,Baddi,1.0,Moderate,169,PM10
2022-04-13,Baddi,1.0,Moderate,192,PM10
2022-04-14,Baddi,1.0,Moderate,194,PM10
2022-04-15,Baddi,1.0,Moderate,126,PM10
2022-04-17,Baddi,1.0,Satisfactory,93,PM10
2022-04-18,Baddi,1.0,Moderate,113,PM10
2022-04-19,Baddi,1.0,Moderate,158,PM10
