date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-17,Badlapur,1.0,Good,47,PM10
2023-06-18,Badlapur,1.0,Satisfactory,66,PM10
2023-06-19,Badlapur,1.0,Satisfactory,88,PM10
2023-06-20,Badlapur,1.0,Moderate,104,PM10
2023-06-21,Badlapur,1.0,Moderate,141,PM10
2023-06-22,Badlapur,1.0,Satisfactory,93,PM10
2023-06-23,Badlapur,1.0,Satisfactory,89,PM10
2023-06-24,Badlapur,1.0,Good,44,PM10
2023-06-26,Badlapur,1.0,Good,45,CO
2023-06-27,Badlapur,1.0,Good,37,PM2.5
2023-06-28,Badlapur,1.0,Satisfactory,56,PM10
2023-06-29,Badlapur,1.0,Satisfactory,56,PM10
2023-06-30,Badlapur,1.0,Good,39,PM10
2023-07-01,Badlapur,1.0,Good,44,PM10
2023-07-02,Badlapur,1.0,Good,49,PM10
2023-07-03,Badlapur,1.0,Good,50,PM10
2023-07-04,Badlapur,1.0,Satisfactory,60,PM10
2023-07-05,Badlapur,1.0,Satisfactory,59,PM10
2023-07-06,Badlapur,1.0,Satisfactory,56,PM10
2023-07-07,Badlapur,1.0,Good,36,PM10
2023-07-08,Badlapur,1.0,Good,48,PM10
2023-07-09,Badlapur,1.0,Moderate,147,PM10
2023-07-10,Badlapur,1.0,Satisfactory,98,PM10
2023-07-11,Badlapur,1.0,Moderate,104,PM10
2023-07-12,Badlapur,1.0,Satisfactory,53,PM2.5
2023-07-13,Badlapur,1.0,Good,46,PM10
2023-07-14,Badlapur,1.0,Good,32,PM10
2023-07-16,Badlapur,1.0,Good,33,PM10
2023-07-17,Badlapur,1.0,Good,24,PM10
2023-07-18,Badlapur,1.0,Good,41,NO2
2023-07-21,Badlapur,1.0,Good,33,PM10
2023-07-22,Badlapur,1.0,Satisfactory,64,PM10
2023-07-23,Badlapur,1.0,Satisfactory,70,PM10
2023-07-24,Badlapur,1.0,Satisfactory,70,PM10
2023-07-25,Badlapur,1.0,Satisfactory,69,PM10
2023-07-29,Badlapur,1.0,Good,27,PM10
2023-07-30,Badlapur,1.0,Good,37,PM10
2023-07-31,Badlapur,1.0,Good,43,PM10
2023-08-01,Badlapur,1.0,Good,31,PM10
2023-08-02,Badlapur,1.0,Good,40,PM10
2023-08-03,Badlapur,1.0,Good,31,PM10
2023-08-04,Badlapur,1.0,Good,38,PM10
2023-08-05,Badlapur,1.0,Good,34,PM10
2023-08-06,Badlapur,1.0,Good,43,PM10
2023-08-07,Badlapur,1.0,Good,40,PM10
2023-08-08,Badlapur,1.0,Good,48,PM10
2023-08-09,Badlapur,1.0,Good,46,PM10
2023-08-10,Badlapur,1.0,Satisfactory,53,PM10
2023-08-11,Badlapur,1.0,Satisfactory,54,PM10
2023-08-12,Badlapur,1.0,Good,46,PM10
2023-08-13,Badlapur,1.0,Good,38,PM10
2023-08-14,Badlapur,1.0,Good,40,PM10
2023-08-15,Badlapur,1.0,Good,45,PM10
2023-08-16,Badlapur,1.0,Good,38,PM10
2023-08-17,Badlapur,1.0,Good,40,PM10
2023-08-18,Badlapur,1.0,Good,26,PM2.5
2023-08-20,Badlapur,1.0,Good,31,CO
2023-08-21,Badlapur,1.0,Good,36,PM2.5
2023-08-22,Badlapur,1.0,Good,39,CO
2023-08-23,Badlapur,1.0,Good,34,CO
2023-08-24,Badlapur,1.0,Good,33,PM10
2023-08-25,Badlapur,1.0,Good,36,PM10
