date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-02-11,Bagalkot,1.0,Satisfactory,70,PM10
2020-02-12,Bagalkot,1.0,Satisfactory,72,PM10
2020-02-13,Bagalkot,1.0,Satisfactory,70,PM10
2020-02-14,Bagalkot,1.0,Satisfactory,99,PM10
2020-02-15,Bagalkot,1.0,Moderate,124,PM10
2020-02-16,Bagalkot,1.0,Moderate,117,PM10
2020-02-17,Bagalkot,1.0,Satisfactory,98,PM10
2020-02-18,Bagalkot,1.0,Moderate,108,PM10
2020-02-19,Bagalkot,1.0,Moderate,122,PM10
2020-02-22,Bagalkot,1.0,Satisfactory,68,PM10
2020-02-23,Bagalkot,1.0,Satisfactory,61,O3
2020-02-24,Bagalkot,1.0,Satisfactory,70,PM10
2020-02-25,Bagalkot,1.0,Moderate,103,PM10
2020-02-26,Bagalkot,1.0,Satisfactory,83,PM10
2020-02-27,Bagalkot,1.0,Satisfactory,75,PM10
2020-02-28,Bagalkot,1.0,Satisfactory,68,PM10
2020-02-29,Bagalkot,1.0,Satisfactory,70,PM10
2020-03-01,Bagalkot,1.0,Satisfactory,72,PM10
2020-03-02,Bagalkot,1.0,Satisfactory,64,PM10
2020-03-03,Bagalkot,1.0,Satisfactory,93,PM10
2020-03-04,Bagalkot,1.0,Satisfactory,69,PM10
2020-03-05,Bagalkot,1.0,Satisfactory,74,PM10
2020-03-19,Bagalkot,1.0,Satisfactory,64,CO
2020-03-20,Bagalkot,1.0,Satisfactory,84,CO
2020-03-21,Bagalkot,1.0,Satisfactory,61,PM10
2020-03-22,Bagalkot,1.0,Satisfactory,84,PM10
2020-03-23,Bagalkot,1.0,Satisfactory,100,CO
2020-03-24,Bagalkot,1.0,Satisfactory,83,CO
2020-03-25,Bagalkot,1.0,Satisfactory,68,O3
2020-03-26,Bagalkot,1.0,Satisfactory,64,CO
2020-03-27,Bagalkot,1.0,Moderate,104,CO
2020-03-28,Bagalkot,1.0,Satisfactory,58,O3
2020-03-29,Bagalkot,1.0,Satisfactory,63,O3
2020-03-30,Bagalkot,1.0,Satisfactory,62,O3
2020-03-31,Bagalkot,1.0,Satisfactory,72,CO
2020-04-01,Bagalkot,1.0,Satisfactory,86,CO
2020-04-02,Bagalkot,1.0,Satisfactory,88,CO
2020-04-03,Bagalkot,1.0,Good,43,PM10
2020-04-15,Bagalkot,1.0,Satisfactory,78,PM10
2020-04-16,Bagalkot,1.0,Moderate,108,CO
2020-04-17,Bagalkot,1.0,Satisfactory,57,O3
2020-04-18,Bagalkot,1.0,Satisfactory,58,O3
2020-04-19,Bagalkot,1.0,Satisfactory,69,O3
2020-04-20,Bagalkot,1.0,Satisfactory,69,O3
2020-04-21,Bagalkot,1.0,Satisfactory,53,O3
2020-04-22,Bagalkot,1.0,Good,50,O3
2020-04-23,Bagalkot,1.0,Satisfactory,62,PM10
2020-04-24,Bagalkot,1.0,Good,49,PM10
2020-04-25,Bagalkot,1.0,Good,42,PM10
