date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-01-29,Ballabgarh,1.0,Poor,217,PM2.5
2019-01-30,Ballabgarh,1.0,Poor,255,PM2.5
2019-01-31,Ballabgarh,1.0,Moderate,172,PM2.5
2019-02-01,Ballabgarh,1.0,Moderate,116,PM2.5
2019-02-02,Ballabgarh,1.0,Poor,211,PM2.5
2019-02-03,Ballabgarh,1.0,Poor,231,PM2.5
2019-02-05,Ballabgarh,1.0,Poor,293,PM2.5
2019-02-07,Ballabgarh,1.0,Satisfactory,72,PM10
2019-02-08,Ballabgarh,1.0,Moderate,113,CO
2019-02-10,Ballabgarh,1.0,Poor,244,PM2.5
2019-02-11,Ballabgarh,1.0,Poor,225,PM2.5
2019-02-12,Ballabgarh,1.0,Poor,267,PM2.5
2019-02-13,Ballabgarh,1.0,Poor,300,PM2.5
2019-02-14,Ballabgarh,1.0,Poor,212,PM2.5
2019-02-15,Ballabgarh,1.0,Moderate,108,PM2.5
2019-02-16,Ballabgarh,1.0,Moderate,126,PM10
2019-02-17,Ballabgarh,1.0,Moderate,122,PM10
2019-02-18,Ballabgarh,1.0,Moderate,140,PM10
2019-02-19,Ballabgarh,1.0,Satisfactory,88,PM10
2019-02-20,Ballabgarh,1.0,Moderate,126,PM10
2019-02-21,Ballabgarh,1.0,Satisfactory,78,PM10
2019-02-22,Ballabgarh,1.0,Moderate,136,PM10
2019-02-23,Ballabgarh,1.0,Moderate,133,PM10
2019-02-24,Ballabgarh,1.0,Poor,289,PM2.5
2019-02-25,Ballabgarh,1.0,Poor,253,PM2.5
2019-02-26,Ballabgarh,1.0,Moderate,115,PM10
2019-02-27,Ballabgarh,1.0,Satisfactory,86,PM10
2019-02-28,Ballabgarh,1.0,Poor,236,PM10
2019-03-01,Ballabgarh,1.0,Poor,250,PM2.5
2019-03-02,Ballabgarh,1.0,Poor,228,PM10
2019-03-03,Ballabgarh,1.0,Satisfactory,86,PM10
2019-03-04,Ballabgarh,1.0,Moderate,183,PM2.5
2019-03-05,Ballabgarh,1.0,Moderate,173,PM10
2019-03-06,Ballabgarh,1.0,Very Poor,328,PM10
2019-03-07,Ballabgarh,1.0,Very Poor,315,PM10
2019-03-08,Ballabgarh,1.0,Poor,299,PM10
2019-03-09,Ballabgarh,1.0,Moderate,188,PM10
2019-03-10,Ballabgarh,1.0,Poor,256,PM2.5
