date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-15,Banswara,1.0,Moderate,115,PM10
2023-03-16,Banswara,1.0,Moderate,111,O3
2023-03-17,Banswara,1.0,Moderate,110,O3
2023-03-18,Banswara,1.0,Moderate,104,O3
2023-03-19,Banswara,1.0,Satisfactory,91,O3
2023-03-22,Banswara,1.0,Satisfactory,98,PM10
2023-03-23,Banswara,1.0,Moderate,114,PM10
2023-03-24,Banswara,1.0,Satisfactory,94,PM10
2023-03-28,Banswara,1.0,Moderate,175,O3
2023-03-29,Banswara,1.0,Moderate,170,O3
2023-03-30,Banswara,1.0,Moderate,158,PM10
2023-03-31,Banswara,1.0,Moderate,103,PM10
2023-04-01,Banswara,1.0,Moderate,117,PM10
2023-04-02,Banswara,1.0,Moderate,120,PM10
2023-04-03,Banswara,1.0,Moderate,124,PM10
2023-04-04,Banswara,1.0,Moderate,133,PM10
2023-04-05,Banswara,1.0,Moderate,142,PM10
2023-04-06,Banswara,1.0,Moderate,156,PM10
2023-04-07,Banswara,1.0,Moderate,154,PM10
2023-04-08,Banswara,1.0,Moderate,128,O3
2023-04-09,Banswara,1.0,Moderate,123,PM10
2023-04-10,Banswara,1.0,Moderate,155,O3
2023-04-11,Banswara,1.0,Moderate,166,O3
2023-04-12,Banswara,1.0,Moderate,149,PM10
2023-04-13,Banswara,1.0,Moderate,128,PM10
2023-04-14,Banswara,1.0,Poor,206,O3
2023-04-15,Banswara,1.0,Moderate,151,PM10
2023-04-16,Banswara,1.0,Moderate,119,PM10
2023-04-17,Banswara,1.0,Moderate,117,CO
2023-04-18,Banswara,1.0,Moderate,132,PM10
2023-04-19,Banswara,1.0,Moderate,129,PM10
2023-04-20,Banswara,1.0,Moderate,141,PM10
2023-04-21,Banswara,1.0,Moderate,127,PM10
2023-04-22,Banswara,1.0,Moderate,127,PM10
2023-04-23,Banswara,1.0,Moderate,101,PM10
2023-04-24,Banswara,1.0,Moderate,120,O3
2023-04-25,Banswara,1.0,Moderate,192,O3
2023-04-26,Banswara,1.0,Moderate,197,O3
2023-04-27,Banswara,1.0,Moderate,124,O3
2023-04-29,Banswara,1.0,Satisfactory,65,CO
2023-04-30,Banswara,1.0,Satisfactory,88,O3
2023-05-01,Banswara,1.0,Satisfactory,82,O3
2023-05-02,Banswara,1.0,Satisfactory,82,O3
2023-05-03,Banswara,1.0,Satisfactory,88,O3
2023-05-04,Banswara,1.0,Moderate,115,O3
2023-05-05,Banswara,1.0,Moderate,166,O3
