date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-20,Baran,1.0,Satisfactory,89,PM10
2023-06-21,Baran,1.0,Satisfactory,85,PM2.5
2023-06-22,Baran,1.0,Satisfactory,80,PM10
2023-06-23,Baran,1.0,Satisfactory,99,PM10
2023-06-24,Baran,1.0,Moderate,107,PM10
2023-06-25,Baran,1.0,Satisfactory,82,O3
2023-06-27,Baran,1.0,Satisfactory,77,PM10
2023-06-28,Baran,1.0,Satisfactory,77,PM10
2023-06-29,Baran,1.0,Satisfactory,90,PM10
2023-06-30,Baran,1.0,Satisfactory,85,O3
2023-07-01,Baran,1.0,Satisfactory,60,O3
2023-07-02,Baran,1.0,Satisfactory,56,O3
2023-07-03,Baran,1.0,Satisfactory,62,PM10
2023-07-04,Baran,1.0,Satisfactory,87,PM10
2023-07-05,Baran,1.0,Moderate,103,PM10
2023-07-07,Baran,1.0,Satisfactory,66,O3
2023-07-08,Baran,1.0,Satisfactory,54,O3
2023-07-09,Baran,1.0,Satisfactory,58,PM10
2023-07-10,Baran,1.0,Satisfactory,70,PM10
2023-07-11,Baran,1.0,Moderate,119,PM2.5
2023-07-12,Baran,1.0,Moderate,159,PM10
2023-07-13,Baran,1.0,Moderate,128,PM10
2023-07-14,Baran,1.0,Moderate,117,PM10
2023-07-15,Baran,1.0,Moderate,160,PM10
2023-07-16,Baran,1.0,Moderate,173,PM2.5
2023-07-17,Baran,1.0,Moderate,129,PM10
2023-07-18,Baran,1.0,Poor,202,PM10
2023-07-19,Baran,1.0,Poor,257,PM2.5
2023-07-20,Baran,1.0,Poor,233,PM2.5
2023-07-21,Baran,1.0,Moderate,146,PM2.5
2023-07-22,Baran,1.0,Satisfactory,90,PM10
2023-07-23,Baran,1.0,Good,42,O3
2023-07-24,Baran,1.0,Satisfactory,71,PM10
2023-07-25,Baran,1.0,Satisfactory,64,PM10
2023-07-26,Baran,1.0,Satisfactory,94,PM10
2023-07-27,Baran,1.0,Satisfactory,81,PM10
2023-07-28,Baran,1.0,Good,37,PM10
2023-07-29,Baran,1.0,Satisfactory,69,PM2.5
2023-07-30,Baran,1.0,Good,49,PM10
2023-07-31,Baran,1.0,Satisfactory,72,PM2.5
2023-08-01,Baran,1.0,Moderate,136,PM2.5
2023-08-02,Baran,1.0,Moderate,104,PM2.5
2023-08-03,Baran,1.0,Satisfactory,86,PM10
2023-08-04,Baran,1.0,Moderate,109,PM10
2023-08-05,Baran,1.0,Moderate,107,PM10
2023-08-06,Baran,1.0,Moderate,102,PM10
2023-08-07,Baran,1.0,Satisfactory,91,PM10
2023-08-08,Baran,1.0,Satisfactory,96,PM10
2023-08-09,Baran,1.0,Satisfactory,94,PM10
2023-08-10,Baran,1.0,Satisfactory,97,PM10
2023-08-11,Baran,1.0,Satisfactory,91,PM10
2023-08-12,Baran,1.0,Satisfactory,95,PM10
2023-08-13,Baran,1.0,Satisfactory,91,PM10
2023-08-14,Baran,1.0,Satisfactory,85,PM10
