date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-11-03,Barbil,1.0,Moderate,122,PM10
2023-11-04,Barbil,1.0,Satisfactory,89,PM10
2023-11-05,Barbil,1.0,Satisfactory,93,PM10
2023-11-06,Barbil,1.0,Moderate,140,PM2.5
2023-11-07,Barbil,1.0,Moderate,139,PM10
2023-11-08,Barbil,1.0,Moderate,143,PM10
2023-11-09,Barbil,1.0,Moderate,167,PM10
2023-11-10,Barbil,1.0,Moderate,195,PM10
2023-11-11,Barbil,1.0,Moderate,153,PM10
2023-11-12,Barbil,1.0,Moderate,150,PM10
2023-11-13,Barbil,1.0,Poor,285,PM2.5
2023-11-14,Barbil,1.0,Poor,214,PM2.5
2023-11-15,Barbil,1.0,Moderate,164,O3
2023-11-16,Barbil,1.0,Moderate,184,O3
2023-11-17,Barbil,1.0,Moderate,118,PM10
2023-11-18,Barbil,1.0,Satisfactory,96,PM10
2023-11-19,Barbil,1.0,Moderate,109,PM10
2023-11-20,Barbil,1.0,Moderate,164,O3
2023-11-21,Barbil,1.0,Moderate,138,PM10
2023-11-22,Barbil,1.0,Moderate,129,PM10
2023-11-23,Barbil,1.0,Moderate,177,PM2.5
2023-11-24,Barbil,1.0,Poor,203,PM2.5
2023-11-25,Barbil,1.0,Poor,213,PM2.5
2023-11-26,Barbil,1.0,Poor,223,PM2.5
2023-11-27,Barbil,1.0,Moderate,175,PM2.5
2023-11-28,Barbil,1.0,Moderate,164,PM2.5
2023-11-29,Barbil,1.0,Moderate,159,PM10
2023-11-30,Barbil,1.0,Moderate,149,PM10
2023-12-01,Barbil,1.0,Poor,225,O3
2023-12-02,Barbil,1.0,Poor,261,PM2.5
2023-12-03,Barbil,1.0,Poor,225,PM2.5
2023-12-05,Barbil,1.0,Moderate,125,PM2.5
2023-12-06,Barbil,1.0,Good,47,CO
2023-12-07,Barbil,1.0,Satisfactory,54,CO
2023-12-08,Barbil,1.0,Satisfactory,56,O3
2023-12-09,Barbil,1.0,Moderate,111,PM10
2023-12-10,Barbil,1.0,Satisfactory,97,PM10
2023-12-11,Barbil,1.0,Satisfactory,95,PM10
2023-12-12,Barbil,1.0,Moderate,125,PM10
2023-12-13,Barbil,1.0,Moderate,141,PM10
2023-12-15,Barbil,1.0,Moderate,123,PM10
2023-12-16,Barbil,1.0,Moderate,127,PM10
2023-12-17,Barbil,1.0,Moderate,161,O3
2023-12-18,Barbil,1.0,Moderate,172,PM2.5
2023-12-19,Barbil,1.0,Moderate,182,PM2.5
2023-12-20,Barbil,1.0,Moderate,158,PM2.5
2023-12-21,Barbil,1.0,Moderate,186,PM2.5
2023-12-22,Barbil,1.0,Moderate,173,PM2.5
2023-12-23,Barbil,1.0,Poor,207,PM2.5
2023-12-24,Barbil,1.0,Moderate,192,PM2.5
2023-12-25,Barbil,1.0,Moderate,139,PM2.5
2023-12-26,Barbil,1.0,Moderate,170,PM2.5
2023-12-27,Barbil,1.0,Moderate,190,PM2.5
2023-12-28,Barbil,1.0,Poor,240,PM2.5
2023-12-29,Barbil,1.0,Poor,255,PM2.5
2023-12-30,Barbil,1.0,Poor,247,PM2.5
2023-12-31,Barbil,1.0,Poor,286,PM2.5
