date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-06-03,Bareilly,1.0,Poor,208,PM10
2022-06-04,Bareilly,1.0,Moderate,153,PM10
2022-06-05,Bareilly,1.0,Moderate,158,PM10
2022-06-06,Bareilly,1.0,Moderate,180,PM10
2022-06-07,Bareilly,1.0,Moderate,181,PM10
2022-06-08,Bareilly,1.0,Poor,242,PM10
2022-06-09,Bareilly,1.0,Moderate,185,PM10
2022-06-10,Bareilly,1.0,Satisfactory,100,PM2.5
2022-06-11,Bareilly,1.0,Satisfactory,96,PM2.5
2022-06-12,Bareilly,1.0,Satisfactory,74,PM10
2022-06-13,Bareilly,1.0,Moderate,120,PM2.5
2022-06-15,Bareilly,1.0,Moderate,146,PM10
2022-06-17,Bareilly,1.0,Moderate,118,PM10
2022-06-18,Bareilly,1.0,Moderate,104,PM10
2022-06-19,Bareilly,1.0,Satisfactory,90,PM10
2022-06-20,Bareilly,1.0,Moderate,149,PM2.5
2022-06-21,Bareilly,1.0,Moderate,113,PM10
2022-06-22,Bareilly,1.0,Moderate,103,PM10
2022-06-23,Bareilly,1.0,Moderate,165,PM2.5
2022-06-25,Bareilly,1.0,Moderate,160,PM10
2022-06-26,Bareilly,1.0,Satisfactory,89,PM10
2022-06-27,Bareilly,1.0,Satisfactory,92,PM10
2022-06-28,Bareilly,1.0,Satisfactory,91,PM10
2022-06-29,Bareilly,1.0,Satisfactory,94,PM10
2022-07-01,Bareilly,1.0,Good,29,PM2.5
2022-07-02,Bareilly,1.0,Satisfactory,73,PM10
2022-07-03,Bareilly,1.0,Good,50,PM2.5
2022-07-04,Bareilly,1.0,Moderate,106,PM2.5
2022-07-05,Bareilly,1.0,Satisfactory,65,PM10
2022-07-06,Bareilly,1.0,Satisfactory,59,PM10
2022-07-08,Bareilly,1.0,Satisfactory,69,PM10
2022-07-09,Bareilly,1.0,Good,40,PM10
2022-07-10,Bareilly,1.0,Good,33,PM10
2022-07-11,Bareilly,1.0,Satisfactory,57,PM10
2022-07-12,Bareilly,1.0,Satisfactory,63,PM10
2022-07-14,Bareilly,1.0,Satisfactory,63,PM10
2022-07-15,Bareilly,1.0,Satisfactory,51,PM10
2022-07-16,Bareilly,1.0,Good,45,PM10
2022-07-17,Bareilly,1.0,Good,44,PM10
2022-07-18,Bareilly,1.0,Satisfactory,54,PM10
2022-07-19,Bareilly,1.0,Satisfactory,55,PM10
2022-07-20,Bareilly,1.0,Good,44,PM10
2022-07-22,Bareilly,1.0,Good,33,PM10
2022-07-23,Bareilly,1.0,Good,34,PM10
2022-07-24,Bareilly,1.0,Good,20,O3
2022-07-25,Bareilly,1.0,Good,24,O3
2022-07-26,Bareilly,1.0,Good,30,PM10
2022-07-27,Bareilly,1.0,Good,37,PM10
2022-07-28,Bareilly,1.0,Good,42,PM10
2022-07-29,Bareilly,1.0,Good,45,PM10
2022-07-30,Bareilly,1.0,Good,40,PM10
2022-07-31,Bareilly,1.0,Good,31,PM10
2022-08-01,Bareilly,1.0,Satisfactory,61,PM10
2022-08-02,Bareilly,1.0,Satisfactory,64,PM10
2022-08-03,Bareilly,1.0,Good,39,PM10
2022-08-04,Bareilly,1.0,Good,28,PM10
2022-08-05,Bareilly,1.0,Good,32,PM10
2022-08-06,Bareilly,1.0,Good,50,PM10
2022-08-07,Bareilly,1.0,Good,36,PM10
2022-08-08,Bareilly,1.0,Good,43,PM10
2022-08-09,Bareilly,1.0,Good,44,PM10
2022-08-10,Bareilly,1.0,Good,42,PM10
2022-08-11,Bareilly,2.0,Good,40,PM10
2022-08-12,Bareilly,2.0,Good,45,PM10
2022-08-13,Bareilly,2.0,Good,50,"PM10, PM2.5"
2022-08-14,Bareilly,2.0,Satisfactory,59,"PM10, PM2.5"
2022-08-15,Bareilly,1.0,Good,31,CO
2022-08-16,Bareilly,2.0,Satisfactory,54,PM10
2022-08-17,Bareilly,2.0,Good,50,"PM10, PM2.5"
2022-08-18,Bareilly,2.0,Good,48,"PM10, PM2.5"
2022-08-19,Bareilly,2.0,Satisfactory,56,"PM10, PM2.5"
2022-08-20,Bareilly,1.0,Good,36,PM10
2022-08-21,Bareilly,2.0,Satisfactory,54,"PM10, PM2.5"
2022-08-22,Bareilly,2.0,Satisfactory,54,PM10
2022-08-23,Bareilly,2.0,Satisfactory,64,"PM10, PM2.5"
2022-08-25,Bareilly,2.0,Good,48,"PM10, PM2.5"
2022-08-26,Bareilly,2.0,Satisfactory,84,"PM10, PM2.5"
2022-08-27,Bareilly,1.0,Moderate,103,PM2.5
2022-08-28,Bareilly,1.0,Moderate,105,PM10
2022-08-29,Bareilly,1.0,Satisfactory,92,PM10
2022-08-30,Bareilly,2.0,Satisfactory,86,PM10
2022-08-31,Bareilly,2.0,Moderate,108,PM10
2022-09-01,Bareilly,2.0,Moderate,126,"PM10, PM2.5"
2022-09-02,Bareilly,2.0,Satisfactory,74,"PM10, PM2.5"
2022-09-03,Bareilly,2.0,Satisfactory,84,"PM10, PM2.5"
2022-09-04,Bareilly,2.0,Satisfactory,92,PM10
2022-09-05,Bareilly,2.0,Satisfactory,84,PM10
2022-09-06,Bareilly,2.0,Satisfactory,98,PM10
2022-09-07,Bareilly,2.0,Moderate,124,"PM10, PM2.5"
2022-09-08,Bareilly,2.0,Moderate,110,"PM10, PM2.5"
2022-09-09,Bareilly,2.0,Satisfactory,77,"PM10, PM2.5"
2022-09-10,Bareilly,2.0,Satisfactory,64,"PM10, PM2.5"
2022-09-11,Bareilly,2.0,Good,50,"PM10, PM2.5"
2022-09-12,Bareilly,2.0,Satisfactory,54,"PM10, PM2.5"
2022-09-13,Bareilly,2.0,Satisfactory,55,PM10
2022-09-14,Bareilly,2.0,Satisfactory,51,PM10
2022-09-15,Bareilly,1.0,Good,35,CO
2022-09-16,Bareilly,2.0,Good,34,"CO, PM10"
2022-09-18,Bareilly,2.0,Good,50,"PM10, PM2.5"
2022-09-19,Bareilly,2.0,Satisfactory,55,PM10
2022-09-20,Bareilly,2.0,Satisfactory,66,PM10
2022-09-21,Bareilly,1.0,Satisfactory,66,PM10
2022-09-22,Bareilly,2.0,Satisfactory,66,PM10
2022-09-23,Bareilly,2.0,Satisfactory,64,PM10
2022-09-24,Bareilly,2.0,Satisfactory,52,"PM10, PM2.5"
2022-09-25,Bareilly,2.0,Satisfactory,54,"PM10, PM2.5"
2022-09-26,Bareilly,2.0,Good,46,"PM10, PM2.5"
2022-09-27,Bareilly,2.0,Satisfactory,86,"PM10, PM2.5"
2022-09-28,Bareilly,2.0,Moderate,104,"PM10, PM2.5"
2022-09-29,Bareilly,2.0,Moderate,128,"PM10, PM2.5"
2022-09-30,Bareilly,2.0,Moderate,176,PM2.5
2022-10-01,Bareilly,2.0,Moderate,162,PM2.5
2022-10-02,Bareilly,2.0,Moderate,194,PM2.5
2022-10-03,Bareilly,2.0,Moderate,142,"PM10, PM2.5"
2022-10-04,Bareilly,2.0,Moderate,116,PM10
2022-10-05,Bareilly,2.0,Good,44,PM10
2022-10-06,Bareilly,2.0,Good,29,"CO, PM10"
2022-10-07,Bareilly,2.0,Good,34,CO
2022-10-08,Bareilly,2.0,Good,32,CO
2022-10-09,Bareilly,1.0,Good,18,CO
2022-10-10,Bareilly,1.0,Good,22,CO
2022-10-11,Bareilly,2.0,Good,33,CO
2022-10-12,Bareilly,2.0,Satisfactory,54,PM10
2022-10-13,Bareilly,2.0,Satisfactory,85,PM10
2022-10-14,Bareilly,2.0,Moderate,122,PM10
2022-10-15,Bareilly,2.0,Moderate,158,PM10
2022-10-16,Bareilly,1.0,Moderate,125,PM10
2022-10-17,Bareilly,2.0,Moderate,162,PM2.5
2022-10-18,Bareilly,2.0,Moderate,182,PM2.5
2022-10-19,Bareilly,2.0,Moderate,152,"PM10, PM2.5"
2022-10-20,Bareilly,2.0,Moderate,186,"PM10, PM2.5"
2022-10-21,Bareilly,2.0,Moderate,118,PM10
2022-10-22,Bareilly,2.0,Moderate,166,PM10
2022-10-23,Bareilly,2.0,Moderate,194,PM2.5
2022-10-24,Bareilly,2.0,Moderate,186,PM2.5
2022-10-25,Bareilly,2.0,Poor,266,PM2.5
2022-10-26,Bareilly,2.0,Poor,238,PM2.5
2022-10-27,Bareilly,2.0,Moderate,155,PM2.5
2022-10-28,Bareilly,2.0,Moderate,116,PM2.5
2022-10-29,Bareilly,2.0,Poor,222,PM2.5
2022-10-30,Bareilly,2.0,Moderate,142,PM10
2022-10-31,Bareilly,2.0,Moderate,158,PM10
2022-11-01,Bareilly,2.0,Moderate,164,"PM10, PM2.5"
2022-11-02,Bareilly,2.0,Moderate,128,PM10
2022-11-03,Bareilly,2.0,Poor,219,PM10
2022-11-04,Bareilly,2.0,Moderate,112,"PM10, PM2.5"
2022-11-05,Bareilly,2.0,Moderate,102,PM10
2022-11-06,Bareilly,2.0,Moderate,140,PM2.5
2022-11-07,Bareilly,2.0,Moderate,178,PM2.5
2022-11-08,Bareilly,2.0,Moderate,113,PM10
2022-11-09,Bareilly,2.0,Moderate,184,PM2.5
2022-11-10,Bareilly,2.0,Moderate,199,PM2.5
2022-11-11,Bareilly,2.0,Moderate,190,PM2.5
2022-11-12,Bareilly,2.0,Satisfactory,88,PM10
2022-11-13,Bareilly,2.0,Satisfactory,88,PM10
2022-11-14,Bareilly,1.0,Moderate,104,PM10
2022-11-15,Bareilly,2.0,Moderate,104,PM10
2022-11-16,Bareilly,2.0,Satisfactory,96,PM10
2022-11-17,Bareilly,2.0,Satisfactory,84,PM10
2022-11-18,Bareilly,2.0,Moderate,119,PM10
2022-11-19,Bareilly,2.0,Moderate,152,PM10
2022-11-20,Bareilly,2.0,Moderate,165,PM10
2022-11-21,Bareilly,2.0,Moderate,132,PM10
2022-11-22,Bareilly,2.0,Moderate,170,PM10
2022-11-23,Bareilly,2.0,Moderate,124,PM10
2022-11-24,Bareilly,2.0,Moderate,133,PM10
2022-11-25,Bareilly,2.0,Moderate,196,PM10
2022-11-26,Bareilly,2.0,Moderate,132,PM10
2022-11-27,Bareilly,2.0,Moderate,143,PM10
2022-11-28,Bareilly,2.0,Moderate,162,PM10
2022-11-29,Bareilly,2.0,Moderate,140,PM10
2022-11-30,Bareilly,2.0,Moderate,152,PM2.5
2022-12-01,Bareilly,2.0,Moderate,165,PM2.5
2022-12-02,Bareilly,2.0,Moderate,174,PM10
2022-12-03,Bareilly,2.0,Moderate,181,PM2.5
2022-12-04,Bareilly,2.0,Moderate,186,PM10
2022-12-05,Bareilly,2.0,Poor,208,PM2.5
2022-12-06,Bareilly,2.0,Moderate,132,PM10
2022-12-07,Bareilly,2.0,Moderate,137,PM10
2022-12-08,Bareilly,2.0,Moderate,156,PM10
2022-12-09,Bareilly,2.0,Moderate,174,PM2.5
2022-12-10,Bareilly,2.0,Moderate,184,"PM10, PM2.5"
2022-12-11,Bareilly,2.0,Moderate,179,PM2.5
2022-12-12,Bareilly,2.0,Moderate,114,PM10
2022-12-13,Bareilly,2.0,Moderate,103,PM10
2022-12-14,Bareilly,2.0,Moderate,108,PM10
2022-12-15,Bareilly,2.0,Satisfactory,94,PM10
2022-12-16,Bareilly,2.0,Moderate,128,PM10
2022-12-17,Bareilly,2.0,Poor,261,PM2.5
2022-12-18,Bareilly,2.0,Poor,225,"PM10, PM2.5"
2022-12-19,Bareilly,2.0,Moderate,183,PM2.5
2022-12-20,Bareilly,2.0,Moderate,154,PM2.5
2022-12-21,Bareilly,2.0,Moderate,122,PM10
2022-12-22,Bareilly,2.0,Moderate,113,PM10
2022-12-23,Bareilly,2.0,Moderate,128,PM10
2022-12-24,Bareilly,2.0,Moderate,136,PM10
2022-12-25,Bareilly,2.0,Moderate,138,PM10
2022-12-26,Bareilly,2.0,Moderate,136,PM10
2022-12-27,Bareilly,2.0,Moderate,118,PM10
2022-12-28,Bareilly,2.0,Moderate,160,"PM10, PM2.5"
2022-12-29,Bareilly,2.0,Moderate,133,"PM10, PM2.5"
2022-12-30,Bareilly,2.0,Moderate,188,PM2.5
2022-12-31,Bareilly,2.0,Moderate,156,PM2.5
2023-01-01,Bareilly,2.0,Moderate,118,PM2.5
2023-01-02,Bareilly,2.0,Satisfactory,90,PM10
2023-01-03,Bareilly,2.0,Satisfactory,92,PM2.5
2023-01-04,Bareilly,2.0,Moderate,104,PM10
2023-01-05,Bareilly,2.0,Moderate,106,PM10
2023-01-06,Bareilly,2.0,Moderate,106,"PM10, PM2.5"
2023-01-07,Bareilly,2.0,Moderate,112,"PM10, PM2.5"
2023-01-08,Bareilly,2.0,Moderate,110,PM10
2023-01-09,Bareilly,2.0,Moderate,133,PM2.5
2023-01-10,Bareilly,2.0,Moderate,119,PM2.5
2023-01-12,Bareilly,2.0,Moderate,105,PM10
2023-01-13,Bareilly,1.0,Moderate,105,PM2.5
2023-01-14,Bareilly,1.0,Moderate,142,PM2.5
2023-01-15,Bareilly,2.0,Moderate,102,PM10
2023-01-16,Bareilly,2.0,Satisfactory,94,PM10
2023-01-17,Bareilly,2.0,Moderate,133,PM2.5
2023-01-18,Bareilly,2.0,Moderate,126,PM10
2023-01-19,Bareilly,2.0,Moderate,128,"PM10, PM2.5"
2023-01-20,Bareilly,2.0,Moderate,180,PM2.5
2023-01-21,Bareilly,2.0,Moderate,131,PM10
2023-01-22,Bareilly,2.0,Moderate,138,"PM10, PM2.5"
2023-01-23,Bareilly,2.0,Moderate,116,"PM10, PM2.5"
2023-01-24,Bareilly,2.0,Satisfactory,66,PM10
2023-01-26,Bareilly,2.0,Satisfactory,54,PM10
2023-01-27,Bareilly,2.0,Satisfactory,73,PM10
2023-01-28,Bareilly,2.0,Satisfactory,88,PM10
2023-01-29,Bareilly,2.0,Satisfactory,82,PM10
2023-01-30,Bareilly,2.0,Satisfactory,78,"PM10, PM2.5"
2023-01-31,Bareilly,2.0,Satisfactory,53,PM10
2023-02-01,Bareilly,2.0,Satisfactory,52,PM10
2023-02-02,Bareilly,2.0,Satisfactory,77,PM10
2023-02-03,Bareilly,2.0,Satisfactory,93,PM10
2023-02-04,Bareilly,2.0,Moderate,116,PM10
2023-02-05,Bareilly,2.0,Satisfactory,89,PM10
