date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-27,Baripada,1.0,Moderate,143,PM10
2022-11-28,Baripada,1.0,Moderate,199,PM2.5
2022-11-29,Baripada,1.0,Poor,218,PM2.5
2022-11-30,Baripada,1.0,Moderate,175,PM2.5
2022-12-01,Baripada,1.0,Moderate,154,PM2.5
2022-12-02,Baripada,1.0,Poor,241,PM2.5
2022-12-03,Baripada,1.0,Poor,288,PM2.5
2022-12-04,Baripada,1.0,Very Poor,302,PM2.5
2022-12-05,Baripada,1.0,Very Poor,306,PM2.5
2022-12-06,Baripada,1.0,Poor,274,PM2.5
2022-12-07,Baripada,1.0,Poor,275,PM2.5
2022-12-08,Baripada,1.0,Poor,228,PM2.5
2022-12-09,Baripada,1.0,Moderate,186,PM2.5
2022-12-10,Baripada,1.0,Poor,262,PM2.5
2022-12-11,Baripada,1.0,Poor,257,PM2.5
2022-12-12,Baripada,1.0,Poor,259,PM2.5
2022-12-13,Baripada,1.0,Moderate,199,PM2.5
2022-12-14,Baripada,1.0,Moderate,143,PM10
2022-12-15,Baripada,1.0,Moderate,155,O3
2022-12-16,Baripada,1.0,Moderate,158,O3
2022-12-17,Baripada,1.0,Moderate,174,PM2.5
2022-12-18,Baripada,1.0,Moderate,193,PM2.5
2022-12-19,Baripada,1.0,Poor,226,PM2.5
2022-12-20,Baripada,1.0,Poor,206,PM2.5
2022-12-21,Baripada,1.0,Poor,252,PM2.5
2022-12-22,Baripada,1.0,Poor,295,PM2.5
2022-12-23,Baripada,1.0,Moderate,180,PM2.5
2022-12-24,Baripada,1.0,Moderate,179,O3
2022-12-25,Baripada,1.0,Moderate,197,PM2.5
2022-12-26,Baripada,1.0,Moderate,108,O3
2022-12-27,Baripada,1.0,Moderate,129,PM2.5
2022-12-28,Baripada,1.0,Poor,253,PM2.5
2022-12-30,Baripada,1.0,Moderate,179,PM2.5
2022-12-31,Baripada,1.0,Moderate,144,PM2.5
2023-01-01,Baripada,1.0,Poor,246,PM2.5
2023-01-02,Baripada,1.0,Very Poor,310,PM2.5
2023-01-03,Baripada,1.0,Very Poor,319,PM2.5
2023-01-04,Baripada,1.0,Very Poor,321,PM2.5
2023-01-05,Baripada,1.0,Poor,299,PM2.5
2023-01-06,Baripada,1.0,Poor,261,PM2.5
2023-01-07,Baripada,1.0,Moderate,132,PM10
2023-01-08,Baripada,1.0,Moderate,120,PM10
2023-01-09,Baripada,1.0,Moderate,115,PM10
2023-01-10,Baripada,1.0,Moderate,162,O3
2023-01-12,Baripada,1.0,Poor,219,PM2.5
2023-01-13,Baripada,1.0,Poor,261,PM2.5
2023-01-14,Baripada,1.0,Poor,245,PM2.5
2023-01-15,Baripada,1.0,Poor,246,PM2.5
2023-01-16,Baripada,1.0,Poor,257,PM2.5
2023-01-17,Baripada,1.0,Poor,264,PM2.5
2023-01-18,Baripada,1.0,Poor,281,PM2.5
2023-01-19,Baripada,1.0,Poor,272,PM2.5
2023-01-20,Baripada,1.0,Very Poor,309,PM2.5
2023-01-22,Baripada,1.0,Poor,275,PM2.5
2023-01-23,Baripada,1.0,Moderate,200,PM2.5
2023-01-24,Baripada,1.0,Poor,217,PM2.5
2023-01-25,Baripada,1.0,Moderate,190,PM2.5
2023-01-26,Baripada,1.0,Poor,211,O3
2023-01-27,Baripada,1.0,Moderate,171,PM2.5
2023-01-28,Baripada,1.0,Moderate,152,PM2.5
2023-01-29,Baripada,1.0,Moderate,164,PM2.5
2023-01-30,Baripada,1.0,Moderate,133,PM10
2023-01-31,Baripada,1.0,Moderate,116,PM10
2023-02-01,Baripada,1.0,Moderate,130,PM10
2023-02-02,Baripada,1.0,Moderate,177,O3
2023-02-03,Baripada,1.0,Moderate,111,PM10
2023-02-04,Baripada,1.0,Moderate,117,PM10
2023-02-05,Baripada,1.0,Moderate,173,O3
2023-02-06,Baripada,1.0,Moderate,119,PM10
2023-02-07,Baripada,1.0,Moderate,103,PM10
2023-02-08,Baripada,1.0,Moderate,155,O3
2023-02-09,Baripada,1.0,Moderate,178,O3
2023-02-10,Baripada,1.0,Moderate,198,O3
2023-02-11,Baripada,1.0,Moderate,131,PM10
2023-02-12,Baripada,1.0,Moderate,117,PM10
2023-02-13,Baripada,1.0,Moderate,153,O3
2023-02-14,Baripada,1.0,Moderate,157,O3
2023-02-15,Baripada,1.0,Moderate,186,O3
2023-02-16,Baripada,1.0,Moderate,143,PM10
2023-02-17,Baripada,1.0,Moderate,145,PM10
2023-02-18,Baripada,1.0,Moderate,188,PM2.5
2023-02-19,Baripada,1.0,Moderate,162,O3
2023-02-20,Baripada,1.0,Moderate,109,PM10
2023-02-21,Baripada,1.0,Moderate,140,O3
2023-02-22,Baripada,1.0,Very Poor,301,O3
2023-02-24,Baripada,1.0,Poor,222,O3
2023-02-25,Baripada,1.0,Moderate,178,O3
2023-02-26,Baripada,1.0,Moderate,176,PM2.5
2023-02-27,Baripada,1.0,Moderate,171,O3
2023-02-28,Baripada,1.0,Moderate,150,O3
2023-03-01,Baripada,1.0,Moderate,131,PM10
2023-03-02,Baripada,1.0,Moderate,117,PM10
2023-03-04,Baripada,1.0,Moderate,168,PM2.5
2023-03-05,Baripada,1.0,Poor,212,PM2.5
2023-03-06,Baripada,1.0,Moderate,175,PM2.5
2023-03-07,Baripada,1.0,Poor,231,O3
2023-03-08,Baripada,1.0,Poor,208,O3
2023-03-09,Baripada,1.0,Moderate,188,O3
2023-03-10,Baripada,1.0,Poor,230,O3
2023-03-11,Baripada,1.0,Moderate,138,PM10
2023-03-12,Baripada,1.0,Moderate,195,O3
2023-03-13,Baripada,1.0,Moderate,145,PM10
2023-03-14,Baripada,1.0,Moderate,181,O3
2023-03-15,Baripada,1.0,Moderate,178,O3
2023-03-17,Baripada,1.0,Moderate,108,PM10
2023-03-18,Baripada,1.0,Moderate,133,PM2.5
2023-03-19,Baripada,1.0,Good,42,PM10
2023-03-20,Baripada,1.0,Good,46,O3
2023-03-21,Baripada,1.0,Satisfactory,55,O3
2023-03-22,Baripada,1.0,Satisfactory,92,O3
2023-03-23,Baripada,1.0,Moderate,136,O3
2023-03-24,Baripada,1.0,Moderate,118,O3
2023-03-25,Baripada,1.0,Moderate,159,O3
2023-03-26,Baripada,1.0,Satisfactory,78,PM10
2023-03-27,Baripada,1.0,Satisfactory,73,PM10
2023-03-28,Baripada,1.0,Moderate,101,O3
2023-03-29,Baripada,1.0,Satisfactory,71,PM10
2023-03-30,Baripada,1.0,Satisfactory,59,O3
2023-03-31,Baripada,1.0,Satisfactory,66,PM10
2023-04-01,Baripada,1.0,Satisfactory,51,O3
2023-04-02,Baripada,1.0,Satisfactory,70,O3
2023-04-03,Baripada,1.0,Satisfactory,70,PM10
2023-04-05,Baripada,1.0,Moderate,172,O3
2023-04-06,Baripada,1.0,Moderate,193,O3
