date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Barmer,1.0,Moderate,147,O3
2023-03-14,Barmer,1.0,Moderate,192,O3
2023-03-15,Barmer,1.0,Moderate,179,O3
2023-03-16,Barmer,1.0,Moderate,139,O3
2023-03-17,Barmer,1.0,Moderate,172,PM10
2023-03-18,Barmer,1.0,Satisfactory,96,O3
2023-03-19,Barmer,1.0,Satisfactory,88,O3
2023-03-20,Barmer,1.0,Satisfactory,77,O3
2023-03-21,Barmer,1.0,Satisfactory,84,O3
2023-03-22,Barmer,1.0,Satisfactory,69,O3
2023-03-23,Barmer,1.0,Satisfactory,64,O3
2023-03-24,Barmer,1.0,Satisfactory,85,O3
2023-03-25,Barmer,1.0,Moderate,129,PM10
2023-03-26,Barmer,1.0,Moderate,130,PM10
2023-03-27,Barmer,1.0,Moderate,115,PM10
2023-03-28,Barmer,1.0,Moderate,114,PM10
2023-03-29,Barmer,1.0,Moderate,103,PM10
2023-03-30,Barmer,1.0,Satisfactory,87,PM10
2023-03-31,Barmer,1.0,Satisfactory,82,O3
2023-04-01,Barmer,1.0,Satisfactory,93,O3
2023-04-02,Barmer,1.0,Satisfactory,78,O3
2023-04-03,Barmer,1.0,Satisfactory,82,PM10
2023-04-04,Barmer,1.0,Satisfactory,89,PM10
2023-04-05,Barmer,1.0,Satisfactory,97,PM10
2023-04-06,Barmer,1.0,Satisfactory,97,O3
2023-04-07,Barmer,1.0,Moderate,121,PM10
2023-04-08,Barmer,1.0,Moderate,117,PM10
2023-04-09,Barmer,1.0,Satisfactory,99,O3
2023-04-10,Barmer,1.0,Moderate,130,PM10
2023-04-11,Barmer,1.0,Satisfactory,85,PM10
2023-04-12,Barmer,1.0,Moderate,118,PM10
2023-04-13,Barmer,1.0,Satisfactory,100,PM10
2023-04-14,Barmer,1.0,Moderate,111,PM10
2023-04-15,Barmer,1.0,Satisfactory,87,PM10
2023-04-16,Barmer,1.0,Moderate,104,PM10
2023-04-17,Barmer,1.0,Moderate,115,PM10
2023-04-18,Barmer,1.0,Moderate,119,PM10
2023-04-19,Barmer,1.0,Moderate,197,PM10
2023-04-20,Barmer,1.0,Moderate,150,PM10
2023-04-21,Barmer,1.0,Moderate,107,PM10
2023-04-22,Barmer,1.0,Satisfactory,99,PM10
2023-04-23,Barmer,1.0,Moderate,169,PM10
2023-04-24,Barmer,1.0,Moderate,113,O3
2023-04-25,Barmer,1.0,Moderate,161,O3
2023-04-26,Barmer,1.0,Moderate,166,O3
2023-04-27,Barmer,1.0,Moderate,113,PM10
2023-04-28,Barmer,1.0,Satisfactory,64,PM10
2023-04-29,Barmer,1.0,Satisfactory,64,O3
2023-04-30,Barmer,1.0,Satisfactory,60,O3
2023-05-01,Barmer,1.0,Satisfactory,73,O3
2023-05-02,Barmer,1.0,Satisfactory,74,O3
2023-05-03,Barmer,1.0,Moderate,153,O3
2023-05-04,Barmer,1.0,Satisfactory,99,O3
2023-05-05,Barmer,1.0,Moderate,119,PM10
2023-05-06,Barmer,1.0,Moderate,108,O3
2023-05-07,Barmer,1.0,Satisfactory,75,O3
2023-05-08,Barmer,1.0,Moderate,118,PM10
2023-05-09,Barmer,1.0,Moderate,102,O3
2023-05-10,Barmer,1.0,Moderate,104,O3
2023-05-11,Barmer,1.0,Moderate,112,O3
2023-05-12,Barmer,1.0,Moderate,133,O3
2023-05-13,Barmer,1.0,Satisfactory,92,PM10
2023-05-14,Barmer,1.0,Satisfactory,87,PM10
2023-05-15,Barmer,1.0,Satisfactory,92,PM10
2023-05-16,Barmer,1.0,Satisfactory,85,PM10
2023-05-17,Barmer,1.0,Satisfactory,81,PM10
2023-05-18,Barmer,1.0,Satisfactory,78,PM10
2023-05-19,Barmer,1.0,Satisfactory,87,PM10
2023-05-20,Barmer,1.0,Moderate,107,PM10
2023-05-21,Barmer,1.0,Satisfactory,84,PM10
2023-05-22,Barmer,1.0,Moderate,197,O3
2023-05-23,Barmer,1.0,Satisfactory,75,PM10
2023-05-24,Barmer,1.0,Satisfactory,92,PM10
2023-05-25,Barmer,1.0,Moderate,188,PM10
2023-05-26,Barmer,1.0,Moderate,164,PM10
2023-05-27,Barmer,1.0,Moderate,188,PM10
2023-05-28,Barmer,1.0,Moderate,116,PM10
2023-05-29,Barmer,1.0,Satisfactory,87,O3
2023-05-30,Barmer,1.0,Moderate,110,PM10
2023-05-31,Barmer,1.0,Satisfactory,77,O3
2023-06-01,Barmer,1.0,Satisfactory,65,PM10
2023-06-02,Barmer,1.0,Satisfactory,79,PM10
2023-06-03,Barmer,1.0,Moderate,103,PM10
2023-06-04,Barmer,1.0,Moderate,101,PM10
2023-06-06,Barmer,1.0,Moderate,117,PM10
2023-06-08,Barmer,1.0,Satisfactory,81,PM10
2023-06-09,Barmer,1.0,Satisfactory,99,PM10
2023-06-10,Barmer,1.0,Satisfactory,91,PM10
2023-06-11,Barmer,1.0,Satisfactory,82,PM10
2023-06-12,Barmer,1.0,Satisfactory,81,PM10
2023-06-13,Barmer,1.0,Moderate,101,PM10
2023-06-14,Barmer,1.0,Moderate,119,PM10
2023-06-15,Barmer,1.0,Moderate,121,PM10
2023-06-16,Barmer,1.0,Satisfactory,53,PM10
2023-06-17,Barmer,1.0,Good,40,O3
2023-06-18,Barmer,1.0,Satisfactory,92,PM10
2023-06-19,Barmer,1.0,Moderate,115,PM10
2023-06-20,Barmer,1.0,Moderate,103,PM10
2023-06-21,Barmer,1.0,Satisfactory,63,PM10
2023-06-22,Barmer,1.0,Satisfactory,83,PM10
2023-06-23,Barmer,1.0,Satisfactory,91,PM10
2023-06-24,Barmer,1.0,Satisfactory,84,PM10
2023-06-25,Barmer,1.0,Satisfactory,81,PM10
2023-06-26,Barmer,1.0,Satisfactory,74,PM10
2023-06-27,Barmer,1.0,Satisfactory,60,PM10
2023-06-28,Barmer,1.0,Satisfactory,53,O3
2023-06-30,Barmer,1.0,Good,43,O3
2023-07-01,Barmer,1.0,Satisfactory,63,PM10
2023-07-02,Barmer,1.0,Satisfactory,61,PM10
2023-07-03,Barmer,1.0,Satisfactory,61,PM10
2023-07-04,Barmer,1.0,Satisfactory,67,PM10
2023-07-05,Barmer,1.0,Satisfactory,71,PM10
2023-07-06,Barmer,1.0,Satisfactory,58,PM10
2023-07-07,Barmer,1.0,Moderate,104,O3
2023-07-08,Barmer,1.0,Moderate,138,O3
2023-07-09,Barmer,1.0,Satisfactory,95,O3
2023-07-10,Barmer,1.0,Satisfactory,92,PM10
2023-07-11,Barmer,1.0,Moderate,150,PM10
2023-07-12,Barmer,1.0,Moderate,120,PM10
2023-07-13,Barmer,1.0,Moderate,127,PM10
2023-07-14,Barmer,1.0,Moderate,108,PM10
2023-07-15,Barmer,1.0,Satisfactory,100,PM10
2023-07-16,Barmer,1.0,Satisfactory,98,PM10
2023-07-17,Barmer,1.0,Moderate,106,PM10
2023-07-18,Barmer,1.0,Moderate,111,PM10
2023-07-19,Barmer,1.0,Moderate,126,PM10
2023-07-20,Barmer,1.0,Satisfactory,67,PM10
2023-07-21,Barmer,1.0,Satisfactory,53,PM10
2023-07-22,Barmer,1.0,Satisfactory,53,O3
2023-07-23,Barmer,1.0,Good,42,O3
2023-07-24,Barmer,1.0,Good,37,O3
2023-07-25,Barmer,1.0,Good,33,PM10
2023-07-26,Barmer,1.0,Good,32,PM10
2023-07-27,Barmer,1.0,Good,45,PM10
2023-07-28,Barmer,1.0,Good,50,PM10
2023-07-29,Barmer,1.0,Good,45,PM10
2023-07-30,Barmer,1.0,Good,49,PM10
2023-07-31,Barmer,1.0,Satisfactory,51,PM10
2023-08-01,Barmer,1.0,Satisfactory,74,PM10
2023-08-02,Barmer,1.0,Satisfactory,72,PM10
2023-08-03,Barmer,1.0,Satisfactory,78,PM10
2023-08-04,Barmer,1.0,Satisfactory,71,PM10
2023-08-05,Barmer,1.0,Satisfactory,77,PM10
2023-08-06,Barmer,1.0,Satisfactory,86,PM10
2023-08-07,Barmer,1.0,Satisfactory,86,PM10
2023-08-08,Barmer,1.0,Satisfactory,69,PM10
2023-08-10,Barmer,1.0,Satisfactory,83,PM10
2023-08-11,Barmer,1.0,Satisfactory,82,PM10
2023-08-12,Barmer,1.0,Satisfactory,80,PM10
2023-08-13,Barmer,1.0,Satisfactory,78,PM10
2023-08-14,Barmer,1.0,Satisfactory,85,PM10
2023-08-15,Barmer,1.0,Satisfactory,88,PM10
2023-08-16,Barmer,1.0,Moderate,110,PM10
2023-08-17,Barmer,1.0,Moderate,133,PM10
2023-08-18,Barmer,1.0,Moderate,136,PM10
2023-08-19,Barmer,1.0,Moderate,115,PM10
2023-08-20,Barmer,1.0,Moderate,121,PM10
2023-08-21,Barmer,1.0,Moderate,110,PM10
2023-08-23,Barmer,1.0,Satisfactory,77,PM10
2023-08-24,Barmer,1.0,Satisfactory,77,PM10
2023-08-25,Barmer,1.0,Moderate,117,PM10
2023-08-26,Barmer,1.0,Moderate,115,PM10
2023-08-27,Barmer,1.0,Moderate,138,PM10
2023-08-28,Barmer,1.0,Moderate,116,PM10
2023-08-29,Barmer,1.0,Moderate,101,PM10
2023-08-30,Barmer,1.0,Satisfactory,88,PM10
2023-08-31,Barmer,1.0,Satisfactory,87,PM10
2023-09-01,Barmer,1.0,Satisfactory,96,PM10
2023-09-02,Barmer,1.0,Satisfactory,94,PM10
2023-09-03,Barmer,1.0,Satisfactory,81,PM10
2023-09-04,Barmer,1.0,Satisfactory,80,PM10
2023-09-05,Barmer,1.0,Satisfactory,73,PM10
2023-09-06,Barmer,1.0,Satisfactory,75,PM10
2023-09-07,Barmer,1.0,Satisfactory,80,PM10
2023-09-09,Barmer,1.0,Moderate,104,PM10
2023-09-10,Barmer,1.0,Satisfactory,84,PM10
2023-09-11,Barmer,1.0,Satisfactory,77,PM10
2023-09-12,Barmer,1.0,Satisfactory,83,PM10
2023-09-13,Barmer,1.0,Satisfactory,69,PM10
2023-09-14,Barmer,1.0,Satisfactory,69,PM10
2023-09-15,Barmer,1.0,Satisfactory,66,PM10
2023-09-16,Barmer,1.0,Satisfactory,63,PM10
2023-09-17,Barmer,1.0,Satisfactory,55,O3
2023-09-18,Barmer,1.0,Good,41,O3
2023-09-21,Barmer,1.0,Satisfactory,52,O3
2023-09-22,Barmer,1.0,Satisfactory,60,PM10
2023-09-24,Barmer,1.0,Satisfactory,60,PM10
2023-09-25,Barmer,1.0,Moderate,109,PM10
2023-09-26,Barmer,1.0,Poor,221,PM10
2023-09-27,Barmer,1.0,Moderate,147,PM10
2023-09-29,Barmer,1.0,Satisfactory,92,PM10
2023-09-30,Barmer,1.0,Moderate,131,PM10
2023-10-01,Barmer,1.0,Moderate,139,PM10
2023-10-02,Barmer,1.0,Moderate,120,PM10
2023-10-03,Barmer,1.0,Moderate,103,PM10
2023-10-04,Barmer,1.0,Satisfactory,84,PM10
2023-10-05,Barmer,1.0,Satisfactory,76,PM10
2023-10-06,Barmer,1.0,Satisfactory,66,PM10
2023-10-07,Barmer,1.0,Satisfactory,67,PM10
2023-10-08,Barmer,1.0,Satisfactory,65,PM10
2023-10-09,Barmer,1.0,Satisfactory,72,PM10
2023-10-10,Barmer,1.0,Satisfactory,78,PM10
2023-10-11,Barmer,1.0,Satisfactory,82,PM10
2023-10-12,Barmer,1.0,Satisfactory,93,PM10
2023-10-13,Barmer,1.0,Satisfactory,92,PM10
2023-10-14,Barmer,1.0,Satisfactory,96,PM10
2023-10-18,Barmer,1.0,Satisfactory,74,O3
2023-10-19,Barmer,1.0,Satisfactory,87,PM10
2023-10-20,Barmer,1.0,Satisfactory,75,O3
2023-10-21,Barmer,1.0,Moderate,138,PM10
2023-10-22,Barmer,1.0,Satisfactory,73,O3
2023-10-23,Barmer,1.0,Moderate,110,PM10
