date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-04-05,Begusarai,1.0,Moderate,197,PM2.5
2022-04-07,Begusarai,1.0,Moderate,177,PM10
2022-04-08,Begusarai,1.0,Moderate,119,PM10
2022-04-11,Begusarai,1.0,Satisfactory,78,PM10
2022-05-02,Begusarai,1.0,Satisfactory,71,PM10
2022-05-10,Begusarai,1.0,Good,49,PM10
2022-05-15,Begusarai,1.0,Satisfactory,82,PM10
2022-05-21,Begusarai,1.0,Satisfactory,54,PM10
2022-05-26,Begusarai,1.0,Moderate,106,PM2.5
2022-05-29,Begusarai,1.0,Moderate,109,PM2.5
2022-05-30,Begusarai,1.0,Moderate,142,PM2.5
2022-05-31,Begusarai,1.0,Moderate,122,PM2.5
2022-06-01,Begusarai,1.0,Moderate,141,PM2.5
2022-06-02,Begusarai,1.0,Moderate,110,PM2.5
2022-06-03,Begusarai,1.0,Satisfactory,94,PM2.5
2022-06-04,Begusarai,1.0,Moderate,102,PM10
2022-06-05,Begusarai,1.0,Satisfactory,85,PM10
2022-06-07,Begusarai,1.0,Very Poor,397,PM2.5
2022-06-08,Begusarai,1.0,Satisfactory,88,PM10
2022-06-09,Begusarai,1.0,Satisfactory,96,PM10
2022-06-10,Begusarai,1.0,Satisfactory,58,PM10
2022-06-11,Begusarai,1.0,Satisfactory,90,PM10
2022-06-12,Begusarai,1.0,Moderate,125,PM2.5
2022-06-13,Begusarai,1.0,Satisfactory,88,PM2.5
2022-06-14,Begusarai,1.0,Satisfactory,92,PM10
2022-06-15,Begusarai,1.0,Moderate,111,PM2.5
2022-06-17,Begusarai,1.0,Satisfactory,97,PM10
2022-06-23,Begusarai,1.0,Moderate,114,PM2.5
2022-06-24,Begusarai,1.0,Satisfactory,95,PM2.5
2022-06-26,Begusarai,1.0,Satisfactory,51,PM2.5
2022-06-27,Begusarai,1.0,Satisfactory,56,PM10
2022-07-02,Begusarai,1.0,Good,49,PM2.5
2022-07-04,Begusarai,1.0,Satisfactory,64,PM2.5
2022-07-09,Begusarai,1.0,Good,50,PM10
2022-07-12,Begusarai,1.0,Satisfactory,60,PM10
2022-07-14,Begusarai,1.0,Satisfactory,60,PM10
2022-07-16,Begusarai,1.0,Satisfactory,64,PM10
2022-07-17,Begusarai,1.0,Good,44,PM10
2022-07-18,Begusarai,1.0,Satisfactory,51,PM10
2022-07-19,Begusarai,1.0,Satisfactory,56,O3
2022-07-20,Begusarai,1.0,Satisfactory,63,PM10
2022-07-21,Begusarai,1.0,Good,43,PM10
2022-07-22,Begusarai,1.0,Good,32,PM2.5
2022-07-23,Begusarai,1.0,Good,29,O3
2022-07-24,Begusarai,1.0,Good,32,PM2.5
2022-07-29,Begusarai,1.0,Poor,265,PM10
2022-07-31,Begusarai,1.0,Moderate,128,PM10
2022-08-01,Begusarai,1.0,Good,50,PM10
2022-08-06,Begusarai,1.0,Satisfactory,80,PM2.5
2022-08-07,Begusarai,1.0,Good,50,PM2.5
2022-08-08,Begusarai,1.0,Good,46,PM2.5
2022-08-12,Begusarai,1.0,Good,46,O3
2022-08-13,Begusarai,1.0,Satisfactory,85,O3
2022-08-16,Begusarai,1.0,Satisfactory,58,O3
2022-08-17,Begusarai,1.0,Moderate,131,PM2.5
2022-08-21,Begusarai,1.0,Good,35,PM2.5
2022-08-22,Begusarai,1.0,Good,43,PM10
2022-08-24,Begusarai,1.0,Good,35,O3
2022-08-26,Begusarai,1.0,Satisfactory,56,PM10
2022-08-30,Begusarai,1.0,Satisfactory,68,PM2.5
2022-08-31,Begusarai,1.0,Satisfactory,77,PM2.5
2022-09-06,Begusarai,1.0,Satisfactory,52,PM10
2022-09-07,Begusarai,1.0,Good,50,PM2.5
2022-09-08,Begusarai,1.0,Satisfactory,65,PM2.5
2022-09-11,Begusarai,1.0,Good,46,CO
2022-09-12,Begusarai,1.0,Good,46,CO
2022-09-18,Begusarai,1.0,Good,35,O3
2022-09-21,Begusarai,1.0,Good,33,CO
2022-09-23,Begusarai,1.0,Satisfactory,61,PM2.5
2022-09-24,Begusarai,1.0,Satisfactory,68,PM10
2022-10-03,Begusarai,1.0,Moderate,108,PM2.5
2022-10-08,Begusarai,1.0,Satisfactory,87,PM2.5
2022-10-09,Begusarai,1.0,Poor,270,PM10
2022-10-13,Begusarai,1.0,Moderate,140,PM2.5
2022-10-14,Begusarai,1.0,Poor,211,PM2.5
2022-10-15,Begusarai,1.0,Moderate,146,PM2.5
2022-10-16,Begusarai,1.0,Moderate,198,PM2.5
2022-10-17,Begusarai,1.0,Poor,240,PM2.5
2022-10-18,Begusarai,1.0,Poor,250,PM2.5
2022-10-20,Begusarai,1.0,Very Poor,316,PM2.5
