date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-20,Belapur,1.0,Satisfactory,78,PM10
2023-06-21,Belapur,1.0,Satisfactory,83,PM10
2023-06-22,Belapur,1.0,Satisfactory,73,PM10
2023-06-23,Belapur,1.0,Satisfactory,85,PM10
2023-06-24,Belapur,1.0,Good,47,PM10
2023-06-25,Belapur,1.0,Good,43,CO
2023-06-26,Belapur,1.0,Good,45,CO
2023-06-27,Belapur,1.0,Satisfactory,55,CO
2023-06-28,Belapur,1.0,Satisfactory,73,CO
2023-06-29,Belapur,1.0,Satisfactory,53,CO
2023-06-30,Belapur,1.0,Good,32,CO
2023-07-01,Belapur,1.0,Good,46,CO
2023-07-02,Belapur,1.0,Good,39,CO
2023-07-03,Belapur,1.0,Satisfactory,57,CO
2023-07-04,Belapur,1.0,Satisfactory,58,CO
2023-07-05,Belapur,1.0,Satisfactory,56,CO
2023-07-06,Belapur,1.0,Satisfactory,61,CO
2023-07-07,Belapur,1.0,Good,33,CO
2023-07-08,Belapur,1.0,Good,36,PM10
2023-07-09,Belapur,1.0,Good,45,PM10
2023-07-10,Belapur,1.0,Good,44,PM10
2023-07-11,Belapur,1.0,Good,45,PM10
2023-07-12,Belapur,1.0,Satisfactory,58,PM10
2023-07-13,Belapur,1.0,Good,50,PM10
2023-07-14,Belapur,1.0,Good,38,PM10
2023-07-15,Belapur,1.0,Good,33,PM10
2023-07-16,Belapur,1.0,Good,38,PM10
2023-07-17,Belapur,1.0,Good,26,PM10
2023-07-18,Belapur,1.0,Good,22,PM10
2023-07-19,Belapur,1.0,Good,27,PM10
2023-07-20,Belapur,1.0,Good,33,PM10
2023-07-21,Belapur,1.0,Good,27,PM10
2023-07-22,Belapur,1.0,Good,25,PM10
2023-07-23,Belapur,1.0,Good,25,PM10
2023-07-24,Belapur,1.0,Good,23,PM10
2023-07-25,Belapur,1.0,Good,30,PM10
2023-07-26,Belapur,1.0,Good,32,CO
2023-07-27,Belapur,1.0,Good,26,NH3
2023-07-28,Belapur,1.0,Good,25,PM10
2023-07-29,Belapur,1.0,Good,30,PM10
2023-07-30,Belapur,1.0,Good,31,PM10
2023-07-31,Belapur,1.0,Satisfactory,53,O3
2023-08-01,Belapur,1.0,Good,42,PM10
2023-08-02,Belapur,1.0,Good,43,PM10
2023-08-03,Belapur,1.0,Good,47,PM10
2023-08-04,Belapur,1.0,Good,44,PM10
2023-08-05,Belapur,1.0,Good,45,PM10
2023-08-06,Belapur,1.0,Satisfactory,53,PM10
2023-08-07,Belapur,1.0,Satisfactory,63,PM10
2023-08-08,Belapur,1.0,Satisfactory,60,PM10
2023-08-09,Belapur,1.0,Satisfactory,52,PM10
2023-08-10,Belapur,1.0,Satisfactory,57,PM10
2023-08-11,Belapur,1.0,Good,48,PM10
2023-08-12,Belapur,1.0,Good,49,PM10
2023-08-13,Belapur,1.0,Satisfactory,53,PM10
2023-08-14,Belapur,1.0,Satisfactory,54,PM10
2023-08-15,Belapur,1.0,Satisfactory,62,PM10
2023-08-16,Belapur,1.0,Good,43,PM10
2023-08-17,Belapur,1.0,Good,45,PM10
2023-08-18,Belapur,1.0,Good,44,PM10
2023-08-19,Belapur,1.0,Good,47,PM10
2023-08-20,Belapur,1.0,Good,46,PM10
2023-08-21,Belapur,1.0,Good,40,PM10
2023-08-22,Belapur,1.0,Good,36,PM10
2023-08-23,Belapur,1.0,Good,34,PM10
