date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-08-09,Belgaum,1.0,Good,46,CO
2022-08-10,Belgaum,1.0,Good,50,PM10
2022-08-11,Belgaum,1.0,Good,45,CO
2022-08-12,Belgaum,1.0,Good,45,CO
2022-08-13,Belgaum,1.0,Good,46,CO
2022-08-14,Belgaum,1.0,Good,47,CO
2022-08-15,Belgaum,1.0,Good,46,CO
2022-08-16,Belgaum,1.0,Good,47,CO
2022-08-17,Belgaum,1.0,Good,47,CO
2022-08-18,Belgaum,1.0,Good,47,CO
2022-08-19,Belgaum,1.0,Good,50,PM10
2022-08-20,Belgaum,1.0,Good,48,CO
2022-08-21,Belgaum,1.0,Good,48,CO
2022-08-22,Belgaum,1.0,Good,48,CO
2022-08-23,Belgaum,1.0,Good,47,PM10
2022-08-24,Belgaum,1.0,Good,46,CO
2022-08-25,Belgaum,1.0,Good,48,PM2.5
2022-08-26,Belgaum,1.0,Satisfactory,53,PM2.5
2022-08-27,Belgaum,1.0,Good,47,PM2.5
2022-08-28,Belgaum,1.0,Good,47,CO
2022-08-29,Belgaum,1.0,Satisfactory,61,PM2.5
2022-08-30,Belgaum,1.0,Satisfactory,70,PM2.5
2022-08-31,Belgaum,1.0,Satisfactory,59,PM2.5
2022-09-01,Belgaum,1.0,Good,46,CO
2022-09-02,Belgaum,1.0,Good,46,CO
2022-09-03,Belgaum,1.0,Good,46,CO
2022-09-04,Belgaum,1.0,Good,49,PM2.5
2022-09-16,Belgaum,1.0,Good,46,CO
2022-09-17,Belgaum,1.0,Good,47,CO
2022-09-18,Belgaum,1.0,Good,48,CO
2022-09-20,Belgaum,1.0,Satisfactory,56,PM2.5
2022-09-21,Belgaum,1.0,Satisfactory,59,PM2.5
2022-09-22,Belgaum,1.0,Good,48,PM2.5
2022-09-25,Belgaum,1.0,Good,48,CO
2022-09-26,Belgaum,1.0,Good,46,CO
2022-09-27,Belgaum,1.0,Good,46,CO
2022-09-28,Belgaum,1.0,Good,48,PM2.5
2022-09-29,Belgaum,1.0,Good,50,PM2.5
2022-09-30,Belgaum,1.0,Satisfactory,71,PM2.5
2022-10-01,Belgaum,1.0,Satisfactory,53,PM2.5
2022-10-02,Belgaum,1.0,Good,49,PM2.5
2022-10-03,Belgaum,1.0,Good,46,CO
2022-10-04,Belgaum,1.0,Satisfactory,60,PM2.5
2022-10-05,Belgaum,1.0,Satisfactory,72,PM2.5
2022-10-06,Belgaum,1.0,Satisfactory,58,PM2.5
2022-10-07,Belgaum,1.0,Good,46,CO
2022-10-08,Belgaum,1.0,Good,47,CO
2022-10-09,Belgaum,1.0,Good,46,CO
2022-10-10,Belgaum,1.0,Good,46,CO
2022-10-11,Belgaum,1.0,Good,47,CO
2022-10-12,Belgaum,1.0,Good,47,CO
2022-10-13,Belgaum,1.0,Satisfactory,54,PM2.5
2022-10-14,Belgaum,1.0,Good,48,PM2.5
2022-10-15,Belgaum,1.0,Good,48,CO
2022-10-16,Belgaum,1.0,Satisfactory,63,PM2.5
2022-10-17,Belgaum,1.0,Good,48,CO
2022-10-18,Belgaum,1.0,Good,48,CO
2022-10-19,Belgaum,1.0,Good,48,CO
2022-10-20,Belgaum,1.0,Good,48,PM2.5
2022-10-21,Belgaum,1.0,Satisfactory,62,PM10
2022-10-22,Belgaum,1.0,Moderate,102,PM2.5
2022-10-23,Belgaum,1.0,Moderate,114,PM10
2022-10-24,Belgaum,1.0,Moderate,126,PM10
2022-10-25,Belgaum,1.0,Poor,221,PM2.5
2022-10-26,Belgaum,1.0,Moderate,125,PM10
2022-10-27,Belgaum,1.0,Moderate,175,PM2.5
2022-10-28,Belgaum,1.0,Moderate,122,PM10
2022-10-29,Belgaum,1.0,Moderate,126,PM10
2022-10-30,Belgaum,1.0,Moderate,120,PM10
2022-10-31,Belgaum,1.0,Moderate,142,PM10
2022-11-01,Belgaum,1.0,Moderate,154,PM10
2022-11-02,Belgaum,1.0,Moderate,126,PM10
2022-11-03,Belgaum,1.0,Moderate,146,PM10
2022-11-04,Belgaum,1.0,Moderate,154,PM2.5
2022-11-05,Belgaum,1.0,Moderate,121,PM10
2022-11-06,Belgaum,1.0,Moderate,108,PM10
2022-11-07,Belgaum,1.0,Moderate,133,PM10
2022-11-08,Belgaum,1.0,Moderate,152,PM10
2022-11-09,Belgaum,1.0,Moderate,157,PM10
2022-11-10,Belgaum,1.0,Moderate,157,PM10
2022-11-11,Belgaum,1.0,Moderate,146,PM10
2022-11-12,Belgaum,1.0,Moderate,147,PM10
2022-11-13,Belgaum,1.0,Moderate,135,PM10
2022-11-14,Belgaum,1.0,Moderate,109,PM10
2022-11-15,Belgaum,1.0,Moderate,139,PM10
2022-11-16,Belgaum,1.0,Moderate,186,PM2.5
2022-11-17,Belgaum,1.0,Moderate,199,PM2.5
2022-11-18,Belgaum,1.0,Good,48,NO2
2022-11-19,Belgaum,1.0,Satisfactory,76,PM10
2022-11-20,Belgaum,1.0,Satisfactory,52,PM10
2022-11-21,Belgaum,1.0,Good,50,PM10
2022-11-22,Belgaum,1.0,Satisfactory,54,PM10
2022-11-23,Belgaum,1.0,Satisfactory,60,PM10
2022-11-24,Belgaum,1.0,Satisfactory,55,PM10
2022-11-25,Belgaum,1.0,Good,45,CO
2022-11-26,Belgaum,1.0,Satisfactory,52,PM10
2022-11-27,Belgaum,1.0,Good,46,CO
2022-11-28,Belgaum,1.0,Satisfactory,98,PM10
2022-11-30,Belgaum,1.0,Moderate,120,PM2.5
2022-12-01,Belgaum,1.0,Satisfactory,88,PM10
2022-12-02,Belgaum,1.0,Satisfactory,62,PM10
