date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2015-05-02,Bengaluru,,Moderate,132,"CO, PM2.5"
2015-05-03,Bengaluru,,Good,49,"CO, PM2.5"
2015-05-04,Bengaluru,,Good,46,CO
2015-05-05,Bengaluru,,Poor,229,CO
2015-05-06,Bengaluru,,Satisfactory,90,O3
2015-05-07,Bengaluru,,Satisfactory,52,"O3, PM2.5"
2015-05-08,Bengaluru,,Satisfactory,83,CO
2015-05-09,Bengaluru,,Good,46,PM2.5
2015-05-10,Bengaluru,,Poor,266,PM2.5
2015-05-11,Bengaluru,,Satisfactory,98,PM2.5
2015-05-12,Bengaluru,,Satisfactory,71,PM2.5
2015-05-13,Bengaluru,,Good,42,PM2.5
2015-05-15,Bengaluru,3.0,Good,45,PM2.5
2015-05-16,Bengaluru,3.0,Satisfactory,72,PM2.5
2015-05-17,Bengaluru,1.0,Good,50,CO
2015-05-18,Bengaluru,3.0,Satisfactory,59,"O3, PM2.5"
2015-05-19,Bengaluru,3.0,Satisfactory,53,O3
2015-05-20,Bengaluru,3.0,Satisfactory,58,NO2
2015-05-21,Bengaluru,3.0,Good,48,PM2.5
2015-05-22,Bengaluru,3.0,Satisfactory,75,PM2.5
2015-05-23,Bengaluru,2.0,Good,49,PM2.5
2015-05-24,Bengaluru,3.0,Satisfactory,92,CO
2015-05-25,Bengaluru,3.0,Satisfactory,57,PM2.5
2015-05-26,Bengaluru,3.0,Satisfactory,54,PM2.5
2015-05-27,Bengaluru,2.0,Satisfactory,51,PM2.5
2015-05-28,Bengaluru,1.0,Satisfactory,56,O3
2015-05-29,Bengaluru,2.0,Moderate,180,PM2.5
2015-05-30,Bengaluru,2.0,Satisfactory,59,"CO, O3"
2015-05-31,Bengaluru,1.0,Satisfactory,99,CO
2015-06-01,Bengaluru,1.0,Satisfactory,67,CO
2015-06-02,Bengaluru,2.0,Satisfactory,56,"O3, PM2.5"
2015-06-03,Bengaluru,2.0,Satisfactory,67,"CO, O3"
2015-06-04,Bengaluru,2.0,Good,46,NO2
2015-06-05,Bengaluru,2.0,Good,46,O3
2015-06-06,Bengaluru,2.0,Good,45,CO
2015-06-07,Bengaluru,2.0,Satisfactory,41,"CO, O3"
2015-06-08,Bengaluru,3.0,Good,50,"NO2, PM2.5"
2015-06-09,Bengaluru,3.0,Good,40,SO2
2015-06-10,Bengaluru,3.0,Good,48,CO
2015-06-11,Bengaluru,2.0,Good,41,CO
2015-06-13,Bengaluru,3.0,Good,35,CO
2015-06-14,Bengaluru,2.0,Satisfactory,64,"CO, O3"
2015-06-15,Bengaluru,1.0,Satisfactory,51,CO
