date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-07-18,Bettiah,1.0,Good,49,PM10
2021-07-19,Bettiah,1.0,Satisfactory,74,PM10
2021-07-20,Bettiah,1.0,Satisfactory,80,PM10
2021-07-21,Bettiah,1.0,Satisfactory,82,PM10
2021-07-22,Bettiah,1.0,Satisfactory,52,PM10
2021-07-23,Bettiah,1.0,Satisfactory,65,PM10
2021-07-24,Bettiah,1.0,Satisfactory,65,PM10
2021-07-25,Bettiah,1.0,Satisfactory,66,PM10
2021-07-26,Bettiah,1.0,Satisfactory,73,PM10
2021-07-27,Bettiah,1.0,Satisfactory,85,PM10
2021-07-28,Bettiah,1.0,Satisfactory,58,PM10
2021-07-29,Bettiah,1.0,Satisfactory,65,PM10
2021-07-30,Bettiah,1.0,Satisfactory,62,PM10
2021-07-31,Bettiah,1.0,Good,48,PM10
2021-08-01,Bettiah,1.0,Satisfactory,64,PM10
2021-08-02,Bettiah,1.0,Satisfactory,60,PM10
2021-08-03,Bettiah,1.0,Good,40,PM10
2021-08-04,Bettiah,1.0,Satisfactory,60,PM10
2021-08-05,Bettiah,1.0,Satisfactory,57,PM10
2021-08-06,Bettiah,1.0,Satisfactory,98,PM10
2021-08-10,Bettiah,1.0,Good,18,NO2
2021-11-24,Bettiah,1.0,Very Poor,386,PM10
2021-11-26,Bettiah,1.0,Very Poor,335,PM10
2021-11-27,Bettiah,1.0,Poor,293,PM10
2021-11-28,Bettiah,1.0,Poor,260,PM10
2021-11-29,Bettiah,1.0,Very Poor,320,PM10
2021-11-30,Bettiah,1.0,Very Poor,354,PM10
2021-12-01,Bettiah,1.0,Poor,233,PM10
2021-12-02,Bettiah,1.0,Very Poor,328,PM10
2021-12-03,Bettiah,1.0,Very Poor,387,PM10
2021-12-04,Bettiah,1.0,Moderate,137,PM10
2021-12-05,Bettiah,1.0,Poor,218,PM10
2021-12-06,Bettiah,1.0,Poor,208,PM10
2021-12-07,Bettiah,1.0,Poor,209,PM10
2021-12-08,Bettiah,1.0,Moderate,164,PM10
2021-12-09,Bettiah,1.0,Moderate,194,PM10
2021-12-10,Bettiah,1.0,Poor,240,PM10
2021-12-12,Bettiah,1.0,Very Poor,353,PM10
2021-12-13,Bettiah,1.0,Very Poor,350,PM10
2021-12-14,Bettiah,1.0,Very Poor,311,PM10
2021-12-15,Bettiah,1.0,Poor,292,PM10
2021-12-16,Bettiah,1.0,Poor,296,PM10
2021-12-17,Bettiah,1.0,Poor,280,PM10
2021-12-18,Bettiah,1.0,Very Poor,305,PM10
2021-12-19,Bettiah,1.0,Very Poor,345,PM2.5
2021-12-20,Bettiah,1.0,Severe,421,PM2.5
2021-12-21,Bettiah,1.0,Very Poor,386,PM2.5
2021-12-23,Bettiah,1.0,Very Poor,394,PM2.5
2021-12-24,Bettiah,1.0,Very Poor,320,PM10
2021-12-25,Bettiah,1.0,Poor,282,PM10
2021-12-26,Bettiah,1.0,Poor,279,PM10
2021-12-27,Bettiah,1.0,Very Poor,338,PM2.5
2021-12-30,Bettiah,1.0,Satisfactory,77,PM10
2021-12-31,Bettiah,1.0,Moderate,165,PM10
2022-01-01,Bettiah,1.0,Poor,211,PM10
2022-01-02,Bettiah,1.0,Poor,277,PM2.5
2022-01-03,Bettiah,1.0,Moderate,152,PM10
2022-01-06,Bettiah,1.0,Very Poor,315,PM10
2022-01-07,Bettiah,1.0,Moderate,183,PM10
2022-01-08,Bettiah,1.0,Moderate,117,PM10
2022-01-09,Bettiah,1.0,Moderate,120,PM10
2022-01-10,Bettiah,1.0,Moderate,164,PM10
2022-01-11,Bettiah,1.0,Very Poor,314,PM2.5
2022-01-12,Bettiah,1.0,Moderate,152,PM10
2022-01-13,Bettiah,1.0,Moderate,152,PM2.5
2022-01-14,Bettiah,1.0,Poor,271,PM2.5
2022-01-15,Bettiah,1.0,Moderate,161,PM10
2022-01-16,Bettiah,1.0,Moderate,185,PM10
2022-01-23,Bettiah,1.0,Very Poor,350,PM2.5
2022-01-24,Bettiah,1.0,Poor,274,PM2.5
2022-01-25,Bettiah,1.0,Moderate,180,PM10
2022-01-26,Bettiah,1.0,Moderate,140,PM10
2022-01-27,Bettiah,1.0,Moderate,179,PM10
2022-01-28,Bettiah,1.0,Poor,269,PM2.5
2022-01-30,Bettiah,1.0,Poor,211,PM10
2022-01-31,Bettiah,1.0,Poor,210,PM10
2022-02-02,Bettiah,1.0,Moderate,187,PM10
2022-02-03,Bettiah,1.0,Poor,210,PM10
2022-02-06,Bettiah,1.0,Satisfactory,100,PM10
2022-02-07,Bettiah,1.0,Poor,222,PM2.5
2022-02-08,Bettiah,1.0,Poor,224,PM2.5
2022-02-09,Bettiah,1.0,Poor,206,PM10
2022-02-10,Bettiah,1.0,Moderate,164,PM10
2022-02-11,Bettiah,1.0,Moderate,120,PM10
2022-02-12,Bettiah,1.0,Poor,237,PM2.5
2022-02-13,Bettiah,1.0,Moderate,200,PM10
2022-02-14,Bettiah,1.0,Poor,215,PM10
2022-02-16,Bettiah,1.0,Poor,300,PM2.5
2022-02-17,Bettiah,1.0,Poor,284,PM2.5
2022-02-18,Bettiah,1.0,Very Poor,303,PM2.5
2022-02-19,Bettiah,1.0,Poor,285,PM2.5
2022-02-20,Bettiah,1.0,Moderate,161,PM2.5
2022-02-21,Bettiah,1.0,Moderate,119,PM10
2022-02-22,Bettiah,1.0,Poor,245,PM2.5
2022-02-23,Bettiah,1.0,Poor,251,PM2.5
2022-02-24,Bettiah,1.0,Poor,204,PM2.5
2022-02-25,Bettiah,1.0,Moderate,180,PM2.5
2022-02-26,Bettiah,1.0,Moderate,143,PM2.5
2022-02-27,Bettiah,1.0,Poor,280,PM2.5
2022-02-28,Bettiah,1.0,Moderate,195,PM2.5
2022-03-01,Bettiah,1.0,Moderate,158,PM2.5
2022-03-04,Bettiah,1.0,Poor,217,PM2.5
2022-03-05,Bettiah,1.0,Moderate,126,PM2.5
2022-03-06,Bettiah,1.0,Poor,238,PM2.5
2022-03-08,Bettiah,1.0,Poor,207,PM2.5
2022-03-09,Bettiah,1.0,Poor,241,PM2.5
2022-03-10,Bettiah,1.0,Poor,257,PM2.5
2022-03-11,Bettiah,1.0,Poor,237,PM2.5
2022-03-12,Bettiah,1.0,Poor,238,PM2.5
2022-03-13,Bettiah,1.0,Poor,248,PM2.5
2022-03-15,Bettiah,1.0,Poor,261,PM2.5
2022-03-16,Bettiah,1.0,Poor,293,PM2.5
2022-03-17,Bettiah,1.0,Poor,283,PM2.5
2022-03-20,Bettiah,1.0,Poor,292,PM2.5
2022-03-21,Bettiah,1.0,Poor,288,PM2.5
2022-03-22,Bettiah,1.0,Poor,278,PM2.5
2022-03-23,Bettiah,1.0,Poor,242,PM2.5
2022-03-24,Bettiah,1.0,Poor,288,PM2.5
2022-03-25,Bettiah,1.0,Poor,244,PM2.5
2022-03-26,Bettiah,1.0,Moderate,127,PM10
2022-03-28,Bettiah,1.0,Very Poor,307,PM2.5
2022-03-29,Bettiah,1.0,Poor,256,PM2.5
2022-04-03,Bettiah,1.0,Moderate,138,PM10
2022-04-04,Bettiah,1.0,Moderate,145,PM10
2022-04-05,Bettiah,1.0,Poor,244,PM2.5
2022-04-08,Bettiah,1.0,Moderate,124,PM2.5
2022-04-11,Bettiah,1.0,Satisfactory,55,PM2.5
2022-04-16,Bettiah,1.0,Satisfactory,91,PM2.5
2022-04-19,Bettiah,1.0,Moderate,126,PM10
2022-04-24,Bettiah,1.0,Moderate,151,PM2.5
2022-04-25,Bettiah,1.0,Moderate,141,PM2.5
2022-04-26,Bettiah,1.0,Moderate,180,PM2.5
2022-04-28,Bettiah,1.0,Satisfactory,89,PM10
2022-05-02,Bettiah,1.0,Good,44,O3
2022-05-12,Bettiah,1.0,Moderate,114,PM2.5
2022-05-13,Bettiah,1.0,Moderate,136,PM2.5
2022-05-16,Bettiah,1.0,Moderate,168,PM10
2022-05-18,Bettiah,1.0,Moderate,170,PM10
2022-05-20,Bettiah,1.0,Moderate,163,PM10
2022-05-21,Bettiah,1.0,Moderate,152,PM10
2022-05-22,Bettiah,1.0,Good,42,PM2.5
2022-05-23,Bettiah,1.0,Moderate,187,PM10
2022-05-24,Bettiah,1.0,Poor,231,PM10
2022-05-25,Bettiah,1.0,Moderate,181,PM10
2022-05-26,Bettiah,1.0,Poor,220,PM10
2022-05-27,Bettiah,1.0,Poor,248,PM10
2022-05-30,Bettiah,1.0,Moderate,193,PM10
2022-05-31,Bettiah,1.0,Moderate,170,PM10
2022-06-01,Bettiah,1.0,Moderate,120,PM2.5
2022-06-02,Bettiah,1.0,Satisfactory,80,PM2.5
2022-06-03,Bettiah,1.0,Satisfactory,77,PM2.5
2022-06-06,Bettiah,1.0,Moderate,134,PM10
2022-06-07,Bettiah,1.0,Moderate,141,PM10
2022-06-08,Bettiah,1.0,Satisfactory,58,PM2.5
2022-06-09,Bettiah,1.0,Satisfactory,54,CO
2022-06-10,Bettiah,1.0,Moderate,129,PM10
2022-06-11,Bettiah,1.0,Moderate,152,PM10
2022-06-12,Bettiah,1.0,Moderate,109,PM10
2022-06-13,Bettiah,1.0,Good,44,CO
2022-06-14,Bettiah,1.0,Moderate,134,PM10
2022-06-15,Bettiah,1.0,Moderate,176,PM10
2022-06-16,Bettiah,1.0,Moderate,152,PM10
2022-06-22,Bettiah,1.0,Satisfactory,59,PM2.5
