date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-11-23,Bhagalpur,2.0,Poor,289,PM2.5
2021-11-24,Bhagalpur,2.0,Poor,270,PM2.5
2021-11-25,Bhagalpur,2.0,Poor,249,"PM10, PM2.5"
2021-11-26,Bhagalpur,2.0,Poor,239,PM2.5
2021-11-27,Bhagalpur,2.0,Poor,300,PM2.5
2021-11-28,Bhagalpur,1.0,Poor,291,PM2.5
2021-11-29,Bhagalpur,2.0,Very Poor,304,PM2.5
2021-11-30,Bhagalpur,2.0,Very Poor,366,PM2.5
2021-12-01,Bhagalpur,1.0,Poor,295,PM2.5
2021-12-02,Bhagalpur,1.0,Poor,229,PM2.5
2021-12-03,Bhagalpur,1.0,Poor,270,PM2.5
2021-12-04,Bhagalpur,2.0,Poor,275,PM2.5
2021-12-05,Bhagalpur,2.0,Poor,232,"PM10, PM2.5"
2021-12-06,Bhagalpur,2.0,Poor,272,PM2.5
2021-12-07,Bhagalpur,2.0,Very Poor,312,PM2.5
2021-12-08,Bhagalpur,1.0,Poor,260,PM2.5
2021-12-09,Bhagalpur,1.0,Poor,268,PM2.5
2021-12-10,Bhagalpur,2.0,Poor,238,PM2.5
2021-12-11,Bhagalpur,2.0,Poor,288,PM2.5
2021-12-12,Bhagalpur,2.0,Very Poor,323,PM2.5
2021-12-13,Bhagalpur,2.0,Very Poor,332,PM2.5
2021-12-14,Bhagalpur,2.0,Very Poor,321,PM2.5
2021-12-15,Bhagalpur,2.0,Very Poor,348,PM2.5
2021-12-16,Bhagalpur,2.0,Very Poor,324,PM2.5
2021-12-17,Bhagalpur,2.0,Poor,240,PM2.5
2021-12-18,Bhagalpur,2.0,Very Poor,317,PM2.5
2021-12-19,Bhagalpur,2.0,Poor,264,PM2.5
2021-12-20,Bhagalpur,2.0,Very Poor,308,PM2.5
2021-12-21,Bhagalpur,2.0,Very Poor,357,PM2.5
2021-12-22,Bhagalpur,2.0,Very Poor,341,PM2.5
2021-12-23,Bhagalpur,2.0,Very Poor,358,PM2.5
2021-12-24,Bhagalpur,2.0,Very Poor,339,PM2.5
2021-12-25,Bhagalpur,2.0,Very Poor,320,PM2.5
2021-12-26,Bhagalpur,2.0,Very Poor,302,"PM10, PM2.5"
2021-12-27,Bhagalpur,2.0,Very Poor,312,"PM10, PM2.5"
2021-12-28,Bhagalpur,1.0,Poor,255,PM2.5
2021-12-29,Bhagalpur,2.0,Moderate,180,"PM10, PM2.5"
2021-12-30,Bhagalpur,2.0,Satisfactory,98,"NO2, PM10"
2021-12-31,Bhagalpur,1.0,Moderate,168,PM2.5
2022-01-01,Bhagalpur,2.0,Poor,248,PM2.5
2022-01-02,Bhagalpur,2.0,Poor,242,PM2.5
2022-01-03,Bhagalpur,2.0,Very Poor,342,PM2.5
2022-01-04,Bhagalpur,2.0,Very Poor,386,"PM10, PM2.5"
2022-01-05,Bhagalpur,1.0,Very Poor,383,PM10
2022-01-06,Bhagalpur,2.0,Very Poor,352,"PM10, PM2.5"
2022-01-07,Bhagalpur,2.0,Very Poor,390,"PM10, PM2.5"
2022-01-08,Bhagalpur,2.0,Poor,298,PM2.5
