date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-02-02,Bharatpur,1.0,Moderate,140,PM2.5
2023-02-03,Bharatpur,1.0,Moderate,151,PM2.5
2023-02-04,Bharatpur,1.0,Moderate,190,PM2.5
2023-02-05,Bharatpur,1.0,Moderate,186,PM2.5
2023-02-06,Bharatpur,1.0,Poor,228,PM2.5
2023-02-07,Bharatpur,1.0,Moderate,166,PM2.5
2023-02-08,Bharatpur,1.0,Moderate,127,PM10
2023-02-09,Bharatpur,1.0,Moderate,137,PM2.5
2023-02-10,Bharatpur,1.0,Moderate,124,PM2.5
2023-02-11,Bharatpur,1.0,Moderate,157,PM2.5
2023-02-12,Bharatpur,1.0,Poor,261,O3
2023-02-13,Bharatpur,1.0,Moderate,133,PM10
2023-02-14,Bharatpur,1.0,Moderate,118,PM10
2023-02-15,Bharatpur,1.0,Moderate,142,PM10
2023-02-17,Bharatpur,1.0,Very Poor,333,PM2.5
2023-02-18,Bharatpur,1.0,Very Poor,364,PM2.5
2023-02-19,Bharatpur,1.0,Very Poor,314,PM2.5
2023-02-20,Bharatpur,1.0,Poor,237,PM2.5
2023-02-21,Bharatpur,1.0,Moderate,132,PM10
2023-02-22,Bharatpur,1.0,Poor,298,PM2.5
2023-02-23,Bharatpur,1.0,Poor,269,PM2.5
2023-02-24,Bharatpur,1.0,Moderate,153,PM10
2023-02-25,Bharatpur,1.0,Poor,215,PM2.5
2023-02-26,Bharatpur,1.0,Poor,224,PM2.5
2023-02-27,Bharatpur,1.0,Moderate,184,PM2.5
2023-02-28,Bharatpur,1.0,Poor,218,PM2.5
2023-03-01,Bharatpur,1.0,Moderate,163,PM10
2023-03-02,Bharatpur,1.0,Moderate,168,PM2.5
2023-03-03,Bharatpur,1.0,Moderate,171,PM2.5
2023-03-04,Bharatpur,1.0,Moderate,158,PM10
2023-03-05,Bharatpur,1.0,Moderate,138,PM10
2023-03-06,Bharatpur,1.0,Moderate,146,PM10
2023-03-07,Bharatpur,1.0,Moderate,185,PM2.5
2023-03-08,Bharatpur,1.0,Poor,236,PM2.5
2023-03-09,Bharatpur,1.0,Satisfactory,77,PM10
2023-03-11,Bharatpur,1.0,Poor,202,PM2.5
2023-03-12,Bharatpur,1.0,Moderate,185,PM2.5
2023-03-13,Bharatpur,1.0,Poor,210,PM2.5
2023-03-14,Bharatpur,1.0,Moderate,198,PM10
2023-03-15,Bharatpur,1.0,Moderate,149,PM10
2023-03-16,Bharatpur,1.0,Moderate,131,PM10
2023-03-17,Bharatpur,1.0,Moderate,139,PM10
2023-03-18,Bharatpur,1.0,Satisfactory,73,PM2.5
2023-03-19,Bharatpur,1.0,Satisfactory,91,PM2.5
2023-03-20,Bharatpur,1.0,Satisfactory,64,O3
