date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-11-18,Bhilai,1.0,Satisfactory,64,PM10
2021-11-19,Bhilai,1.0,Satisfactory,74,PM10
2021-11-25,Bhilai,1.0,Satisfactory,74,PM10
2021-11-26,Bhilai,1.0,Satisfactory,67,PM10
2021-11-27,Bhilai,1.0,Satisfactory,73,PM10
2021-11-28,Bhilai,1.0,Satisfactory,77,PM10
2021-11-29,Bhilai,1.0,Satisfactory,74,PM10
2021-11-30,Bhilai,1.0,Satisfactory,75,PM10
2021-12-01,Bhilai,1.0,Satisfactory,79,PM10
2021-12-02,Bhilai,1.0,Satisfactory,65,PM10
2021-12-03,Bhilai,1.0,Satisfactory,60,PM10
2021-12-04,Bhilai,1.0,Satisfactory,60,PM10
2021-12-05,Bhilai,1.0,Satisfactory,53,PM10
2021-12-06,Bhilai,1.0,Good,42,PM10
2021-12-15,Bhilai,1.0,Satisfactory,65,PM10
2021-12-16,Bhilai,1.0,Satisfactory,60,PM10
2021-12-17,Bhilai,1.0,Satisfactory,61,PM10
2021-12-18,Bhilai,1.0,Satisfactory,63,PM10
2021-12-19,Bhilai,1.0,Satisfactory,53,PM10
2021-12-20,Bhilai,1.0,Satisfactory,53,PM10
2021-12-21,Bhilai,1.0,Satisfactory,59,PM10
2021-12-22,Bhilai,1.0,Satisfactory,60,PM10
2021-12-23,Bhilai,1.0,Satisfactory,64,PM10
2021-12-24,Bhilai,1.0,Satisfactory,70,PM10
2021-12-25,Bhilai,1.0,Satisfactory,63,PM10
2021-12-26,Bhilai,1.0,Satisfactory,60,PM10
2021-12-27,Bhilai,1.0,Satisfactory,75,PM10
2021-12-28,Bhilai,1.0,Satisfactory,70,PM10
2022-01-04,Bhilai,1.0,Satisfactory,55,PM10
2022-01-05,Bhilai,1.0,Satisfactory,56,PM10
2022-01-06,Bhilai,1.0,Satisfactory,53,PM10
2022-01-07,Bhilai,1.0,Satisfactory,61,PM10
2022-01-08,Bhilai,1.0,Satisfactory,61,PM10
2022-01-09,Bhilai,1.0,Satisfactory,53,PM10
2022-01-10,Bhilai,1.0,Good,41,PM10
2022-01-11,Bhilai,1.0,Good,33,PM10
2022-01-12,Bhilai,1.0,Good,29,PM10
2022-01-13,Bhilai,1.0,Good,42,PM10
2022-01-25,Bhilai,1.0,Satisfactory,71,PM10
2022-01-26,Bhilai,1.0,Satisfactory,64,PM10
2022-01-27,Bhilai,1.0,Good,49,PM10
2022-01-28,Bhilai,1.0,Good,39,PM10
2022-01-29,Bhilai,1.0,Satisfactory,57,PM10
2022-01-30,Bhilai,1.0,Good,46,PM10
2022-01-31,Bhilai,1.0,Good,43,PM10
2022-02-01,Bhilai,1.0,Good,43,PM10
2022-02-02,Bhilai,1.0,Good,46,PM10
2022-02-03,Bhilai,1.0,Good,49,PM10
2022-02-09,Bhilai,1.0,Satisfactory,56,PM10
2022-02-18,Bhilai,1.0,Good,47,PM10
2022-02-19,Bhilai,1.0,Satisfactory,60,PM10
2022-02-20,Bhilai,1.0,Satisfactory,56,PM10
2022-02-25,Bhilai,1.0,Good,46,PM10
2022-02-26,Bhilai,1.0,Satisfactory,66,PM10
2022-02-27,Bhilai,1.0,Satisfactory,53,PM10
2022-02-28,Bhilai,1.0,Satisfactory,54,PM10
2022-03-01,Bhilai,1.0,Satisfactory,54,PM10
2022-03-02,Bhilai,1.0,Satisfactory,53,PM10
2022-03-03,Bhilai,1.0,Satisfactory,62,PM10
2022-03-04,Bhilai,1.0,Satisfactory,64,PM10
2022-03-05,Bhilai,1.0,Satisfactory,63,PM10
2022-03-07,Bhilai,1.0,Satisfactory,69,PM10
2022-03-08,Bhilai,1.0,Satisfactory,62,PM10
2022-03-09,Bhilai,1.0,Satisfactory,71,PM10
2022-03-10,Bhilai,1.0,Satisfactory,61,PM10
2022-03-11,Bhilai,1.0,Satisfactory,85,PM10
2022-03-12,Bhilai,1.0,Satisfactory,56,PM10
2022-03-13,Bhilai,1.0,Satisfactory,61,PM10
2022-03-24,Bhilai,1.0,Satisfactory,67,PM10
2022-06-28,Bhilai,1.0,Good,25,NO2
2022-08-19,Bhilai,1.0,Good,25,NO2
2022-08-20,Bhilai,1.0,Good,22,CO
2022-08-21,Bhilai,1.0,Good,18,CO
2022-09-10,Bhilai,1.0,Good,25,NO2
2022-09-11,Bhilai,1.0,Good,25,NO2
2022-10-06,Bhilai,1.0,Good,21,SO2
2022-10-08,Bhilai,1.0,Good,33,PM10
2022-10-11,Bhilai,1.0,Good,30,PM10
2022-10-12,Bhilai,1.0,Good,33,PM10
2022-10-26,Bhilai,2.0,Poor,218,PM2.5
2022-10-27,Bhilai,2.0,Moderate,196,PM2.5
2022-10-28,Bhilai,2.0,Moderate,170,PM2.5
2022-10-29,Bhilai,1.0,Good,35,PM10
2022-11-01,Bhilai,1.0,Good,41,PM10
2022-11-12,Bhilai,1.0,Satisfactory,63,PM10
2023-01-04,Bhilai,2.0,Moderate,114,PM2.5
2023-01-05,Bhilai,2.0,Moderate,114,PM2.5
2023-01-06,Bhilai,2.0,Moderate,103,PM2.5
2023-01-07,Bhilai,2.0,Satisfactory,72,PM10
2023-01-08,Bhilai,2.0,Satisfactory,80,PM10
2023-01-09,Bhilai,2.0,Satisfactory,62,PM10
2023-01-10,Bhilai,2.0,Moderate,138,O3
2023-01-12,Bhilai,2.0,Satisfactory,100,"O3, PM2.5"
2023-01-13,Bhilai,2.0,Satisfactory,95,"O3, PM2.5"
