date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-05-16,Bhilwara,1.0,Moderate,144,PM10
2023-05-17,Bhilwara,1.0,Satisfactory,75,PM10
2023-05-18,Bhilwara,1.0,Satisfactory,88,PM10
2023-05-19,Bhilwara,1.0,Satisfactory,75,PM10
2023-05-20,Bhilwara,1.0,Moderate,111,PM10
2023-05-21,Bhilwara,1.0,Satisfactory,90,PM10
2023-05-23,Bhilwara,1.0,Satisfactory,80,PM10
2023-06-06,Bhilwara,1.0,Satisfactory,68,PM10
2023-06-08,Bhilwara,1.0,Moderate,104,PM10
2023-06-09,Bhilwara,1.0,Moderate,102,PM10
2023-06-11,Bhilwara,1.0,Satisfactory,51,PM10
2023-06-12,Bhilwara,1.0,Satisfactory,65,PM10
2023-06-15,Bhilwara,1.0,Satisfactory,81,CO
2023-06-16,Bhilwara,1.0,Satisfactory,89,CO
2023-06-17,Bhilwara,1.0,Satisfactory,68,PM10
2023-06-22,Bhilwara,1.0,Moderate,111,PM10
2023-06-23,Bhilwara,1.0,Moderate,111,PM10
2023-06-27,Bhilwara,1.0,Satisfactory,62,PM2.5
2023-07-01,Bhilwara,1.0,Satisfactory,59,PM10
2023-07-02,Bhilwara,1.0,Satisfactory,60,PM10
2023-07-07,Bhilwara,1.0,Satisfactory,77,PM2.5
2023-07-08,Bhilwara,1.0,Satisfactory,61,PM2.5
2023-07-11,Bhilwara,1.0,Satisfactory,79,PM10
2023-07-12,Bhilwara,1.0,Satisfactory,98,PM10
2023-07-13,Bhilwara,1.0,Moderate,143,PM2.5
2023-07-14,Bhilwara,1.0,Moderate,106,PM2.5
2023-07-18,Bhilwara,1.0,Moderate,115,PM10
2023-07-19,Bhilwara,1.0,Very Poor,315,O3
2023-07-20,Bhilwara,1.0,Moderate,133,PM10
2023-07-21,Bhilwara,1.0,Moderate,128,PM10
2023-07-22,Bhilwara,1.0,Moderate,104,PM10
2023-07-24,Bhilwara,1.0,Satisfactory,93,PM2.5
2023-07-27,Bhilwara,1.0,Satisfactory,58,PM2.5
2023-07-28,Bhilwara,1.0,Satisfactory,87,PM10
2023-07-30,Bhilwara,1.0,Satisfactory,58,PM10
2023-07-31,Bhilwara,1.0,Satisfactory,99,PM10
2023-08-01,Bhilwara,1.0,Moderate,110,PM10
2023-08-02,Bhilwara,1.0,Moderate,109,PM10
2023-08-03,Bhilwara,1.0,Moderate,128,PM10
2023-08-08,Bhilwara,1.0,Moderate,129,PM2.5
2023-08-09,Bhilwara,1.0,Moderate,160,PM2.5
2023-08-10,Bhilwara,1.0,Moderate,145,PM2.5
2023-08-11,Bhilwara,1.0,Moderate,122,PM2.5
2023-08-12,Bhilwara,1.0,Moderate,127,PM2.5
2023-08-13,Bhilwara,1.0,Moderate,114,PM2.5
2023-08-14,Bhilwara,1.0,Moderate,123,PM2.5
2023-08-15,Bhilwara,1.0,Moderate,154,PM2.5
2023-08-18,Bhilwara,1.0,Moderate,162,PM10
2023-08-20,Bhilwara,1.0,Moderate,134,PM10
2023-08-21,Bhilwara,1.0,Satisfactory,86,PM10
2023-08-22,Bhilwara,1.0,Satisfactory,98,PM10
2023-08-23,Bhilwara,1.0,Satisfactory,97,PM10
2023-08-24,Bhilwara,1.0,Moderate,108,PM10
2023-08-25,Bhilwara,1.0,Moderate,135,PM10
2023-08-26,Bhilwara,1.0,Moderate,145,PM10
2023-08-27,Bhilwara,1.0,Poor,215,PM10
2023-08-29,Bhilwara,1.0,Moderate,128,PM10
2023-08-30,Bhilwara,1.0,Moderate,139,PM10
2023-08-31,Bhilwara,1.0,Moderate,135,PM10
2023-09-01,Bhilwara,1.0,Moderate,139,PM10
2023-09-02,Bhilwara,1.0,Moderate,133,PM10
2023-09-03,Bhilwara,1.0,Moderate,121,PM10
2023-09-04,Bhilwara,1.0,Moderate,114,PM10
2023-09-05,Bhilwara,1.0,Moderate,114,PM10
