date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-21,Bhiwandi,1.0,Satisfactory,70,PM10
2023-06-22,Bhiwandi,1.0,Satisfactory,65,PM10
2023-06-23,Bhiwandi,1.0,Satisfactory,62,PM10
2023-06-24,Bhiwandi,1.0,Satisfactory,52,PM10
2023-06-25,Bhiwandi,1.0,Good,47,PM2.5
2023-06-26,Bhiwandi,1.0,Good,49,PM2.5
2023-06-27,Bhiwandi,1.0,Satisfactory,95,PM2.5
2023-06-29,Bhiwandi,1.0,Satisfactory,86,PM10
2023-06-30,Bhiwandi,1.0,Good,40,PM10
2023-07-01,Bhiwandi,1.0,Satisfactory,69,PM10
2023-07-02,Bhiwandi,1.0,Moderate,132,PM2.5
2023-07-04,Bhiwandi,1.0,Moderate,107,PM10
2023-07-05,Bhiwandi,1.0,Moderate,118,PM2.5
2023-07-06,Bhiwandi,1.0,Satisfactory,85,PM10
2023-07-07,Bhiwandi,1.0,Satisfactory,97,PM10
2023-07-09,Bhiwandi,1.0,Moderate,157,PM2.5
2023-07-10,Bhiwandi,1.0,Moderate,190,PM2.5
2023-07-11,Bhiwandi,1.0,Moderate,172,PM2.5
2023-07-12,Bhiwandi,1.0,Moderate,171,PM2.5
2023-07-13,Bhiwandi,1.0,Moderate,145,PM10
2023-07-14,Bhiwandi,1.0,Satisfactory,67,PM10
2023-07-15,Bhiwandi,1.0,Good,42,NO2
2023-07-16,Bhiwandi,1.0,Good,43,PM10
2023-07-18,Bhiwandi,1.0,Good,26,PM10
2023-07-19,Bhiwandi,1.0,Good,23,PM10
2023-07-20,Bhiwandi,1.0,Good,24,PM10
2023-07-21,Bhiwandi,1.0,Good,44,PM10
2023-07-22,Bhiwandi,1.0,Good,27,PM10
2023-07-23,Bhiwandi,1.0,Good,34,PM10
2023-07-24,Bhiwandi,1.0,Good,22,PM10
2023-07-25,Bhiwandi,1.0,Good,36,PM10
2023-07-26,Bhiwandi,1.0,Good,36,PM10
2023-07-27,Bhiwandi,1.0,Good,18,PM10
2023-07-28,Bhiwandi,1.0,Good,21,PM10
2023-07-29,Bhiwandi,1.0,Good,32,PM10
2023-07-30,Bhiwandi,1.0,Good,39,PM10
2023-07-31,Bhiwandi,1.0,Good,38,PM10
2023-08-01,Bhiwandi,1.0,Good,33,PM10
2023-08-02,Bhiwandi,1.0,Good,37,PM10
2023-08-03,Bhiwandi,1.0,Good,37,PM10
2023-08-04,Bhiwandi,1.0,Good,42,PM10
2023-08-05,Bhiwandi,1.0,Good,45,PM10
2023-08-06,Bhiwandi,1.0,Good,42,PM10
2023-08-07,Bhiwandi,1.0,Good,42,PM10
2023-08-08,Bhiwandi,1.0,Good,46,PM10
2023-08-10,Bhiwandi,1.0,Satisfactory,54,PM10
2023-08-11,Bhiwandi,1.0,Good,47,PM10
2023-08-12,Bhiwandi,1.0,Satisfactory,53,PM10
2023-08-13,Bhiwandi,1.0,Good,38,PM10
2023-08-14,Bhiwandi,1.0,Satisfactory,53,PM10
2023-08-15,Bhiwandi,1.0,Satisfactory,62,PM10
2023-08-16,Bhiwandi,1.0,Good,47,PM10
2023-08-17,Bhiwandi,1.0,Good,38,PM10
2023-08-18,Bhiwandi,1.0,Good,35,PM10
2023-08-19,Bhiwandi,1.0,Good,37,PM10
2023-08-20,Bhiwandi,1.0,Good,39,PM10
2023-08-21,Bhiwandi,1.0,Satisfactory,51,PM10
2023-08-22,Bhiwandi,1.0,Good,46,PM10
2023-08-23,Bhiwandi,1.0,Good,39,PM2.5
2023-08-24,Bhiwandi,1.0,Satisfactory,56,PM10
2023-08-25,Bhiwandi,1.0,Good,46,PM2.5
2023-08-29,Bhiwandi,1.0,Satisfactory,64,PM10
2023-08-30,Bhiwandi,1.0,Satisfactory,78,PM10
2023-08-31,Bhiwandi,1.0,Satisfactory,77,PM10
2023-09-01,Bhiwandi,1.0,Satisfactory,83,PM10
2023-09-02,Bhiwandi,1.0,Satisfactory,59,PM10
2023-09-03,Bhiwandi,1.0,Satisfactory,53,PM10
2023-09-04,Bhiwandi,1.0,Satisfactory,72,PM10
2023-09-05,Bhiwandi,1.0,Satisfactory,75,PM10
2023-09-06,Bhiwandi,1.0,Satisfactory,80,PM10
2023-09-07,Bhiwandi,1.0,Good,50,PM10
2023-09-08,Bhiwandi,1.0,Good,40,PM10
2023-09-09,Bhiwandi,1.0,Satisfactory,60,PM10
2023-09-12,Bhiwandi,1.0,Satisfactory,52,PM10
2023-09-13,Bhiwandi,1.0,Satisfactory,68,PM10
2023-09-14,Bhiwandi,1.0,Satisfactory,66,PM10
2023-09-18,Bhiwandi,1.0,Satisfactory,66,PM10
2023-09-19,Bhiwandi,1.0,Good,45,PM2.5
2023-09-20,Bhiwandi,1.0,Good,42,PM10
2023-09-22,Bhiwandi,1.0,Good,40,CO
2023-09-23,Bhiwandi,1.0,Good,39,PM10
2023-09-24,Bhiwandi,1.0,Satisfactory,60,PM2.5
2023-09-29,Bhiwandi,1.0,Satisfactory,55,PM10
2023-09-30,Bhiwandi,1.0,Satisfactory,73,PM10
2023-10-01,Bhiwandi,1.0,Satisfactory,79,PM10
2023-10-02,Bhiwandi,1.0,Moderate,105,PM10
2023-10-03,Bhiwandi,1.0,Moderate,118,PM10
2023-10-04,Bhiwandi,1.0,Moderate,110,PM10
2023-10-06,Bhiwandi,1.0,Satisfactory,98,PM10
2023-10-07,Bhiwandi,1.0,Satisfactory,95,PM10
2023-10-08,Bhiwandi,1.0,Moderate,105,PM10
2023-10-09,Bhiwandi,1.0,Moderate,103,PM10
2023-10-10,Bhiwandi,1.0,Moderate,109,PM10
2023-10-11,Bhiwandi,1.0,Moderate,106,PM10
2023-10-12,Bhiwandi,1.0,Satisfactory,99,PM10
2023-10-13,Bhiwandi,1.0,Moderate,118,PM10
2023-10-14,Bhiwandi,1.0,Moderate,118,PM10
2023-10-15,Bhiwandi,1.0,Moderate,142,PM2.5
2023-10-16,Bhiwandi,1.0,Moderate,155,PM2.5
2023-10-17,Bhiwandi,1.0,Moderate,188,PM2.5
