date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-09-23,Bhopal,1.0,Satisfactory,51,PM10
2019-09-24,Bhopal,1.0,Satisfactory,59,CO
2019-09-25,Bhopal,1.0,Satisfactory,58,CO
2019-09-26,Bhopal,1.0,Good,36,OZONE
2019-09-27,Bhopal,1.0,Good,40,CO
2019-09-28,Bhopal,1.0,Good,39,OZONE
2019-09-29,Bhopal,1.0,Good,36,OZONE
2019-09-30,Bhopal,1.0,Good,32,OZONE
2019-10-01,Bhopal,1.0,Good,47,OZONE
2019-10-02,Bhopal,1.0,Satisfactory,62,OZONE
2019-10-03,Bhopal,1.0,Satisfactory,94,PM10
2019-10-04,Bhopal,1.0,Moderate,110,PM10
2019-10-05,Bhopal,1.0,Moderate,115,PM10
2019-10-06,Bhopal,1.0,Satisfactory,82,PM10
2019-10-07,Bhopal,1.0,Moderate,105,PM10
2019-10-08,Bhopal,1.0,Moderate,136,OZONE
2019-10-09,Bhopal,1.0,Moderate,113,PM10
2019-10-10,Bhopal,1.0,Moderate,108,PM10
2019-10-11,Bhopal,1.0,Moderate,150,PM10
2019-10-12,Bhopal,1.0,Moderate,121,OZONE
2019-10-13,Bhopal,1.0,Moderate,187,PM10
2019-10-14,Bhopal,1.0,Moderate,171,PM10
2019-10-16,Bhopal,1.0,Moderate,146,PM10
2019-10-17,Bhopal,1.0,Moderate,163,PM10
2019-10-18,Bhopal,1.0,Moderate,159,PM10
2019-10-19,Bhopal,1.0,Moderate,155,PM2.5
2019-10-20,Bhopal,1.0,Moderate,145,PM2.5
2019-10-21,Bhopal,1.0,Poor,240,PM2.5
2019-10-22,Bhopal,1.0,Poor,203,PM2.5
2019-10-23,Bhopal,1.0,Moderate,120,PM10
2019-10-24,Bhopal,1.0,Moderate,112,PM10
2019-10-25,Bhopal,1.0,Poor,205,PM10
2019-10-26,Bhopal,1.0,Moderate,116,PM10
2019-10-27,Bhopal,1.0,Satisfactory,88,PM2.5
2019-10-28,Bhopal,1.0,Moderate,157,PM2.5
2019-10-29,Bhopal,1.0,Satisfactory,71,OZONE
2019-10-30,Bhopal,1.0,Satisfactory,87,PM10
2019-10-31,Bhopal,1.0,Moderate,128,PM2.5
2019-11-01,Bhopal,1.0,Moderate,184,PM2.5
2019-11-02,Bhopal,1.0,Moderate,157,PM2.5
2019-11-03,Bhopal,1.0,Satisfactory,75,PM10
2019-11-04,Bhopal,1.0,Moderate,143,PM2.5
2019-11-05,Bhopal,1.0,Moderate,128,PM10
2019-11-06,Bhopal,1.0,Moderate,151,PM2.5
2019-11-07,Bhopal,1.0,Moderate,194,PM2.5
2019-11-08,Bhopal,1.0,Satisfactory,71,PM10
2019-11-09,Bhopal,1.0,Moderate,199,PM2.5
2019-11-10,Bhopal,1.0,Poor,222,PM2.5
2019-11-11,Bhopal,1.0,Poor,207,PM2.5
2019-11-12,Bhopal,1.0,Moderate,181,PM2.5
2019-11-13,Bhopal,1.0,Poor,201,PM2.5
2019-11-15,Bhopal,1.0,Poor,228,PM2.5
2019-11-16,Bhopal,1.0,Poor,233,PM2.5
2019-11-17,Bhopal,1.0,Poor,242,PM2.5
2019-11-18,Bhopal,1.0,Moderate,182,PM10
2019-11-19,Bhopal,1.0,Moderate,167,PM10
2019-11-20,Bhopal,1.0,Moderate,171,PM10
2019-11-21,Bhopal,1.0,Poor,243,PM2.5
2019-11-22,Bhopal,1.0,Poor,235,PM2.5
2019-11-23,Bhopal,1.0,Poor,229,PM2.5
2019-11-24,Bhopal,1.0,Poor,241,PM2.5
2019-11-25,Bhopal,1.0,Poor,213,PM2.5
2019-11-26,Bhopal,1.0,Moderate,191,OZONE
2019-11-27,Bhopal,1.0,Poor,290,PM2.5
2019-11-28,Bhopal,1.0,Poor,264,PM2.5
2019-11-29,Bhopal,1.0,Poor,207,PM2.5
2019-11-30,Bhopal,1.0,Poor,237,PM2.5
2019-12-01,Bhopal,1.0,Poor,206,PM2.5
2019-12-02,Bhopal,1.0,Poor,243,PM2.5
2019-12-03,Bhopal,1.0,Poor,243,PM2.5
2019-12-04,Bhopal,1.0,Moderate,121,PM10
2019-12-05,Bhopal,1.0,Moderate,138,PM10
2019-12-06,Bhopal,1.0,Moderate,117,PM10
2019-12-07,Bhopal,1.0,Poor,212,PM2.5
2019-12-08,Bhopal,1.0,Poor,292,PM2.5
2019-12-09,Bhopal,1.0,Poor,277,PM2.5
2019-12-10,Bhopal,1.0,Poor,271,PM2.5
2019-12-11,Bhopal,1.0,Poor,274,PM2.5
2019-12-12,Bhopal,1.0,Poor,230,PM2.5
2019-12-13,Bhopal,1.0,Satisfactory,83,O3
2019-12-14,Bhopal,1.0,Moderate,137,PM2.5
2019-12-15,Bhopal,1.0,Moderate,119,PM2.5
2019-12-16,Bhopal,1.0,Moderate,134,PM2.5
2019-12-17,Bhopal,1.0,Poor,207,PM2.5
2019-12-18,Bhopal,1.0,Poor,203,PM2.5
2019-12-19,Bhopal,1.0,Moderate,131,PM2.5
2019-12-20,Bhopal,1.0,Poor,210,PM2.5
2019-12-21,Bhopal,1.0,Moderate,192,PM2.5
2019-12-22,Bhopal,1.0,Moderate,131,PM2.5
2019-12-23,Bhopal,1.0,Moderate,182,PM2.5
2019-12-24,Bhopal,1.0,Moderate,110,PM2.5
2019-12-25,Bhopal,1.0,Poor,260,PM2.5
2019-12-26,Bhopal,1.0,Poor,214,PM2.5
2019-12-27,Bhopal,1.0,Moderate,123,PM2.5
2019-12-28,Bhopal,1.0,Satisfactory,91,PM2.5
2019-12-29,Bhopal,1.0,Moderate,124,PM2.5
2019-12-30,Bhopal,1.0,Moderate,125,PM2.5
2019-12-31,Bhopal,1.0,Poor,208,PM2.5
2020-01-01,Bhopal,1.0,Poor,232,PM2.5
2020-01-02,Bhopal,1.0,Moderate,197,PM2.5
2020-01-03,Bhopal,1.0,Poor,210,PM2.5
2020-01-04,Bhopal,1.0,Moderate,178,PM2.5
2020-01-05,Bhopal,1.0,Moderate,181,PM2.5
2020-01-06,Bhopal,1.0,Satisfactory,100,PM2.5
2020-01-07,Bhopal,1.0,Moderate,114,PM10
2020-01-08,Bhopal,1.0,Moderate,158,PM2.5
2020-01-09,Bhopal,1.0,Moderate,195,PM2.5
2020-01-10,Bhopal,1.0,Moderate,118,PM2.5
2020-01-11,Bhopal,1.0,Moderate,115,PM2.5
2020-01-12,Bhopal,1.0,Moderate,126,PM2.5
2020-01-13,Bhopal,1.0,Moderate,147,PM10
2020-01-14,Bhopal,1.0,Moderate,166,PM2.5
2020-01-15,Bhopal,1.0,Moderate,199,PM2.5
2020-01-16,Bhopal,1.0,Very Poor,301,PM2.5
2020-01-17,Bhopal,1.0,Moderate,196,PM2.5
2020-01-18,Bhopal,1.0,Moderate,180,PM2.5
2020-01-19,Bhopal,1.0,Moderate,140,PM2.5
2020-01-20,Bhopal,1.0,Moderate,118,PM2.5
2020-01-21,Bhopal,1.0,Moderate,106,PM10
2020-01-22,Bhopal,1.0,Moderate,158,PM2.5
2020-01-23,Bhopal,1.0,Moderate,142,PM2.5
2020-01-24,Bhopal,1.0,Moderate,133,PM10
2020-01-25,Bhopal,1.0,Moderate,159,PM10
2020-01-26,Bhopal,1.0,Moderate,195,PM2.5
2020-01-27,Bhopal,1.0,Moderate,111,PM10
