date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-01-04,Bidar,1.0,Moderate,138,PM2.5
2021-01-05,Bidar,1.0,Satisfactory,66,PM2.5
2021-01-06,Bidar,1.0,Satisfactory,58,PM2.5
2021-01-07,Bidar,1.0,Satisfactory,54,PM2.5
2021-01-08,Bidar,1.0,Moderate,122,PM2.5
2021-01-09,Bidar,1.0,Good,50,PM2.5
2021-01-10,Bidar,1.0,Good,41,PM2.5
2021-01-11,Bidar,1.0,Satisfactory,63,PM2.5
2021-01-12,Bidar,1.0,Satisfactory,67,PM2.5
2021-01-13,Bidar,1.0,Satisfactory,90,PM2.5
2021-01-14,Bidar,1.0,Satisfactory,81,PM2.5
2021-01-15,Bidar,1.0,Moderate,101,PM2.5
2021-01-16,Bidar,1.0,Moderate,113,PM2.5
2021-01-17,Bidar,1.0,Satisfactory,100,PM2.5
2021-01-18,Bidar,1.0,Satisfactory,79,PM2.5
2021-01-19,Bidar,1.0,Satisfactory,86,PM2.5
2021-01-20,Bidar,1.0,Satisfactory,74,PM2.5
2021-01-21,Bidar,1.0,Moderate,102,PM2.5
2021-01-22,Bidar,1.0,Satisfactory,90,PM2.5
2021-01-23,Bidar,1.0,Moderate,107,PM10
2021-01-24,Bidar,1.0,Moderate,106,PM10
2021-01-25,Bidar,1.0,Moderate,113,PM10
2021-01-26,Bidar,1.0,Satisfactory,93,PM10
2021-01-27,Bidar,1.0,Moderate,101,PM10
2021-01-28,Bidar,1.0,Satisfactory,99,PM10
2021-02-12,Bidar,1.0,Satisfactory,92,PM10
2021-02-16,Bidar,1.0,Moderate,104,PM10
2021-02-17,Bidar,1.0,Satisfactory,100,PM10
2021-02-18,Bidar,1.0,Satisfactory,98,PM10
2021-02-19,Bidar,1.0,Satisfactory,91,PM10
2021-02-20,Bidar,1.0,Satisfactory,75,PM10
2021-02-21,Bidar,1.0,Satisfactory,74,PM10
2021-02-22,Bidar,1.0,Satisfactory,91,PM10
2021-02-23,Bidar,1.0,Moderate,108,PM10
2021-02-24,Bidar,1.0,Moderate,101,PM10
2021-02-27,Bidar,1.0,Moderate,105,PM10
2021-03-02,Bidar,1.0,Moderate,116,PM10
2021-03-03,Bidar,1.0,Satisfactory,96,PM10
2021-03-04,Bidar,1.0,Satisfactory,90,PM10
2021-03-05,Bidar,1.0,Moderate,101,PM10
2021-03-06,Bidar,1.0,Satisfactory,97,PM10
2021-03-07,Bidar,1.0,Moderate,105,PM10
2021-03-09,Bidar,1.0,Satisfactory,96,PM10
2021-03-10,Bidar,1.0,Satisfactory,85,PM10
2021-03-12,Bidar,1.0,Satisfactory,61,PM10
2021-03-14,Bidar,1.0,Satisfactory,54,PM10
2021-03-15,Bidar,1.0,Satisfactory,70,PM10
2021-03-16,Bidar,1.0,Satisfactory,84,PM10
2021-03-17,Bidar,1.0,Moderate,108,PM2.5
2021-03-18,Bidar,1.0,Moderate,114,PM2.5
2021-03-19,Bidar,1.0,Moderate,112,PM10
2021-03-20,Bidar,1.0,Moderate,106,PM10
2021-03-26,Bidar,1.0,Moderate,116,PM10
2021-03-27,Bidar,1.0,Moderate,133,PM10
2021-03-28,Bidar,1.0,Moderate,123,PM10
2021-03-29,Bidar,1.0,Moderate,142,PM2.5
2021-03-30,Bidar,1.0,Moderate,111,PM10
2021-03-31,Bidar,1.0,Moderate,102,PM10
2021-04-02,Bidar,1.0,Moderate,157,PM10
2021-04-03,Bidar,1.0,Moderate,149,PM10
2021-04-04,Bidar,1.0,Moderate,158,PM10
2021-04-06,Bidar,1.0,Moderate,119,PM10
2021-04-07,Bidar,1.0,Moderate,110,PM10
2021-04-08,Bidar,1.0,Moderate,116,PM10
2021-04-09,Bidar,1.0,Moderate,141,PM10
2021-04-10,Bidar,1.0,Moderate,117,PM10
2021-05-14,Bidar,1.0,Satisfactory,54,PM10
2021-05-18,Bidar,1.0,Good,41,PM10
2021-05-21,Bidar,1.0,Moderate,118,PM10
2021-05-23,Bidar,1.0,Satisfactory,98,PM10
2021-05-24,Bidar,1.0,Moderate,113,PM10
2021-05-25,Bidar,1.0,Moderate,103,PM10
2021-05-26,Bidar,1.0,Moderate,112,PM10
2021-05-27,Bidar,1.0,Satisfactory,79,PM10
2021-05-28,Bidar,1.0,Good,41,PM10
2021-06-01,Bidar,1.0,Good,30,PM10
2021-06-06,Bidar,1.0,Good,29,SO2
2021-06-07,Bidar,1.0,Good,26,PM10
2021-06-08,Bidar,1.0,Satisfactory,53,PM10
2021-06-12,Bidar,1.0,Good,24,SO2
2021-06-13,Bidar,1.0,Good,30,SO2
2021-06-15,Bidar,1.0,Good,26,SO2
2021-06-17,Bidar,1.0,Good,25,SO2
2021-06-18,Bidar,1.0,Satisfactory,59,PM10
2021-06-19,Bidar,1.0,Good,42,PM10
2021-06-22,Bidar,1.0,Moderate,102,PM10
2021-06-23,Bidar,1.0,Satisfactory,92,PM10
2021-06-26,Bidar,1.0,Good,39,PM10
2021-06-30,Bidar,1.0,Good,36,CO
2021-07-01,Bidar,1.0,Good,33,CO
2021-07-03,Bidar,1.0,Good,44,PM10
2021-07-04,Bidar,1.0,Satisfactory,60,PM10
2021-07-06,Bidar,1.0,Satisfactory,54,PM10
2021-07-11,Bidar,1.0,Good,47,CO
2021-07-13,Bidar,1.0,Good,47,CO
2021-07-14,Bidar,1.0,Good,48,CO
2021-07-15,Bidar,1.0,Satisfactory,58,CO
2021-07-16,Bidar,1.0,Satisfactory,53,CO
2021-07-17,Bidar,1.0,Good,48,CO
2021-07-29,Bidar,1.0,Good,42,CO
2021-08-03,Bidar,1.0,Good,30,PM10
2021-08-04,Bidar,1.0,Good,34,PM10
2021-08-06,Bidar,1.0,Good,45,CO
2021-08-07,Bidar,1.0,Moderate,101,SO2
2021-08-08,Bidar,1.0,Moderate,111,SO2
2021-08-09,Bidar,1.0,Satisfactory,98,SO2
2021-08-10,Bidar,1.0,Satisfactory,94,SO2
2021-08-11,Bidar,1.0,Satisfactory,86,SO2
2021-08-12,Bidar,1.0,Satisfactory,75,SO2
2021-08-14,Bidar,1.0,Satisfactory,67,SO2
2021-08-15,Bidar,1.0,Satisfactory,63,SO2
2021-08-16,Bidar,1.0,Satisfactory,57,SO2
2021-08-17,Bidar,1.0,Satisfactory,64,SO2
2021-08-21,Bidar,1.0,Satisfactory,60,SO2
2021-08-27,Bidar,1.0,Satisfactory,52,SO2
2021-08-31,Bidar,1.0,Good,48,CO
2021-09-01,Bidar,1.0,Good,49,SO2
2021-09-02,Bidar,1.0,Good,47,SO2
2021-09-03,Bidar,1.0,Good,49,SO2
2021-09-04,Bidar,1.0,Good,49,CO
2021-09-07,Bidar,1.0,Good,47,SO2
2021-09-08,Bidar,1.0,Good,46,SO2
2021-09-09,Bidar,1.0,Good,50,SO2
2021-09-10,Bidar,1.0,Good,46,SO2
2021-09-11,Bidar,1.0,Good,48,SO2
2021-09-12,Bidar,1.0,Good,44,SO2
2021-09-14,Bidar,1.0,Good,44,CO
2021-09-16,Bidar,1.0,Satisfactory,77,PM10
2021-09-17,Bidar,1.0,Satisfactory,83,PM10
2021-09-21,Bidar,1.0,Good,42,CO
2021-09-22,Bidar,1.0,Good,44,CO
2021-10-01,Bidar,1.0,Good,43,PM10
2021-10-02,Bidar,1.0,Good,48,CO
2021-10-06,Bidar,1.0,Good,42,CO
2021-10-08,Bidar,1.0,Good,50,CO
2021-10-09,Bidar,1.0,Good,40,SO2
2021-10-12,Bidar,1.0,Satisfactory,97,PM10
2021-10-13,Bidar,1.0,Satisfactory,98,PM10
2021-10-14,Bidar,1.0,Moderate,113,PM10
2021-10-15,Bidar,1.0,Moderate,114,PM10
2021-10-16,Bidar,1.0,Satisfactory,94,PM10
2021-10-17,Bidar,1.0,Good,46,CO
2021-10-28,Bidar,1.0,Satisfactory,99,PM10
2021-10-29,Bidar,1.0,Satisfactory,85,PM10
2021-11-03,Bidar,1.0,Good,46,CO
2021-11-07,Bidar,1.0,Satisfactory,73,PM10
2021-11-08,Bidar,1.0,Satisfactory,82,PM10
2021-11-10,Bidar,1.0,Moderate,131,PM10
2021-11-11,Bidar,1.0,Moderate,136,PM10
2021-11-12,Bidar,1.0,Moderate,154,PM10
2021-11-16,Bidar,1.0,Good,41,CO
2021-11-17,Bidar,1.0,Good,42,CO
2021-11-18,Bidar,1.0,Satisfactory,51,CO
2021-11-19,Bidar,1.0,Good,50,CO
2021-11-24,Bidar,1.0,Satisfactory,53,PM10
2021-11-25,Bidar,1.0,Satisfactory,66,PM10
2021-12-02,Bidar,1.0,Moderate,105,PM10
2021-12-04,Bidar,1.0,Moderate,138,PM10
2021-12-05,Bidar,1.0,Moderate,117,PM10
2021-12-06,Bidar,1.0,Satisfactory,85,PM10
2021-12-07,Bidar,1.0,Satisfactory,84,PM10
2021-12-08,Bidar,1.0,Moderate,147,PM10
2021-12-10,Bidar,1.0,Satisfactory,78,PM10
2021-12-11,Bidar,1.0,Poor,206,O3
2021-12-12,Bidar,1.0,Satisfactory,99,PM10
2021-12-13,Bidar,1.0,Poor,246,O3
2021-12-14,Bidar,1.0,Moderate,107,PM10
2021-12-15,Bidar,1.0,Moderate,114,PM10
2021-12-16,Bidar,1.0,Moderate,120,PM10
2021-12-18,Bidar,1.0,Moderate,104,PM10
2021-12-21,Bidar,1.0,Moderate,103,PM10
2021-12-22,Bidar,1.0,Moderate,114,PM10
2021-12-23,Bidar,1.0,Satisfactory,98,PM10
2021-12-24,Bidar,1.0,Moderate,134,PM10
2021-12-28,Bidar,1.0,Moderate,108,PM10
2021-12-29,Bidar,1.0,Satisfactory,87,PM10
2021-12-30,Bidar,1.0,Moderate,102,PM10
2021-12-31,Bidar,1.0,Satisfactory,70,PM10
2022-01-01,Bidar,1.0,Satisfactory,64,PM10
2022-01-02,Bidar,1.0,Satisfactory,73,PM10
2022-01-04,Bidar,1.0,Satisfactory,97,PM10
2022-01-05,Bidar,1.0,Satisfactory,94,PM10
2022-01-06,Bidar,1.0,Satisfactory,86,PM10
2022-01-09,Bidar,1.0,Satisfactory,63,PM10
2022-01-10,Bidar,1.0,Satisfactory,69,PM10
2022-01-19,Bidar,1.0,Satisfactory,95,PM10
2022-01-21,Bidar,1.0,Satisfactory,98,PM10
2022-01-22,Bidar,1.0,Satisfactory,78,PM10
2022-01-23,Bidar,1.0,Satisfactory,77,PM10
2022-01-25,Bidar,1.0,Severe,437,PM10
2022-01-26,Bidar,1.0,Poor,270,PM10
2022-01-27,Bidar,1.0,Moderate,195,PM10
2022-01-28,Bidar,1.0,Moderate,110,PM10
2022-01-29,Bidar,1.0,Satisfactory,82,PM10
2022-01-30,Bidar,1.0,Satisfactory,88,PM10
2022-02-01,Bidar,1.0,Moderate,111,PM10
2022-02-02,Bidar,1.0,Moderate,104,PM10
2022-02-03,Bidar,1.0,Moderate,108,PM10
2022-02-05,Bidar,1.0,Moderate,159,PM10
2022-02-06,Bidar,1.0,Moderate,125,PM10
2022-02-07,Bidar,1.0,Moderate,115,PM10
