date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-07-23,Bihar Sharif,1.0,Satisfactory,85,NO2
2021-07-24,Bihar Sharif,1.0,Satisfactory,58,NO2
2021-07-25,Bihar Sharif,1.0,Satisfactory,77,NO2
2021-07-26,Bihar Sharif,1.0,Satisfactory,71,NO2
2021-07-27,Bihar Sharif,1.0,Satisfactory,79,PM2.5
2021-07-28,Bihar Sharif,1.0,Satisfactory,78,NO2
2021-07-29,Bihar Sharif,1.0,Satisfactory,84,NO2
2021-07-30,Bihar Sharif,1.0,Satisfactory,66,NO2
2021-07-31,Bihar Sharif,1.0,Good,44,NO2
2021-08-01,Bihar Sharif,1.0,Satisfactory,53,NO2
2021-08-02,Bihar Sharif,1.0,Satisfactory,59,NO2
2021-08-07,Bihar Sharif,1.0,Moderate,102,NO2
2021-08-10,Bihar Sharif,1.0,Moderate,105,PM10
2021-11-30,Bihar Sharif,1.0,Severe,421,PM10
2021-12-01,Bihar Sharif,1.0,Very Poor,341,PM10
2021-12-02,Bihar Sharif,1.0,Very Poor,345,PM10
2021-12-03,Bihar Sharif,1.0,Severe,407,PM10
2021-12-04,Bihar Sharif,1.0,Very Poor,380,PM10
2021-12-05,Bihar Sharif,1.0,Poor,282,PM2.5
2021-12-06,Bihar Sharif,1.0,Poor,271,PM2.5
2021-12-07,Bihar Sharif,1.0,Poor,234,PM2.5
2021-12-08,Bihar Sharif,1.0,Very Poor,301,PM2.5
2021-12-09,Bihar Sharif,1.0,Poor,267,PM10
2021-12-10,Bihar Sharif,1.0,Poor,275,PM2.5
2021-12-11,Bihar Sharif,1.0,Very Poor,331,PM2.5
2021-12-12,Bihar Sharif,1.0,Very Poor,377,PM10
2021-12-13,Bihar Sharif,1.0,Severe,414,PM10
2021-12-14,Bihar Sharif,1.0,Very Poor,355,PM2.5
2021-12-15,Bihar Sharif,1.0,Very Poor,314,PM2.5
2021-12-16,Bihar Sharif,1.0,Very Poor,355,PM2.5
2021-12-17,Bihar Sharif,1.0,Very Poor,325,PM2.5
2021-12-18,Bihar Sharif,1.0,Very Poor,340,PM2.5
2021-12-19,Bihar Sharif,1.0,Poor,300,PM2.5
2021-12-20,Bihar Sharif,1.0,Very Poor,351,PM2.5
2021-12-21,Bihar Sharif,1.0,Very Poor,360,PM2.5
2021-12-22,Bihar Sharif,1.0,Very Poor,383,PM10
2021-12-23,Bihar Sharif,1.0,Very Poor,371,PM10
2021-12-24,Bihar Sharif,1.0,Severe,433,PM10
2021-12-26,Bihar Sharif,1.0,Very Poor,315,PM2.5
2021-12-27,Bihar Sharif,1.0,Very Poor,306,PM2.5
2021-12-28,Bihar Sharif,1.0,Poor,276,PM2.5
2022-01-01,Bihar Sharif,1.0,Moderate,111,NO2
2022-01-02,Bihar Sharif,1.0,Moderate,121,PM2.5
2022-01-03,Bihar Sharif,1.0,Poor,261,PM2.5
2022-01-04,Bihar Sharif,1.0,Poor,268,PM2.5
2022-01-05,Bihar Sharif,1.0,Poor,270,PM2.5
2022-01-06,Bihar Sharif,1.0,Very Poor,340,PM2.5
2022-01-07,Bihar Sharif,1.0,Very Poor,316,PM2.5
2022-01-08,Bihar Sharif,1.0,Poor,242,PM2.5
2022-01-10,Bihar Sharif,1.0,Moderate,138,PM2.5
2022-01-11,Bihar Sharif,1.0,Poor,263,PM2.5
2022-01-13,Bihar Sharif,1.0,Satisfactory,92,PM10
2022-01-14,Bihar Sharif,1.0,Moderate,180,PM2.5
2022-01-15,Bihar Sharif,1.0,Poor,235,PM2.5
2022-01-16,Bihar Sharif,1.0,Moderate,200,PM2.5
2022-01-18,Bihar Sharif,1.0,Poor,275,PM2.5
2022-01-19,Bihar Sharif,1.0,Poor,287,PM2.5
2022-01-20,Bihar Sharif,1.0,Poor,260,PM2.5
2022-01-21,Bihar Sharif,1.0,Very Poor,319,PM2.5
2022-01-23,Bihar Sharif,1.0,Poor,207,PM2.5
2022-01-24,Bihar Sharif,1.0,Satisfactory,98,PM2.5
2022-01-25,Bihar Sharif,1.0,Moderate,178,PM2.5
2022-01-27,Bihar Sharif,1.0,Moderate,111,PM2.5
2022-01-28,Bihar Sharif,1.0,Moderate,141,PM2.5
2022-01-29,Bihar Sharif,1.0,Moderate,198,PM2.5
2022-01-30,Bihar Sharif,1.0,Moderate,124,PM2.5
2022-01-31,Bihar Sharif,1.0,Poor,242,PM2.5
2022-02-01,Bihar Sharif,1.0,Poor,277,PM2.5
2022-02-02,Bihar Sharif,1.0,Poor,263,PM2.5
2022-02-03,Bihar Sharif,1.0,Poor,262,PM2.5
2022-02-04,Bihar Sharif,1.0,Moderate,161,NO2
2022-02-05,Bihar Sharif,1.0,Moderate,106,NO2
2022-02-06,Bihar Sharif,1.0,Satisfactory,95,NO2
2022-02-07,Bihar Sharif,1.0,Moderate,135,PM2.5
2022-02-08,Bihar Sharif,1.0,Moderate,185,PM2.5
2022-02-10,Bihar Sharif,1.0,Poor,224,PM2.5
2022-02-11,Bihar Sharif,1.0,Moderate,142,PM2.5
2022-02-12,Bihar Sharif,1.0,Moderate,117,NO2
2022-02-13,Bihar Sharif,1.0,Moderate,121,NO2
2022-02-14,Bihar Sharif,1.0,Moderate,158,PM2.5
2022-02-15,Bihar Sharif,1.0,Poor,207,PM2.5
2022-02-16,Bihar Sharif,1.0,Moderate,141,PM2.5
2022-02-17,Bihar Sharif,1.0,Moderate,164,PM2.5
2022-02-18,Bihar Sharif,1.0,Moderate,117,NO2
2022-02-19,Bihar Sharif,1.0,Moderate,118,NO2
2022-02-20,Bihar Sharif,1.0,Moderate,114,NO2
2022-02-21,Bihar Sharif,1.0,Moderate,128,NO2
2022-02-23,Bihar Sharif,1.0,Moderate,157,PM2.5
2022-02-24,Bihar Sharif,1.0,Moderate,131,PM2.5
2022-02-25,Bihar Sharif,1.0,Poor,230,PM2.5
2022-02-26,Bihar Sharif,1.0,Poor,223,PM2.5
2022-02-28,Bihar Sharif,1.0,Moderate,137,PM2.5
2022-03-01,Bihar Sharif,1.0,Moderate,141,PM2.5
2022-03-02,Bihar Sharif,1.0,Moderate,187,PM2.5
2022-03-03,Bihar Sharif,1.0,Poor,246,PM2.5
2022-03-04,Bihar Sharif,1.0,Poor,227,PM2.5
2022-03-05,Bihar Sharif,1.0,Moderate,194,PM2.5
2022-03-06,Bihar Sharif,1.0,Poor,213,PM2.5
2022-03-07,Bihar Sharif,1.0,Poor,300,PM2.5
2022-03-08,Bihar Sharif,1.0,Poor,249,PM2.5
2022-03-09,Bihar Sharif,1.0,Poor,209,PM2.5
2022-03-10,Bihar Sharif,1.0,Poor,246,PM2.5
2022-03-12,Bihar Sharif,1.0,Moderate,175,PM10
2022-03-13,Bihar Sharif,1.0,Poor,203,PM2.5
2022-03-14,Bihar Sharif,1.0,Poor,247,PM2.5
2022-03-15,Bihar Sharif,1.0,Poor,246,PM2.5
2022-03-16,Bihar Sharif,1.0,Very Poor,302,PM10
2022-03-17,Bihar Sharif,1.0,Very Poor,373,PM10
2022-03-18,Bihar Sharif,1.0,Very Poor,366,PM10
2022-03-19,Bihar Sharif,1.0,Poor,255,PM2.5
2022-03-20,Bihar Sharif,1.0,Very Poor,365,PM2.5
2022-03-22,Bihar Sharif,1.0,Poor,231,PM2.5
2022-03-23,Bihar Sharif,1.0,Poor,238,PM10
2022-03-24,Bihar Sharif,1.0,Moderate,181,PM10
2022-03-25,Bihar Sharif,1.0,Poor,216,PM10
2022-03-27,Bihar Sharif,1.0,Moderate,158,PM10
2022-03-30,Bihar Sharif,1.0,Severe,416,PM10
2022-04-01,Bihar Sharif,1.0,Severe,418,PM10
2022-04-02,Bihar Sharif,1.0,Very Poor,388,PM10
2022-04-03,Bihar Sharif,1.0,Poor,296,PM2.5
