date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Bikaner,1.0,Poor,258,PM10
2023-03-14,Bikaner,1.0,Poor,237,PM10
2023-03-15,Bikaner,1.0,Poor,224,PM10
2023-03-16,Bikaner,1.0,Moderate,195,PM10
2023-03-17,Bikaner,1.0,Poor,217,PM10
2023-03-18,Bikaner,1.0,Moderate,142,PM10
2023-03-19,Bikaner,1.0,Moderate,187,PM10
2023-03-20,Bikaner,1.0,Moderate,109,PM10
2023-03-21,Bikaner,1.0,Moderate,134,PM10
2023-03-22,Bikaner,1.0,Moderate,154,PM2.5
2023-03-23,Bikaner,1.0,Moderate,162,PM10
2023-03-24,Bikaner,1.0,Moderate,109,PM10
2023-03-25,Bikaner,1.0,Moderate,122,PM10
2023-03-26,Bikaner,1.0,Moderate,193,PM10
2023-03-27,Bikaner,1.0,Moderate,149,PM10
2023-03-28,Bikaner,1.0,Moderate,160,PM10
2023-03-29,Bikaner,1.0,Moderate,173,PM10
2023-03-30,Bikaner,1.0,Moderate,141,PM10
2023-03-31,Bikaner,1.0,Satisfactory,57,PM10
2023-04-01,Bikaner,1.0,Moderate,111,PM10
2023-04-02,Bikaner,1.0,Moderate,110,PM10
2023-04-03,Bikaner,1.0,Moderate,145,PM10
2023-04-04,Bikaner,1.0,Moderate,185,PM10
2023-04-05,Bikaner,1.0,Moderate,154,PM10
2023-04-06,Bikaner,1.0,Moderate,101,PM10
2023-04-07,Bikaner,1.0,Moderate,155,PM10
2023-04-08,Bikaner,1.0,Moderate,188,PM10
2023-04-09,Bikaner,1.0,Poor,207,PM10
2023-04-10,Bikaner,1.0,Moderate,177,PM10
2023-04-11,Bikaner,1.0,Poor,248,PM10
2023-04-12,Bikaner,1.0,Poor,201,PM10
2023-04-13,Bikaner,1.0,Moderate,175,PM10
2023-04-14,Bikaner,1.0,Moderate,195,PM10
2023-04-15,Bikaner,1.0,Moderate,148,PM10
2023-04-16,Bikaner,1.0,Moderate,130,PM10
2023-04-17,Bikaner,1.0,Moderate,154,PM10
2023-04-18,Bikaner,1.0,Poor,252,PM10
2023-04-19,Bikaner,1.0,Moderate,162,PM10
2023-04-20,Bikaner,1.0,Moderate,174,PM10
2023-04-21,Bikaner,1.0,Moderate,185,PM10
2023-04-22,Bikaner,1.0,Moderate,197,PM10
2023-04-26,Bikaner,1.0,Moderate,168,PM10
2023-04-27,Bikaner,1.0,Moderate,150,O3
2023-04-28,Bikaner,1.0,Poor,224,PM10
2023-04-29,Bikaner,1.0,Moderate,122,PM10
2023-04-30,Bikaner,1.0,Satisfactory,57,O3
2023-05-01,Bikaner,1.0,Satisfactory,77,O3
2023-05-02,Bikaner,1.0,Satisfactory,95,PM10
2023-05-03,Bikaner,1.0,Moderate,109,PM10
2023-05-04,Bikaner,1.0,Moderate,103,PM10
2023-05-05,Bikaner,1.0,Poor,251,PM10
2023-05-06,Bikaner,1.0,Moderate,144,PM10
2023-05-07,Bikaner,1.0,Moderate,124,PM10
2023-05-08,Bikaner,1.0,Moderate,194,PM10
2023-05-09,Bikaner,1.0,Moderate,177,PM10
2023-05-10,Bikaner,1.0,Moderate,152,PM10
2023-05-11,Bikaner,1.0,Moderate,196,PM10
2023-05-12,Bikaner,1.0,Moderate,179,PM10
2023-05-13,Bikaner,1.0,Moderate,193,PM10
2023-05-14,Bikaner,1.0,Poor,299,PM10
2023-05-15,Bikaner,1.0,Poor,230,PM10
2023-05-16,Bikaner,1.0,Poor,266,PM10
2023-05-17,Bikaner,1.0,Poor,251,PM10
2023-05-18,Bikaner,1.0,Very Poor,339,PM10
2023-05-19,Bikaner,1.0,Poor,250,PM10
2023-05-20,Bikaner,1.0,Poor,258,PM10
2023-05-21,Bikaner,1.0,Moderate,159,PM10
2023-05-22,Bikaner,1.0,Moderate,178,PM2.5
2023-05-23,Bikaner,1.0,Moderate,139,PM10
2023-05-24,Bikaner,1.0,Moderate,179,PM10
