date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-09-23,Bilaspur,1.0,Satisfactory,92,CO
2021-09-24,Bilaspur,1.0,Good,35,PM10
2021-09-25,Bilaspur,1.0,Satisfactory,53,PM10
2021-09-26,Bilaspur,1.0,Satisfactory,60,PM10
2021-09-27,Bilaspur,1.0,Good,47,PM10
2021-09-28,Bilaspur,1.0,Satisfactory,63,PM10
2021-09-29,Bilaspur,1.0,Satisfactory,62,PM10
2021-09-30,Bilaspur,1.0,Good,47,PM10
2021-10-01,Bilaspur,1.0,Satisfactory,63,PM10
2021-10-02,Bilaspur,1.0,Satisfactory,67,PM10
2021-10-04,Bilaspur,1.0,Satisfactory,58,PM10
2021-10-05,Bilaspur,1.0,Good,50,PM10
2021-10-06,Bilaspur,1.0,Satisfactory,78,CO
2021-10-07,Bilaspur,1.0,Satisfactory,88,PM10
2021-10-08,Bilaspur,1.0,Satisfactory,83,PM10
2021-10-09,Bilaspur,1.0,Satisfactory,75,PM10
2021-10-10,Bilaspur,1.0,Satisfactory,89,PM10
2021-10-11,Bilaspur,1.0,Satisfactory,89,PM10
2021-10-12,Bilaspur,1.0,Satisfactory,93,PM10
2021-10-13,Bilaspur,1.0,Satisfactory,82,PM10
2021-10-14,Bilaspur,1.0,Satisfactory,86,PM10
2021-10-15,Bilaspur,1.0,Satisfactory,96,PM10
2021-10-16,Bilaspur,1.0,Satisfactory,52,CO
2021-10-17,Bilaspur,1.0,Satisfactory,60,CO
2021-10-18,Bilaspur,1.0,Good,46,PM10
2021-10-19,Bilaspur,1.0,Satisfactory,74,CO
2021-10-20,Bilaspur,1.0,Satisfactory,65,PM10
2021-10-21,Bilaspur,1.0,Satisfactory,79,PM10
2021-10-22,Bilaspur,1.0,Satisfactory,95,PM10
2021-10-23,Bilaspur,1.0,Moderate,102,PM10
2021-10-24,Bilaspur,1.0,Moderate,111,PM10
2021-10-25,Bilaspur,1.0,Moderate,106,PM10
2021-10-26,Bilaspur,1.0,Moderate,103,PM10
2021-10-27,Bilaspur,1.0,Satisfactory,87,PM10
2021-10-28,Bilaspur,1.0,Satisfactory,86,PM10
2021-10-29,Bilaspur,1.0,Satisfactory,86,PM10
2021-10-30,Bilaspur,1.0,Satisfactory,97,PM10
2021-11-01,Bilaspur,1.0,Satisfactory,93,PM10
2021-11-02,Bilaspur,1.0,Satisfactory,91,PM10
2021-11-03,Bilaspur,1.0,Moderate,103,PM10
2021-11-04,Bilaspur,1.0,Moderate,111,PM10
2021-11-05,Bilaspur,1.0,Moderate,115,PM10
2021-11-06,Bilaspur,1.0,Satisfactory,74,PM10
2021-11-07,Bilaspur,1.0,Satisfactory,64,PM10
2021-11-08,Bilaspur,1.0,Satisfactory,76,CO
2021-11-09,Bilaspur,1.0,Satisfactory,65,PM10
2021-11-10,Bilaspur,1.0,Satisfactory,68,PM10
2021-11-11,Bilaspur,1.0,Satisfactory,62,PM10
2021-11-12,Bilaspur,1.0,Satisfactory,67,PM10
2021-11-13,Bilaspur,1.0,Satisfactory,51,PM10
2021-11-14,Bilaspur,1.0,Good,45,PM10
2021-11-15,Bilaspur,1.0,Satisfactory,66,CO
2021-11-16,Bilaspur,1.0,Satisfactory,67,PM10
2021-11-17,Bilaspur,1.0,Satisfactory,68,PM10
2021-11-18,Bilaspur,1.0,Moderate,115,PM10
2021-11-19,Bilaspur,1.0,Satisfactory,70,PM10
2021-11-20,Bilaspur,1.0,Satisfactory,79,CO
2021-11-21,Bilaspur,1.0,Satisfactory,74,CO
2021-11-22,Bilaspur,1.0,Good,50,PM10
2021-11-23,Bilaspur,1.0,Satisfactory,68,CO
2021-11-24,Bilaspur,1.0,Satisfactory,89,PM10
2021-11-25,Bilaspur,1.0,Satisfactory,100,PM10
2021-11-26,Bilaspur,1.0,Satisfactory,92,PM10
2021-11-27,Bilaspur,1.0,Moderate,103,PM10
2021-11-28,Bilaspur,1.0,Satisfactory,84,PM10
2021-11-30,Bilaspur,1.0,Satisfactory,93,PM10
2021-12-01,Bilaspur,1.0,Moderate,103,PM10
2021-12-02,Bilaspur,1.0,Satisfactory,99,PM10
2021-12-03,Bilaspur,1.0,Moderate,104,PM10
2021-12-04,Bilaspur,1.0,Satisfactory,99,PM10
2021-12-05,Bilaspur,1.0,Satisfactory,88,PM10
2021-12-06,Bilaspur,1.0,Satisfactory,71,PM10
2021-12-07,Bilaspur,1.0,Satisfactory,99,PM10
2021-12-08,Bilaspur,1.0,Satisfactory,99,PM10
2021-12-09,Bilaspur,1.0,Satisfactory,97,PM10
2021-12-10,Bilaspur,1.0,Satisfactory,78,PM10
2021-12-11,Bilaspur,1.0,Moderate,102,PM10
2021-12-12,Bilaspur,1.0,Satisfactory,87,PM10
2021-12-13,Bilaspur,1.0,Satisfactory,90,PM10
2021-12-14,Bilaspur,1.0,Satisfactory,98,PM10
2021-12-15,Bilaspur,1.0,Satisfactory,92,PM10
2021-12-16,Bilaspur,1.0,Satisfactory,92,PM10
2021-12-17,Bilaspur,1.0,Moderate,103,PM10
2021-12-18,Bilaspur,1.0,Moderate,117,PM10
2021-12-19,Bilaspur,1.0,Satisfactory,77,PM10
2021-12-20,Bilaspur,1.0,Satisfactory,72,PM10
2021-12-21,Bilaspur,1.0,Moderate,108,PM10
2021-12-22,Bilaspur,1.0,Satisfactory,86,PM10
2021-12-23,Bilaspur,1.0,Satisfactory,92,PM10
2021-12-24,Bilaspur,1.0,Moderate,110,PM10
2021-12-25,Bilaspur,1.0,Moderate,117,PM10
2021-12-26,Bilaspur,1.0,Moderate,106,PM10
2021-12-27,Bilaspur,1.0,Moderate,123,PM10
2021-12-28,Bilaspur,1.0,Moderate,127,PM10
2021-12-30,Bilaspur,1.0,Satisfactory,55,PM10
2021-12-31,Bilaspur,1.0,Satisfactory,66,PM10
2022-01-01,Bilaspur,1.0,Satisfactory,60,PM10
2022-01-02,Bilaspur,1.0,Satisfactory,73,PM10
2022-01-03,Bilaspur,1.0,Satisfactory,58,PM10
