date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-27,Bileipada,1.0,Moderate,150,PM10
2022-11-28,Bileipada,1.0,Moderate,147,PM10
2022-11-29,Bileipada,1.0,Moderate,176,PM2.5
2022-11-30,Bileipada,1.0,Moderate,165,PM2.5
2022-12-01,Bileipada,1.0,Moderate,142,PM2.5
2022-12-02,Bileipada,1.0,Moderate,169,PM2.5
2022-12-03,Bileipada,1.0,Moderate,196,PM2.5
2022-12-04,Bileipada,1.0,Moderate,192,PM2.5
2022-12-05,Bileipada,1.0,Poor,206,PM2.5
2022-12-06,Bileipada,1.0,Moderate,174,PM2.5
2022-12-07,Bileipada,1.0,Moderate,193,O3
2022-12-08,Bileipada,1.0,Moderate,174,PM2.5
2022-12-09,Bileipada,1.0,Moderate,157,PM10
2022-12-10,Bileipada,1.0,Moderate,165,PM10
2022-12-11,Bileipada,1.0,Moderate,179,PM10
2022-12-12,Bileipada,1.0,Moderate,156,PM10
2022-12-13,Bileipada,1.0,Moderate,148,PM10
2022-12-14,Bileipada,1.0,Moderate,144,PM10
2022-12-15,Bileipada,1.0,Moderate,149,PM10
2022-12-16,Bileipada,1.0,Moderate,138,PM10
2022-12-17,Bileipada,1.0,Moderate,146,PM10
2022-12-18,Bileipada,1.0,Moderate,156,PM10
2022-12-19,Bileipada,1.0,Moderate,165,PM10
2022-12-20,Bileipada,1.0,Moderate,165,PM10
2022-12-21,Bileipada,1.0,Moderate,173,PM10
2022-12-22,Bileipada,1.0,Moderate,179,PM10
2022-12-23,Bileipada,1.0,Moderate,176,PM10
2022-12-24,Bileipada,1.0,Moderate,175,PM10
2022-12-25,Bileipada,1.0,Moderate,156,PM10
2022-12-26,Bileipada,1.0,Moderate,148,PM10
2022-12-27,Bileipada,1.0,Moderate,167,PM10
2022-12-28,Bileipada,1.0,Moderate,175,PM10
2022-12-29,Bileipada,1.0,Poor,262,PM2.5
2022-12-30,Bileipada,1.0,Moderate,180,PM2.5
2022-12-31,Bileipada,1.0,Poor,212,PM2.5
2023-01-01,Bileipada,1.0,Very Poor,311,PM2.5
2023-01-02,Bileipada,1.0,Very Poor,355,PM2.5
2023-01-03,Bileipada,1.0,Very Poor,332,PM2.5
2023-01-04,Bileipada,1.0,Very Poor,330,PM2.5
2023-01-05,Bileipada,1.0,Very Poor,319,PM2.5
2023-01-06,Bileipada,1.0,Poor,284,PM2.5
2023-01-07,Bileipada,1.0,Moderate,140,PM2.5
2023-01-08,Bileipada,1.0,Moderate,160,PM2.5
2023-01-10,Bileipada,1.0,Moderate,194,PM2.5
2023-01-12,Bileipada,1.0,Poor,205,PM2.5
2023-01-13,Bileipada,1.0,Poor,298,PM2.5
2023-01-14,Bileipada,1.0,Poor,259,PM2.5
2023-01-15,Bileipada,1.0,Very Poor,307,PM2.5
2023-01-16,Bileipada,1.0,Poor,246,PM2.5
2023-01-17,Bileipada,1.0,Poor,281,PM2.5
2023-01-18,Bileipada,1.0,Very Poor,334,PM2.5
2023-01-19,Bileipada,1.0,Very Poor,315,PM2.5
2023-01-20,Bileipada,1.0,Very Poor,304,PM2.5
2023-01-22,Bileipada,1.0,Very Poor,315,PM2.5
2023-01-23,Bileipada,1.0,Poor,277,PM2.5
2023-01-24,Bileipada,1.0,Poor,224,PM2.5
2023-01-25,Bileipada,1.0,Poor,258,PM2.5
2023-01-26,Bileipada,1.0,Poor,293,PM2.5
2023-01-27,Bileipada,1.0,Very Poor,312,PM2.5
2023-01-28,Bileipada,1.0,Poor,295,PM2.5
2023-01-29,Bileipada,1.0,Poor,291,PM2.5
2023-01-30,Bileipada,1.0,Poor,258,PM2.5
2023-01-31,Bileipada,1.0,Poor,268,PM2.5
2023-02-02,Bileipada,1.0,Poor,220,PM2.5
2023-02-03,Bileipada,1.0,Moderate,126,PM2.5
2023-02-04,Bileipada,1.0,Moderate,163,PM2.5
