date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-05-16,Bundi,1.0,Moderate,126,PM10
2023-05-17,Bundi,1.0,Moderate,104,PM10
2023-05-19,Bundi,1.0,Moderate,113,PM10
2023-05-20,Bundi,1.0,Moderate,148,PM10
2023-05-21,Bundi,1.0,Moderate,179,CO
2023-05-22,Bundi,1.0,Moderate,164,CO
2023-05-23,Bundi,1.0,Moderate,158,CO
2023-05-24,Bundi,1.0,Moderate,155,CO
2023-05-25,Bundi,1.0,Moderate,161,CO
2023-05-27,Bundi,1.0,Moderate,175,CO
2023-05-28,Bundi,1.0,Moderate,188,CO
2023-05-29,Bundi,1.0,Moderate,153,CO
2023-05-30,Bundi,1.0,Moderate,168,CO
2023-05-31,Bundi,1.0,Moderate,113,O3
2023-06-01,Bundi,1.0,Moderate,113,PM10
2023-06-02,Bundi,1.0,Moderate,104,PM10
2023-06-03,Bundi,1.0,Moderate,131,PM10
2023-06-04,Bundi,1.0,Moderate,157,PM10
2023-06-05,Bundi,1.0,Moderate,155,O3
2023-06-06,Bundi,1.0,Moderate,150,O3
2023-06-07,Bundi,1.0,Moderate,128,O3
2023-06-08,Bundi,1.0,Moderate,123,PM10
2023-06-09,Bundi,1.0,Moderate,121,PM10
2023-06-10,Bundi,1.0,Moderate,104,PM10
2023-06-11,Bundi,1.0,Satisfactory,79,O3
2023-06-12,Bundi,1.0,Satisfactory,85,O3
2023-06-13,Bundi,1.0,Moderate,102,PM10
2023-06-14,Bundi,1.0,Moderate,101,PM10
2023-06-15,Bundi,1.0,Moderate,102,PM10
2023-06-16,Bundi,1.0,Satisfactory,99,PM10
2023-06-17,Bundi,1.0,Moderate,108,PM10
2023-06-18,Bundi,1.0,Moderate,109,PM10
2023-06-20,Bundi,1.0,Satisfactory,97,O3
2023-06-21,Bundi,1.0,Moderate,146,PM2.5
2023-06-22,Bundi,1.0,Moderate,138,PM10
2023-06-23,Bundi,1.0,Moderate,136,PM10
2023-06-24,Bundi,1.0,Moderate,140,PM10
2023-06-25,Bundi,1.0,Moderate,133,PM10
2023-06-27,Bundi,1.0,Moderate,107,PM10
2023-06-29,Bundi,1.0,Good,44,PM10
2023-06-30,Bundi,1.0,Good,48,O3
2023-07-01,Bundi,1.0,Satisfactory,67,PM10
2023-07-02,Bundi,1.0,Satisfactory,92,PM10
2023-07-03,Bundi,1.0,Satisfactory,89,PM10
2023-07-04,Bundi,1.0,Moderate,120,PM10
2023-07-05,Bundi,1.0,Moderate,102,PM10
2023-07-06,Bundi,1.0,Satisfactory,97,PM10
2023-07-07,Bundi,1.0,Moderate,124,PM10
2023-07-08,Bundi,1.0,Moderate,175,PM10
