date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-11-02,Byasanagar,1.0,Satisfactory,100,PM2.5
2023-11-03,Byasanagar,1.0,Satisfactory,85,PM2.5
2023-11-04,Byasanagar,1.0,Satisfactory,67,O3
2023-11-07,Byasanagar,1.0,Moderate,170,PM2.5
2023-11-08,Byasanagar,1.0,Moderate,145,PM2.5
2023-11-09,Byasanagar,1.0,Moderate,134,PM2.5
2023-11-10,Byasanagar,1.0,Moderate,156,PM2.5
2023-11-11,Byasanagar,1.0,Moderate,159,PM2.5
2023-11-12,Byasanagar,1.0,Moderate,194,PM2.5
2023-11-13,Byasanagar,1.0,Very Poor,311,PM2.5
2023-11-14,Byasanagar,1.0,Poor,211,PM2.5
2023-11-15,Byasanagar,1.0,Moderate,156,PM2.5
2023-11-16,Byasanagar,1.0,Satisfactory,84,PM10
2023-11-17,Byasanagar,1.0,Satisfactory,58,PM2.5
2023-11-18,Byasanagar,1.0,Satisfactory,68,PM10
2023-11-19,Byasanagar,1.0,Satisfactory,83,CO
2023-11-20,Byasanagar,1.0,Satisfactory,79,CO
2023-11-21,Byasanagar,1.0,Satisfactory,94,CO
2023-11-22,Byasanagar,1.0,Moderate,124,PM2.5
2023-11-23,Byasanagar,1.0,Poor,218,PM2.5
2023-11-24,Byasanagar,1.0,Poor,240,PM2.5
2023-11-25,Byasanagar,1.0,Poor,242,PM2.5
2023-11-26,Byasanagar,1.0,Poor,233,PM2.5
2023-11-27,Byasanagar,1.0,Moderate,144,PM2.5
2023-11-28,Byasanagar,1.0,Moderate,176,PM2.5
2023-11-29,Byasanagar,1.0,Moderate,187,PM2.5
2023-11-30,Byasanagar,1.0,Moderate,172,PM2.5
2023-12-01,Byasanagar,1.0,Moderate,177,PM2.5
2023-12-02,Byasanagar,1.0,Moderate,164,PM2.5
2023-12-03,Byasanagar,1.0,Poor,232,PM2.5
2023-12-05,Byasanagar,1.0,Moderate,130,PM2.5
2023-12-06,Byasanagar,1.0,Satisfactory,71,CO
2023-12-07,Byasanagar,1.0,Satisfactory,85,CO
2023-12-08,Byasanagar,1.0,Satisfactory,77,CO
2023-12-09,Byasanagar,1.0,Satisfactory,94,CO
2023-12-10,Byasanagar,1.0,Satisfactory,85,CO
2023-12-11,Byasanagar,1.0,Satisfactory,94,CO
2023-12-12,Byasanagar,1.0,Moderate,118,PM2.5
2023-12-13,Byasanagar,1.0,Moderate,131,PM2.5
2023-12-14,Byasanagar,1.0,Moderate,128,PM2.5
2023-12-15,Byasanagar,1.0,Moderate,146,PM2.5
2023-12-16,Byasanagar,1.0,Moderate,128,PM2.5
2023-12-17,Byasanagar,1.0,Moderate,163,PM2.5
2023-12-18,Byasanagar,1.0,Moderate,178,O3
2023-12-19,Byasanagar,1.0,Poor,208,PM2.5
2023-12-20,Byasanagar,1.0,Moderate,126,O3
2023-12-21,Byasanagar,1.0,Moderate,150,PM2.5
2023-12-22,Byasanagar,1.0,Moderate,168,PM2.5
2023-12-23,Byasanagar,1.0,Moderate,172,PM2.5
2023-12-25,Byasanagar,1.0,Moderate,128,PM2.5
2023-12-26,Byasanagar,1.0,Moderate,150,PM2.5
2023-12-27,Byasanagar,1.0,Moderate,175,PM2.5
2023-12-28,Byasanagar,1.0,Poor,216,PM2.5
2023-12-29,Byasanagar,1.0,Poor,253,PM2.5
2023-12-30,Byasanagar,1.0,Poor,201,PM2.5
2023-12-31,Byasanagar,1.0,Poor,215,PM2.5
