date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-12-24,Byrnihat,1.0,Severe,413,PM2.5
2022-12-25,Byrnihat,1.0,Very Poor,382,PM2.5
2022-12-26,Byrnihat,1.0,Very Poor,391,PM2.5
2022-12-27,Byrnihat,1.0,Very Poor,377,PM2.5
2022-12-29,Byrnihat,1.0,Very Poor,337,PM2.5
2022-12-31,Byrnihat,1.0,Very Poor,362,PM2.5
2023-01-01,Byrnihat,1.0,Very Poor,387,PM2.5
2023-01-02,Byrnihat,1.0,Very Poor,368,PM2.5
2023-01-03,Byrnihat,1.0,Very Poor,333,PM2.5
2023-01-04,Byrnihat,1.0,Very Poor,346,PM2.5
2023-01-05,Byrnihat,1.0,Very Poor,367,PM2.5
2023-01-07,Byrnihat,1.0,Very Poor,347,PM2.5
2023-01-08,Byrnihat,1.0,Very Poor,383,PM2.5
2023-01-09,Byrnihat,1.0,Very Poor,382,PM2.5
2023-01-10,Byrnihat,1.0,Very Poor,371,PM2.5
2023-01-12,Byrnihat,1.0,Very Poor,360,PM10
2023-01-13,Byrnihat,1.0,Very Poor,372,PM2.5
2023-01-14,Byrnihat,1.0,Severe,427,PM2.5
2023-01-15,Byrnihat,1.0,Severe,442,PM2.5
2023-01-16,Byrnihat,1.0,Severe,420,PM2.5
2023-01-17,Byrnihat,1.0,Severe,410,PM2.5
2023-01-18,Byrnihat,1.0,Severe,415,PM2.5
2023-01-19,Byrnihat,1.0,Severe,417,PM2.5
2023-01-20,Byrnihat,1.0,Very Poor,394,PM2.5
2023-01-22,Byrnihat,1.0,Very Poor,355,PM2.5
2023-01-23,Byrnihat,1.0,Very Poor,373,PM2.5
2023-01-24,Byrnihat,1.0,Very Poor,377,PM2.5
2023-01-25,Byrnihat,1.0,Very Poor,381,PM2.5
2023-01-26,Byrnihat,1.0,Very Poor,368,PM2.5
2023-01-27,Byrnihat,1.0,Very Poor,370,PM2.5
2023-01-28,Byrnihat,1.0,Very Poor,351,PM2.5
2023-01-29,Byrnihat,1.0,Very Poor,381,PM2.5
2023-01-30,Byrnihat,1.0,Severe,426,PM2.5
2023-02-01,Byrnihat,1.0,Severe,402,PM2.5
2023-02-02,Byrnihat,1.0,Very Poor,394,PM2.5
