date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-11-14,Chamarajanagar,1.0,Good,42,PM10
2020-11-15,Chamarajanagar,1.0,Good,46,NO2
2020-11-17,Chamarajanagar,1.0,Good,40,PM10
2020-11-18,Chamarajanagar,1.0,Satisfactory,62,PM2.5
2020-11-19,Chamarajanagar,1.0,Good,21,CO
2020-11-20,Chamarajanagar,1.0,Satisfactory,60,PM2.5
2020-11-25,Chamarajanagar,1.0,Moderate,106,CO
2020-11-26,Chamarajanagar,1.0,Moderate,106,CO
2020-12-19,Chamarajanagar,1.0,Good,47,PM10
2020-12-20,Chamarajanagar,1.0,Satisfactory,53,PM10
2020-12-21,Chamarajanagar,1.0,Good,35,PM10
2020-12-22,Chamarajanagar,1.0,Good,45,PM10
2020-12-23,Chamarajanagar,1.0,Good,40,PM10
2020-12-26,Chamarajanagar,1.0,Good,47,PM10
2020-12-27,Chamarajanagar,1.0,Good,38,PM10
2020-12-28,Chamarajanagar,1.0,Good,36,PM10
2020-12-29,Chamarajanagar,1.0,Satisfactory,52,PM10
2020-12-30,Chamarajanagar,1.0,Satisfactory,62,PM10
2021-01-07,Chamarajanagar,1.0,Satisfactory,55,PM10
2021-01-08,Chamarajanagar,1.0,Satisfactory,56,PM10
2021-01-09,Chamarajanagar,1.0,Good,47,PM10
2021-01-10,Chamarajanagar,1.0,Good,44,PM10
2021-01-20,Chamarajanagar,1.0,Satisfactory,59,PM10
2021-01-30,Chamarajanagar,1.0,Satisfactory,63,PM10
2021-01-31,Chamarajanagar,1.0,Satisfactory,63,PM10
2021-02-01,Chamarajanagar,1.0,Satisfactory,56,PM10
2021-02-03,Chamarajanagar,1.0,Satisfactory,96,PM2.5
2021-02-04,Chamarajanagar,1.0,Satisfactory,63,PM10
2021-02-05,Chamarajanagar,1.0,Satisfactory,79,PM2.5
2021-02-06,Chamarajanagar,1.0,Satisfactory,78,PM2.5
2021-02-07,Chamarajanagar,1.0,Satisfactory,98,PM2.5
2021-02-08,Chamarajanagar,1.0,Satisfactory,96,PM2.5
2021-02-09,Chamarajanagar,1.0,Moderate,138,PM2.5
2021-02-10,Chamarajanagar,1.0,Moderate,102,PM2.5
2021-02-11,Chamarajanagar,1.0,Satisfactory,89,PM10
2021-02-12,Chamarajanagar,1.0,Satisfactory,89,PM10
2021-02-13,Chamarajanagar,1.0,Satisfactory,90,PM10
2021-02-14,Chamarajanagar,1.0,Satisfactory,90,PM10
2021-02-15,Chamarajanagar,1.0,Satisfactory,89,PM10
2021-02-16,Chamarajanagar,1.0,Moderate,108,NO2
2021-02-17,Chamarajanagar,1.0,Satisfactory,89,PM10
2021-02-19,Chamarajanagar,1.0,Satisfactory,91,O3
2021-02-22,Chamarajanagar,1.0,Satisfactory,70,PM10
2021-02-23,Chamarajanagar,1.0,Satisfactory,70,PM10
2021-02-26,Chamarajanagar,1.0,Satisfactory,85,PM2.5
2021-03-01,Chamarajanagar,1.0,Satisfactory,77,PM10
2021-03-05,Chamarajanagar,1.0,Satisfactory,83,PM10
2021-03-06,Chamarajanagar,1.0,Moderate,114,PM2.5
2021-03-07,Chamarajanagar,1.0,Satisfactory,90,PM10
2021-03-08,Chamarajanagar,1.0,Satisfactory,91,PM10
2021-03-09,Chamarajanagar,1.0,Satisfactory,90,PM10
2021-03-11,Chamarajanagar,1.0,Satisfactory,70,PM10
2021-03-12,Chamarajanagar,1.0,Satisfactory,70,PM10
2021-03-13,Chamarajanagar,1.0,Satisfactory,70,PM10
2021-03-14,Chamarajanagar,1.0,Satisfactory,69,PM10
2021-03-15,Chamarajanagar,1.0,Satisfactory,69,PM10
2021-03-16,Chamarajanagar,1.0,Satisfactory,91,PM2.5
2021-03-17,Chamarajanagar,1.0,Satisfactory,79,PM10
2021-03-26,Chamarajanagar,1.0,Good,50,PM10
2021-04-01,Chamarajanagar,1.0,Satisfactory,77,PM10
2021-04-02,Chamarajanagar,1.0,Satisfactory,76,PM10
2021-04-03,Chamarajanagar,1.0,Satisfactory,72,PM10
2021-04-04,Chamarajanagar,1.0,Satisfactory,79,PM10
2021-04-05,Chamarajanagar,1.0,Satisfactory,71,PM10
2021-04-06,Chamarajanagar,1.0,Satisfactory,94,PM2.5
