date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-08-13,Chengalpattu,1.0,Satisfactory,60,SO2
2022-08-17,Chengalpattu,1.0,Satisfactory,60,SO2
2022-08-24,Chengalpattu,1.0,Satisfactory,57,SO2
2022-08-25,Chengalpattu,1.0,Satisfactory,58,SO2
2022-08-27,Chengalpattu,1.0,Satisfactory,56,SO2
2022-08-30,Chengalpattu,1.0,Satisfactory,80,PM10
2022-09-03,Chengalpattu,1.0,Satisfactory,57,SO2
2022-09-16,Chengalpattu,1.0,Satisfactory,72,SO2
2022-09-29,Chengalpattu,1.0,Satisfactory,86,PM10
2022-09-30,Chengalpattu,1.0,Satisfactory,73,SO2
2022-10-04,Chengalpattu,1.0,Satisfactory,76,PM10
2022-10-12,Chengalpattu,1.0,Satisfactory,77,SO2
2022-10-13,Chengalpattu,1.0,Satisfactory,77,SO2
2022-10-20,Chengalpattu,1.0,Satisfactory,100,PM10
2022-10-27,Chengalpattu,1.0,Moderate,104,PM10
2022-11-01,Chengalpattu,1.0,Satisfactory,70,SO2
2022-11-02,Chengalpattu,1.0,Satisfactory,71,SO2
2022-11-03,Chengalpattu,1.0,Satisfactory,70,SO2
2022-11-04,Chengalpattu,1.0,Satisfactory,71,SO2
2022-11-05,Chengalpattu,1.0,Satisfactory,71,SO2
2022-11-09,Chengalpattu,1.0,Satisfactory,100,PM2.5
2022-11-18,Chengalpattu,1.0,Moderate,189,PM2.5
2022-11-19,Chengalpattu,1.0,Moderate,154,PM2.5
2022-12-06,Chengalpattu,1.0,Poor,262,PM2.5
2022-12-07,Chengalpattu,1.0,Poor,282,PM2.5
2022-12-08,Chengalpattu,1.0,Poor,260,PM2.5
2022-12-11,Chengalpattu,1.0,Good,33,CO
2022-12-13,Chengalpattu,1.0,Good,34,PM10
2022-12-14,Chengalpattu,1.0,Satisfactory,75,PM10
2022-12-15,Chengalpattu,1.0,Satisfactory,89,PM10
2022-12-16,Chengalpattu,1.0,Moderate,108,PM10
2022-12-17,Chengalpattu,1.0,Moderate,123,PM10
2022-12-20,Chengalpattu,1.0,Moderate,106,PM10
2022-12-21,Chengalpattu,1.0,Moderate,111,PM10
2022-12-22,Chengalpattu,1.0,Moderate,110,PM2.5
2022-12-27,Chengalpattu,1.0,Satisfactory,56,PM10
