date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2015-05-01,Chennai,,Satisfactory,87,CO
2015-05-02,Chennai,,Moderate,120,PM2.5
2015-05-03,Chennai,,Satisfactory,90,PM2.5
2015-05-04,Chennai,,Satisfactory,88,PM2.5
2015-05-05,Chennai,,Moderate,124,PM2.5
2015-05-06,Chennai,,Moderate,135,PM2.5
2015-05-07,Chennai,,Moderate,146,PM2.5
2015-05-08,Chennai,,Moderate,146,PM2.5
2015-05-10,Chennai,,Moderate,143,PM2.5
2015-05-11,Chennai,,Poor,233,"CO, PM2.5"
2015-05-12,Chennai,,Moderate,169,PM2.5
2015-05-13,Chennai,,Poor,229,PM2.5
2015-05-15,Chennai,3.0,Moderate,113,PM2.5
2015-05-16,Chennai,3.0,Moderate,183,PM2.5
2015-05-17,Chennai,2.0,Moderate,164,PM2.5
2015-05-18,Chennai,2.0,Moderate,119,PM2.5
2015-05-19,Chennai,3.0,Poor,212,PM2.5
2015-05-20,Chennai,2.0,Moderate,118,PM2.5
2015-05-21,Chennai,3.0,Moderate,180,PM2.5
2015-05-22,Chennai,3.0,Moderate,188,PM2.5
2015-05-23,Chennai,3.0,Moderate,133,PM2.5
2015-05-24,Chennai,2.0,Moderate,123,PM2.5
2015-05-25,Chennai,3.0,Moderate,172,PM2.5
2015-05-26,Chennai,3.0,Moderate,177,PM2.5
2015-05-27,Chennai,3.0,Moderate,186,"CO, PM2.5"
2015-05-28,Chennai,3.0,Moderate,200,PM2.5
2015-05-29,Chennai,3.0,Moderate,173,PM2.5
2015-05-30,Chennai,2.0,Poor,207,PM2.5
2015-05-31,Chennai,3.0,Moderate,164,PM2.5
2015-06-01,Chennai,3.0,Moderate,177,PM2.5
2015-06-02,Chennai,2.0,Poor,228,PM2.5
2015-06-03,Chennai,3.0,Poor,211,PM2.5
2015-06-04,Chennai,3.0,Moderate,160,PM2.5
2015-06-05,Chennai,3.0,Moderate,151,PM2.5
2015-06-06,Chennai,3.0,Moderate,112,PM2.5
2015-06-07,Chennai,3.0,Moderate,118,"CO, PM2.5"
2015-06-08,Chennai,3.0,Moderate,118,PM2.5
2015-06-09,Chennai,2.0,Moderate,107,PM2.5
2015-06-10,Chennai,3.0,Moderate,105,PM2.5
2015-06-11,Chennai,3.0,Moderate,108,PM2.5
2015-06-13,Chennai,3.0,Moderate,106,PM2.5
2015-06-14,Chennai,3.0,Moderate,106,"CO, PM2.5"
2015-06-15,Chennai,3.0,Moderate,119,"CO, PM2.5"
2015-06-16,Chennai,3.0,Moderate,101,"CO, PM2.5"
2015-06-17,Chennai,3.0,Moderate,108,"CO, PM2.5"
2015-06-18,Chennai,3.0,Moderate,108,"CO, PM2.5"
2015-06-19,Chennai,3.0,Moderate,164,"CO, PM2.5"
2015-06-20,Chennai,3.0,Moderate,107,"CO, PM2.5"
2015-06-21,Chennai,3.0,Satisfactory,100,"CO, PM2.5"
2015-06-22,Chennai,2.0,Moderate,115,CO
2015-06-23,Chennai,2.0,Moderate,120,"CO, PM2.5"
2015-06-25,Chennai,3.0,Moderate,137,PM2.5
2015-06-26,Chennai,3.0,Moderate,132,PM2.5
2015-06-27,Chennai,2.0,Moderate,174,"CO, PM2.5"
