date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Chhal,1.0,Satisfactory,94,PM10
2023-03-14,Chhal,1.0,Moderate,114,PM2.5
2023-03-15,Chhal,1.0,Moderate,190,PM2.5
2023-03-16,Chhal,1.0,Poor,230,PM2.5
2023-03-17,Chhal,1.0,Satisfactory,99,PM10
2023-03-18,Chhal,1.0,Satisfactory,67,PM10
2023-03-19,Chhal,1.0,Satisfactory,62,PM10
2023-03-21,Chhal,1.0,Good,45,PM10
2023-03-22,Chhal,1.0,Good,46,PM10
2023-03-23,Chhal,1.0,Satisfactory,55,PM10
2023-03-24,Chhal,1.0,Satisfactory,77,PM10
2023-03-25,Chhal,1.0,Satisfactory,90,PM10
2023-03-26,Chhal,1.0,Satisfactory,79,PM10
2023-03-27,Chhal,1.0,Satisfactory,57,PM10
2023-03-28,Chhal,1.0,Satisfactory,72,PM10
2023-03-29,Chhal,1.0,Moderate,122,PM10
2023-03-30,Chhal,1.0,Moderate,110,PM10
2023-03-31,Chhal,1.0,Good,49,PM10
2023-04-02,Chhal,1.0,Good,42,O3
2023-04-03,Chhal,1.0,Good,43,PM2.5
2023-04-04,Chhal,1.0,Moderate,105,PM10
2023-04-05,Chhal,1.0,Moderate,101,PM10
2023-04-06,Chhal,1.0,Satisfactory,76,PM10
2023-04-07,Chhal,1.0,Moderate,101,PM10
2023-04-08,Chhal,1.0,Satisfactory,95,PM10
2023-04-09,Chhal,1.0,Satisfactory,62,PM10
2023-04-10,Chhal,1.0,Satisfactory,85,PM10
2023-04-11,Chhal,1.0,Satisfactory,100,PM10
2023-04-12,Chhal,1.0,Satisfactory,88,PM10
2023-04-13,Chhal,1.0,Moderate,121,PM10
2023-04-14,Chhal,1.0,Moderate,125,PM10
2023-04-15,Chhal,1.0,Moderate,123,PM10
2023-04-16,Chhal,1.0,Satisfactory,88,PM10
2023-04-17,Chhal,1.0,Moderate,125,PM10
2023-04-18,Chhal,1.0,Moderate,110,PM10
2023-04-19,Chhal,1.0,Moderate,110,PM10
2023-04-20,Chhal,1.0,Moderate,112,PM10
2023-04-21,Chhal,1.0,Satisfactory,74,PM10
2023-04-22,Chhal,1.0,Satisfactory,80,PM10
2023-04-26,Chhal,1.0,Satisfactory,58,O3
2023-04-27,Chhal,1.0,Satisfactory,53,O3
2023-04-28,Chhal,1.0,Good,48,PM10
2023-04-29,Chhal,1.0,Good,37,O3
2023-04-30,Chhal,1.0,Good,39,PM10
2023-05-01,Chhal,1.0,Good,31,CO
2023-05-02,Chhal,1.0,Good,29,PM10
2023-05-03,Chhal,1.0,Good,30,PM10
2023-05-04,Chhal,1.0,Good,36,PM10
2023-05-05,Chhal,1.0,Good,38,PM10
2023-05-06,Chhal,1.0,Good,38,O3
2023-05-07,Chhal,1.0,Good,39,O3
2023-05-08,Chhal,1.0,Satisfactory,56,PM10
2023-05-09,Chhal,1.0,Good,49,PM10
2023-05-10,Chhal,1.0,Satisfactory,67,PM10
