date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-11-23,Chhapra,1.0,Very Poor,304,PM2.5
2021-11-24,Chhapra,1.0,Very Poor,319,PM2.5
2021-11-25,Chhapra,1.0,Very Poor,350,PM2.5
2021-11-26,Chhapra,1.0,Very Poor,393,PM2.5
2021-11-28,Chhapra,1.0,Severe,431,PM2.5
2021-11-30,Chhapra,1.0,Very Poor,361,PM2.5
2021-12-01,Chhapra,1.0,Very Poor,346,PM2.5
2021-12-02,Chhapra,1.0,Very Poor,363,PM2.5
2021-12-03,Chhapra,1.0,Very Poor,381,PM2.5
2021-12-04,Chhapra,1.0,Very Poor,397,PM2.5
2021-12-05,Chhapra,1.0,Very Poor,328,PM2.5
2021-12-06,Chhapra,1.0,Poor,255,PM2.5
2021-12-07,Chhapra,1.0,Poor,279,PM2.5
2021-12-08,Chhapra,1.0,Poor,274,PM2.5
2021-12-09,Chhapra,1.0,Poor,284,PM2.5
2021-12-10,Chhapra,1.0,Very Poor,315,PM2.5
2021-12-12,Chhapra,1.0,Very Poor,353,PM2.5
2021-12-13,Chhapra,1.0,Very Poor,353,PM2.5
2021-12-14,Chhapra,1.0,Very Poor,373,PM2.5
2021-12-15,Chhapra,1.0,Very Poor,364,PM2.5
2021-12-16,Chhapra,1.0,Very Poor,333,PM2.5
2021-12-17,Chhapra,1.0,Very Poor,319,PM2.5
2021-12-18,Chhapra,1.0,Very Poor,306,PM2.5
2021-12-19,Chhapra,1.0,Poor,298,PM2.5
2021-12-20,Chhapra,1.0,Very Poor,386,PM2.5
2021-12-21,Chhapra,1.0,Severe,405,PM2.5
2021-12-22,Chhapra,1.0,Very Poor,389,PM2.5
2021-12-23,Chhapra,1.0,Very Poor,375,PM2.5
2021-12-24,Chhapra,1.0,Very Poor,380,PM2.5
2021-12-29,Chhapra,1.0,Poor,234,PM2.5
2021-12-30,Chhapra,1.0,Moderate,129,PM2.5
2021-12-31,Chhapra,1.0,Moderate,193,PM2.5
2022-01-01,Chhapra,1.0,Poor,288,PM2.5
2022-01-03,Chhapra,1.0,Very Poor,388,PM2.5
2022-01-04,Chhapra,1.0,Very Poor,365,PM2.5
2022-01-05,Chhapra,1.0,Severe,402,PM2.5
2022-01-06,Chhapra,1.0,Severe,414,PM2.5
2022-01-07,Chhapra,1.0,Very Poor,353,PM2.5
2022-01-08,Chhapra,1.0,Poor,260,PM2.5
2022-01-09,Chhapra,1.0,Poor,265,PM2.5
2022-01-10,Chhapra,1.0,Poor,259,PM2.5
2022-01-11,Chhapra,1.0,Poor,297,PM2.5
2022-01-12,Chhapra,1.0,Poor,247,PM2.5
2022-01-13,Chhapra,1.0,Moderate,189,CO
2022-01-14,Chhapra,1.0,Poor,272,PM2.5
2022-01-16,Chhapra,1.0,Poor,298,PM2.5
2022-01-17,Chhapra,1.0,Very Poor,334,PM2.5
2022-01-18,Chhapra,1.0,Very Poor,367,PM2.5
2022-01-19,Chhapra,1.0,Very Poor,360,PM2.5
2022-01-20,Chhapra,1.0,Very Poor,356,PM2.5
2022-01-21,Chhapra,1.0,Severe,417,PM2.5
2022-01-22,Chhapra,1.0,Severe,406,PM2.5
2022-01-23,Chhapra,1.0,Very Poor,366,PM2.5
2022-01-24,Chhapra,1.0,Very Poor,338,PM2.5
2022-01-25,Chhapra,1.0,Very Poor,347,PM2.5
2022-01-26,Chhapra,1.0,Poor,268,PM2.5
2022-01-27,Chhapra,1.0,Poor,268,PM2.5
2022-01-28,Chhapra,1.0,Very Poor,314,PM2.5
2022-01-29,Chhapra,1.0,Very Poor,337,PM2.5
2022-01-31,Chhapra,1.0,Very Poor,399,PM2.5
2022-02-01,Chhapra,1.0,Very Poor,367,PM2.5
2022-02-02,Chhapra,1.0,Very Poor,391,PM2.5
2022-02-03,Chhapra,1.0,Very Poor,352,PM2.5
2022-02-05,Chhapra,1.0,Satisfactory,70,PM2.5
2022-02-06,Chhapra,1.0,Poor,204,PM2.5
2022-02-07,Chhapra,1.0,Poor,253,PM2.5
2022-02-08,Chhapra,1.0,Poor,299,PM2.5
2022-02-09,Chhapra,1.0,Very Poor,331,PM2.5
2022-02-10,Chhapra,1.0,Very Poor,357,PM2.5
2022-02-11,Chhapra,1.0,Poor,206,PM2.5
2022-02-12,Chhapra,1.0,Moderate,167,PM2.5
2022-02-13,Chhapra,1.0,Poor,265,PM2.5
2022-02-14,Chhapra,1.0,Poor,230,PM2.5
2022-02-15,Chhapra,1.0,Poor,298,PM2.5
2022-02-16,Chhapra,1.0,Poor,289,PM2.5
2022-02-17,Chhapra,1.0,Very Poor,307,PM2.5
2022-02-18,Chhapra,1.0,Poor,203,PM2.5
2022-02-20,Chhapra,1.0,Moderate,168,PM2.5
2022-02-21,Chhapra,1.0,Moderate,160,PM2.5
2022-02-22,Chhapra,1.0,Poor,275,PM2.5
2022-02-23,Chhapra,1.0,Poor,294,PM2.5
2022-02-24,Chhapra,1.0,Poor,279,PM2.5
2022-02-25,Chhapra,1.0,Very Poor,315,PM2.5
2022-02-26,Chhapra,1.0,Very Poor,303,PM2.5
2022-02-27,Chhapra,1.0,Poor,277,PM2.5
2022-02-28,Chhapra,1.0,Poor,281,PM2.5
2022-03-01,Chhapra,1.0,Poor,215,PM2.5
2022-03-02,Chhapra,1.0,Poor,212,PM2.5
2022-03-03,Chhapra,1.0,Poor,259,PM2.5
2022-03-05,Chhapra,1.0,Poor,206,PM2.5
2022-03-06,Chhapra,1.0,Poor,201,PM2.5
2022-03-08,Chhapra,1.0,Poor,230,PM2.5
2022-03-09,Chhapra,1.0,Poor,262,PM2.5
2022-03-10,Chhapra,1.0,Poor,228,PM2.5
2022-03-11,Chhapra,1.0,Poor,255,PM2.5
2022-03-12,Chhapra,1.0,Poor,212,PM2.5
2022-03-13,Chhapra,1.0,Poor,258,PM2.5
2022-03-14,Chhapra,1.0,Poor,268,PM2.5
2022-03-15,Chhapra,1.0,Poor,226,PM2.5
2022-03-16,Chhapra,1.0,Poor,252,PM2.5
2022-03-17,Chhapra,1.0,Poor,290,PM2.5
2022-03-18,Chhapra,1.0,Very Poor,339,PM2.5
2022-03-19,Chhapra,1.0,Poor,298,PM2.5
2022-03-20,Chhapra,1.0,Poor,270,PM2.5
2022-03-23,Chhapra,1.0,Poor,260,PM2.5
2022-03-24,Chhapra,1.0,Poor,257,PM2.5
2022-03-25,Chhapra,1.0,Moderate,191,PM2.5
2022-03-26,Chhapra,1.0,Moderate,180,PM10
2022-03-27,Chhapra,1.0,Moderate,177,PM10
2022-03-29,Chhapra,1.0,Very Poor,329,PM10
2022-03-30,Chhapra,1.0,Very Poor,338,PM10
2022-03-31,Chhapra,1.0,Very Poor,305,PM10
2022-04-01,Chhapra,1.0,Very Poor,367,PM10
2022-04-02,Chhapra,1.0,Poor,219,PM2.5
2022-04-03,Chhapra,1.0,Moderate,185,PM2.5
2022-04-04,Chhapra,1.0,Very Poor,321,PM10
2022-04-05,Chhapra,1.0,Poor,270,PM10
2022-04-06,Chhapra,1.0,Very Poor,307,PM10
2022-04-07,Chhapra,1.0,Very Poor,337,PM10
2022-04-08,Chhapra,1.0,Poor,284,PM10
2022-04-09,Chhapra,1.0,Poor,278,PM10
2022-04-10,Chhapra,1.0,Poor,235,PM10
2022-04-12,Chhapra,1.0,Poor,247,PM10
2022-04-14,Chhapra,1.0,Severe,407,PM10
2022-04-15,Chhapra,1.0,Very Poor,364,PM10
2022-04-16,Chhapra,1.0,Moderate,196,PM10
2022-04-17,Chhapra,1.0,Moderate,177,PM10
2022-04-18,Chhapra,1.0,Moderate,189,PM10
2022-04-19,Chhapra,1.0,Moderate,163,PM10
2022-04-20,Chhapra,1.0,Moderate,158,PM10
2022-04-23,Chhapra,1.0,Poor,216,PM10
2022-04-24,Chhapra,1.0,Poor,262,PM10
2022-04-25,Chhapra,1.0,Poor,248,PM10
2022-04-26,Chhapra,1.0,Moderate,198,PM2.5
2022-04-27,Chhapra,1.0,Poor,232,PM2.5
2022-04-28,Chhapra,1.0,Moderate,197,PM10
2022-04-29,Chhapra,1.0,Moderate,162,PM10
