date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2018-07-05,Chikkaballapur,1.0,Satisfactory,77,PM10
2018-07-06,Chikkaballapur,1.0,Satisfactory,73,PM10
2018-07-07,Chikkaballapur,1.0,Good,49,PM10
2018-07-08,Chikkaballapur,1.0,Satisfactory,56,PM10
2018-07-09,Chikkaballapur,1.0,Satisfactory,62,PM10
2018-07-10,Chikkaballapur,1.0,Satisfactory,55,CO
2018-07-11,Chikkaballapur,1.0,Satisfactory,69,CO
2018-07-12,Chikkaballapur,1.0,Good,44,NO2
2018-07-13,Chikkaballapur,1.0,Good,45,NO2
2018-07-14,Chikkaballapur,1.0,Satisfactory,55,PM10
2018-07-15,Chikkaballapur,1.0,Satisfactory,65,PM10
2018-07-16,Chikkaballapur,1.0,Satisfactory,55,PM10
2018-07-19,Chikkaballapur,1.0,Good,44,NO2
2018-07-20,Chikkaballapur,1.0,Good,44,NO2
2018-07-22,Chikkaballapur,1.0,Satisfactory,60,PM10
2018-07-23,Chikkaballapur,1.0,Satisfactory,70,PM10
2018-07-24,Chikkaballapur,1.0,Satisfactory,57,PM10
2018-07-25,Chikkaballapur,1.0,Good,45,NO2
2018-07-26,Chikkaballapur,1.0,Satisfactory,50,PM10
2018-07-27,Chikkaballapur,1.0,Satisfactory,66,PM10
2018-07-28,Chikkaballapur,1.0,Satisfactory,53,PM10
2018-07-30,Chikkaballapur,1.0,Satisfactory,78,PM10
2018-07-31,Chikkaballapur,1.0,Satisfactory,62,PM10
2018-08-01,Chikkaballapur,1.0,Satisfactory,69,PM10
2018-08-02,Chikkaballapur,1.0,Satisfactory,72,PM10
2018-08-03,Chikkaballapur,1.0,Satisfactory,99,PM10
2018-08-04,Chikkaballapur,1.0,Satisfactory,81,PM10
2018-08-05,Chikkaballapur,1.0,Satisfactory,69,PM10
2018-08-06,Chikkaballapur,1.0,Satisfactory,78,PM10
2018-08-07,Chikkaballapur,1.0,Good,49,PM10
2018-08-08,Chikkaballapur,1.0,Good,46,NO2
2018-08-09,Chikkaballapur,1.0,Good,44,NO2
2018-08-10,Chikkaballapur,1.0,Satisfactory,56,PM10
2018-08-11,Chikkaballapur,1.0,Good,46,PM10
2018-08-12,Chikkaballapur,1.0,Good,42,NO2
2018-08-13,Chikkaballapur,1.0,Good,42,NO2
2018-08-14,Chikkaballapur,1.0,Good,42,NO2
2018-08-15,Chikkaballapur,1.0,Good,43,NO2
2018-08-16,Chikkaballapur,1.0,Good,42,NO2
2018-08-18,Chikkaballapur,1.0,Satisfactory,59,PM10
2018-08-19,Chikkaballapur,1.0,Satisfactory,55,PM10
2018-08-20,Chikkaballapur,1.0,Satisfactory,69,PM10
2018-08-21,Chikkaballapur,1.0,Satisfactory,60,PM10
2018-08-22,Chikkaballapur,1.0,Satisfactory,63,PM10
