date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-02-03,Chikkamagaluru,1.0,Moderate,115,PM2.5
2020-02-04,Chikkamagaluru,1.0,Satisfactory,62,PM10
2020-02-05,Chikkamagaluru,1.0,Satisfactory,69,PM10
2020-02-06,Chikkamagaluru,1.0,Satisfactory,72,PM2.5
2020-02-07,Chikkamagaluru,1.0,Satisfactory,75,PM2.5
2020-02-08,Chikkamagaluru,1.0,Satisfactory,51,PM10
2020-02-09,Chikkamagaluru,1.0,Good,44,PM10
2020-02-10,Chikkamagaluru,1.0,Satisfactory,54,O3
2020-02-11,Chikkamagaluru,1.0,Satisfactory,71,PM10
2020-02-12,Chikkamagaluru,1.0,Satisfactory,68,O3
2020-02-13,Chikkamagaluru,1.0,Satisfactory,63,O3
2020-02-14,Chikkamagaluru,1.0,Satisfactory,73,PM2.5
2020-02-15,Chikkamagaluru,1.0,Satisfactory,79,PM2.5
2020-02-16,Chikkamagaluru,1.0,Satisfactory,93,O3
2020-02-29,Chikkamagaluru,1.0,Satisfactory,81,PM10
2020-03-01,Chikkamagaluru,1.0,Satisfactory,77,PM2.5
2020-03-02,Chikkamagaluru,1.0,Satisfactory,82,PM2.5
2020-03-03,Chikkamagaluru,1.0,Satisfactory,69,PM2.5
2020-03-04,Chikkamagaluru,1.0,Satisfactory,69,PM10
2020-03-06,Chikkamagaluru,1.0,Satisfactory,53,PM10
2020-03-07,Chikkamagaluru,1.0,Satisfactory,58,PM10
2020-03-11,Chikkamagaluru,1.0,Satisfactory,60,PM10
2020-03-12,Chikkamagaluru,1.0,Satisfactory,55,PM10
2020-03-13,Chikkamagaluru,1.0,Satisfactory,55,PM10
2020-03-14,Chikkamagaluru,1.0,Satisfactory,58,O3
2020-03-15,Chikkamagaluru,1.0,Satisfactory,67,O3
2020-03-16,Chikkamagaluru,1.0,Satisfactory,64,PM10
2020-03-17,Chikkamagaluru,1.0,Satisfactory,70,PM10
2020-03-18,Chikkamagaluru,1.0,Satisfactory,61,PM10
2020-03-19,Chikkamagaluru,1.0,Satisfactory,60,O3
2020-03-20,Chikkamagaluru,1.0,Satisfactory,67,PM10
2020-03-22,Chikkamagaluru,1.0,Satisfactory,74,O3
2020-03-23,Chikkamagaluru,1.0,Satisfactory,74,PM10
2020-03-24,Chikkamagaluru,1.0,Satisfactory,73,PM10
2020-03-25,Chikkamagaluru,1.0,Satisfactory,66,PM10
2020-03-26,Chikkamagaluru,1.0,Satisfactory,62,PM10
2020-03-27,Chikkamagaluru,1.0,Satisfactory,68,PM10
2020-03-28,Chikkamagaluru,1.0,Satisfactory,63,PM10
2020-03-29,Chikkamagaluru,1.0,Satisfactory,60,O3
2020-03-30,Chikkamagaluru,1.0,Satisfactory,62,PM10
2020-03-31,Chikkamagaluru,1.0,Satisfactory,61,O3
2020-04-01,Chikkamagaluru,1.0,Satisfactory,73,O3
2020-04-02,Chikkamagaluru,1.0,Satisfactory,69,O3
2020-04-03,Chikkamagaluru,1.0,Satisfactory,64,PM10
2020-04-04,Chikkamagaluru,1.0,Satisfactory,63,PM10
2020-04-05,Chikkamagaluru,1.0,Satisfactory,68,PM10
2020-04-06,Chikkamagaluru,1.0,Satisfactory,61,PM10
2020-04-08,Chikkamagaluru,1.0,Good,44,PM10
2020-04-11,Chikkamagaluru,1.0,Satisfactory,69,O3
2020-04-12,Chikkamagaluru,1.0,Satisfactory,70,O3
2020-04-13,Chikkamagaluru,1.0,Satisfactory,82,O3
2020-04-14,Chikkamagaluru,1.0,Satisfactory,89,O3
2020-04-15,Chikkamagaluru,1.0,Satisfactory,69,O3
2020-04-16,Chikkamagaluru,1.0,Satisfactory,64,PM10
2020-04-17,Chikkamagaluru,1.0,Satisfactory,64,PM10
2020-04-18,Chikkamagaluru,1.0,Satisfactory,65,PM10
2020-04-19,Chikkamagaluru,1.0,Satisfactory,69,O3
2020-04-20,Chikkamagaluru,1.0,Satisfactory,57,PM10
2020-04-21,Chikkamagaluru,1.0,Satisfactory,52,PM10
2020-04-22,Chikkamagaluru,1.0,Good,47,PM10
2020-04-23,Chikkamagaluru,1.0,Good,48,PM10
2020-04-24,Chikkamagaluru,1.0,Satisfactory,56,PM10
2020-04-25,Chikkamagaluru,1.0,Satisfactory,56,PM10
2020-04-26,Chikkamagaluru,1.0,Satisfactory,51,PM10
2020-04-27,Chikkamagaluru,1.0,Good,46,PM10
2020-04-28,Chikkamagaluru,1.0,Satisfactory,54,PM10
2020-04-29,Chikkamagaluru,1.0,Satisfactory,52,PM10
2020-05-16,Chikkamagaluru,1.0,Good,48,PM10
2020-05-19,Chikkamagaluru,1.0,Satisfactory,72,PM10
2020-05-20,Chikkamagaluru,1.0,Satisfactory,51,PM10
2020-05-21,Chikkamagaluru,1.0,Good,47,PM10
2020-05-22,Chikkamagaluru,1.0,Good,38,PM10
2020-05-23,Chikkamagaluru,1.0,Good,39,PM10
2020-05-24,Chikkamagaluru,1.0,Good,34,PM10
2020-05-25,Chikkamagaluru,1.0,Good,35,PM10
2020-05-26,Chikkamagaluru,1.0,Good,42,PM10
2020-05-27,Chikkamagaluru,1.0,Good,49,PM10
2020-05-28,Chikkamagaluru,1.0,Good,45,PM10
2020-05-29,Chikkamagaluru,1.0,Good,47,PM10
2020-05-31,Chikkamagaluru,1.0,Good,34,PM10
2020-06-01,Chikkamagaluru,1.0,Good,28,NO2
2020-06-02,Chikkamagaluru,1.0,Good,28,NO2
2020-06-04,Chikkamagaluru,1.0,Good,27,NO2
2020-06-05,Chikkamagaluru,1.0,Good,34,PM10
2020-06-06,Chikkamagaluru,1.0,Good,40,PM10
2020-06-07,Chikkamagaluru,1.0,Good,46,PM10
2020-06-08,Chikkamagaluru,1.0,Good,48,PM10
2020-06-09,Chikkamagaluru,1.0,Satisfactory,52,PM10
2020-06-11,Chikkamagaluru,1.0,Good,33,PM10
2020-06-12,Chikkamagaluru,1.0,Good,35,PM10
2020-06-13,Chikkamagaluru,1.0,Good,33,PM10
2020-06-14,Chikkamagaluru,1.0,Good,32,PM10
2020-06-15,Chikkamagaluru,1.0,Good,34,PM10
2020-06-16,Chikkamagaluru,1.0,Good,38,PM10
2020-06-17,Chikkamagaluru,1.0,Good,36,PM10
2020-06-18,Chikkamagaluru,1.0,Good,38,PM10
2020-06-19,Chikkamagaluru,1.0,Good,46,PM10
2020-06-20,Chikkamagaluru,1.0,Good,43,PM10
2020-06-21,Chikkamagaluru,1.0,Good,43,PM10
2020-06-22,Chikkamagaluru,1.0,Good,39,PM10
2020-06-23,Chikkamagaluru,1.0,Good,40,PM10
2020-06-25,Chikkamagaluru,1.0,Good,22,NO2
2020-06-26,Chikkamagaluru,1.0,Good,32,PM10
2020-06-27,Chikkamagaluru,1.0,Good,34,NO2
2020-06-28,Chikkamagaluru,1.0,Good,27,PM10
2020-06-29,Chikkamagaluru,1.0,Good,28,PM10
2020-06-30,Chikkamagaluru,1.0,Good,31,PM10
2020-07-01,Chikkamagaluru,1.0,Good,35,PM10
2020-07-02,Chikkamagaluru,1.0,Good,35,PM10
2020-07-03,Chikkamagaluru,1.0,Good,30,PM10
2020-07-04,Chikkamagaluru,1.0,Good,33,PM10
2020-07-07,Chikkamagaluru,1.0,Good,25,NO2
2020-07-08,Chikkamagaluru,1.0,Good,28,PM10
2020-07-10,Chikkamagaluru,1.0,Good,34,PM10
2020-07-11,Chikkamagaluru,1.0,Good,31,PM10
2020-07-12,Chikkamagaluru,1.0,Good,29,PM10
2020-07-13,Chikkamagaluru,1.0,Good,33,PM10
2020-07-14,Chikkamagaluru,1.0,Good,29,PM10
2020-07-15,Chikkamagaluru,1.0,Good,29,PM10
2020-07-16,Chikkamagaluru,1.0,Good,28,PM10
2020-07-17,Chikkamagaluru,1.0,Good,31,NO2
2020-07-18,Chikkamagaluru,1.0,Good,32,PM10
2020-07-21,Chikkamagaluru,1.0,Good,26,PM10
2020-07-22,Chikkamagaluru,1.0,Good,25,PM10
2020-07-23,Chikkamagaluru,1.0,Good,36,PM10
2020-07-24,Chikkamagaluru,1.0,Good,31,PM10
2020-07-25,Chikkamagaluru,1.0,Good,28,PM10
2020-07-26,Chikkamagaluru,1.0,Good,29,PM10
2020-07-27,Chikkamagaluru,1.0,Good,35,PM10
2020-07-28,Chikkamagaluru,1.0,Good,29,PM10
2020-07-29,Chikkamagaluru,1.0,Good,28,PM10
2020-07-30,Chikkamagaluru,1.0,Good,29,PM10
2020-07-31,Chikkamagaluru,1.0,Good,28,PM10
2020-08-01,Chikkamagaluru,1.0,Good,26,PM10
2020-08-02,Chikkamagaluru,1.0,Good,28,PM10
2020-08-03,Chikkamagaluru,1.0,Good,29,PM10
2020-08-04,Chikkamagaluru,1.0,Good,32,PM10
2020-08-06,Chikkamagaluru,1.0,Good,29,PM10
2020-08-07,Chikkamagaluru,1.0,Good,30,PM10
2020-08-08,Chikkamagaluru,1.0,Good,32,PM10
2020-08-09,Chikkamagaluru,1.0,Good,33,PM10
2020-08-10,Chikkamagaluru,1.0,Good,32,PM10
2020-08-11,Chikkamagaluru,1.0,Good,33,PM10
2020-08-12,Chikkamagaluru,1.0,Good,32,PM10
2020-08-13,Chikkamagaluru,1.0,Good,48,PM10
2020-08-14,Chikkamagaluru,1.0,Good,48,PM10
2020-08-15,Chikkamagaluru,1.0,Good,42,PM10
2020-08-16,Chikkamagaluru,1.0,Good,46,PM10
2020-08-17,Chikkamagaluru,1.0,Good,39,PM10
2020-08-18,Chikkamagaluru,1.0,Good,34,PM10
2020-08-19,Chikkamagaluru,1.0,Good,41,PM10
2020-08-20,Chikkamagaluru,1.0,Good,35,PM10
2020-08-21,Chikkamagaluru,1.0,Good,35,PM10
2020-08-22,Chikkamagaluru,1.0,Good,35,PM10
2020-08-23,Chikkamagaluru,1.0,Good,30,PM10
2020-08-24,Chikkamagaluru,1.0,Good,40,PM10
2020-08-25,Chikkamagaluru,1.0,Good,41,PM10
2020-08-26,Chikkamagaluru,1.0,Good,39,PM10
2020-08-27,Chikkamagaluru,1.0,Good,42,PM10
2020-08-28,Chikkamagaluru,1.0,Good,50,PM10
2020-08-29,Chikkamagaluru,1.0,Good,45,PM10
2020-08-30,Chikkamagaluru,1.0,Good,35,PM10
2020-08-31,Chikkamagaluru,1.0,Good,42,PM10
2020-09-01,Chikkamagaluru,1.0,Good,42,PM10
2020-09-02,Chikkamagaluru,1.0,Good,38,PM10
2020-09-04,Chikkamagaluru,1.0,Good,30,PM10
2020-09-05,Chikkamagaluru,1.0,Good,33,PM10
2020-09-06,Chikkamagaluru,1.0,Good,36,PM10
2020-09-07,Chikkamagaluru,1.0,Good,33,PM10
2020-09-08,Chikkamagaluru,1.0,Good,26,PM10
2020-09-09,Chikkamagaluru,1.0,Good,26,PM10
2020-09-10,Chikkamagaluru,1.0,Good,27,PM10
2020-09-11,Chikkamagaluru,1.0,Good,25,PM10
2020-09-12,Chikkamagaluru,1.0,Good,27,NO2
2020-09-13,Chikkamagaluru,1.0,Good,29,PM10
2020-09-14,Chikkamagaluru,1.0,Good,33,PM10
2020-09-15,Chikkamagaluru,1.0,Good,39,PM10
2020-09-16,Chikkamagaluru,1.0,Good,30,PM10
2020-09-17,Chikkamagaluru,1.0,Good,34,PM10
2020-09-18,Chikkamagaluru,1.0,Good,29,PM10
2020-09-19,Chikkamagaluru,1.0,Good,34,PM10
2020-09-20,Chikkamagaluru,1.0,Good,25,PM10
2020-09-21,Chikkamagaluru,1.0,Good,24,NO2
2020-09-22,Chikkamagaluru,1.0,Good,37,O3
2020-09-24,Chikkamagaluru,1.0,Good,38,PM10
2020-09-25,Chikkamagaluru,1.0,Good,31,PM10
2020-09-26,Chikkamagaluru,1.0,Good,40,PM10
2020-09-27,Chikkamagaluru,1.0,Good,38,PM10
2020-09-28,Chikkamagaluru,1.0,Good,44,PM10
2020-09-29,Chikkamagaluru,1.0,Good,39,PM10
2020-10-01,Chikkamagaluru,1.0,Good,35,PM10
2020-10-02,Chikkamagaluru,1.0,Good,45,PM10
2020-10-03,Chikkamagaluru,1.0,Good,41,PM10
2020-10-04,Chikkamagaluru,1.0,Good,39,PM10
2020-10-05,Chikkamagaluru,1.0,Good,37,PM10
2020-10-06,Chikkamagaluru,1.0,Good,43,PM10
2020-10-07,Chikkamagaluru,1.0,Satisfactory,51,PM10
2020-10-08,Chikkamagaluru,1.0,Satisfactory,52,PM10
2020-10-09,Chikkamagaluru,1.0,Satisfactory,76,PM10
2020-10-10,Chikkamagaluru,1.0,Good,49,PM10
2020-10-11,Chikkamagaluru,1.0,Good,46,O3
2020-10-12,Chikkamagaluru,1.0,Good,42,PM10
2020-10-13,Chikkamagaluru,1.0,Satisfactory,54,O3
2020-10-14,Chikkamagaluru,1.0,Good,41,O3
2020-10-15,Chikkamagaluru,1.0,Good,36,PM10
2020-10-16,Chikkamagaluru,1.0,Satisfactory,69,PM10
2020-10-17,Chikkamagaluru,1.0,Satisfactory,59,PM10
2020-10-18,Chikkamagaluru,1.0,Satisfactory,55,PM10
2020-10-19,Chikkamagaluru,1.0,Good,45,PM10
2020-10-20,Chikkamagaluru,1.0,Satisfactory,52,PM10
2020-10-21,Chikkamagaluru,1.0,Good,47,PM10
2020-10-22,Chikkamagaluru,1.0,Good,32,PM10
2020-10-23,Chikkamagaluru,1.0,Good,34,PM10
2020-10-24,Chikkamagaluru,1.0,Good,37,PM10
2020-10-25,Chikkamagaluru,1.0,Good,43,PM10
2020-10-26,Chikkamagaluru,1.0,Satisfactory,57,O3
2020-10-27,Chikkamagaluru,1.0,Satisfactory,78,PM10
2020-10-28,Chikkamagaluru,1.0,Satisfactory,78,PM10
2020-10-29,Chikkamagaluru,1.0,Satisfactory,79,PM10
2020-10-30,Chikkamagaluru,1.0,Satisfactory,83,O3
2020-10-31,Chikkamagaluru,1.0,Satisfactory,94,PM10
2020-11-01,Chikkamagaluru,1.0,Satisfactory,95,PM10
2020-11-02,Chikkamagaluru,1.0,Satisfactory,94,PM10
2020-11-03,Chikkamagaluru,1.0,Satisfactory,98,PM10
2020-11-04,Chikkamagaluru,1.0,Satisfactory,84,PM10
2020-11-05,Chikkamagaluru,1.0,Satisfactory,85,PM10
