date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-14,Chittorgarh,1.0,Moderate,198,O3
2023-03-15,Chittorgarh,1.0,Moderate,166,PM2.5
2023-03-16,Chittorgarh,1.0,Moderate,122,PM10
2023-03-17,Chittorgarh,1.0,Moderate,162,O3
2023-03-18,Chittorgarh,1.0,Satisfactory,77,PM10
2023-03-19,Chittorgarh,1.0,Satisfactory,92,PM10
2023-03-22,Chittorgarh,1.0,Moderate,160,O3
2023-03-23,Chittorgarh,1.0,Satisfactory,77,O3
2023-03-24,Chittorgarh,1.0,Satisfactory,77,O3
2023-03-25,Chittorgarh,1.0,Satisfactory,90,O3
2023-03-26,Chittorgarh,1.0,Moderate,160,O3
2023-03-27,Chittorgarh,1.0,Moderate,171,O3
2023-03-28,Chittorgarh,1.0,Moderate,176,O3
2023-03-29,Chittorgarh,1.0,Poor,209,O3
2023-03-30,Chittorgarh,1.0,Moderate,131,PM10
2023-03-31,Chittorgarh,1.0,Satisfactory,72,O3
2023-04-01,Chittorgarh,1.0,Satisfactory,81,O3
2023-04-02,Chittorgarh,1.0,Moderate,132,PM2.5
2023-04-03,Chittorgarh,1.0,Moderate,169,PM2.5
2023-04-04,Chittorgarh,1.0,Moderate,149,PM2.5
2023-04-05,Chittorgarh,1.0,Poor,209,PM2.5
2023-04-06,Chittorgarh,1.0,Poor,272,PM2.5
2023-04-07,Chittorgarh,1.0,Poor,273,PM2.5
2023-04-08,Chittorgarh,1.0,Moderate,195,PM2.5
2023-04-09,Chittorgarh,1.0,Moderate,145,PM2.5
2023-04-10,Chittorgarh,1.0,Poor,253,PM2.5
2023-04-11,Chittorgarh,1.0,Poor,249,PM2.5
2023-04-12,Chittorgarh,1.0,Moderate,167,PM2.5
2023-04-13,Chittorgarh,1.0,Moderate,121,PM2.5
2023-04-22,Chittorgarh,1.0,Moderate,116,PM10
2023-04-23,Chittorgarh,1.0,Moderate,121,PM10
2023-04-24,Chittorgarh,1.0,Moderate,161,O3
2023-04-25,Chittorgarh,1.0,Moderate,184,O3
2023-04-26,Chittorgarh,1.0,Moderate,182,O3
2023-04-27,Chittorgarh,1.0,Moderate,116,O3
2023-04-28,Chittorgarh,1.0,Satisfactory,80,PM10
2023-04-29,Chittorgarh,1.0,Satisfactory,59,PM10
2023-04-30,Chittorgarh,1.0,Satisfactory,64,O3
2023-05-01,Chittorgarh,1.0,Satisfactory,72,O3
2023-05-02,Chittorgarh,1.0,Satisfactory,89,O3
2023-05-03,Chittorgarh,1.0,Satisfactory,86,O3
2023-05-04,Chittorgarh,1.0,Moderate,108,O3
2023-05-05,Chittorgarh,1.0,Moderate,163,O3
2023-05-06,Chittorgarh,1.0,Moderate,112,O3
2023-05-07,Chittorgarh,1.0,Satisfactory,85,O3
2023-05-08,Chittorgarh,1.0,Satisfactory,95,O3
2023-05-09,Chittorgarh,1.0,Moderate,106,PM10
2023-05-10,Chittorgarh,1.0,Moderate,126,PM10
2023-05-11,Chittorgarh,1.0,Moderate,132,PM10
2023-05-12,Chittorgarh,1.0,Moderate,128,PM10
2023-05-13,Chittorgarh,1.0,Moderate,151,O3
2023-05-14,Chittorgarh,1.0,Satisfactory,95,O3
2023-05-15,Chittorgarh,1.0,Satisfactory,83,PM10
2023-05-16,Chittorgarh,1.0,Moderate,122,PM10
2023-05-18,Chittorgarh,1.0,Satisfactory,80,PM10
2023-05-19,Chittorgarh,1.0,Satisfactory,76,PM10
2023-05-20,Chittorgarh,1.0,Moderate,107,PM10
2023-05-21,Chittorgarh,1.0,Satisfactory,86,PM10
2023-05-22,Chittorgarh,1.0,Satisfactory,78,PM10
2023-05-23,Chittorgarh,1.0,Satisfactory,83,O3
2023-05-25,Chittorgarh,1.0,Moderate,109,PM10
2023-05-26,Chittorgarh,1.0,Moderate,156,PM10
2023-05-27,Chittorgarh,1.0,Satisfactory,93,PM10
2023-05-28,Chittorgarh,1.0,Satisfactory,87,PM10
2023-05-29,Chittorgarh,1.0,Satisfactory,78,O3
