date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Churu,1.0,Moderate,120,PM10
2023-03-14,Churu,1.0,Moderate,125,PM10
2023-03-15,Churu,1.0,Moderate,116,PM10
2023-03-16,Churu,1.0,Moderate,153,PM10
2023-03-17,Churu,1.0,Moderate,105,PM10
2023-03-18,Churu,1.0,Satisfactory,80,PM10
2023-03-19,Churu,1.0,Moderate,102,PM10
2023-03-20,Churu,1.0,Satisfactory,92,PM10
2023-03-28,Churu,1.0,Moderate,123,PM10
2023-03-29,Churu,1.0,Moderate,135,PM10
2023-03-30,Churu,1.0,Moderate,141,PM10
2023-03-31,Churu,1.0,Satisfactory,91,PM10
2023-04-01,Churu,1.0,Satisfactory,80,PM10
2023-04-02,Churu,1.0,Satisfactory,85,PM10
2023-04-03,Churu,1.0,Moderate,151,O3
2023-04-04,Churu,1.0,Satisfactory,95,O3
2023-04-05,Churu,1.0,Satisfactory,98,O3
2023-04-06,Churu,1.0,Satisfactory,98,O3
2023-04-07,Churu,1.0,Satisfactory,100,O3
2023-04-08,Churu,1.0,Satisfactory,98,O3
2023-04-09,Churu,1.0,Satisfactory,95,O3
2023-04-10,Churu,1.0,Moderate,106,O3
2023-04-11,Churu,1.0,Moderate,104,PM10
2023-04-12,Churu,1.0,Moderate,103,PM10
2023-04-13,Churu,1.0,Moderate,173,PM10
2023-04-15,Churu,1.0,Moderate,135,PM10
2023-04-16,Churu,1.0,Satisfactory,98,PM10
2023-04-17,Churu,1.0,Moderate,130,PM10
2023-04-18,Churu,1.0,Moderate,165,PM10
2023-04-19,Churu,1.0,Poor,248,PM10
2023-04-20,Churu,1.0,Moderate,116,PM10
2023-04-21,Churu,1.0,Moderate,151,PM10
2023-04-22,Churu,1.0,Moderate,128,PM10
2023-04-23,Churu,1.0,Moderate,142,PM10
2023-04-24,Churu,1.0,Moderate,154,O3
2023-04-26,Churu,1.0,Moderate,178,O3
2023-04-27,Churu,1.0,Moderate,179,O3
2023-04-28,Churu,1.0,Moderate,147,PM10
2023-04-29,Churu,1.0,Satisfactory,95,PM10
2023-04-30,Churu,1.0,Satisfactory,70,O3
2023-05-01,Churu,1.0,Satisfactory,88,O3
2023-05-02,Churu,1.0,Satisfactory,82,O3
2023-05-03,Churu,1.0,Satisfactory,97,PM10
2023-05-04,Churu,1.0,Moderate,157,O3
2023-05-05,Churu,1.0,Moderate,153,O3
2023-05-06,Churu,1.0,Moderate,138,O3
2023-05-07,Churu,1.0,Satisfactory,91,PM10
2023-05-08,Churu,1.0,Poor,209,PM10
2023-05-09,Churu,1.0,Moderate,160,PM10
2023-05-10,Churu,1.0,Moderate,160,O3
2023-05-11,Churu,1.0,Moderate,159,O3
2023-05-12,Churu,1.0,Moderate,124,O3
2023-05-24,Churu,1.0,Moderate,152,PM10
2023-05-25,Churu,1.0,Satisfactory,68,O3
2023-05-30,Churu,1.0,Moderate,112,O3
2023-05-31,Churu,1.0,Moderate,108,O3
2023-06-01,Churu,1.0,Moderate,102,O3
2023-06-02,Churu,1.0,Moderate,114,O3
2023-06-03,Churu,1.0,Moderate,120,O3
2023-06-09,Churu,1.0,Moderate,108,PM10
2023-06-10,Churu,1.0,Moderate,112,PM10
2023-06-11,Churu,1.0,Poor,247,PM10
2023-06-12,Churu,1.0,Poor,236,PM10
2023-06-13,Churu,1.0,Satisfactory,94,PM10
2023-06-14,Churu,1.0,Satisfactory,97,PM10
2023-06-16,Churu,1.0,Satisfactory,90,PM10
2023-06-17,Churu,1.0,Satisfactory,70,PM10
2023-06-18,Churu,1.0,Good,42,O3
2023-06-19,Churu,1.0,Satisfactory,67,O3
2023-06-20,Churu,1.0,Satisfactory,95,PM10
2023-06-21,Churu,1.0,Moderate,104,CO
2023-06-22,Churu,1.0,Moderate,122,PM10
2023-06-23,Churu,1.0,Moderate,118,PM10
2023-06-24,Churu,1.0,Moderate,118,PM10
2023-06-25,Churu,1.0,Satisfactory,73,PM10
2023-06-26,Churu,1.0,Satisfactory,98,O3
2023-06-27,Churu,1.0,Satisfactory,93,O3
2023-06-28,Churu,1.0,Satisfactory,72,O3
2023-06-29,Churu,1.0,Satisfactory,98,PM10
2023-06-30,Churu,1.0,Satisfactory,80,O3
2023-07-01,Churu,1.0,Moderate,105,O3
2023-07-02,Churu,1.0,Satisfactory,91,PM10
2023-07-03,Churu,1.0,Satisfactory,59,O3
2023-07-04,Churu,1.0,Satisfactory,94,PM10
2023-07-05,Churu,1.0,Satisfactory,75,O3
2023-07-06,Churu,1.0,Satisfactory,71,O3
2023-07-07,Churu,1.0,Satisfactory,75,O3
2023-07-08,Churu,1.0,Satisfactory,60,O3
2023-07-09,Churu,1.0,Satisfactory,56,O3
2023-07-10,Churu,1.0,Good,47,O3
