date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-06-14,Coimbatore,1.0,Satisfactory,59,CO
2019-06-15,Coimbatore,1.0,Satisfactory,58,CO
2019-06-16,Coimbatore,1.0,Satisfactory,55,CO
2019-06-17,Coimbatore,1.0,Satisfactory,61,CO
2019-06-18,Coimbatore,1.0,Satisfactory,81,PM2.5
2019-06-19,Coimbatore,1.0,Satisfactory,82,PM2.5
2019-06-20,Coimbatore,1.0,Satisfactory,67,PM2.5
2019-06-24,Coimbatore,1.0,Satisfactory,51,CO
2019-06-25,Coimbatore,1.0,Satisfactory,77,PM2.5
2019-06-26,Coimbatore,1.0,Satisfactory,77,PM2.5
2019-06-27,Coimbatore,1.0,Satisfactory,70,PM2.5
2019-06-28,Coimbatore,1.0,Satisfactory,64,PM2.5
2019-06-29,Coimbatore,1.0,Satisfactory,66,PM2.5
2019-06-30,Coimbatore,1.0,Satisfactory,52,PM2.5
2019-07-01,Coimbatore,1.0,Good,45,CO
2019-07-02,Coimbatore,1.0,Satisfactory,56,CO
2019-07-03,Coimbatore,1.0,Satisfactory,58,CO
2019-07-05,Coimbatore,1.0,Satisfactory,59,CO
2019-07-06,Coimbatore,1.0,Satisfactory,64,CO
2019-07-07,Coimbatore,1.0,Good,50,CO
2019-07-08,Coimbatore,1.0,Satisfactory,57,CO
2019-07-09,Coimbatore,1.0,Satisfactory,54,CO
2019-07-10,Coimbatore,1.0,Satisfactory,59,CO
2019-07-11,Coimbatore,1.0,Satisfactory,61,PM2.5
2019-07-12,Coimbatore,1.0,Satisfactory,72,PM2.5
2019-07-13,Coimbatore,1.0,Satisfactory,64,PM2.5
2019-07-14,Coimbatore,1.0,Satisfactory,54,CO
2019-07-15,Coimbatore,1.0,Satisfactory,59,CO
2019-07-16,Coimbatore,1.0,Satisfactory,64,PM2.5
2019-07-17,Coimbatore,1.0,Satisfactory,53,CO
2019-07-21,Coimbatore,1.0,Satisfactory,68,CO
2019-07-22,Coimbatore,1.0,Satisfactory,66,CO
2019-07-23,Coimbatore,1.0,Satisfactory,69,CO
2019-07-24,Coimbatore,1.0,Satisfactory,66,CO
2019-07-25,Coimbatore,1.0,Satisfactory,68,CO
2019-07-26,Coimbatore,1.0,Satisfactory,69,CO
2019-07-27,Coimbatore,1.0,Satisfactory,70,CO
2019-07-28,Coimbatore,1.0,Satisfactory,78,PM2.5
2019-07-29,Coimbatore,1.0,Satisfactory,74,CO
2019-07-30,Coimbatore,1.0,Satisfactory,71,PM2.5
2019-07-31,Coimbatore,1.0,Satisfactory,74,CO
2019-08-01,Coimbatore,1.0,Satisfactory,73,CO
2019-08-02,Coimbatore,1.0,Satisfactory,75,CO
2019-08-03,Coimbatore,1.0,Satisfactory,70,CO
2019-08-04,Coimbatore,1.0,Satisfactory,66,CO
2019-08-05,Coimbatore,1.0,Satisfactory,71,CO
2019-08-06,Coimbatore,1.0,Satisfactory,80,CO
2019-08-08,Coimbatore,1.0,Satisfactory,78,CO
2019-08-09,Coimbatore,1.0,Satisfactory,65,CO
2019-08-10,Coimbatore,1.0,Satisfactory,72,CO
2019-08-12,Coimbatore,1.0,Satisfactory,67,CO
2019-08-14,Coimbatore,1.0,Satisfactory,74,CO
2019-08-16,Coimbatore,1.0,Satisfactory,71,CO
2019-08-17,Coimbatore,1.0,Satisfactory,78,CO
2019-08-27,Coimbatore,1.0,Satisfactory,79,CO
2019-09-01,Coimbatore,1.0,Satisfactory,71,CO
2019-09-03,Coimbatore,1.0,Satisfactory,81,CO
2019-09-04,Coimbatore,1.0,Satisfactory,84,CO
2019-09-06,Coimbatore,1.0,Satisfactory,81,CO
2019-09-07,Coimbatore,1.0,Satisfactory,84,CO
2019-09-08,Coimbatore,1.0,Satisfactory,74,CO
2019-09-09,Coimbatore,1.0,Satisfactory,78,CO
2019-09-10,Coimbatore,1.0,Satisfactory,76,CO
2019-09-12,Coimbatore,1.0,Satisfactory,80,CO
2019-09-13,Coimbatore,1.0,Satisfactory,82,CO
2019-09-14,Coimbatore,1.0,Satisfactory,83,CO
2019-09-15,Coimbatore,1.0,Satisfactory,76,CO
2019-09-16,Coimbatore,1.0,Satisfactory,83,CO
2019-09-17,Coimbatore,1.0,Satisfactory,83,CO
2019-09-19,Coimbatore,1.0,Satisfactory,74,CO
2019-09-20,Coimbatore,1.0,Satisfactory,86,CO
2019-09-22,Coimbatore,1.0,Satisfactory,75,CO
2019-09-23,Coimbatore,1.0,Satisfactory,74,CO
2019-09-24,Coimbatore,1.0,Satisfactory,76,CO
2019-09-25,Coimbatore,1.0,Satisfactory,78,CO
2019-09-26,Coimbatore,1.0,Satisfactory,74,CO
2019-09-27,Coimbatore,1.0,Satisfactory,81,CO
2019-09-28,Coimbatore,1.0,Satisfactory,86,CO
2019-09-29,Coimbatore,1.0,Satisfactory,84,CO
2019-09-30,Coimbatore,1.0,Satisfactory,89,CO
2019-10-01,Coimbatore,1.0,Satisfactory,82,CO
2019-10-02,Coimbatore,1.0,Satisfactory,84,CO
2019-10-03,Coimbatore,1.0,Satisfactory,89,CO
2019-10-04,Coimbatore,1.0,Satisfactory,89,CO
2019-10-05,Coimbatore,1.0,Satisfactory,91,CO
2019-10-06,Coimbatore,1.0,Satisfactory,82,CO
2019-10-07,Coimbatore,1.0,Satisfactory,81,CO
2019-10-08,Coimbatore,1.0,Satisfactory,77,CO
2019-10-09,Coimbatore,1.0,Satisfactory,91,CO
2019-10-10,Coimbatore,1.0,Satisfactory,90,CO
2019-10-11,Coimbatore,1.0,Satisfactory,92,CO
2019-10-12,Coimbatore,1.0,Satisfactory,89,CO
2019-10-13,Coimbatore,1.0,Satisfactory,84,CO
2019-10-14,Coimbatore,1.0,Satisfactory,100,CO
2019-10-15,Coimbatore,1.0,Satisfactory,97,CO
2019-10-16,Coimbatore,1.0,Moderate,101,CO
2019-10-22,Coimbatore,1.0,Satisfactory,88,CO
2019-10-23,Coimbatore,1.0,Satisfactory,85,CO
2019-10-24,Coimbatore,1.0,Satisfactory,87,CO
2019-10-25,Coimbatore,1.0,Satisfactory,85,CO
2019-10-26,Coimbatore,1.0,Satisfactory,81,CO
2019-10-30,Coimbatore,1.0,Satisfactory,96,CO
2019-10-31,Coimbatore,1.0,Satisfactory,77,CO
2019-11-01,Coimbatore,1.0,Good,41,OZONE
2019-11-02,Coimbatore,1.0,Good,48,PM2.5
2019-11-07,Coimbatore,1.0,Satisfactory,81,PM2.5
2019-11-08,Coimbatore,1.0,Satisfactory,54,OZONE
2019-11-13,Coimbatore,1.0,Satisfactory,79,PM2.5
2019-11-14,Coimbatore,1.0,Satisfactory,72,PM2.5
2019-11-19,Coimbatore,1.0,Good,37,PM2.5
2019-11-20,Coimbatore,1.0,Satisfactory,69,PM2.5
2019-11-21,Coimbatore,1.0,Satisfactory,54,PM2.5
2019-11-26,Coimbatore,1.0,Satisfactory,80,PM2.5
2019-11-27,Coimbatore,1.0,Satisfactory,64,PM2.5
2019-11-28,Coimbatore,1.0,Satisfactory,59,PM2.5
2019-11-29,Coimbatore,1.0,Satisfactory,51,PM2.5
2019-11-30,Coimbatore,1.0,Good,47,PM2.5
2019-12-02,Coimbatore,1.0,Good,28,CO
2019-12-03,Coimbatore,1.0,Good,34,CO
2019-12-04,Coimbatore,1.0,Satisfactory,54,PM10
2019-12-05,Coimbatore,1.0,Satisfactory,72,PM2.5
2019-12-06,Coimbatore,1.0,Moderate,121,PM2.5
2019-12-07,Coimbatore,1.0,Satisfactory,86,PM2.5
2019-12-08,Coimbatore,1.0,Satisfactory,54,PM2.5
2019-12-09,Coimbatore,1.0,Satisfactory,58,O3
2019-12-12,Coimbatore,1.0,Satisfactory,65,PM2.5
2019-12-13,Coimbatore,1.0,Satisfactory,53,O3
2019-12-15,Coimbatore,1.0,Good,47,O3
2019-12-17,Coimbatore,1.0,Satisfactory,65,PM2.5
2019-12-18,Coimbatore,1.0,Satisfactory,77,PM2.5
2019-12-20,Coimbatore,1.0,Satisfactory,88,NO2
2019-12-24,Coimbatore,1.0,Satisfactory,85,PM2.5
2019-12-25,Coimbatore,1.0,Satisfactory,58,PM2.5
2019-12-26,Coimbatore,1.0,Satisfactory,52,PM2.5
2019-12-27,Coimbatore,1.0,Satisfactory,90,PM2.5
2019-12-28,Coimbatore,1.0,Satisfactory,58,PM2.5
2019-12-29,Coimbatore,1.0,Satisfactory,62,PM2.5
2019-12-31,Coimbatore,1.0,Satisfactory,71,PM2.5
2020-01-01,Coimbatore,1.0,Satisfactory,66,PM2.5
2020-01-02,Coimbatore,1.0,Satisfactory,58,PM2.5
2020-01-03,Coimbatore,1.0,Satisfactory,54,PM2.5
2020-01-04,Coimbatore,1.0,Satisfactory,58,PM2.5
2020-01-05,Coimbatore,1.0,Satisfactory,62,NO2
2020-01-06,Coimbatore,1.0,Satisfactory,61,PM2.5
2020-01-07,Coimbatore,1.0,Good,50,PM2.5
2020-01-08,Coimbatore,1.0,Good,50,O3
2020-01-09,Coimbatore,1.0,Satisfactory,68,PM2.5
2020-01-10,Coimbatore,1.0,Satisfactory,86,PM2.5
2020-01-11,Coimbatore,1.0,Satisfactory,66,NO2
2020-01-12,Coimbatore,1.0,Satisfactory,78,PM2.5
2020-01-13,Coimbatore,1.0,Satisfactory,91,NO2
2020-01-14,Coimbatore,1.0,Moderate,112,PM2.5
2020-01-16,Coimbatore,1.0,Satisfactory,77,NO2
2020-01-17,Coimbatore,1.0,Satisfactory,81,NO2
2020-01-18,Coimbatore,1.0,Satisfactory,82,NO2
2020-01-19,Coimbatore,1.0,Satisfactory,70,NO2
2020-01-20,Coimbatore,1.0,Satisfactory,72,NO2
2020-01-21,Coimbatore,1.0,Satisfactory,64,O3
2020-01-22,Coimbatore,1.0,Satisfactory,59,PM2.5
2020-01-25,Coimbatore,1.0,Satisfactory,65,O3
2020-01-26,Coimbatore,1.0,Satisfactory,73,O3
2020-01-27,Coimbatore,1.0,Satisfactory,74,O3
2020-01-28,Coimbatore,1.0,Satisfactory,98,PM2.5
2020-01-29,Coimbatore,1.0,Satisfactory,82,PM2.5
2020-01-30,Coimbatore,1.0,Satisfactory,75,PM2.5
2020-01-31,Coimbatore,1.0,Satisfactory,76,PM2.5
2020-02-01,Coimbatore,1.0,Satisfactory,60,PM2.5
2020-02-02,Coimbatore,1.0,Satisfactory,61,O3
2020-02-03,Coimbatore,1.0,Satisfactory,63,PM2.5
2020-02-04,Coimbatore,1.0,Satisfactory,60,NO2
2020-02-05,Coimbatore,1.0,Satisfactory,98,NO2
2020-02-06,Coimbatore,1.0,Moderate,103,NO2
2020-02-07,Coimbatore,1.0,Satisfactory,64,PM2.5
2020-02-08,Coimbatore,1.0,Satisfactory,62,O3
2020-02-09,Coimbatore,1.0,Satisfactory,53,O3
2020-02-10,Coimbatore,1.0,Satisfactory,54,O3
2020-02-11,Coimbatore,1.0,Satisfactory,62,PM2.5
2020-02-12,Coimbatore,1.0,Satisfactory,59,PM2.5
2020-02-13,Coimbatore,1.0,Satisfactory,72,PM2.5
2020-02-14,Coimbatore,1.0,Satisfactory,76,PM2.5
2020-02-18,Coimbatore,1.0,Satisfactory,74,O3
2020-02-19,Coimbatore,1.0,Satisfactory,87,PM2.5
2020-02-20,Coimbatore,1.0,Satisfactory,81,PM2.5
2020-02-22,Coimbatore,1.0,Satisfactory,53,PM2.5
2020-02-23,Coimbatore,1.0,Satisfactory,67,PM2.5
2020-02-24,Coimbatore,1.0,Satisfactory,82,O3
2020-02-25,Coimbatore,1.0,Satisfactory,87,PM2.5
2020-02-26,Coimbatore,1.0,Satisfactory,71,PM2.5
2020-02-27,Coimbatore,1.0,Satisfactory,73,O3
2020-02-28,Coimbatore,1.0,Satisfactory,58,O3
2020-02-29,Coimbatore,1.0,Satisfactory,76,PM2.5
2020-03-01,Coimbatore,1.0,Satisfactory,67,PM2.5
2020-03-02,Coimbatore,1.0,Satisfactory,70,O3
2020-03-03,Coimbatore,1.0,Satisfactory,92,O3
2020-03-04,Coimbatore,1.0,Satisfactory,84,PM2.5
2020-03-07,Coimbatore,1.0,Satisfactory,68,PM2.5
2020-03-08,Coimbatore,1.0,Satisfactory,58,PM2.5
2020-03-09,Coimbatore,1.0,Good,50,PM2.5
2020-03-10,Coimbatore,1.0,Satisfactory,52,O3
2020-03-12,Coimbatore,1.0,Satisfactory,60,PM10
2020-03-14,Coimbatore,1.0,Satisfactory,66,NO2
2020-03-15,Coimbatore,1.0,Satisfactory,67,NO2
2020-03-16,Coimbatore,1.0,Satisfactory,63,NO2
2020-03-17,Coimbatore,1.0,Satisfactory,66,PM10
2020-03-19,Coimbatore,1.0,Satisfactory,98,NO2
2020-03-20,Coimbatore,1.0,Satisfactory,75,NO2
2020-03-21,Coimbatore,1.0,Satisfactory,73,NO2
2020-04-06,Coimbatore,1.0,Satisfactory,78,NO2
2020-04-12,Coimbatore,1.0,Satisfactory,92,PM10
2020-04-16,Coimbatore,1.0,Satisfactory,97,NO2
2020-04-17,Coimbatore,1.0,Satisfactory,91,NO2
2020-04-18,Coimbatore,1.0,Satisfactory,94,NO2
2020-04-19,Coimbatore,1.0,Satisfactory,91,NO2
2020-04-20,Coimbatore,1.0,Satisfactory,86,NO2
2020-04-21,Coimbatore,1.0,Satisfactory,96,NO2
2020-04-22,Coimbatore,1.0,Satisfactory,94,NO2
2020-04-23,Coimbatore,1.0,Satisfactory,81,NO2
2020-04-24,Coimbatore,1.0,Satisfactory,89,NO2
2020-04-26,Coimbatore,1.0,Satisfactory,51,NO2
2020-05-01,Coimbatore,1.0,Satisfactory,73,CO
2020-05-02,Coimbatore,1.0,Satisfactory,72,CO
2020-05-04,Coimbatore,1.0,Satisfactory,78,CO
2020-05-05,Coimbatore,1.0,Satisfactory,75,CO
2020-05-06,Coimbatore,1.0,Satisfactory,71,CO
2020-05-07,Coimbatore,1.0,Satisfactory,71,CO
2020-05-08,Coimbatore,1.0,Satisfactory,71,CO
2020-05-10,Coimbatore,1.0,Good,44,PM2.5
2020-05-11,Coimbatore,1.0,Good,49,PM2.5
2020-05-14,Coimbatore,1.0,Good,47,CO
2020-05-16,Coimbatore,1.0,Good,43,CO
2020-05-17,Coimbatore,1.0,Good,44,CO
2020-05-18,Coimbatore,1.0,Good,48,CO
2020-05-19,Coimbatore,1.0,Good,49,CO
2020-05-21,Coimbatore,1.0,Satisfactory,64,NO2
2020-05-23,Coimbatore,1.0,Satisfactory,58,NO2
2020-05-24,Coimbatore,1.0,Satisfactory,56,NO2
2020-05-25,Coimbatore,1.0,Satisfactory,57,NO2
2020-05-26,Coimbatore,1.0,Satisfactory,66,NO2
2020-05-27,Coimbatore,1.0,Satisfactory,62,NO2
2020-05-28,Coimbatore,1.0,Satisfactory,67,NO2
2020-05-30,Coimbatore,1.0,Satisfactory,69,NO2
2020-06-02,Coimbatore,1.0,Satisfactory,58,NO2
2020-06-03,Coimbatore,1.0,Satisfactory,51,CO
2020-06-04,Coimbatore,1.0,Satisfactory,51,CO
2020-06-05,Coimbatore,1.0,Satisfactory,51,CO
2020-06-06,Coimbatore,1.0,Satisfactory,52,CO
2020-06-07,Coimbatore,1.0,Satisfactory,54,CO
2020-06-08,Coimbatore,1.0,Satisfactory,56,CO
2020-06-09,Coimbatore,1.0,Satisfactory,58,NO2
2020-06-12,Coimbatore,1.0,Satisfactory,57,NO2
2020-06-13,Coimbatore,1.0,Satisfactory,54,NO2
2020-06-14,Coimbatore,1.0,Good,45,NO2
2020-06-15,Coimbatore,1.0,Good,45,NO2
2020-06-16,Coimbatore,1.0,Good,47,NO2
2020-06-17,Coimbatore,1.0,Satisfactory,56,NO2
2020-06-18,Coimbatore,1.0,Satisfactory,55,NO2
2020-06-19,Coimbatore,1.0,Satisfactory,55,NO2
2020-06-20,Coimbatore,1.0,Good,45,NO2
2020-06-21,Coimbatore,1.0,Good,44,NO2
2020-06-22,Coimbatore,1.0,Good,48,NO2
2020-06-23,Coimbatore,1.0,Satisfactory,56,NO2
2020-06-24,Coimbatore,1.0,Satisfactory,61,NO2
2020-06-25,Coimbatore,1.0,Satisfactory,67,NO2
2020-06-26,Coimbatore,1.0,Satisfactory,64,NO2
2020-06-27,Coimbatore,1.0,Satisfactory,51,NO2
2020-07-02,Coimbatore,1.0,Good,50,NO2
2020-07-03,Coimbatore,1.0,Good,44,NO2
2020-07-04,Coimbatore,1.0,Good,49,NO2
2020-07-05,Coimbatore,1.0,Good,50,NO2
2020-07-06,Coimbatore,1.0,Satisfactory,55,NO2
2020-07-07,Coimbatore,1.0,Good,34,PM2.5
2020-07-08,Coimbatore,1.0,Good,45,PM2.5
2020-07-09,Coimbatore,1.0,Good,42,PM10
2020-07-10,Coimbatore,1.0,Good,42,PM2.5
2020-07-12,Coimbatore,1.0,Good,43,PM2.5
2020-07-13,Coimbatore,1.0,Good,26,PM2.5
2020-07-14,Coimbatore,1.0,Good,37,PM10
2020-07-15,Coimbatore,1.0,Good,49,PM2.5
2020-07-16,Coimbatore,1.0,Good,49,PM2.5
2020-07-17,Coimbatore,1.0,Good,21,PM2.5
2020-07-18,Coimbatore,1.0,Good,48,PM2.5
2020-07-19,Coimbatore,1.0,Good,38,PM2.5
2020-07-20,Coimbatore,1.0,Good,42,PM2.5
2020-07-21,Coimbatore,1.0,Good,44,PM2.5
2020-07-23,Coimbatore,1.0,Good,34,PM2.5
2020-07-29,Coimbatore,1.0,Good,25,PM10
2020-07-30,Coimbatore,1.0,Good,28,PM2.5
2020-07-31,Coimbatore,1.0,Good,34,NO2
2020-08-01,Coimbatore,1.0,Good,43,CO
2020-08-02,Coimbatore,1.0,Good,36,NO2
2020-08-03,Coimbatore,1.0,Good,39,NO2
2020-08-04,Coimbatore,1.0,Good,45,NO2
2020-08-05,Coimbatore,1.0,Good,36,NO2
2020-08-06,Coimbatore,1.0,Good,34,NO2
2020-08-07,Coimbatore,1.0,Good,32,NO2
2020-08-08,Coimbatore,1.0,Good,32,NO2
2020-08-10,Coimbatore,1.0,Good,36,NO2
2020-08-11,Coimbatore,1.0,Good,33,NO2
2020-08-12,Coimbatore,1.0,Good,44,CO
2020-08-13,Coimbatore,1.0,Good,35,NO2
2020-08-14,Coimbatore,1.0,Good,36,NO2
2020-08-15,Coimbatore,1.0,Good,38,NO2
2020-08-16,Coimbatore,1.0,Good,39,NO2
2020-08-17,Coimbatore,1.0,Good,41,NO2
2020-08-18,Coimbatore,1.0,Good,38,NO2
2020-08-19,Coimbatore,1.0,Good,35,NO2
2020-08-20,Coimbatore,1.0,Good,45,NO2
2020-08-22,Coimbatore,1.0,Good,45,NO2
2020-08-23,Coimbatore,1.0,Good,44,NO2
2020-08-24,Coimbatore,1.0,Good,49,NO2
2020-08-26,Coimbatore,1.0,Satisfactory,56,NO2
2020-08-28,Coimbatore,1.0,Good,45,PM2.5
2020-08-31,Coimbatore,1.0,Good,42,NO2
2020-09-04,Coimbatore,1.0,Good,39,PM2.5
2020-09-07,Coimbatore,1.0,Good,19,CO
2020-09-08,Coimbatore,1.0,Good,21,PM2.5
2020-09-09,Coimbatore,1.0,Good,29,PM10
2020-09-10,Coimbatore,1.0,Good,22,PM2.5
2020-09-11,Coimbatore,1.0,Good,28,PM2.5
2020-09-12,Coimbatore,1.0,Good,42,CO
2020-09-14,Coimbatore,1.0,Good,21,CO
2020-09-16,Coimbatore,1.0,Good,30,PM10
2020-09-19,Coimbatore,1.0,Satisfactory,63,CO
2020-09-20,Coimbatore,1.0,Good,42,CO
2020-09-21,Coimbatore,1.0,Good,48,CO
2020-09-22,Coimbatore,1.0,Good,39,CO
2020-09-23,Coimbatore,1.0,Good,29,PM2.5
2020-09-24,Coimbatore,1.0,Good,29,PM2.5
2020-09-25,Coimbatore,1.0,Good,34,PM2.5
2020-09-26,Coimbatore,1.0,Good,32,PM2.5
2020-09-28,Coimbatore,1.0,Good,30,PM2.5
2020-10-02,Coimbatore,1.0,Good,33,PM2.5
2020-10-08,Coimbatore,1.0,Good,44,PM2.5
2020-10-09,Coimbatore,1.0,Good,34,CO
2020-10-12,Coimbatore,1.0,Good,42,CO
2020-10-15,Coimbatore,1.0,Good,36,PM2.5
2020-10-16,Coimbatore,1.0,Good,30,CO
2020-10-17,Coimbatore,1.0,Good,46,PM2.5
2020-10-18,Coimbatore,1.0,Good,41,PM2.5
2020-10-19,Coimbatore,1.0,Good,36,PM2.5
