date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-01-08,Damoh,1.0,Poor,287,PM2.5
2019-01-09,Damoh,1.0,Poor,272,PM2.5
2019-01-10,Damoh,1.0,Poor,235,PM2.5
2019-01-11,Damoh,1.0,Moderate,187,PM10
2019-01-12,Damoh,1.0,Moderate,162,PM10
2019-01-13,Damoh,1.0,Poor,264,PM2.5
2019-01-14,Damoh,1.0,Very Poor,314,PM2.5
2019-01-15,Damoh,1.0,Moderate,162,PM2.5
2019-01-16,Damoh,1.0,Moderate,153,PM2.5
2019-01-17,Damoh,1.0,Moderate,177,PM10
2019-01-18,Damoh,1.0,Moderate,156,PM10
2019-01-19,Damoh,1.0,Moderate,195,PM2.5
2019-01-20,Damoh,1.0,Moderate,189,PM10
2019-01-21,Damoh,1.0,Moderate,122,PM10
2019-01-22,Damoh,1.0,Moderate,101,PM10
2019-01-23,Damoh,1.0,Moderate,159,PM2.5
2019-01-24,Damoh,1.0,Poor,231,PM2.5
2019-01-25,Damoh,1.0,Moderate,179,PM2.5
2019-01-26,Damoh,1.0,Moderate,130,PM2.5
2019-01-27,Damoh,1.0,Satisfactory,85,PM2.5
2019-01-28,Damoh,1.0,Moderate,113,PM2.5
2019-01-29,Damoh,1.0,Satisfactory,92,PM2.5
2019-01-30,Damoh,1.0,Moderate,125,PM2.5
2019-01-31,Damoh,1.0,Moderate,196,PM2.5
2019-02-01,Damoh,1.0,Satisfactory,94,PM2.5
2019-02-02,Damoh,1.0,Moderate,179,PM2.5
2019-02-03,Damoh,1.0,Poor,229,PM2.5
2019-02-04,Damoh,1.0,Poor,219,PM2.5
2019-02-05,Damoh,1.0,Poor,223,PM2.5
2019-02-06,Damoh,1.0,Poor,213,PM2.5
2019-02-07,Damoh,1.0,Moderate,122,PM2.5
2019-02-08,Damoh,1.0,Satisfactory,97,PM10
2019-02-09,Damoh,1.0,Moderate,103,PM10
2019-02-10,Damoh,1.0,Satisfactory,79,PM2.5
2019-02-11,Damoh,1.0,Satisfactory,83,PM10
2019-02-12,Damoh,1.0,Satisfactory,88,PM10
2019-02-13,Damoh,1.0,Moderate,112,PM2.5
2019-02-14,Damoh,1.0,Moderate,103,PM10
2019-02-15,Damoh,1.0,Satisfactory,75,PM2.5
2019-02-16,Damoh,1.0,Moderate,124,PM2.5
2019-02-17,Damoh,1.0,Satisfactory,91,PM2.5
2019-02-18,Damoh,1.0,Satisfactory,96,PM2.5
2019-02-19,Damoh,1.0,Satisfactory,82,PM10
2019-02-20,Damoh,1.0,Moderate,136,PM10
2019-02-21,Damoh,1.0,Satisfactory,82,PM10
2019-02-22,Damoh,1.0,Satisfactory,86,PM2.5
2019-02-23,Damoh,1.0,Satisfactory,96,PM2.5
2019-02-24,Damoh,1.0,Satisfactory,72,PM10
2019-02-25,Damoh,1.0,Satisfactory,60,PM10
2019-02-26,Damoh,1.0,Satisfactory,82,PM10
2019-02-27,Damoh,1.0,Satisfactory,79,PM2.5
2019-02-28,Damoh,1.0,Satisfactory,66,PM2.5
2019-03-01,Damoh,1.0,Satisfactory,52,PM10
2019-03-02,Damoh,1.0,Satisfactory,77,PM10
2019-03-03,Damoh,1.0,Satisfactory,95,PM10
2019-03-04,Damoh,1.0,Moderate,185,PM2.5
2019-03-05,Damoh,1.0,Satisfactory,98,PM2.5
2019-03-06,Damoh,1.0,Satisfactory,75,PM10
2019-03-07,Damoh,1.0,Satisfactory,70,PM10
2019-03-08,Damoh,1.0,Satisfactory,72,PM10
2019-03-09,Damoh,1.0,Moderate,115,PM10
2019-03-10,Damoh,1.0,Moderate,112,PM10
2019-03-11,Damoh,1.0,Satisfactory,96,PM10
2019-03-12,Damoh,1.0,Moderate,112,PM10
2019-03-13,Damoh,1.0,Satisfactory,100,PM10
2019-03-14,Damoh,1.0,Satisfactory,88,PM10
2019-03-15,Damoh,1.0,Satisfactory,90,PM10
2019-03-16,Damoh,1.0,Satisfactory,88,PM10
2019-03-17,Damoh,1.0,Satisfactory,78,PM10
2019-03-18,Damoh,1.0,Satisfactory,69,PM2.5
2019-03-19,Damoh,1.0,Satisfactory,84,PM10
2019-03-20,Damoh,1.0,Satisfactory,88,PM10
2019-03-21,Damoh,1.0,Satisfactory,76,PM10
2019-03-22,Damoh,1.0,Satisfactory,71,PM10
2019-03-23,Damoh,1.0,Satisfactory,79,PM10
2019-03-24,Damoh,1.0,Satisfactory,83,PM10
2019-03-25,Damoh,1.0,Satisfactory,99,PM10
2019-03-26,Damoh,1.0,Moderate,106,PM10
2019-03-27,Damoh,1.0,Satisfactory,75,PM10
2019-03-28,Damoh,1.0,Satisfactory,75,PM10
2019-03-29,Damoh,1.0,Satisfactory,95,PM10
2019-03-30,Damoh,1.0,Satisfactory,97,PM10
2019-03-31,Damoh,1.0,Moderate,136,PM10
2019-04-01,Damoh,1.0,Satisfactory,93,PM10
2019-04-02,Damoh,1.0,Moderate,102,PM10
2019-04-03,Damoh,1.0,Satisfactory,99,PM10
2019-04-08,Damoh,1.0,Moderate,125,PM10
2019-04-12,Damoh,1.0,Moderate,101,PM10
2019-04-23,Damoh,1.0,Satisfactory,79,PM10
2019-04-24,Damoh,1.0,Satisfactory,86,PM2.5
2019-04-25,Damoh,1.0,Satisfactory,72,PM2.5
2019-04-26,Damoh,1.0,Satisfactory,81,PM10
2019-04-27,Damoh,1.0,Satisfactory,88,PM2.5
2019-04-28,Damoh,1.0,Moderate,103,PM2.5
2019-04-29,Damoh,1.0,Satisfactory,75,PM2.5
2019-04-30,Damoh,1.0,Satisfactory,88,PM2.5
2019-05-01,Damoh,1.0,Satisfactory,72,PM10
2019-05-02,Damoh,1.0,Satisfactory,85,PM10
2019-05-03,Damoh,1.0,Satisfactory,89,PM10
2019-05-04,Damoh,1.0,Satisfactory,79,PM10
2019-05-05,Damoh,1.0,Satisfactory,60,PM10
2019-05-06,Damoh,1.0,Satisfactory,82,PM2.5
2019-05-07,Damoh,1.0,Satisfactory,80,PM10
2019-05-08,Damoh,1.0,Satisfactory,69,PM10
2019-05-09,Damoh,1.0,Satisfactory,72,PM2.5
2019-05-10,Damoh,1.0,Satisfactory,52,PM10
2019-05-11,Damoh,1.0,Good,50,PM10
2019-05-12,Damoh,1.0,Satisfactory,70,PM2.5
2019-05-13,Damoh,1.0,Satisfactory,84,PM10
