date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-07-18,Darbhanga,1.0,Satisfactory,85,PM10
2021-07-19,Darbhanga,1.0,Moderate,113,PM10
2021-07-20,Darbhanga,1.0,Good,42,PM2.5
2021-07-21,Darbhanga,1.0,Moderate,111,PM10
2021-07-22,Darbhanga,1.0,Satisfactory,96,PM10
2021-07-23,Darbhanga,1.0,Good,29,PM2.5
2021-07-24,Darbhanga,1.0,Satisfactory,79,PM10
2021-07-25,Darbhanga,1.0,Satisfactory,75,PM10
2021-07-26,Darbhanga,1.0,Moderate,143,PM10
2021-07-27,Darbhanga,1.0,Moderate,130,PM10
2021-07-28,Darbhanga,1.0,Good,38,PM2.5
2021-07-29,Darbhanga,1.0,Good,22,CO
2021-07-30,Darbhanga,1.0,Good,17,CO
2021-07-31,Darbhanga,1.0,Good,27,CO
2021-08-01,Darbhanga,1.0,Good,27,PM2.5
2021-08-02,Darbhanga,1.0,Satisfactory,61,CO
2021-08-03,Darbhanga,1.0,Poor,293,PM10
2021-08-07,Darbhanga,1.0,Moderate,119,PM10
2021-08-09,Darbhanga,1.0,Satisfactory,93,PM10
2021-08-10,Darbhanga,1.0,Moderate,178,PM10
2021-11-13,Darbhanga,1.0,Poor,252,PM2.5
2021-11-14,Darbhanga,1.0,Poor,271,PM2.5
2021-11-17,Darbhanga,1.0,Poor,235,PM10
2021-11-18,Darbhanga,1.0,Very Poor,302,PM2.5
2021-11-20,Darbhanga,1.0,Very Poor,366,PM2.5
2021-11-21,Darbhanga,1.0,Very Poor,390,PM2.5
2021-11-22,Darbhanga,1.0,Very Poor,379,PM2.5
2021-11-23,Darbhanga,1.0,Very Poor,369,PM2.5
2021-11-24,Darbhanga,1.0,Very Poor,377,PM2.5
2021-11-25,Darbhanga,1.0,Very Poor,366,PM2.5
2021-11-26,Darbhanga,1.0,Very Poor,351,PM2.5
2021-11-27,Darbhanga,1.0,Very Poor,332,PM2.5
2021-11-28,Darbhanga,1.0,Very Poor,331,PM2.5
2021-11-29,Darbhanga,1.0,Very Poor,356,PM2.5
2021-11-30,Darbhanga,1.0,Very Poor,390,PM2.5
2021-12-01,Darbhanga,1.0,Very Poor,326,PM2.5
2021-12-02,Darbhanga,1.0,Very Poor,308,PM2.5
2021-12-03,Darbhanga,1.0,Very Poor,328,PM2.5
2021-12-04,Darbhanga,1.0,Very Poor,351,PM2.5
2021-12-05,Darbhanga,1.0,Very Poor,304,PM2.5
2021-12-06,Darbhanga,1.0,Poor,215,PM2.5
2021-12-07,Darbhanga,1.0,Poor,298,PM2.5
2021-12-08,Darbhanga,1.0,Very Poor,323,PM2.5
2021-12-09,Darbhanga,1.0,Poor,262,PM2.5
2021-12-10,Darbhanga,1.0,Very Poor,310,PM2.5
2021-12-11,Darbhanga,1.0,Very Poor,324,PM2.5
2021-12-12,Darbhanga,1.0,Very Poor,338,PM2.5
2021-12-13,Darbhanga,1.0,Very Poor,376,PM2.5
2021-12-14,Darbhanga,1.0,Very Poor,386,PM2.5
2021-12-15,Darbhanga,1.0,Very Poor,372,PM2.5
2021-12-16,Darbhanga,1.0,Very Poor,335,PM2.5
2021-12-17,Darbhanga,1.0,Very Poor,350,PM2.5
2021-12-18,Darbhanga,1.0,Very Poor,391,PM2.5
2021-12-19,Darbhanga,1.0,Very Poor,313,PM2.5
2021-12-20,Darbhanga,1.0,Very Poor,380,PM2.5
2021-12-21,Darbhanga,1.0,Severe,424,PM2.5
2021-12-22,Darbhanga,1.0,Very Poor,389,PM2.5
2021-12-23,Darbhanga,1.0,Severe,413,PM2.5
2021-12-24,Darbhanga,1.0,Very Poor,392,PM2.5
2021-12-25,Darbhanga,1.0,Poor,263,PM2.5
2021-12-26,Darbhanga,1.0,Poor,238,PM2.5
2021-12-27,Darbhanga,1.0,Poor,275,PM2.5
2021-12-28,Darbhanga,1.0,Poor,257,PM2.5
2021-12-29,Darbhanga,1.0,Moderate,113,PM2.5
2021-12-30,Darbhanga,1.0,Satisfactory,69,PM10
2021-12-31,Darbhanga,1.0,Moderate,157,PM2.5
2022-01-01,Darbhanga,1.0,Poor,261,PM2.5
2022-01-02,Darbhanga,1.0,Poor,203,PM2.5
2022-01-03,Darbhanga,1.0,Poor,296,PM2.5
2022-01-04,Darbhanga,1.0,Very Poor,330,PM2.5
2022-01-05,Darbhanga,1.0,Very Poor,326,PM2.5
2022-01-06,Darbhanga,1.0,Very Poor,364,PM2.5
2022-01-07,Darbhanga,1.0,Very Poor,317,PM2.5
2022-01-08,Darbhanga,1.0,Moderate,199,PM2.5
2022-01-09,Darbhanga,1.0,Moderate,194,PM2.5
2022-01-10,Darbhanga,1.0,Poor,290,PM2.5
2022-01-11,Darbhanga,1.0,Very Poor,308,PM2.5
2022-01-12,Darbhanga,1.0,Poor,277,PM2.5
2022-01-13,Darbhanga,1.0,Moderate,120,PM2.5
2022-01-14,Darbhanga,1.0,Poor,260,PM2.5
2022-01-15,Darbhanga,1.0,Moderate,199,PM10
2022-01-16,Darbhanga,1.0,Poor,251,PM2.5
2022-01-17,Darbhanga,1.0,Poor,273,PM2.5
2022-01-18,Darbhanga,1.0,Poor,288,PM2.5
2022-01-19,Darbhanga,1.0,Poor,288,PM2.5
2022-01-20,Darbhanga,1.0,Poor,288,PM2.5
2022-01-21,Darbhanga,1.0,Very Poor,334,PM2.5
2022-01-22,Darbhanga,1.0,Very Poor,347,PM2.5
2022-01-23,Darbhanga,1.0,Very Poor,323,PM2.5
2022-01-24,Darbhanga,1.0,Poor,209,PM2.5
2022-01-25,Darbhanga,1.0,Poor,290,PM2.5
2022-01-26,Darbhanga,1.0,Moderate,190,PM2.5
2022-01-27,Darbhanga,1.0,Poor,208,PM2.5
2022-01-28,Darbhanga,1.0,Poor,261,PM2.5
2022-01-29,Darbhanga,1.0,Very Poor,307,PM2.5
2022-01-30,Darbhanga,1.0,Very Poor,361,PM2.5
2022-01-31,Darbhanga,1.0,Very Poor,363,PM2.5
2022-02-02,Darbhanga,1.0,Very Poor,324,PM2.5
2022-02-03,Darbhanga,1.0,Poor,290,PM2.5
2022-02-05,Darbhanga,1.0,Satisfactory,62,CO
2022-02-06,Darbhanga,1.0,Moderate,134,PM2.5
2022-02-07,Darbhanga,1.0,Poor,219,PM2.5
2022-02-08,Darbhanga,1.0,Poor,243,PM2.5
2022-02-09,Darbhanga,1.0,Poor,292,PM2.5
2022-02-10,Darbhanga,1.0,Poor,274,PM2.5
2022-02-11,Darbhanga,1.0,Moderate,169,PM2.5
2022-02-12,Darbhanga,1.0,Moderate,165,PM2.5
2022-02-13,Darbhanga,1.0,Poor,237,PM2.5
2022-02-14,Darbhanga,1.0,Poor,236,PM2.5
2022-02-15,Darbhanga,1.0,Poor,236,PM2.5
2022-02-16,Darbhanga,1.0,Poor,248,PM2.5
2022-02-17,Darbhanga,1.0,Poor,244,PM2.5
2022-02-18,Darbhanga,1.0,Moderate,197,PM2.5
2022-02-19,Darbhanga,1.0,Moderate,199,PM2.5
2022-02-20,Darbhanga,1.0,Moderate,161,O3
2022-02-21,Darbhanga,1.0,Moderate,164,PM10
2022-02-22,Darbhanga,1.0,Moderate,194,PM10
2022-02-23,Darbhanga,1.0,Moderate,158,PM10
2022-02-25,Darbhanga,1.0,Moderate,165,PM10
2022-02-26,Darbhanga,1.0,Moderate,151,PM2.5
2022-02-27,Darbhanga,1.0,Moderate,200,PM2.5
2022-02-28,Darbhanga,1.0,Poor,230,PM2.5
2022-03-01,Darbhanga,1.0,Moderate,130,PM10
2022-03-02,Darbhanga,1.0,Moderate,159,PM10
2022-03-03,Darbhanga,1.0,Moderate,182,PM2.5
2022-03-04,Darbhanga,1.0,Poor,202,PM2.5
2022-03-05,Darbhanga,1.0,Moderate,164,PM10
2022-03-06,Darbhanga,1.0,Moderate,146,PM10
2022-03-07,Darbhanga,1.0,Poor,203,PM2.5
2022-03-08,Darbhanga,1.0,Moderate,191,PM2.5
2022-03-09,Darbhanga,1.0,Moderate,161,PM2.5
2022-03-10,Darbhanga,1.0,Moderate,196,PM2.5
2022-03-11,Darbhanga,1.0,Moderate,177,PM2.5
