date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Dausa,1.0,Moderate,181,PM10
2023-03-14,Dausa,1.0,Moderate,133,PM10
2023-03-15,Dausa,1.0,Moderate,150,PM10
2023-03-16,Dausa,1.0,Moderate,169,PM10
2023-03-17,Dausa,1.0,Moderate,127,PM10
2023-03-18,Dausa,1.0,Satisfactory,91,CO
2023-03-19,Dausa,1.0,Moderate,179,PM2.5
2023-03-20,Dausa,1.0,Satisfactory,95,PM10
2023-03-21,Dausa,1.0,Moderate,101,PM10
2023-03-22,Dausa,1.0,Moderate,197,PM2.5
2023-03-23,Dausa,1.0,Moderate,122,PM10
2023-03-24,Dausa,1.0,Satisfactory,89,CO
2023-03-25,Dausa,1.0,Moderate,109,PM10
2023-03-26,Dausa,1.0,Moderate,128,PM10
2023-03-27,Dausa,1.0,Moderate,163,PM10
2023-03-28,Dausa,1.0,Moderate,148,PM10
2023-03-29,Dausa,1.0,Moderate,157,PM10
2023-03-30,Dausa,1.0,Moderate,199,PM10
2023-03-31,Dausa,1.0,Satisfactory,89,CO
2023-04-01,Dausa,1.0,Satisfactory,86,CO
2023-04-02,Dausa,1.0,Satisfactory,90,PM10
2023-04-03,Dausa,1.0,Moderate,139,PM10
2023-04-04,Dausa,1.0,Satisfactory,83,PM10
2023-04-05,Dausa,1.0,Moderate,104,CO
2023-04-06,Dausa,1.0,Moderate,128,PM10
2023-04-07,Dausa,1.0,Moderate,132,PM10
2023-04-08,Dausa,1.0,Moderate,170,PM10
2023-04-09,Dausa,1.0,Moderate,143,PM10
2023-04-10,Dausa,1.0,Moderate,164,PM10
2023-04-11,Dausa,1.0,Moderate,186,PM10
2023-04-12,Dausa,1.0,Moderate,187,PM10
2023-04-13,Dausa,1.0,Moderate,143,PM10
2023-04-14,Dausa,1.0,Moderate,181,PM10
2023-04-15,Dausa,1.0,Moderate,169,PM10
2023-04-16,Dausa,1.0,Moderate,129,PM10
2023-04-17,Dausa,1.0,Moderate,181,PM10
2023-04-18,Dausa,1.0,Moderate,194,PM10
2023-04-19,Dausa,1.0,Poor,279,PM10
2023-04-20,Dausa,1.0,Poor,207,PM10
2023-04-21,Dausa,1.0,Poor,206,PM10
2023-04-22,Dausa,1.0,Moderate,157,PM10
2023-04-23,Dausa,1.0,Poor,227,PM10
2023-04-24,Dausa,1.0,Moderate,101,O3
2023-04-25,Dausa,1.0,Moderate,114,PM10
2023-04-26,Dausa,1.0,Moderate,167,PM2.5
2023-04-27,Dausa,1.0,Moderate,144,PM2.5
2023-04-28,Dausa,1.0,Moderate,176,PM10
2023-04-29,Dausa,1.0,Moderate,173,PM10
2023-04-30,Dausa,1.0,Satisfactory,99,PM10
2023-05-01,Dausa,1.0,Satisfactory,85,CO
2023-05-02,Dausa,1.0,Moderate,105,PM10
2023-05-03,Dausa,1.0,Satisfactory,92,PM10
2023-05-04,Dausa,1.0,Satisfactory,89,PM10
2023-05-05,Dausa,1.0,Satisfactory,93,PM10
2023-05-06,Dausa,1.0,Moderate,133,PM10
2023-05-07,Dausa,1.0,Moderate,137,PM10
2023-05-08,Dausa,1.0,Moderate,154,PM10
2023-05-09,Dausa,1.0,Moderate,179,PM10
