date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-02-03,Davanagere,1.0,Satisfactory,86,PM10
2021-02-04,Davanagere,1.0,Satisfactory,83,PM10
2021-02-10,Davanagere,1.0,Satisfactory,82,PM10
2021-02-11,Davanagere,1.0,Satisfactory,79,PM10
2021-02-16,Davanagere,1.0,Satisfactory,87,PM10
2021-02-17,Davanagere,1.0,Satisfactory,96,PM10
2021-02-18,Davanagere,1.0,Satisfactory,96,PM10
2021-02-19,Davanagere,1.0,Satisfactory,82,PM10
2021-02-21,Davanagere,1.0,Good,47,SO2
2021-02-23,Davanagere,1.0,Good,45,PM10
2021-02-24,Davanagere,1.0,Satisfactory,79,PM10
2021-02-25,Davanagere,1.0,Satisfactory,94,PM10
2021-02-27,Davanagere,1.0,Moderate,113,PM10
2021-02-28,Davanagere,1.0,Moderate,127,PM10
2021-03-03,Davanagere,1.0,Moderate,117,PM10
2021-03-04,Davanagere,1.0,Moderate,103,PM10
2021-03-05,Davanagere,1.0,Moderate,105,PM10
2021-03-06,Davanagere,1.0,Satisfactory,99,PM10
2021-03-07,Davanagere,1.0,Satisfactory,93,PM10
2021-03-08,Davanagere,1.0,Moderate,108,PM10
2021-03-09,Davanagere,1.0,Moderate,102,PM10
2021-03-11,Davanagere,1.0,Satisfactory,83,PM10
2021-03-12,Davanagere,1.0,Satisfactory,70,PM10
2021-03-13,Davanagere,1.0,Satisfactory,85,PM10
2021-03-14,Davanagere,1.0,Satisfactory,81,PM10
2021-03-15,Davanagere,1.0,Satisfactory,86,PM10
2021-03-16,Davanagere,1.0,Satisfactory,93,PM10
2021-03-17,Davanagere,1.0,Good,32,CO
2021-03-18,Davanagere,1.0,Good,28,NO2
2021-03-19,Davanagere,1.0,Good,25,NO2
2021-03-21,Davanagere,1.0,Moderate,106,PM10
2021-03-22,Davanagere,1.0,Moderate,120,PM10
2021-03-23,Davanagere,1.0,Moderate,118,PM10
2021-03-24,Davanagere,1.0,Moderate,116,PM10
2021-03-25,Davanagere,1.0,Satisfactory,100,PM10
2021-03-26,Davanagere,1.0,Moderate,125,PM10
2021-03-27,Davanagere,1.0,Moderate,120,PM10
2021-03-28,Davanagere,1.0,Moderate,102,PM10
2021-03-30,Davanagere,1.0,Satisfactory,79,PM10
2021-03-31,Davanagere,1.0,Satisfactory,89,PM10
2021-04-08,Davanagere,1.0,Satisfactory,100,PM10
2021-04-09,Davanagere,1.0,Satisfactory,90,PM10
2021-04-10,Davanagere,1.0,Satisfactory,89,PM10
2021-04-11,Davanagere,1.0,Satisfactory,91,PM10
2021-04-14,Davanagere,1.0,Good,50,PM10
2021-04-15,Davanagere,1.0,Good,41,PM10
2021-04-17,Davanagere,1.0,Satisfactory,62,PM10
2021-04-18,Davanagere,1.0,Satisfactory,67,PM10
2021-04-19,Davanagere,1.0,Satisfactory,56,PM10
2021-04-20,Davanagere,1.0,Satisfactory,66,PM10
2021-04-22,Davanagere,1.0,Satisfactory,71,PM10
2021-04-23,Davanagere,1.0,Satisfactory,53,PM10
2021-04-24,Davanagere,1.0,Satisfactory,51,PM10
2021-04-25,Davanagere,1.0,Satisfactory,55,PM10
2021-04-26,Davanagere,1.0,Satisfactory,61,PM10
2021-05-18,Davanagere,1.0,Good,28,CO
2021-05-19,Davanagere,1.0,Good,23,CO
2021-05-20,Davanagere,1.0,Good,33,CO
2021-05-23,Davanagere,1.0,Satisfactory,59,PM10
2021-05-24,Davanagere,1.0,Satisfactory,57,PM10
2021-05-25,Davanagere,1.0,Good,38,PM10
2021-05-26,Davanagere,1.0,Good,45,PM10
2021-05-28,Davanagere,1.0,Good,41,PM10
2021-05-29,Davanagere,1.0,Good,42,PM10
2021-05-30,Davanagere,1.0,Good,28,CO
2021-05-31,Davanagere,1.0,Good,27,CO
2021-06-01,Davanagere,1.0,Good,26,CO
2021-06-02,Davanagere,1.0,Good,26,CO
2021-06-03,Davanagere,1.0,Good,29,CO
2021-06-04,Davanagere,1.0,Good,28,CO
2021-06-05,Davanagere,1.0,Good,28,CO
2021-06-06,Davanagere,1.0,Good,24,CO
