date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-04-23,Dehradun,1.0,Moderate,103,PM10
2022-04-24,Dehradun,1.0,Moderate,119,PM10
2022-04-25,Dehradun,1.0,Satisfactory,99,PM10
2022-04-26,Dehradun,1.0,Moderate,184,PM10
2022-04-27,Dehradun,1.0,Moderate,138,PM10
2022-04-28,Dehradun,1.0,Moderate,121,PM2.5
2022-05-01,Dehradun,1.0,Moderate,124,PM10
2022-05-02,Dehradun,1.0,Moderate,113,PM10
2022-05-03,Dehradun,1.0,Moderate,115,PM10
2022-05-06,Dehradun,1.0,Moderate,105,PM10
2022-05-08,Dehradun,1.0,Satisfactory,76,PM10
2022-05-09,Dehradun,1.0,Moderate,113,PM10
2022-05-11,Dehradun,1.0,Satisfactory,64,PM10
2022-05-12,Dehradun,1.0,Moderate,102,PM10
2022-05-13,Dehradun,1.0,Satisfactory,80,PM10
2022-05-14,Dehradun,1.0,Moderate,104,PM10
2022-05-15,Dehradun,1.0,Moderate,119,PM10
2022-05-22,Dehradun,1.0,Moderate,150,O3
2022-05-24,Dehradun,1.0,Good,34,PM10
2022-05-25,Dehradun,1.0,Good,47,O3
2022-05-26,Dehradun,1.0,Satisfactory,70,PM10
2022-05-27,Dehradun,1.0,Satisfactory,88,PM10
2022-05-28,Dehradun,1.0,Moderate,123,PM10
2022-05-29,Dehradun,1.0,Moderate,105,PM10
2022-05-30,Dehradun,1.0,Moderate,126,PM10
2022-05-31,Dehradun,1.0,Moderate,146,PM10
2022-06-01,Dehradun,1.0,Moderate,127,PM10
2022-06-02,Dehradun,1.0,Moderate,119,PM10
2022-06-03,Dehradun,1.0,Moderate,113,PM10
2022-06-05,Dehradun,1.0,Moderate,143,O3
2022-06-06,Dehradun,1.0,Moderate,127,PM10
2022-06-07,Dehradun,1.0,Moderate,193,O3
2022-06-08,Dehradun,1.0,Moderate,173,O3
2022-06-09,Dehradun,1.0,Poor,251,O3
2022-06-10,Dehradun,1.0,Moderate,175,O3
2022-06-11,Dehradun,1.0,Poor,204,O3
2022-06-13,Dehradun,1.0,Moderate,194,PM10
2022-06-16,Dehradun,1.0,Satisfactory,78,PM10
2022-06-17,Dehradun,1.0,Satisfactory,56,PM10
2022-06-18,Dehradun,1.0,Satisfactory,60,PM10
2022-06-19,Dehradun,1.0,Good,42,O3
2022-06-20,Dehradun,1.0,Good,44,PM10
2022-06-21,Dehradun,1.0,Good,49,PM10
2022-06-22,Dehradun,1.0,Good,41,O3
2022-06-23,Dehradun,1.0,Moderate,104,PM10
2022-06-24,Dehradun,1.0,Moderate,124,PM10
2022-06-25,Dehradun,1.0,Moderate,110,PM10
2022-06-26,Dehradun,1.0,Satisfactory,99,PM10
2022-06-27,Dehradun,1.0,Satisfactory,61,PM10
2022-06-28,Dehradun,1.0,Satisfactory,57,PM10
2022-06-29,Dehradun,1.0,Satisfactory,62,PM10
2022-06-30,Dehradun,1.0,Good,35,O3
2022-07-01,Dehradun,1.0,Good,37,PM10
2022-07-02,Dehradun,1.0,Good,35,PM10
2022-07-03,Dehradun,1.0,Good,21,O3
2022-07-04,Dehradun,1.0,Good,34,PM10
2022-07-05,Dehradun,1.0,Good,42,PM10
2022-07-06,Dehradun,1.0,Good,41,PM10
2022-07-09,Dehradun,1.0,Good,38,O3
2022-07-10,Dehradun,1.0,Good,29,O3
2022-07-11,Dehradun,1.0,Good,31,PM10
2022-07-12,Dehradun,1.0,Good,33,PM10
2022-07-13,Dehradun,1.0,Good,35,PM10
2022-07-14,Dehradun,1.0,Good,33,PM10
2022-07-17,Dehradun,1.0,Good,25,PM10
2022-07-18,Dehradun,1.0,Good,38,PM10
2022-07-19,Dehradun,1.0,Good,37,PM10
2022-07-20,Dehradun,1.0,Good,29,O3
2022-07-22,Dehradun,1.0,Good,28,CO
2022-07-23,Dehradun,1.0,Good,35,O3
2022-07-24,Dehradun,1.0,Good,40,O3
2022-07-25,Dehradun,1.0,Good,30,O3
2022-07-26,Dehradun,1.0,Good,31,CO
2022-07-27,Dehradun,1.0,Good,36,CO
2022-07-28,Dehradun,1.0,Good,33,PM10
2022-07-29,Dehradun,1.0,Good,35,O3
2022-08-05,Dehradun,1.0,Good,36,PM10
2022-08-06,Dehradun,1.0,Good,33,PM10
2022-08-07,Dehradun,1.0,Good,23,PM10
2022-08-08,Dehradun,1.0,Good,33,PM10
2022-08-09,Dehradun,1.0,Good,36,PM10
2022-08-10,Dehradun,1.0,Good,25,PM10
2022-08-12,Dehradun,1.0,Good,23,PM10
2022-08-13,Dehradun,1.0,Good,28,O3
2022-08-14,Dehradun,1.0,Good,32,PM10
2022-08-15,Dehradun,1.0,Good,18,CO
2022-08-16,Dehradun,1.0,Good,20,PM10
2022-08-17,Dehradun,1.0,Good,31,PM10
2022-08-18,Dehradun,1.0,Good,32,PM10
2022-08-19,Dehradun,1.0,Satisfactory,63,PM2.5
2022-08-20,Dehradun,1.0,Good,29,PM10
2022-08-21,Dehradun,1.0,Good,43,O3
2022-08-22,Dehradun,1.0,Good,40,O3
