date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-02-28,Dhanbad,1.0,Poor,236,PM2.5
2023-03-02,Dhanbad,1.0,Moderate,180,PM2.5
2023-03-03,Dhanbad,1.0,Moderate,157,PM2.5
2023-03-04,Dhanbad,1.0,Moderate,139,PM10
2023-03-05,Dhanbad,1.0,Satisfactory,100,PM10
2023-03-06,Dhanbad,1.0,Satisfactory,94,PM10
2023-03-07,Dhanbad,1.0,Moderate,166,PM2.5
2023-03-08,Dhanbad,1.0,Moderate,192,PM2.5
2023-03-09,Dhanbad,1.0,Moderate,188,PM2.5
2023-03-10,Dhanbad,1.0,Moderate,109,PM2.5
2023-03-11,Dhanbad,1.0,Poor,230,PM2.5
2023-03-12,Dhanbad,1.0,Poor,266,O3
2023-03-13,Dhanbad,1.0,Poor,209,PM2.5
2023-03-14,Dhanbad,1.0,Poor,209,PM2.5
2023-03-15,Dhanbad,1.0,Moderate,179,PM2.5
2023-03-16,Dhanbad,1.0,Moderate,163,PM2.5
2023-03-17,Dhanbad,1.0,Poor,216,PM2.5
2023-03-18,Dhanbad,1.0,Very Poor,350,PM2.5
2023-03-19,Dhanbad,1.0,Poor,223,PM2.5
2023-03-22,Dhanbad,1.0,Moderate,138,PM2.5
2023-03-23,Dhanbad,1.0,Moderate,148,PM2.5
2023-03-24,Dhanbad,1.0,Moderate,148,PM2.5
2023-03-25,Dhanbad,1.0,Poor,220,PM2.5
2023-03-26,Dhanbad,1.0,Poor,238,PM2.5
2023-03-27,Dhanbad,1.0,Moderate,166,PM2.5
2023-03-28,Dhanbad,1.0,Moderate,166,O3
2023-03-29,Dhanbad,1.0,Moderate,176,PM2.5
2023-03-30,Dhanbad,1.0,Poor,214,PM2.5
2023-04-05,Dhanbad,1.0,Moderate,192,PM2.5
2023-04-06,Dhanbad,1.0,Moderate,162,PM2.5
2023-04-07,Dhanbad,1.0,Poor,208,PM2.5
2023-04-08,Dhanbad,1.0,Moderate,193,PM2.5
2023-04-09,Dhanbad,1.0,Poor,202,PM2.5
2023-04-10,Dhanbad,1.0,Poor,210,PM2.5
2023-04-11,Dhanbad,1.0,Moderate,197,PM2.5
2023-04-12,Dhanbad,1.0,Poor,219,PM2.5
2023-04-13,Dhanbad,1.0,Poor,255,PM2.5
2023-04-18,Dhanbad,1.0,Very Poor,325,PM2.5
2023-04-19,Dhanbad,1.0,Very Poor,383,PM2.5
2023-04-20,Dhanbad,1.0,Poor,298,PM2.5
2023-04-21,Dhanbad,1.0,Moderate,170,PM2.5
2023-04-22,Dhanbad,1.0,Moderate,191,PM2.5
2023-04-23,Dhanbad,1.0,Moderate,156,PM2.5
2023-04-24,Dhanbad,1.0,Moderate,120,PM2.5
2023-04-25,Dhanbad,1.0,Moderate,147,PM2.5
2023-04-26,Dhanbad,1.0,Poor,233,PM2.5
2023-04-27,Dhanbad,1.0,Poor,275,PM2.5
2023-04-28,Dhanbad,1.0,Poor,228,PM2.5
2023-04-29,Dhanbad,1.0,Poor,242,PM2.5
2023-04-30,Dhanbad,1.0,Poor,249,PM2.5
2023-05-01,Dhanbad,1.0,Poor,212,PM2.5
2023-05-02,Dhanbad,1.0,Moderate,147,PM2.5
2023-05-03,Dhanbad,1.0,Moderate,197,PM2.5
2023-05-04,Dhanbad,1.0,Moderate,181,PM2.5
2023-05-09,Dhanbad,1.0,Poor,202,PM2.5
2023-05-10,Dhanbad,1.0,Moderate,182,PM2.5
2023-05-11,Dhanbad,1.0,Moderate,192,PM2.5
2023-05-12,Dhanbad,1.0,Poor,219,PM2.5
2023-05-15,Dhanbad,1.0,Poor,236,PM2.5
2023-05-16,Dhanbad,1.0,Poor,222,PM2.5
2023-05-19,Dhanbad,1.0,Moderate,178,PM2.5
2023-05-21,Dhanbad,1.0,Moderate,154,CO
2023-05-24,Dhanbad,1.0,Moderate,176,CO
2023-05-25,Dhanbad,1.0,Moderate,198,CO
2023-05-26,Dhanbad,1.0,Moderate,175,CO
2023-05-27,Dhanbad,1.0,Moderate,160,CO
2023-05-28,Dhanbad,1.0,Moderate,163,CO
2023-05-29,Dhanbad,1.0,Moderate,158,CO
2023-05-30,Dhanbad,1.0,Moderate,140,CO
2023-05-31,Dhanbad,1.0,Moderate,190,PM2.5
2023-06-03,Dhanbad,1.0,Poor,202,PM2.5
2023-06-06,Dhanbad,1.0,Poor,215,PM2.5
2023-06-07,Dhanbad,1.0,Moderate,197,PM2.5
2023-06-08,Dhanbad,1.0,Satisfactory,97,PM10
2023-06-09,Dhanbad,1.0,Moderate,156,CO
2023-06-11,Dhanbad,1.0,Moderate,153,CO
2023-06-12,Dhanbad,1.0,Moderate,150,CO
2023-06-13,Dhanbad,1.0,Moderate,151,CO
2023-06-14,Dhanbad,1.0,Moderate,150,CO
2023-06-16,Dhanbad,1.0,Moderate,160,CO
2023-06-17,Dhanbad,1.0,Moderate,175,CO
2023-06-27,Dhanbad,1.0,Moderate,168,CO
2023-06-28,Dhanbad,1.0,Moderate,172,CO
2023-07-01,Dhanbad,1.0,Moderate,186,PM2.5
2023-07-02,Dhanbad,1.0,Moderate,178,CO
2023-07-03,Dhanbad,1.0,Moderate,197,PM2.5
2023-07-04,Dhanbad,1.0,Moderate,173,CO
2023-07-05,Dhanbad,1.0,Moderate,174,CO
2023-07-06,Dhanbad,1.0,Moderate,175,CO
2023-07-07,Dhanbad,1.0,Moderate,187,CO
2023-07-08,Dhanbad,1.0,Moderate,183,CO
2023-07-11,Dhanbad,1.0,Moderate,185,CO
2023-07-12,Dhanbad,1.0,Moderate,186,CO
2023-07-13,Dhanbad,1.0,Moderate,188,CO
2023-07-14,Dhanbad,1.0,Moderate,195,CO
2023-07-15,Dhanbad,1.0,Moderate,184,CO
2023-07-16,Dhanbad,1.0,Moderate,193,CO
2023-07-18,Dhanbad,1.0,Moderate,183,CO
2023-07-19,Dhanbad,1.0,Moderate,185,CO
2023-07-20,Dhanbad,1.0,Moderate,185,CO
2023-07-21,Dhanbad,1.0,Moderate,186,CO
2023-07-22,Dhanbad,1.0,Moderate,192,CO
2023-07-23,Dhanbad,1.0,Moderate,188,CO
2023-07-24,Dhanbad,1.0,Moderate,188,CO
2023-08-08,Dhanbad,1.0,Moderate,190,CO
2023-08-09,Dhanbad,1.0,Moderate,194,CO
2023-08-10,Dhanbad,1.0,Moderate,195,CO
2023-08-11,Dhanbad,1.0,Moderate,191,CO
2023-08-12,Dhanbad,1.0,Moderate,196,CO
2023-08-13,Dhanbad,1.0,Moderate,168,CO
2023-08-14,Dhanbad,1.0,Moderate,106,NO2
2023-08-17,Dhanbad,1.0,Moderate,188,CO
2023-08-18,Dhanbad,1.0,Moderate,187,CO
2023-08-19,Dhanbad,1.0,Moderate,187,CO
2023-08-20,Dhanbad,1.0,Moderate,188,CO
2023-08-21,Dhanbad,1.0,Moderate,190,CO
2023-08-22,Dhanbad,1.0,Moderate,184,CO
2023-08-23,Dhanbad,1.0,Moderate,168,CO
2023-08-24,Dhanbad,1.0,Satisfactory,81,PM2.5
2023-08-25,Dhanbad,1.0,Moderate,192,CO
2023-08-26,Dhanbad,1.0,Satisfactory,83,PM2.5
2023-08-27,Dhanbad,1.0,Moderate,194,CO
2023-08-28,Dhanbad,1.0,Moderate,195,CO
2023-08-29,Dhanbad,1.0,Moderate,197,CO
2023-09-03,Dhanbad,1.0,Satisfactory,93,NO2
2023-09-09,Dhanbad,1.0,Moderate,197,CO
2023-09-10,Dhanbad,1.0,Moderate,141,CO
2023-09-11,Dhanbad,1.0,Satisfactory,79,PM2.5
2023-09-12,Dhanbad,1.0,Satisfactory,79,PM2.5
2023-09-13,Dhanbad,1.0,Satisfactory,79,PM2.5
2023-09-16,Dhanbad,1.0,Moderate,184,CO
2023-09-17,Dhanbad,1.0,Moderate,183,CO
2023-09-18,Dhanbad,1.0,Moderate,197,CO
2023-09-19,Dhanbad,1.0,Moderate,167,CO
2023-09-20,Dhanbad,1.0,Moderate,145,CO
2023-09-21,Dhanbad,1.0,Satisfactory,79,PM2.5
2023-09-22,Dhanbad,1.0,Satisfactory,81,PM2.5
2023-09-27,Dhanbad,1.0,Satisfactory,84,NO2
2023-09-28,Dhanbad,1.0,Moderate,104,NO2
2023-09-29,Dhanbad,1.0,Satisfactory,87,NO2
2023-09-30,Dhanbad,1.0,Satisfactory,81,PM2.5
2023-10-01,Dhanbad,1.0,Satisfactory,80,PM2.5
2023-10-02,Dhanbad,1.0,Satisfactory,77,PM2.5
2023-10-03,Dhanbad,1.0,Satisfactory,80,PM2.5
2023-10-04,Dhanbad,1.0,Satisfactory,78,PM2.5
2023-10-07,Dhanbad,1.0,Moderate,139,NO2
2023-10-08,Dhanbad,1.0,Moderate,190,NO2
2023-10-09,Dhanbad,1.0,Moderate,115,NO2
2023-10-10,Dhanbad,1.0,Poor,209,NO2
2023-10-11,Dhanbad,1.0,Moderate,177,NO2
2023-10-12,Dhanbad,1.0,Moderate,195,NO2
2023-10-13,Dhanbad,1.0,Poor,214,NO2
2023-10-14,Dhanbad,1.0,Poor,257,NO2
2023-10-15,Dhanbad,1.0,Poor,221,NO2
2023-10-16,Dhanbad,1.0,Poor,219,NO2
2023-10-17,Dhanbad,1.0,Poor,203,NO2
2023-10-18,Dhanbad,1.0,Poor,224,NO2
2023-10-19,Dhanbad,1.0,Poor,220,NO2
2023-10-21,Dhanbad,1.0,Poor,255,NO2
2023-10-28,Dhanbad,1.0,Poor,208,NO2
2023-10-29,Dhanbad,1.0,Very Poor,303,NO2
2023-10-30,Dhanbad,1.0,Poor,245,NO2
2023-10-31,Dhanbad,1.0,Moderate,184,NO2
2023-11-01,Dhanbad,1.0,Poor,282,NO2
2023-11-02,Dhanbad,1.0,Poor,253,NO2
2023-11-05,Dhanbad,1.0,Very Poor,303,NO2
2023-11-06,Dhanbad,1.0,Poor,255,NO2
2023-11-08,Dhanbad,1.0,Moderate,197,PM10
2023-11-09,Dhanbad,1.0,Poor,296,NO2
2023-11-10,Dhanbad,1.0,Poor,289,NO2
2023-11-11,Dhanbad,1.0,Poor,294,NO2
2023-11-12,Dhanbad,1.0,Poor,292,NO2
2023-11-13,Dhanbad,1.0,Poor,236,NO2
2023-11-14,Dhanbad,1.0,Poor,246,NO2
2023-11-15,Dhanbad,1.0,Poor,250,NO2
2023-11-17,Dhanbad,1.0,Moderate,193,NO2
2023-11-18,Dhanbad,1.0,Poor,279,NO2
2023-11-19,Dhanbad,1.0,Poor,248,NO2
2023-11-21,Dhanbad,1.0,Poor,269,NO2
2023-11-22,Dhanbad,1.0,Poor,274,NO2
2023-11-23,Dhanbad,1.0,Poor,218,NO2
2023-11-24,Dhanbad,1.0,Poor,213,NO2
2023-11-25,Dhanbad,1.0,Poor,212,NO2
2023-11-26,Dhanbad,1.0,Moderate,141,PM10
2023-11-27,Dhanbad,1.0,Moderate,151,PM10
2023-11-28,Dhanbad,1.0,Poor,233,NO2
2023-11-29,Dhanbad,1.0,Poor,222,NO2
2023-12-01,Dhanbad,1.0,Satisfactory,82,PM2.5
2023-12-02,Dhanbad,1.0,Satisfactory,81,PM2.5
2023-12-03,Dhanbad,1.0,Satisfactory,78,PM10
2023-12-04,Dhanbad,1.0,Satisfactory,77,PM10
2023-12-05,Dhanbad,1.0,Satisfactory,76,PM2.5
2023-12-09,Dhanbad,1.0,Poor,264,NO2
2023-12-10,Dhanbad,1.0,Poor,241,NO2
2023-12-11,Dhanbad,1.0,Moderate,183,NO2
2023-12-12,Dhanbad,1.0,Moderate,198,NO2
2023-12-13,Dhanbad,1.0,Moderate,170,PM10
2023-12-14,Dhanbad,1.0,Moderate,164,PM10
2023-12-15,Dhanbad,1.0,Moderate,162,PM10
2023-12-16,Dhanbad,1.0,Moderate,150,PM10
2023-12-17,Dhanbad,1.0,Moderate,151,PM10
2023-12-18,Dhanbad,1.0,Moderate,159,PM10
2023-12-19,Dhanbad,1.0,Moderate,155,PM10
2023-12-21,Dhanbad,1.0,Moderate,148,NO2
2023-12-22,Dhanbad,2.0,Moderate,194,"NO2, PM10"
2023-12-23,Dhanbad,2.0,Poor,207,"NO2, SO2"
2023-12-24,Dhanbad,2.0,Poor,236,"NO2, SO2"
2023-12-25,Dhanbad,1.0,Moderate,114,CO
2023-12-26,Dhanbad,2.0,Poor,234,"NO2, SO2"
2023-12-27,Dhanbad,1.0,Poor,220,PM10
2023-12-28,Dhanbad,2.0,Poor,234,"NO2, PM10"
2023-12-29,Dhanbad,1.0,Moderate,114,SO2
2023-12-30,Dhanbad,2.0,Poor,216,"NO2, PM10"
2023-12-31,Dhanbad,2.0,Moderate,174,"NO2, SO2"
