date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-22,Dharwad,1.0,Moderate,116,PM10
2022-11-23,Dharwad,1.0,Moderate,146,PM2.5
2022-11-24,Dharwad,1.0,Satisfactory,100,PM10
2022-11-25,Dharwad,1.0,Satisfactory,88,PM10
2022-11-26,Dharwad,1.0,Moderate,124,PM10
2022-11-29,Dharwad,1.0,Moderate,164,PM2.5
2022-11-30,Dharwad,1.0,Poor,218,PM2.5
2022-12-01,Dharwad,1.0,Moderate,148,PM10
2022-12-02,Dharwad,1.0,Moderate,180,PM2.5
2023-03-22,Dharwad,1.0,Satisfactory,60,PM2.5
2023-03-23,Dharwad,1.0,Satisfactory,60,PM10
2023-03-27,Dharwad,1.0,Satisfactory,72,PM10
2023-03-28,Dharwad,1.0,Satisfactory,86,PM10
2023-03-29,Dharwad,1.0,Satisfactory,95,PM10
2023-03-30,Dharwad,1.0,Satisfactory,96,PM10
2023-03-31,Dharwad,1.0,Satisfactory,82,PM10
2023-04-01,Dharwad,1.0,Satisfactory,80,PM10
2023-04-02,Dharwad,1.0,Satisfactory,84,PM10
2023-04-04,Dharwad,1.0,Satisfactory,81,PM10
2023-04-05,Dharwad,1.0,Satisfactory,75,PM10
2023-04-06,Dharwad,1.0,Satisfactory,89,PM10
2023-04-07,Dharwad,1.0,Satisfactory,90,PM10
2023-04-08,Dharwad,1.0,Satisfactory,78,PM10
2023-04-11,Dharwad,1.0,Moderate,134,PM2.5
2023-04-12,Dharwad,1.0,Satisfactory,82,PM2.5
2023-04-13,Dharwad,1.0,Moderate,104,PM2.5
2023-04-14,Dharwad,1.0,Moderate,140,PM2.5
2023-04-15,Dharwad,1.0,Satisfactory,82,PM2.5
2023-04-16,Dharwad,1.0,Moderate,152,PM2.5
2023-04-17,Dharwad,1.0,Moderate,120,PM2.5
2023-04-18,Dharwad,1.0,Moderate,102,PM10
2023-04-19,Dharwad,1.0,Moderate,108,PM2.5
2023-04-20,Dharwad,1.0,Moderate,133,PM2.5
2023-04-21,Dharwad,1.0,Satisfactory,98,PM10
2023-04-22,Dharwad,1.0,Satisfactory,80,PM2.5
2023-04-23,Dharwad,1.0,Good,48,PM10
2023-04-24,Dharwad,1.0,Satisfactory,63,PM10
2023-04-25,Dharwad,1.0,Satisfactory,72,PM10
2023-04-26,Dharwad,1.0,Satisfactory,64,PM10
2023-04-27,Dharwad,1.0,Satisfactory,84,PM10
2023-04-28,Dharwad,1.0,Satisfactory,74,PM10
2023-04-29,Dharwad,1.0,Satisfactory,64,PM10
2023-04-30,Dharwad,1.0,Satisfactory,54,PM10
2023-05-03,Dharwad,1.0,Satisfactory,61,PM10
2023-05-04,Dharwad,1.0,Satisfactory,57,PM10
2023-05-05,Dharwad,1.0,Satisfactory,53,PM10
2023-05-06,Dharwad,1.0,Satisfactory,55,PM10
2023-05-07,Dharwad,1.0,Satisfactory,53,PM10
2023-05-08,Dharwad,1.0,Satisfactory,58,PM10
2023-05-09,Dharwad,1.0,Satisfactory,88,PM2.5
2023-05-10,Dharwad,1.0,Satisfactory,62,PM10
2023-05-12,Dharwad,1.0,Satisfactory,90,PM10
2023-05-13,Dharwad,1.0,Satisfactory,77,PM10
2023-05-14,Dharwad,1.0,Moderate,114,PM2.5
2023-05-17,Dharwad,1.0,Satisfactory,74,PM10
2023-05-18,Dharwad,1.0,Satisfactory,57,PM10
2023-05-19,Dharwad,1.0,Satisfactory,57,PM10
2023-05-20,Dharwad,1.0,Satisfactory,73,PM2.5
2023-05-21,Dharwad,1.0,Satisfactory,61,PM10
2023-05-23,Dharwad,1.0,Satisfactory,68,PM10
2023-05-25,Dharwad,1.0,Satisfactory,63,PM10
2023-05-26,Dharwad,1.0,Satisfactory,65,PM10
2023-05-27,Dharwad,1.0,Good,45,PM10
2023-05-28,Dharwad,1.0,Satisfactory,58,PM10
2023-05-29,Dharwad,1.0,Satisfactory,59,PM10
2023-05-31,Dharwad,1.0,Satisfactory,72,PM2.5
2023-06-01,Dharwad,1.0,Satisfactory,80,CO
2023-06-02,Dharwad,1.0,Satisfactory,67,PM10
2023-06-03,Dharwad,1.0,Satisfactory,68,PM10
2023-06-04,Dharwad,1.0,Satisfactory,51,PM10
2023-06-05,Dharwad,1.0,Good,45,PM10
2023-06-06,Dharwad,1.0,Satisfactory,60,PM10
2023-06-07,Dharwad,1.0,Satisfactory,66,PM10
2023-06-09,Dharwad,1.0,Good,49,PM10
2023-06-10,Dharwad,1.0,Satisfactory,58,PM10
2023-06-13,Dharwad,1.0,Satisfactory,86,PM10
2023-06-14,Dharwad,1.0,Moderate,106,PM10
2023-06-15,Dharwad,1.0,Satisfactory,88,PM10
2023-06-16,Dharwad,1.0,Satisfactory,95,PM10
2023-06-17,Dharwad,1.0,Satisfactory,72,PM10
2023-06-21,Dharwad,1.0,Moderate,114,PM10
2023-06-22,Dharwad,1.0,Moderate,102,PM10
2023-06-23,Dharwad,1.0,Satisfactory,66,PM10
2023-06-24,Dharwad,1.0,Good,45,PM10
2023-06-25,Dharwad,1.0,Good,42,PM10
2023-06-27,Dharwad,1.0,Satisfactory,71,PM10
2023-06-28,Dharwad,1.0,Satisfactory,51,O3
2023-06-29,Dharwad,1.0,Satisfactory,53,O3
2023-06-30,Dharwad,1.0,Satisfactory,52,O3
2023-07-01,Dharwad,1.0,Good,38,CO
2023-07-02,Dharwad,1.0,Good,40,PM10
2023-07-04,Dharwad,1.0,Good,39,PM10
2023-07-05,Dharwad,1.0,Good,42,CO
2023-07-11,Dharwad,1.0,Satisfactory,54,PM10
2023-07-12,Dharwad,1.0,Satisfactory,61,PM10
2023-07-13,Dharwad,1.0,Good,48,PM10
2023-07-14,Dharwad,1.0,Good,30,PM10
2023-07-15,Dharwad,1.0,Good,37,PM10
2023-07-16,Dharwad,1.0,Good,43,PM10
2023-07-18,Dharwad,1.0,Good,37,PM10
2023-07-19,Dharwad,1.0,Good,36,CO
2023-07-22,Dharwad,1.0,Good,23,PM10
2023-07-25,Dharwad,1.0,Good,35,PM10
2023-07-26,Dharwad,1.0,Good,27,CO
2023-07-28,Dharwad,1.0,Good,30,PM10
2023-07-29,Dharwad,1.0,Satisfactory,68,PM10
2023-07-31,Dharwad,1.0,Satisfactory,54,PM2.5
2023-08-01,Dharwad,1.0,Good,44,PM10
2023-08-02,Dharwad,1.0,Good,31,PM10
2023-08-03,Dharwad,1.0,Good,35,PM10
2023-08-04,Dharwad,1.0,Satisfactory,55,PM10
2023-08-05,Dharwad,1.0,Satisfactory,76,PM10
2023-08-08,Dharwad,1.0,Satisfactory,68,PM10
2023-08-12,Dharwad,1.0,Moderate,102,PM10
2023-08-13,Dharwad,1.0,Moderate,115,PM2.5
2023-08-14,Dharwad,1.0,Satisfactory,92,PM2.5
2023-08-15,Dharwad,1.0,Moderate,129,PM2.5
2023-08-17,Dharwad,1.0,Satisfactory,99,PM10
2023-08-18,Dharwad,1.0,Moderate,104,PM2.5
2023-08-20,Dharwad,1.0,Good,39,PM10
2023-08-21,Dharwad,1.0,Moderate,129,PM10
2023-08-22,Dharwad,1.0,Good,39,PM2.5
2023-08-23,Dharwad,1.0,Good,45,PM2.5
2023-09-03,Dharwad,1.0,Satisfactory,68,PM10
2023-09-04,Dharwad,1.0,Satisfactory,84,PM10
2023-09-05,Dharwad,1.0,Satisfactory,97,PM10
2023-09-06,Dharwad,1.0,Good,50,PM10
2023-09-07,Dharwad,1.0,Satisfactory,90,PM2.5
2023-09-08,Dharwad,1.0,Satisfactory,97,PM2.5
2023-09-12,Dharwad,1.0,Good,34,O3
2023-09-15,Dharwad,1.0,Good,32,O3
2023-09-16,Dharwad,1.0,Good,34,CO
2023-09-17,Dharwad,1.0,Good,30,O3
2023-09-18,Dharwad,1.0,Good,34,CO
2023-09-20,Dharwad,1.0,Good,41,CO
2023-09-21,Dharwad,1.0,Moderate,135,PM10
2023-09-22,Dharwad,1.0,Good,48,PM10
2023-09-23,Dharwad,1.0,Good,50,PM10
2023-09-24,Dharwad,1.0,Good,48,PM10
2023-09-25,Dharwad,1.0,Good,40,PM10
2023-09-26,Dharwad,1.0,Good,49,PM10
2023-09-27,Dharwad,1.0,Satisfactory,52,CO
2023-09-28,Dharwad,1.0,Good,45,PM10
