date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Dholpur,1.0,Moderate,130,PM2.5
2023-03-14,Dholpur,1.0,Moderate,166,PM2.5
2023-03-15,Dholpur,1.0,Satisfactory,85,PM10
2023-03-16,Dholpur,1.0,Satisfactory,95,PM2.5
2023-03-18,Dholpur,1.0,Satisfactory,66,PM10
2023-03-19,Dholpur,1.0,Poor,221,PM2.5
2023-03-22,Dholpur,1.0,Moderate,120,PM2.5
2023-03-25,Dholpur,1.0,Moderate,118,PM2.5
2023-03-26,Dholpur,1.0,Moderate,134,PM2.5
2023-03-27,Dholpur,1.0,Moderate,124,PM2.5
2023-03-28,Dholpur,1.0,Moderate,124,PM2.5
2023-03-29,Dholpur,1.0,Satisfactory,87,PM10
2023-03-30,Dholpur,1.0,Satisfactory,76,PM10
2023-03-31,Dholpur,1.0,Satisfactory,77,PM10
2023-04-01,Dholpur,1.0,Good,46,PM10
2023-04-04,Dholpur,1.0,Satisfactory,54,PM10
2023-04-05,Dholpur,1.0,Moderate,106,PM2.5
2023-04-06,Dholpur,1.0,Satisfactory,95,PM2.5
2023-04-07,Dholpur,1.0,Satisfactory,97,PM2.5
2023-04-08,Dholpur,1.0,Moderate,117,PM2.5
2023-04-10,Dholpur,1.0,Satisfactory,95,PM10
2023-04-13,Dholpur,1.0,Satisfactory,89,PM10
2023-04-14,Dholpur,1.0,Satisfactory,84,PM10
2023-04-15,Dholpur,1.0,Moderate,121,PM2.5
2023-04-18,Dholpur,1.0,Satisfactory,71,CO
2023-04-19,Dholpur,1.0,Satisfactory,78,CO
2023-04-20,Dholpur,1.0,Satisfactory,63,PM10
2023-04-21,Dholpur,1.0,Satisfactory,94,O3
2023-04-22,Dholpur,1.0,Satisfactory,100,O3
2023-04-23,Dholpur,1.0,Satisfactory,97,O3
2023-04-24,Dholpur,1.0,Moderate,111,O3
2023-04-25,Dholpur,1.0,Moderate,186,O3
2023-04-26,Dholpur,1.0,Moderate,156,O3
2023-04-27,Dholpur,1.0,Moderate,154,O3
2023-04-28,Dholpur,1.0,Satisfactory,93,O3
2023-04-29,Dholpur,1.0,Satisfactory,68,O3
2023-04-30,Dholpur,1.0,Satisfactory,78,PM2.5
2023-05-01,Dholpur,1.0,Satisfactory,96,PM2.5
2023-05-02,Dholpur,1.0,Satisfactory,66,O3
2023-05-03,Dholpur,1.0,Satisfactory,85,O3
2023-05-04,Dholpur,1.0,Satisfactory,97,O3
2023-05-05,Dholpur,1.0,Moderate,161,O3
2023-05-06,Dholpur,1.0,Moderate,138,O3
2023-05-07,Dholpur,1.0,Satisfactory,92,O3
2023-05-08,Dholpur,1.0,Satisfactory,97,O3
2023-05-09,Dholpur,1.0,Moderate,120,O3
2023-05-10,Dholpur,1.0,Moderate,163,O3
2023-05-11,Dholpur,1.0,Moderate,158,O3
2023-05-12,Dholpur,1.0,Moderate,148,O3
2023-05-13,Dholpur,1.0,Moderate,126,O3
2023-05-14,Dholpur,1.0,Satisfactory,98,O3
2023-05-15,Dholpur,1.0,Satisfactory,83,O3
2023-05-16,Dholpur,1.0,Satisfactory,82,O3
2023-05-17,Dholpur,1.0,Satisfactory,63,PM10
2023-05-18,Dholpur,1.0,Satisfactory,86,O3
2023-05-19,Dholpur,1.0,Moderate,126,PM2.5
2023-05-20,Dholpur,1.0,Moderate,124,O3
2023-05-21,Dholpur,1.0,Satisfactory,67,O3
2023-05-22,Dholpur,1.0,Satisfactory,63,O3
2023-05-23,Dholpur,1.0,Satisfactory,63,O3
2023-05-24,Dholpur,1.0,Satisfactory,100,O3
2023-05-25,Dholpur,1.0,Satisfactory,80,O3
2023-05-27,Dholpur,1.0,Satisfactory,72,O3
