date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-20,Dhule,1.0,Moderate,139,PM10
2023-06-21,Dhule,1.0,Moderate,130,PM10
2023-06-22,Dhule,1.0,Moderate,119,PM10
2023-06-23,Dhule,1.0,Moderate,113,PM10
2023-06-24,Dhule,1.0,Satisfactory,85,PM10
2023-06-25,Dhule,1.0,Satisfactory,81,PM10
2023-06-26,Dhule,1.0,Satisfactory,83,PM10
2023-06-27,Dhule,1.0,Satisfactory,68,PM10
2023-06-28,Dhule,1.0,Good,47,PM10
2023-06-29,Dhule,1.0,Good,40,CO
2023-06-30,Dhule,1.0,Good,31,CO
2023-07-01,Dhule,1.0,Good,25,O3
2023-07-02,Dhule,1.0,Good,42,CO
2023-07-03,Dhule,1.0,Good,40,PM10
2023-07-04,Dhule,1.0,Good,34,PM10
2023-07-06,Dhule,1.0,Satisfactory,58,CO
2023-07-07,Dhule,1.0,Good,37,O3
2023-07-08,Dhule,1.0,Good,33,O3
2023-07-09,Dhule,1.0,Good,50,PM10
2023-07-10,Dhule,1.0,Good,46,PM2.5
2023-07-11,Dhule,1.0,Satisfactory,53,PM10
2023-07-12,Dhule,1.0,Satisfactory,62,PM10
2023-07-13,Dhule,1.0,Good,50,PM10
2023-07-14,Dhule,1.0,Satisfactory,62,PM10
2023-07-15,Dhule,1.0,Good,32,PM10
2023-07-16,Dhule,1.0,Good,34,PM10
2023-07-17,Dhule,1.0,Good,38,PM10
2023-07-18,Dhule,1.0,Good,25,PM2.5
2023-07-19,Dhule,1.0,Good,28,PM2.5
2023-07-20,Dhule,1.0,Good,38,PM2.5
2023-07-21,Dhule,1.0,Good,36,PM10
2023-07-22,Dhule,1.0,Good,34,PM10
2023-07-23,Dhule,1.0,Good,26,CO
2023-07-24,Dhule,1.0,Good,36,PM10
2023-07-25,Dhule,1.0,Good,37,O3
2023-07-26,Dhule,1.0,Good,42,O3
2023-07-27,Dhule,1.0,Good,40,PM10
2023-07-28,Dhule,1.0,Good,43,PM10
2023-07-30,Dhule,1.0,Satisfactory,51,PM10
2023-07-31,Dhule,1.0,Satisfactory,57,PM10
2023-08-02,Dhule,1.0,Good,42,PM10
2023-08-03,Dhule,1.0,Satisfactory,59,PM10
2023-08-04,Dhule,1.0,Satisfactory,75,PM10
2023-08-05,Dhule,1.0,Satisfactory,62,PM10
2023-08-06,Dhule,1.0,Good,40,PM10
2023-08-07,Dhule,1.0,Good,44,PM10
2023-08-08,Dhule,1.0,Satisfactory,72,PM10
2023-08-09,Dhule,1.0,Satisfactory,93,PM10
2023-08-10,Dhule,1.0,Satisfactory,59,PM10
2023-08-11,Dhule,1.0,Satisfactory,66,PM10
2023-08-14,Dhule,1.0,Satisfactory,73,PM10
2023-08-15,Dhule,1.0,Satisfactory,73,PM10
2023-08-16,Dhule,1.0,Satisfactory,67,PM10
2023-08-17,Dhule,1.0,Satisfactory,72,PM10
2023-08-18,Dhule,1.0,Moderate,113,PM10
2023-08-19,Dhule,1.0,Moderate,107,PM10
2023-08-20,Dhule,1.0,Satisfactory,82,PM10
2023-08-21,Dhule,1.0,Satisfactory,63,PM10
2023-08-22,Dhule,1.0,Satisfactory,60,PM10
2023-08-23,Dhule,1.0,Satisfactory,53,PM10
2023-08-24,Dhule,1.0,Good,44,PM10
2023-08-25,Dhule,1.0,Good,48,PM2.5
2023-08-26,Dhule,1.0,Good,41,PM10
2023-08-27,Dhule,1.0,Satisfactory,68,PM10
2023-08-29,Dhule,1.0,Moderate,103,PM10
2023-08-30,Dhule,1.0,Satisfactory,97,PM10
2023-08-31,Dhule,1.0,Moderate,103,PM10
2023-09-01,Dhule,1.0,Moderate,107,PM10
2023-09-02,Dhule,1.0,Moderate,123,PM10
2023-09-03,Dhule,1.0,Satisfactory,97,PM10
2023-09-04,Dhule,1.0,Satisfactory,94,PM10
2023-09-05,Dhule,1.0,Moderate,115,PM10
2023-09-06,Dhule,1.0,Moderate,112,PM10
2023-09-07,Dhule,1.0,Satisfactory,55,PM10
2023-09-08,Dhule,1.0,Satisfactory,53,PM2.5
2023-09-09,Dhule,1.0,Good,31,PM2.5
2023-09-10,Dhule,1.0,Good,50,PM10
2023-09-11,Dhule,1.0,Good,39,PM10
2023-09-12,Dhule,1.0,Satisfactory,51,PM10
2023-09-13,Dhule,1.0,Satisfactory,51,PM10
2023-09-14,Dhule,1.0,Good,43,PM10
2023-09-15,Dhule,1.0,Good,43,PM2.5
2023-09-16,Dhule,1.0,Good,34,CO
2023-09-17,Dhule,1.0,Good,44,CO
2023-09-18,Dhule,1.0,Satisfactory,61,PM10
2023-09-19,Dhule,1.0,Satisfactory,63,PM10
2023-09-20,Dhule,1.0,Good,34,PM10
2023-09-21,Dhule,1.0,Good,37,PM2.5
2023-09-22,Dhule,1.0,Good,41,CO
2023-09-23,Dhule,1.0,Satisfactory,51,PM10
2023-09-24,Dhule,1.0,Satisfactory,52,PM10
2023-09-25,Dhule,1.0,Satisfactory,70,PM10
2023-09-26,Dhule,1.0,Satisfactory,57,PM10
2023-09-27,Dhule,1.0,Satisfactory,52,PM2.5
2023-09-28,Dhule,1.0,Satisfactory,82,PM2.5
2023-09-29,Dhule,1.0,Satisfactory,92,PM10
2023-09-30,Dhule,1.0,Satisfactory,71,PM10
2023-10-01,Dhule,1.0,Moderate,113,PM2.5
2023-10-02,Dhule,1.0,Satisfactory,89,PM2.5
2023-10-03,Dhule,1.0,Satisfactory,92,PM2.5
2023-10-04,Dhule,1.0,Moderate,137,PM10
2023-10-05,Dhule,1.0,Moderate,130,PM10
2023-10-06,Dhule,1.0,Moderate,125,PM10
2023-10-07,Dhule,1.0,Moderate,139,PM2.5
2023-10-09,Dhule,1.0,Moderate,127,PM2.5
2023-10-10,Dhule,1.0,Satisfactory,89,PM10
2023-10-11,Dhule,1.0,Satisfactory,83,PM2.5
2023-10-12,Dhule,1.0,Satisfactory,90,PM10
2023-10-13,Dhule,1.0,Moderate,131,PM2.5
2023-10-14,Dhule,1.0,Moderate,128,PM2.5
2023-10-15,Dhule,1.0,Moderate,135,PM10
2023-10-16,Dhule,1.0,Moderate,173,PM2.5
2023-10-17,Dhule,1.0,Moderate,125,PM2.5
2023-10-18,Dhule,1.0,Moderate,174,PM2.5
2023-10-19,Dhule,1.0,Moderate,139,PM2.5
2023-10-21,Dhule,1.0,Moderate,197,PM2.5
2023-10-22,Dhule,1.0,Moderate,143,PM2.5
2023-10-23,Dhule,1.0,Moderate,117,PM10
2023-10-24,Dhule,1.0,Moderate,131,PM10
2023-10-25,Dhule,1.0,Moderate,109,PM10
2023-10-26,Dhule,1.0,Moderate,128,PM10
2023-10-28,Dhule,1.0,Moderate,182,PM10
2023-10-29,Dhule,1.0,Moderate,122,PM10
2023-10-30,Dhule,1.0,Moderate,108,PM2.5
2023-10-31,Dhule,1.0,Moderate,154,PM10
2023-11-02,Dhule,1.0,Poor,209,PM2.5
2023-11-03,Dhule,1.0,Poor,206,PM2.5
2023-11-04,Dhule,1.0,Moderate,198,PM2.5
2023-11-05,Dhule,1.0,Moderate,162,PM10
2023-11-07,Dhule,1.0,Poor,276,PM2.5
2023-11-08,Dhule,1.0,Poor,204,PM10
2023-11-09,Dhule,1.0,Moderate,177,PM10
2023-11-10,Dhule,1.0,Moderate,178,PM10
2023-11-11,Dhule,1.0,Moderate,159,PM10
2023-11-12,Dhule,1.0,Moderate,175,PM10
2023-11-14,Dhule,1.0,Poor,209,PM2.5
2023-11-15,Dhule,1.0,Poor,206,PM2.5
2023-11-16,Dhule,1.0,Moderate,199,PM10
2023-11-17,Dhule,1.0,Moderate,162,PM10
2023-11-18,Dhule,1.0,Moderate,181,PM2.5
2023-11-19,Dhule,1.0,Moderate,150,PM2.5
2023-11-20,Dhule,1.0,Moderate,135,PM10
2023-11-22,Dhule,1.0,Moderate,135,PM10
2023-11-23,Dhule,1.0,Poor,212,PM2.5
2023-11-24,Dhule,1.0,Poor,229,PM2.5
2023-11-25,Dhule,1.0,Poor,239,PM2.5
2023-11-26,Dhule,1.0,Poor,260,PM2.5
2023-11-27,Dhule,1.0,Moderate,138,PM2.5
2023-11-28,Dhule,1.0,Moderate,170,PM2.5
2023-11-29,Dhule,1.0,Moderate,184,PM2.5
2023-11-30,Dhule,1.0,Moderate,126,PM10
2023-12-01,Dhule,1.0,Satisfactory,84,PM10
2023-12-02,Dhule,1.0,Moderate,157,PM2.5
2023-12-03,Dhule,1.0,Poor,225,PM2.5
2023-12-05,Dhule,1.0,Poor,263,PM2.5
2023-12-06,Dhule,1.0,Poor,207,PM2.5
2023-12-07,Dhule,1.0,Moderate,130,PM2.5
2023-12-08,Dhule,1.0,Satisfactory,85,PM10
2023-12-09,Dhule,1.0,Satisfactory,78,PM2.5
2023-12-10,Dhule,1.0,Moderate,152,PM10
2023-12-11,Dhule,1.0,Moderate,104,PM10
2023-12-14,Dhule,1.0,Moderate,135,PM10
2023-12-15,Dhule,1.0,Moderate,173,PM2.5
2023-12-16,Dhule,1.0,Moderate,157,PM2.5
2023-12-17,Dhule,1.0,Moderate,170,PM2.5
2023-12-18,Dhule,1.0,Moderate,144,PM2.5
2023-12-19,Dhule,1.0,Moderate,112,PM10
2023-12-20,Dhule,1.0,Moderate,189,PM2.5
2023-12-21,Dhule,1.0,Moderate,167,PM2.5
2023-12-22,Dhule,1.0,Moderate,153,PM2.5
2023-12-23,Dhule,1.0,Moderate,189,PM2.5
2023-12-24,Dhule,1.0,Poor,206,PM2.5
2023-12-25,Dhule,1.0,Moderate,187,PM2.5
2023-12-26,Dhule,1.0,Poor,252,PM2.5
2023-12-27,Dhule,1.0,Moderate,180,PM2.5
2023-12-28,Dhule,1.0,Poor,223,PM2.5
2023-12-29,Dhule,1.0,Moderate,151,PM2.5
2023-12-30,Dhule,1.0,Moderate,164,PM2.5
2023-12-31,Dhule,1.0,Moderate,163,PM2.5
