date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-09-13,Dindigul,1.0,Good,46,SO2
2022-09-14,Dindigul,1.0,Good,45,SO2
2022-09-15,Dindigul,1.0,Good,45,SO2
2022-09-17,Dindigul,1.0,Good,45,SO2
2022-09-18,Dindigul,1.0,Good,42,SO2
2022-09-19,Dindigul,1.0,Good,45,SO2
2022-09-20,Dindigul,1.0,Good,45,SO2
2022-09-21,Dindigul,1.0,Good,45,SO2
2022-09-22,Dindigul,1.0,Good,44,SO2
2022-09-23,Dindigul,1.0,Good,45,SO2
2022-09-25,Dindigul,1.0,Good,45,SO2
2022-09-29,Dindigul,1.0,Good,45,SO2
2022-09-30,Dindigul,1.0,Good,45,SO2
2022-10-01,Dindigul,1.0,Good,45,SO2
2022-10-05,Dindigul,1.0,Good,40,PM10
2022-10-06,Dindigul,1.0,Good,46,PM10
2022-10-14,Dindigul,1.0,Good,39,SO2
2022-10-16,Dindigul,1.0,Good,41,SO2
2022-10-17,Dindigul,1.0,Good,44,SO2
2022-10-18,Dindigul,1.0,Good,44,SO2
2022-10-19,Dindigul,1.0,Good,44,SO2
2022-10-21,Dindigul,1.0,Good,44,SO2
2022-10-22,Dindigul,1.0,Good,44,SO2
2022-10-23,Dindigul,1.0,Satisfactory,53,PM2.5
2022-10-24,Dindigul,1.0,Satisfactory,88,PM2.5
2022-10-25,Dindigul,1.0,Moderate,128,PM2.5
2022-10-26,Dindigul,1.0,Moderate,116,PM2.5
2022-10-27,Dindigul,1.0,Satisfactory,75,PM2.5
2022-10-28,Dindigul,1.0,Satisfactory,86,PM2.5
2022-10-29,Dindigul,1.0,Good,45,PM10
2022-11-04,Dindigul,1.0,Good,38,SO2
2022-11-05,Dindigul,1.0,Good,42,SO2
2022-11-07,Dindigul,1.0,Good,46,PM10
2022-11-08,Dindigul,1.0,Satisfactory,51,PM10
2022-11-09,Dindigul,1.0,Good,42,SO2
2022-11-10,Dindigul,1.0,Good,42,SO2
2022-11-11,Dindigul,1.0,Good,42,SO2
2022-11-12,Dindigul,1.0,Good,42,SO2
2022-11-13,Dindigul,1.0,Good,42,SO2
2022-11-14,Dindigul,1.0,Good,42,SO2
2022-11-15,Dindigul,1.0,Good,42,SO2
2022-11-16,Dindigul,1.0,Moderate,110,PM2.5
2022-11-17,Dindigul,1.0,Moderate,136,PM2.5
2022-11-25,Dindigul,1.0,Satisfactory,63,PM2.5
2022-11-27,Dindigul,1.0,Satisfactory,66,PM2.5
2022-11-28,Dindigul,1.0,Satisfactory,69,PM2.5
2022-12-18,Dindigul,1.0,Poor,269,NO2
2022-12-19,Dindigul,1.0,Poor,201,NO2
2022-12-20,Dindigul,1.0,Poor,208,NO2
2022-12-21,Dindigul,1.0,Moderate,187,NO2
2022-12-22,Dindigul,1.0,Moderate,190,NO2
2022-12-23,Dindigul,1.0,Moderate,198,NO2
2022-12-24,Dindigul,1.0,Poor,212,NO2
2022-12-25,Dindigul,1.0,Poor,236,NO2
2022-12-26,Dindigul,1.0,Poor,224,NO2
2022-12-27,Dindigul,1.0,Poor,232,NO2
2022-12-29,Dindigul,1.0,Poor,221,NO2
2022-12-30,Dindigul,1.0,Poor,216,NO2
2022-12-31,Dindigul,1.0,Poor,217,NO2
2023-01-01,Dindigul,1.0,Poor,232,NO2
