date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2016-09-25,Durgapur,1.0,Severe,451,O3
2016-09-27,Durgapur,1.0,Severe,451,O3
2016-09-30,Durgapur,1.0,Severe,451,O3
2016-10-04,Durgapur,1.0,Good,43,CO
2016-10-05,Durgapur,1.0,Good,50,CO
2016-10-07,Durgapur,1.0,Good,41,CO
2016-10-08,Durgapur,1.0,Good,28,NO2
2016-10-09,Durgapur,1.0,Good,45,CO
2016-10-10,Durgapur,1.0,Good,32,CO
2016-10-11,Durgapur,1.0,Good,50,NO2
2016-10-12,Durgapur,1.0,Good,45,CO
2016-10-13,Durgapur,1.0,Satisfactory,67,PM10
2016-10-15,Durgapur,1.0,Good,33,PM10
2016-10-16,Durgapur,1.0,Satisfactory,57,PM10
2016-10-17,Durgapur,1.0,Good,48,NO2
2016-10-18,Durgapur,1.0,Satisfactory,74,CO
2016-10-19,Durgapur,1.0,Good,34,PM10
2016-10-20,Durgapur,1.0,Good,42,PM10
2016-10-21,Durgapur,1.0,Good,44,PM10
2016-10-22,Durgapur,1.0,Good,50,PM10
2016-10-23,Durgapur,1.0,Satisfactory,51,PM10
2016-10-24,Durgapur,1.0,Satisfactory,61,CO
2016-10-25,Durgapur,1.0,Satisfactory,57,PM10
2016-10-26,Durgapur,1.0,Good,50,PM10
2016-10-27,Durgapur,1.0,Good,29,PM10
2016-10-28,Durgapur,1.0,Good,47,CO
2016-10-29,Durgapur,1.0,Satisfactory,51,NO2
2016-10-30,Durgapur,1.0,Satisfactory,53,NO2
2016-10-31,Durgapur,1.0,Good,34,PM10
2016-11-01,Durgapur,1.0,Good,38,CO
2016-11-02,Durgapur,1.0,Good,39,CO
2016-11-03,Durgapur,1.0,Good,34,CO
2016-11-04,Durgapur,1.0,Good,41,NO2
2016-11-05,Durgapur,1.0,Good,50,NO2
2016-11-06,Durgapur,1.0,Satisfactory,53,PM10
2016-11-15,Durgapur,1.0,Satisfactory,74,PM10
2016-11-16,Durgapur,1.0,Severe,451,O3
2016-11-18,Durgapur,1.0,Satisfactory,86,PM10
2016-11-19,Durgapur,1.0,Satisfactory,78,PM10
2016-11-20,Durgapur,1.0,Satisfactory,90,PM10
2016-11-23,Durgapur,1.0,Satisfactory,80,PM10
2016-11-24,Durgapur,1.0,Moderate,112,PM10
2016-11-25,Durgapur,1.0,Moderate,128,PM10
2016-11-26,Durgapur,1.0,Moderate,163,PM10
2016-11-28,Durgapur,1.0,Good,46,CO
2016-11-29,Durgapur,1.0,Very Poor,352,PM10
2016-11-30,Durgapur,1.0,Moderate,179,PM10
2016-12-01,Durgapur,1.0,Moderate,133,PM10
2016-12-02,Durgapur,1.0,Moderate,178,PM10
2016-12-03,Durgapur,1.0,Moderate,199,PM10
2016-12-04,Durgapur,1.0,Poor,231,PM10
