date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-05-29,Eloor,1.0,Good,39,CO
2019-05-30,Eloor,1.0,Good,49,CO
2019-05-31,Eloor,1.0,Good,43,CO
2019-06-01,Eloor,1.0,Good,38,CO
2019-06-02,Eloor,1.0,Good,32,CO
2019-06-03,Eloor,1.0,Good,28,CO
2019-06-04,Eloor,1.0,Satisfactory,53,CO
2019-06-05,Eloor,1.0,Good,44,CO
2019-06-06,Eloor,1.0,Good,37,CO
2019-06-07,Eloor,1.0,Good,38,CO
2019-06-08,Eloor,1.0,Good,34,CO
2019-06-09,Eloor,1.0,Good,29,CO
2019-06-10,Eloor,1.0,Good,49,PM2.5
2019-06-11,Eloor,1.0,Good,37,CO
2019-06-12,Eloor,1.0,Good,44,CO
2019-06-13,Eloor,1.0,Satisfactory,51,CO
2019-06-18,Eloor,1.0,Good,43,CO
2019-06-19,Eloor,1.0,Good,40,CO
2019-06-20,Eloor,1.0,Good,40,CO
2019-06-21,Eloor,1.0,Good,35,CO
2019-06-22,Eloor,1.0,Good,45,CO
2019-06-23,Eloor,1.0,Good,29,CO
2019-06-24,Eloor,1.0,Good,39,CO
2019-06-25,Eloor,1.0,Good,40,CO
2019-06-26,Eloor,1.0,Satisfactory,61,CO
2019-06-27,Eloor,1.0,Good,44,CO
2019-06-28,Eloor,1.0,Good,48,CO
2019-06-29,Eloor,1.0,Good,46,CO
2019-06-30,Eloor,1.0,Good,33,CO
2019-07-01,Eloor,1.0,Good,44,CO
2019-07-02,Eloor,1.0,Good,37,PM10
2019-07-03,Eloor,1.0,Good,23,OZONE
2019-07-04,Eloor,1.0,Good,32,CO
2019-07-05,Eloor,1.0,Good,25,CO
2019-07-06,Eloor,1.0,Good,36,PM2.5
2019-07-07,Eloor,1.0,Good,39,CO
2019-07-08,Eloor,1.0,Good,44,CO
2019-07-09,Eloor,1.0,Good,43,CO
2019-07-10,Eloor,1.0,Satisfactory,55,CO
2019-07-11,Eloor,1.0,Good,48,PM2.5
2019-07-12,Eloor,1.0,Satisfactory,55,CO
2019-07-13,Eloor,1.0,Good,46,CO
2019-07-14,Eloor,1.0,Good,36,PM2.5
2019-07-15,Eloor,1.0,Good,34,CO
2019-07-16,Eloor,1.0,Good,23,PM10
2019-07-17,Eloor,1.0,Good,31,PM10
2019-07-18,Eloor,1.0,Good,34,CO
2019-07-19,Eloor,1.0,Good,27,CO
2019-07-20,Eloor,1.0,Good,33,CO
2019-07-21,Eloor,1.0,Good,26,CO
2019-07-22,Eloor,1.0,Good,26,CO
2019-07-23,Eloor,1.0,Good,38,CO
2019-07-24,Eloor,1.0,Good,38,PM2.5
2019-07-25,Eloor,1.0,Good,29,CO
2019-07-26,Eloor,1.0,Good,31,CO
2019-07-27,Eloor,1.0,Good,43,CO
2019-07-28,Eloor,1.0,Good,43,CO
2019-07-29,Eloor,1.0,Good,31,CO
2019-07-30,Eloor,1.0,Good,45,CO
2019-07-31,Eloor,1.0,Good,38,CO
2019-08-01,Eloor,1.0,Good,36,CO
2019-08-02,Eloor,1.0,Good,30,CO
2019-08-03,Eloor,1.0,Good,22,OZONE
2019-08-04,Eloor,1.0,Good,23,OZONE
2019-08-05,Eloor,1.0,Good,21,OZONE
2019-08-06,Eloor,1.0,Good,45,CO
2019-08-07,Eloor,1.0,Good,32,CO
2019-08-08,Eloor,1.0,Good,26,CO
2019-08-09,Eloor,1.0,Good,32,CO
2019-08-10,Eloor,1.0,Good,31,CO
2019-08-11,Eloor,1.0,Good,27,CO
2019-08-12,Eloor,1.0,Good,24,CO
2019-08-13,Eloor,1.0,Good,31,CO
2019-08-14,Eloor,1.0,Good,26,PM2.5
2019-08-15,Eloor,1.0,Good,26,CO
2019-08-16,Eloor,1.0,Good,35,CO
2019-08-17,Eloor,1.0,Good,36,CO
2019-08-18,Eloor,1.0,Good,43,CO
2019-08-19,Eloor,1.0,Good,25,CO
2019-08-20,Eloor,1.0,Good,30,PM10
2019-08-21,Eloor,1.0,Good,31,CO
2019-08-22,Eloor,1.0,Good,31,CO
2019-08-23,Eloor,1.0,Good,22,CO
2019-08-24,Eloor,1.0,Good,32,CO
2019-08-25,Eloor,1.0,Good,27,CO
2019-08-26,Eloor,1.0,Good,22,CO
2019-08-27,Eloor,1.0,Good,25,CO
2019-08-28,Eloor,1.0,Good,28,CO
2019-08-29,Eloor,1.0,Good,29,CO
2019-08-30,Eloor,1.0,Good,31,CO
2019-08-31,Eloor,1.0,Good,27,CO
2019-09-01,Eloor,1.0,Good,25,CO
2019-09-02,Eloor,1.0,Satisfactory,54,PM2.5
2019-09-03,Eloor,1.0,Good,33,CO
2019-09-04,Eloor,1.0,Good,16,PM10
2019-09-05,Eloor,1.0,Good,22,CO
2019-09-06,Eloor,1.0,Good,24,CO
2019-09-07,Eloor,1.0,Good,27,CO
2019-09-08,Eloor,1.0,Good,27,CO
2019-09-09,Eloor,1.0,Good,27,CO
2019-09-10,Eloor,1.0,Good,30,CO
2019-09-11,Eloor,1.0,Good,30,CO
2019-09-12,Eloor,1.0,Good,22,CO
2019-09-13,Eloor,1.0,Good,32,CO
2019-09-14,Eloor,1.0,Good,28,CO
2019-09-15,Eloor,1.0,Good,24,CO
2019-09-16,Eloor,1.0,Good,26,CO
2019-09-17,Eloor,1.0,Good,29,CO
2019-09-18,Eloor,1.0,Good,28,CO
2019-09-19,Eloor,1.0,Good,25,CO
2019-09-20,Eloor,1.0,Good,35,CO
2019-09-21,Eloor,1.0,Good,43,CO
2019-09-22,Eloor,1.0,Good,30,CO
2019-09-23,Eloor,1.0,Good,25,CO
2019-09-24,Eloor,1.0,Good,31,CO
2019-09-25,Eloor,1.0,Good,23,CO
2019-09-26,Eloor,1.0,Good,20,CO
2019-09-27,Eloor,1.0,Good,47,CO
2019-09-28,Eloor,1.0,Good,32,CO
2019-09-29,Eloor,1.0,Good,30,CO
2019-09-30,Eloor,1.0,Good,34,CO
2019-10-01,Eloor,1.0,Good,41,CO
2019-10-02,Eloor,1.0,Good,31,CO
2019-10-03,Eloor,1.0,Good,29,CO
2019-10-04,Eloor,1.0,Good,41,CO
2019-10-06,Eloor,1.0,Good,33,CO
2019-10-11,Eloor,1.0,Good,35,CO
2019-10-12,Eloor,1.0,Good,37,CO
2019-10-13,Eloor,1.0,Good,34,CO
2019-10-14,Eloor,1.0,Good,27,CO
2019-10-15,Eloor,1.0,Good,29,CO
2019-10-16,Eloor,1.0,Good,38,CO
2019-10-17,Eloor,1.0,Good,37,CO
2019-10-18,Eloor,1.0,Good,32,CO
2019-10-19,Eloor,1.0,Good,30,CO
2019-10-20,Eloor,1.0,Good,25,CO
2019-10-21,Eloor,1.0,Good,23,CO
2019-10-22,Eloor,1.0,Good,31,CO
2019-10-23,Eloor,1.0,Good,30,CO
2019-10-24,Eloor,1.0,Good,39,PM10
2019-10-25,Eloor,1.0,Good,25,CO
2019-10-26,Eloor,1.0,Good,28,CO
2019-10-27,Eloor,1.0,Good,25,CO
2019-10-28,Eloor,1.0,Good,39,CO
2019-10-29,Eloor,1.0,Good,36,CO
2019-10-30,Eloor,1.0,Good,36,CO
2019-10-31,Eloor,1.0,Good,20,CO
2019-11-01,Eloor,1.0,Good,33,CO
2019-11-02,Eloor,1.0,Good,41,CO
2019-11-03,Eloor,1.0,Good,34,CO
2019-11-04,Eloor,1.0,Good,25,CO
2019-11-05,Eloor,1.0,Good,38,CO
2019-11-06,Eloor,1.0,Good,35,CO
2019-11-07,Eloor,1.0,Good,40,CO
2019-11-08,Eloor,1.0,Good,30,PM10
2019-11-09,Eloor,1.0,Good,36,CO
2019-11-10,Eloor,1.0,Good,32,CO
2019-11-11,Eloor,1.0,Good,33,CO
2019-11-12,Eloor,1.0,Good,42,CO
2019-11-13,Eloor,1.0,Good,44,CO
2019-11-14,Eloor,1.0,Good,42,CO
2019-11-15,Eloor,1.0,Good,34,PM10
2019-11-16,Eloor,1.0,Good,37,CO
2019-11-17,Eloor,1.0,Good,27,CO
2019-11-18,Eloor,1.0,Good,31,CO
2019-11-19,Eloor,1.0,Good,40,CO
2019-11-20,Eloor,1.0,Good,46,CO
2019-11-21,Eloor,1.0,Good,35,CO
2019-11-22,Eloor,1.0,Good,42,CO
2019-11-23,Eloor,1.0,Good,40,CO
2019-11-24,Eloor,1.0,Good,29,CO
2019-11-25,Eloor,1.0,Good,34,CO
2019-11-26,Eloor,1.0,Good,34,CO
2019-11-27,Eloor,1.0,Good,37,CO
2019-11-28,Eloor,1.0,Good,38,CO
2019-11-29,Eloor,1.0,Good,39,CO
2019-11-30,Eloor,1.0,Good,49,CO
2019-12-01,Eloor,1.0,Good,36,PM10
2019-12-02,Eloor,1.0,Good,28,CO
2019-12-03,Eloor,1.0,Good,33,CO
2019-12-04,Eloor,1.0,Good,43,PM10
2019-12-05,Eloor,1.0,Good,45,PM10
2019-12-06,Eloor,1.0,Satisfactory,68,PM10
2019-12-07,Eloor,1.0,Good,37,PM10
2019-12-08,Eloor,1.0,Good,34,PM10
2019-12-09,Eloor,1.0,Good,37,SO2
2019-12-10,Eloor,1.0,Good,37,CO
2019-12-11,Eloor,1.0,Good,39,CO
2019-12-12,Eloor,1.0,Good,50,CO
2019-12-13,Eloor,1.0,Good,40,CO
2019-12-14,Eloor,1.0,Good,34,CO
2019-12-15,Eloor,1.0,Good,36,CO
2019-12-16,Eloor,1.0,Good,29,CO
2019-12-17,Eloor,1.0,Good,30,PM10
2019-12-18,Eloor,1.0,Good,29,CO
2019-12-19,Eloor,1.0,Good,28,PM10
2019-12-20,Eloor,1.0,Good,29,CO
2019-12-21,Eloor,1.0,Good,44,CO
2019-12-22,Eloor,1.0,Good,33,PM2.5
2019-12-23,Eloor,1.0,Good,48,PM10
2019-12-24,Eloor,1.0,Moderate,169,PM10
2019-12-25,Eloor,1.0,Moderate,115,PM10
2019-12-26,Eloor,1.0,Moderate,104,PM10
2019-12-27,Eloor,1.0,Moderate,120,PM10
2019-12-28,Eloor,1.0,Moderate,122,PM10
2019-12-29,Eloor,1.0,Moderate,115,PM10
2019-12-30,Eloor,1.0,Moderate,124,PM10
2019-12-31,Eloor,1.0,Moderate,116,PM10
2020-01-01,Eloor,1.0,Moderate,138,PM10
2020-01-02,Eloor,1.0,Moderate,115,PM10
2020-01-03,Eloor,1.0,Moderate,119,PM10
2020-01-04,Eloor,1.0,Moderate,114,PM10
2020-01-05,Eloor,1.0,Moderate,102,PM10
2020-01-06,Eloor,1.0,Moderate,109,PM10
2020-01-07,Eloor,1.0,Moderate,101,PM10
2020-01-08,Eloor,1.0,Satisfactory,91,PM10
2020-01-09,Eloor,1.0,Moderate,130,PM10
2020-01-10,Eloor,1.0,Moderate,125,PM10
2020-01-11,Eloor,1.0,Moderate,151,O3
2020-01-12,Eloor,1.0,Moderate,120,PM10
2020-01-13,Eloor,1.0,Satisfactory,100,PM10
2020-01-14,Eloor,1.0,Moderate,143,PM10
2020-01-15,Eloor,1.0,Moderate,128,PM10
2020-01-16,Eloor,1.0,Moderate,129,PM10
2020-01-17,Eloor,1.0,Moderate,148,PM10
2020-01-18,Eloor,1.0,Moderate,125,PM10
2020-01-19,Eloor,1.0,Moderate,105,PM10
2020-01-20,Eloor,1.0,Satisfactory,77,PM10
2020-01-21,Eloor,1.0,Moderate,131,PM10
2020-01-23,Eloor,1.0,Moderate,103,PM10
2020-01-24,Eloor,1.0,Moderate,121,NO2
2020-01-25,Eloor,1.0,Moderate,121,NO2
2020-01-26,Eloor,1.0,Moderate,121,NO2
2020-01-27,Eloor,1.0,Moderate,106,PM10
2020-01-28,Eloor,1.0,Moderate,118,PM10
2020-01-29,Eloor,1.0,Moderate,121,PM10
2020-01-30,Eloor,1.0,Moderate,109,PM10
2020-01-31,Eloor,1.0,Satisfactory,98,PM10
2020-02-01,Eloor,1.0,Satisfactory,96,PM10
2020-02-02,Eloor,1.0,Satisfactory,93,PM10
2020-02-03,Eloor,1.0,Satisfactory,99,PM10
2020-02-04,Eloor,1.0,Moderate,104,PM10
2020-02-05,Eloor,1.0,Moderate,110,PM10
2020-02-06,Eloor,1.0,Satisfactory,98,PM10
2020-02-07,Eloor,1.0,Moderate,110,PM10
2020-02-08,Eloor,1.0,Satisfactory,75,PM10
2020-02-09,Eloor,1.0,Satisfactory,96,PM2.5
2020-02-10,Eloor,1.0,Satisfactory,78,PM10
2020-02-11,Eloor,1.0,Satisfactory,94,PM10
2020-02-12,Eloor,1.0,Moderate,146,PM2.5
2020-02-13,Eloor,1.0,Moderate,105,PM10
2020-02-14,Eloor,1.0,Moderate,152,PM2.5
2020-02-15,Eloor,1.0,Moderate,108,PM10
2020-02-16,Eloor,1.0,Satisfactory,82,PM10
2020-02-17,Eloor,1.0,Satisfactory,89,PM10
2020-02-18,Eloor,1.0,Satisfactory,92,PM10
2020-02-19,Eloor,1.0,Moderate,112,PM10
2020-02-20,Eloor,1.0,Moderate,109,PM10
2020-02-21,Eloor,1.0,Moderate,115,PM10
2020-02-22,Eloor,1.0,Satisfactory,92,PM10
2020-02-23,Eloor,1.0,Satisfactory,73,PM10
2020-02-24,Eloor,1.0,Satisfactory,90,PM10
2020-02-25,Eloor,1.0,Satisfactory,95,PM10
2020-02-26,Eloor,1.0,Moderate,111,PM10
2020-02-27,Eloor,1.0,Satisfactory,88,PM10
2020-03-03,Eloor,1.0,Satisfactory,82,PM10
2020-03-04,Eloor,1.0,Satisfactory,78,PM10
2020-03-05,Eloor,1.0,Satisfactory,99,PM10
2020-03-06,Eloor,1.0,Satisfactory,77,PM10
2020-03-07,Eloor,1.0,Satisfactory,85,PM10
2020-03-08,Eloor,1.0,Satisfactory,77,PM10
